For Nîmes_Date,For Nîmes_Time,For Nîmes_Comp,For Nîmes_Round,For Nîmes_Day,For Nîmes_Venue,For Nîmes_Result,For Nîmes_GF,For Nîmes_GA,For Nîmes_Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,For Nîmes_Date,For Nîmes_Time,For Nîmes_Comp,For Nîmes_Round,For Nîmes_Day,For Nîmes_Venue,For Nîmes_Result,For Nîmes_GF,For Nîmes_GA,For Nîmes_Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,For Nîmes_Date,For Nîmes_Time,For Nîmes_Comp,For Nîmes_Round,For Nîmes_Day,For Nîmes_Venue,For Nîmes_Result,For Nîmes_GF,For Nîmes_GA,For Nîmes_Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,For Nîmes_Date,For Nîmes_Time,For Nîmes_Comp,For Nîmes_Round,For Nîmes_Day,For Nîmes_Venue,For Nîmes_Result,For Nîmes_GF,For Nîmes_GA,For Nîmes_Opponent,For Nîmes_Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,For Nîmes_Date,For Nîmes_Time,For Nîmes_Comp,For Nîmes_Round,For Nîmes_Day,For Nîmes_Venue,For Nîmes_Result,For Nîmes_GF,For Nîmes_GA,For Nîmes_Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,For Nîmes_Date,For Nîmes_Time,For Nîmes_Comp,For Nîmes_Round,For Nîmes_Day,For Nîmes_Venue,For Nîmes_Result,For Nîmes_GF,For Nîmes_GA,For Nîmes_Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,For Nîmes_Date,For Nîmes_Time,For Nîmes_Comp,For Nîmes_Round,For Nîmes_Day,For Nîmes_Venue,For Nîmes_Result,For Nîmes_GF,For Nîmes_GA,For Nîmes_Opponent,For Nîmes_Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,For Nîmes_Date,For Nîmes_Time,For Nîmes_Comp,For Nîmes_Round,For Nîmes_Day,For Nîmes_Venue,For Nîmes_Result,For Nîmes_GF,For Nîmes_GA,For Nîmes_Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2020-11-22,15:00 (06:00),Ligue 1,Matchweek 11,Sun,Away,W,1.0,0.0,Reims,1,5,4,80.0,0.0,0.0,27.0,0.0,1,1,1.0,0.2,0.04,0.0,-0.2,Match Report,2020-11-22,15:00 (06:00),Ligue 1,Matchweek 11,Sun,Away,W,1.0,0.0,Reims,6,0,6,100.0,1,1.4,1.4,0,0,0,0,9.0,27.0,33.3,25.0,0.0,88.0,54.3,6.0,83.3,55.3,23.0,0.0,0.0,0.0,4.0,Match Report,2020-11-22,15:00 (06:00),Ligue 1,Matchweek 11,Sun,Away,W,1.0,0.0,Reims,188.0,292.0,64.4,3874.0,2035.0,79.0,98.0,80.6,61.0,84.0,72.6,39.0,90.0,43.3,0,0.2,0.1,5.0,15.0,2.0,1.0,23.0,Match Report,2020-11-22,15:00 (06:00),Ligue 1,Matchweek 11,Sun,Away,W,1.0,0.0,Reims,292.0,234.0,57.0,21.0,0.0,6.0,8,28.0,1.0,0.0,1.0,0.0,188.0,1.0,4.0,Match Report,2020-11-22,15:00 (06:00),Ligue 1,Matchweek 11,Sun,Away,W,1.0,0.0,Reims,9.0,5.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,Match Report,2020-11-22,15:00 (06:00),Ligue 1,Matchweek 11,Sun,Away,W,1.0,0.0,Reims,13.0,7,7.0,6.0,0.0,6.0,20.0,30.0,14.0,11.0,4.0,7.0,21,34,35.0,0.0,Match Report,2020-11-22,15:00 (06:00),Ligue 1,Matchweek 11,Sun,Away,W,1.0,0.0,Reims,30.0,439.0,79.0,192.0,178.0,77.0,7.0,438.0,17.0,8.0,47.1,9.0,52.9,195.0,990.0,478.0,9.0,9.0,3.0,16.0,11.0,186.0,23.0,Match Report,2020-11-22,15:00 (06:00),Ligue 1,Matchweek 11,Sun,Away,W,1.0,0.0,Reims,1,0,0,11,17,1,8,21,7,1.0,0.0,0,57.0,14.0,22.0,38.9,Match Report
2020-11-29,15:00 (06:00),Ligue 1,Matchweek 12,Sun,Away,L,0.0,3.0,Monaco,0,6,2,33.3,0.0,0.0,19.3,0.0,0,0,0.3,0.3,0.05,-0.3,-0.3,Match Report,2020-11-29,15:00 (06:00),Ligue 1,Matchweek 12,Sun,Away,L,0.0,3.0,Monaco,5,3,2,40.0,0,3.0,0.0,0,0,0,0,7.0,33.0,21.2,31.0,4.0,71.0,46.5,16.0,68.8,52.4,22.0,1.0,4.5,2.0,19.0,Match Report,2020-11-29,15:00 (06:00),Ligue 1,Matchweek 12,Sun,Away,L,0.0,3.0,Monaco,224.0,325.0,68.9,3986.0,1794.0,105.0,124.0,84.7,82.0,104.0,78.8,26.0,76.0,34.2,0,0.3,0.3,5.0,17.0,0.0,0.0,18.0,Match Report,2020-11-29,15:00 (06:00),Ligue 1,Matchweek 12,Sun,Away,L,0.0,3.0,Monaco,325.0,270.0,54.0,18.0,0.0,4.0,14,13.0,3.0,0.0,3.0,0.0,224.0,1.0,3.0,Match Report,2020-11-29,15:00 (06:00),Ligue 1,Matchweek 12,Sun,Away,L,0.0,3.0,Monaco,10.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2020-11-29,15:00 (06:00),Ligue 1,Matchweek 12,Sun,Away,L,0.0,3.0,Monaco,18.0,12,8.0,8.0,2.0,7.0,18.0,38.9,11.0,11.0,6.0,5.0,7,25,26.0,1.0,Match Report,2020-11-29,15:00 (06:00),Ligue 1,Matchweek 12,Sun,Away,L,0.0,3.0,Monaco,33.0,432.0,79.0,168.0,191.0,78.0,7.0,432.0,17.0,6.0,35.3,11.0,64.7,220.0,799.0,375.0,5.0,7.0,1.0,14.0,6.0,222.0,18.0,Match Report,2020-11-29,15:00 (06:00),Ligue 1,Matchweek 12,Sun,Away,L,0.0,3.0,Monaco,1,1,0,9,15,1,14,7,12,0.0,0.0,0,42.0,12.0,23.0,34.3,Match Report
2020-12-04,21:00 (12:00),Ligue 1,Matchweek 13,Fri,Home,L,0.0,2.0,Marseille,0,7,0,0.0,0.0,,19.0,1.0,0,0,0.7,0.7,0.1,-0.7,-0.7,Match Report,2020-12-04,21:00 (12:00),Ligue 1,Matchweek 13,Fri,Home,L,0.0,2.0,Marseille,4,2,2,50.0,0,2.0,0.0,0,0,0,0,3.0,26.0,11.5,37.0,2.0,54.1,40.7,6.0,100.0,60.2,16.0,1.0,6.3,0.0,6.3,Match Report,2020-12-04,21:00 (12:00),Ligue 1,Matchweek 13,Fri,Home,L,0.0,2.0,Marseille,223.0,323.0,69.0,4094.0,1597.0,86.0,105.0,81.9,108.0,135.0,80.0,24.0,65.0,36.9,0,0.6,0.4,5.0,13.0,1.0,1.0,20.0,Match Report,2020-12-04,21:00 (12:00),Ligue 1,Matchweek 13,Fri,Home,L,0.0,2.0,Marseille,323.0,276.0,45.0,21.0,1.0,2.0,8,14.0,1.0,1.0,0.0,0.0,223.0,2.0,6.0,Match Report,2020-12-04,21:00 (12:00),Ligue 1,Matchweek 13,Fri,Home,L,0.0,2.0,Marseille,12.0,6.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2020-12-04,21:00 (12:00),Ligue 1,Matchweek 13,Fri,Home,L,0.0,2.0,Marseille,10.0,5,3.0,7.0,0.0,3.0,18.0,16.7,15.0,14.0,6.0,8.0,12,22,16.0,0.0,Match Report,2020-12-04,21:00 (12:00),Ligue 1,Matchweek 13,Fri,Home,L,0.0,2.0,Marseille,32.0,437.0,65.0,190.0,190.0,63.0,8.0,437.0,18.0,9.0,50.0,9.0,50.0,179.0,926.0,468.0,9.0,6.0,3.0,17.0,4.0,222.0,20.0,Match Report,2020-12-04,21:00 (12:00),Ligue 1,Matchweek 13,Fri,Home,L,0.0,2.0,Marseille,3,1,1,11,17,2,8,12,5,0.0,0.0,0,54.0,12.0,18.0,40.0,Match Report
2020-12-13,15:00 (06:00),Ligue 1,Matchweek 14,Sun,Away,L,0.0,3.0,Lorient,0,6,2,33.3,0.0,0.0,14.8,0.0,0,0,0.5,0.5,0.09,-0.5,-0.5,Match Report,2020-12-13,15:00 (06:00),Ligue 1,Matchweek 14,Sun,Away,L,0.0,3.0,Lorient,5,3,2,60.0,0,2.6,-0.4,1,1,0,0,5.0,18.0,27.8,48.0,9.0,31.3,34.0,6.0,50.0,34.2,7.0,0.0,0.0,3.0,24.0,Match Report,2020-12-13,15:00 (06:00),Ligue 1,Matchweek 14,Sun,Away,L,0.0,3.0,Lorient,431.0,566.0,76.1,8362.0,2722.0,149.0,179.0,83.2,228.0,263.0,86.7,50.0,103.0,48.5,0,0.5,0.6,5.0,32.0,7.0,2.0,37.0,Match Report,2020-12-13,15:00 (06:00),Ligue 1,Matchweek 14,Sun,Away,L,0.0,3.0,Lorient,566.0,494.0,72.0,20.0,0.0,4.0,20,39.0,3.0,1.0,2.0,0.0,431.0,0.0,12.0,Match Report,2020-12-13,15:00 (06:00),Ligue 1,Matchweek 14,Sun,Away,L,0.0,3.0,Lorient,11.0,6.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2020-12-13,15:00 (06:00),Ligue 1,Matchweek 14,Sun,Away,L,0.0,3.0,Lorient,16.0,9,3.0,9.0,4.0,6.0,17.0,35.3,11.0,11.0,2.0,9.0,16,32,10.0,0.0,Match Report,2020-12-13,15:00 (06:00),Ligue 1,Matchweek 14,Sun,Away,L,0.0,3.0,Lorient,56.0,663.0,53.0,202.0,328.0,139.0,12.0,663.0,13.0,11.0,84.6,2.0,15.4,349.0,2004.0,927.0,9.0,15.0,0.0,22.0,12.0,428.0,36.0,Match Report,2020-12-13,15:00 (06:00),Ligue 1,Matchweek 14,Sun,Away,L,0.0,3.0,Lorient,0,0,0,7,17,0,20,16,9,0.0,1.0,0,59.0,19.0,20.0,48.7,Match Report
2020-12-16,19:00 (10:00),Ligue 1,Matchweek 15,Wed,Home,L,0.0,2.0,Nice,0,15,4,26.7,0.0,0.0,20.0,0.0,0,0,1.1,1.1,0.07,-1.1,-1.1,Match Report,2020-12-16,19:00 (10:00),Ligue 1,Matchweek 15,Wed,Home,L,0.0,2.0,Nice,6,2,4,66.7,0,1.1,-0.9,0,0,0,0,6.0,16.0,37.5,22.0,2.0,45.5,38.0,11.0,54.5,47.5,9.0,0.0,0.0,0.0,11.7,Match Report,2020-12-16,19:00 (10:00),Ligue 1,Matchweek 15,Wed,Home,L,0.0,2.0,Nice,374.0,465.0,80.4,6862.0,2279.0,163.0,188.0,86.7,163.0,181.0,90.1,46.0,81.0,56.8,0,1.1,1.1,13.0,24.0,7.0,1.0,38.0,Match Report,2020-12-16,19:00 (10:00),Ligue 1,Matchweek 15,Wed,Home,L,0.0,2.0,Nice,465.0,411.0,53.0,10.0,0.0,5.0,16,26.0,4.0,1.0,2.0,0.0,374.0,1.0,5.0,Match Report,2020-12-16,19:00 (10:00),Ligue 1,Matchweek 15,Wed,Home,L,0.0,2.0,Nice,28.0,20.0,5.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2020-12-16,19:00 (10:00),Ligue 1,Matchweek 15,Wed,Home,L,0.0,2.0,Nice,21.0,14,10.0,9.0,2.0,9.0,20.0,45.0,11.0,9.0,1.0,8.0,18,39,18.0,0.0,Match Report,2020-12-16,19:00 (10:00),Ligue 1,Matchweek 15,Wed,Home,L,0.0,2.0,Nice,45.0,581.0,57.0,179.0,264.0,146.0,22.0,581.0,17.0,10.0,58.8,7.0,41.2,368.0,1739.0,947.0,19.0,15.0,4.0,14.0,10.0,368.0,38.0,Match Report,2020-12-16,19:00 (10:00),Ligue 1,Matchweek 15,Wed,Home,L,0.0,2.0,Nice,1,0,0,8,10,1,16,18,14,0.0,0.0,0,55.0,14.0,9.0,60.9,Match Report
2020-12-20,15:00 (06:00),Ligue 1,Matchweek 16,Sun,Away,D,2.0,2.0,Saint-Étienne,2,8,3,37.5,0.13,0.33,20.5,2.0,1,1,1.6,0.8,0.1,0.4,0.2,Match Report,2020-12-20,15:00 (06:00),Ligue 1,Matchweek 16,Sun,Away,D,2.0,2.0,Saint-Étienne,9,2,6,77.8,0,2.6,0.6,1,0,1,0,15.0,28.0,53.6,39.0,5.0,51.3,39.0,10.0,80.0,54.7,21.0,0.0,0.0,0.0,14.0,Match Report,2020-12-20,15:00 (06:00),Ligue 1,Matchweek 16,Sun,Away,D,2.0,2.0,Saint-Étienne,284.0,377.0,75.3,5742.0,2645.0,114.0,136.0,83.8,115.0,138.0,83.3,50.0,84.0,59.5,0,0.3,0.5,5.0,20.0,6.0,1.0,30.0,Match Report,2020-12-20,15:00 (06:00),Ligue 1,Matchweek 16,Sun,Away,D,2.0,2.0,Saint-Étienne,377.0,320.0,57.0,14.0,1.0,4.0,15,27.0,3.0,0.0,3.0,0.0,284.0,0.0,7.0,Match Report,2020-12-20,15:00 (06:00),Ligue 1,Matchweek 16,Sun,Away,D,2.0,2.0,Saint-Étienne,15.0,8.0,3.0,0.0,0.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,Match Report,2020-12-20,15:00 (06:00),Ligue 1,Matchweek 16,Sun,Away,D,2.0,2.0,Saint-Étienne,15.0,11,9.0,3.0,3.0,11.0,18.0,61.1,7.0,5.0,2.0,3.0,15,30,22.0,1.0,Match Report,2020-12-20,15:00 (06:00),Ligue 1,Matchweek 16,Sun,Away,D,2.0,2.0,Saint-Étienne,41.0,493.0,77.0,192.0,179.0,127.0,14.0,492.0,19.0,8.0,42.1,11.0,57.9,244.0,1228.0,578.0,9.0,10.0,4.0,18.0,10.0,280.0,28.0,Match Report,2020-12-20,15:00 (06:00),Ligue 1,Matchweek 16,Sun,Away,D,2.0,2.0,Saint-Étienne,3,0,0,9,13,0,15,15,11,1.0,1.0,0,46.0,17.0,12.0,58.6,Match Report
2020-12-23,19:00 (10:00),Ligue 1,Matchweek 17,Wed,Home,L,1.0,3.0,Dijon,1,8,1,12.5,0.13,1.0,15.8,0.0,0,0,1.0,1.0,0.12,0.0,0.0,Match Report,2020-12-23,19:00 (10:00),Ligue 1,Matchweek 17,Wed,Home,L,1.0,3.0,Dijon,4,3,1,25.0,0,1.3,-1.7,0,0,0,0,3.0,14.0,21.4,34.0,2.0,26.5,31.6,8.0,62.5,48.6,16.0,0.0,0.0,1.0,19.0,Match Report,2020-12-23,19:00 (10:00),Ligue 1,Matchweek 17,Wed,Home,L,1.0,3.0,Dijon,311.0,425.0,73.2,5573.0,2218.0,139.0,159.0,87.4,131.0,166.0,78.9,35.0,79.0,44.3,1,0.8,0.5,5.0,24.0,4.0,1.0,29.0,Match Report,2020-12-23,19:00 (10:00),Ligue 1,Matchweek 17,Wed,Home,L,1.0,3.0,Dijon,425.0,367.0,55.0,16.0,1.0,5.0,21,21.0,7.0,2.0,4.0,0.0,311.0,3.0,8.0,Match Report,2020-12-23,19:00 (10:00),Ligue 1,Matchweek 17,Wed,Home,L,1.0,3.0,Dijon,13.0,10.0,2.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Match Report,2020-12-23,19:00 (10:00),Ligue 1,Matchweek 17,Wed,Home,L,1.0,3.0,Dijon,15.0,12,9.0,4.0,2.0,6.0,18.0,33.3,12.0,8.0,4.0,4.0,11,26,13.0,0.0,Match Report,2020-12-23,19:00 (10:00),Ligue 1,Matchweek 17,Wed,Home,L,1.0,3.0,Dijon,46.0,528.0,58.0,209.0,214.0,112.0,13.0,528.0,18.0,9.0,50.0,9.0,50.0,245.0,1524.0,846.0,16.0,10.0,3.0,20.0,5.0,310.0,29.0,Match Report,2020-12-23,19:00 (10:00),Ligue 1,Matchweek 17,Wed,Home,L,1.0,3.0,Dijon,2,1,0,10,10,3,21,11,12,0.0,0.0,0,55.0,21.0,25.0,45.7,Match Report
2021-01-06,19:00 (10:00),Ligue 1,Matchweek 18,Wed,Away,L,0.0,5.0,Strasbourg,0,6,2,33.3,0.0,0.0,11.9,0.0,0,0,1.0,1.0,0.17,-1.0,-1.0,Match Report,2021-01-06,19:00 (10:00),Ligue 1,Matchweek 18,Wed,Away,L,0.0,5.0,Strasbourg,12,5,6,75.0,0,5.4,0.4,3,2,1,0,1.0,3.0,33.3,21.0,9.0,14.3,29.5,4.0,0.0,25.8,25.0,1.0,4.0,0.0,8.5,Match Report,2021-01-06,19:00 (10:00),Ligue 1,Matchweek 18,Wed,Away,L,0.0,5.0,Strasbourg,337.0,417.0,80.8,5810.0,2253.0,149.0,174.0,85.6,135.0,157.0,86.0,35.0,52.0,67.3,0,1.0,0.3,6.0,14.0,2.0,0.0,22.0,Match Report,2021-01-06,19:00 (10:00),Ligue 1,Matchweek 18,Wed,Away,L,0.0,5.0,Strasbourg,417.0,375.0,42.0,12.0,0.0,2.0,12,15.0,5.0,3.0,1.0,0.0,337.0,0.0,5.0,Match Report,2021-01-06,19:00 (10:00),Ligue 1,Matchweek 18,Wed,Away,L,0.0,5.0,Strasbourg,8.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2021-01-06,19:00 (10:00),Ligue 1,Matchweek 18,Wed,Away,L,0.0,5.0,Strasbourg,11.0,6,7.0,2.0,2.0,5.0,15.0,33.3,10.0,11.0,3.0,8.0,15,26,26.0,1.0,Match Report,2021-01-06,19:00 (10:00),Ligue 1,Matchweek 18,Wed,Away,L,0.0,5.0,Strasbourg,41.0,539.0,68.0,232.0,239.0,77.0,13.0,539.0,19.0,10.0,52.6,9.0,47.4,338.0,1787.0,945.0,12.0,11.0,4.0,13.0,10.0,332.0,22.0,Match Report,2021-01-06,19:00 (10:00),Ligue 1,Matchweek 18,Wed,Away,L,0.0,5.0,Strasbourg,2,0,0,6,12,0,12,15,6,0.0,3.0,0,42.0,6.0,13.0,31.6,Match Report
2021-01-09,21:00 (12:00),Ligue 1,Matchweek 19,Sat,Home,L,0.0,1.0,Lille,0,7,0,0.0,0.0,,19.7,0.0,0,0,0.4,0.4,0.05,-0.4,-0.4,Match Report,2021-01-09,21:00 (12:00),Ligue 1,Matchweek 19,Sat,Home,L,0.0,1.0,Lille,2,1,1,50.0,0,0.9,-0.1,0,0,0,0,3.0,16.0,18.8,38.0,7.0,26.3,30.8,11.0,54.5,44.0,9.0,0.0,0.0,0.0,,Match Report,2021-01-09,21:00 (12:00),Ligue 1,Matchweek 19,Sat,Home,L,0.0,1.0,Lille,413.0,526.0,78.5,8138.0,2707.0,162.0,177.0,91.5,194.0,228.0,85.1,55.0,98.0,56.1,0,0.1,0.4,3.0,26.0,2.0,0.0,32.0,Match Report,2021-01-09,21:00 (12:00),Ligue 1,Matchweek 19,Sat,Home,L,0.0,1.0,Lille,526.0,474.0,51.0,14.0,0.0,7.0,14,22.0,2.0,1.0,1.0,0.0,413.0,1.0,9.0,Match Report,2021-01-09,21:00 (12:00),Ligue 1,Matchweek 19,Sat,Home,L,0.0,1.0,Lille,12.0,9.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2021-01-09,21:00 (12:00),Ligue 1,Matchweek 19,Sat,Home,L,0.0,1.0,Lille,18.0,11,9.0,6.0,3.0,9.0,19.0,47.4,10.0,11.0,4.0,7.0,13,31,12.0,1.0,Match Report,2021-01-09,21:00 (12:00),Ligue 1,Matchweek 19,Sat,Home,L,0.0,1.0,Lille,48.0,627.0,73.0,287.0,226.0,117.0,14.0,627.0,15.0,7.0,46.7,8.0,53.3,362.0,1699.0,792.0,14.0,7.0,5.0,16.0,11.0,408.0,31.0,Match Report,2021-01-09,21:00 (12:00),Ligue 1,Matchweek 19,Sat,Home,L,0.0,1.0,Lille,0,0,0,12,13,1,14,13,11,0.0,0.0,0,51.0,8.0,13.0,38.1,Match Report
2021-01-16,17:00 (08:00),Ligue 1,Matchweek 20,Sat,Away,W,2.0,1.0,Marseille,2,8,5,62.5,0.25,0.4,13.8,1.0,0,0,1.4,1.4,0.18,0.6,0.6,Match Report,2021-01-16,17:00 (08:00),Ligue 1,Matchweek 20,Sat,Away,W,2.0,1.0,Marseille,6,1,5,83.3,0,1.7,0.7,1,0,0,1,6.0,22.0,27.3,41.0,8.0,48.8,37.9,5.0,40.0,37.0,22.0,0.0,0.0,0.0,6.7,Match Report,2021-01-16,17:00 (08:00),Ligue 1,Matchweek 20,Sat,Away,W,2.0,1.0,Marseille,305.0,411.0,74.2,5528.0,1982.0,142.0,158.0,89.9,127.0,155.0,81.9,31.0,68.0,45.6,2,1.4,1.2,7.0,7.0,6.0,2.0,17.0,Match Report,2021-01-16,17:00 (08:00),Ligue 1,Matchweek 20,Sat,Away,W,2.0,1.0,Marseille,411.0,359.0,45.0,13.0,0.0,3.0,14,22.0,3.0,1.0,2.0,0.0,305.0,7.0,12.0,Match Report,2021-01-16,17:00 (08:00),Ligue 1,Matchweek 20,Sat,Away,W,2.0,1.0,Marseille,14.0,9.0,1.0,2.0,1.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,Match Report,2021-01-16,17:00 (08:00),Ligue 1,Matchweek 20,Sat,Away,W,2.0,1.0,Marseille,14.0,9,9.0,4.0,1.0,10.0,17.0,58.8,7.0,14.0,4.0,10.0,11,25,27.0,1.0,Match Report,2021-01-16,17:00 (08:00),Ligue 1,Matchweek 20,Sat,Away,W,2.0,1.0,Marseille,37.0,536.0,89.0,268.0,184.0,90.0,14.0,536.0,16.0,7.0,43.8,9.0,56.3,207.0,1438.0,749.0,11.0,8.0,2.0,13.0,14.0,303.0,17.0,Match Report,2021-01-16,17:00 (08:00),Ligue 1,Matchweek 20,Sat,Away,W,2.0,1.0,Marseille,2,0,0,6,12,7,14,11,9,0.0,1.0,0,55.0,11.0,10.0,52.4,Match Report
2021-01-31,15:00 (06:00),Ligue 1,Matchweek 22,Sun,Away,L,1.0,3.0,Angers,1,7,3,42.9,0.0,0.0,26.6,1.0,1,1,1.1,0.3,0.04,-0.1,-0.3,Match Report,2021-01-31,15:00 (06:00),Ligue 1,Matchweek 22,Sun,Away,L,1.0,3.0,Angers,5,3,2,40.0,0,2.4,-0.6,0,0,0,0,2.0,4.0,50.0,42.0,5.0,7.1,23.5,6.0,16.7,27.7,11.0,1.0,9.1,0.0,9.0,Match Report,2021-01-31,15:00 (06:00),Ligue 1,Matchweek 22,Sun,Away,L,1.0,3.0,Angers,558.0,653.0,85.5,10043.0,2994.0,235.0,251.0,93.6,234.0,259.0,90.3,66.0,98.0,67.3,0,0.2,0.3,4.0,31.0,3.0,1.0,40.0,Match Report,2021-01-31,15:00 (06:00),Ligue 1,Matchweek 22,Sun,Away,L,1.0,3.0,Angers,653.0,600.0,51.0,8.0,0.0,8.0,19,25.0,8.0,5.0,3.0,0.0,558.0,2.0,10.0,Match Report,2021-01-31,15:00 (06:00),Ligue 1,Matchweek 22,Sun,Away,L,1.0,3.0,Angers,11.0,7.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Match Report,2021-01-31,15:00 (06:00),Ligue 1,Matchweek 22,Sun,Away,L,1.0,3.0,Angers,18.0,8,9.0,5.0,4.0,10.0,15.0,66.7,5.0,7.0,1.0,6.0,7,25,15.0,1.0,Match Report,2021-01-31,15:00 (06:00),Ligue 1,Matchweek 22,Sun,Away,L,1.0,3.0,Angers,60.0,760.0,57.0,229.0,410.0,125.0,8.0,759.0,20.0,7.0,35.0,13.0,65.0,487.0,2295.0,1217.0,11.0,12.0,2.0,22.0,10.0,555.0,40.0,Match Report,2021-01-31,15:00 (06:00),Ligue 1,Matchweek 22,Sun,Away,L,1.0,3.0,Angers,3,0,0,7,7,2,19,7,8,0.0,0.0,0,45.0,7.0,11.0,38.9,Match Report
