For Saint-Étienne_Date,For Saint-Étienne_Time,For Saint-Étienne_Comp,For Saint-Étienne_Round,For Saint-Étienne_Day,For Saint-Étienne_Venue,For Saint-Étienne_Result,For Saint-Étienne_GF,For Saint-Étienne_GA,For Saint-Étienne_Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,For Saint-Étienne_Date,For Saint-Étienne_Time,For Saint-Étienne_Comp,For Saint-Étienne_Round,For Saint-Étienne_Day,For Saint-Étienne_Venue,For Saint-Étienne_Result,For Saint-Étienne_GF,For Saint-Étienne_GA,For Saint-Étienne_Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,For Saint-Étienne_Date,For Saint-Étienne_Time,For Saint-Étienne_Comp,For Saint-Étienne_Round,For Saint-Étienne_Day,For Saint-Étienne_Venue,For Saint-Étienne_Result,For Saint-Étienne_GF,For Saint-Étienne_GA,For Saint-Étienne_Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,For Saint-Étienne_Date,For Saint-Étienne_Time,For Saint-Étienne_Comp,For Saint-Étienne_Round,For Saint-Étienne_Day,For Saint-Étienne_Venue,For Saint-Étienne_Result,For Saint-Étienne_GF,For Saint-Étienne_GA,For Saint-Étienne_Opponent,For Saint-Étienne_Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,For Saint-Étienne_Date,For Saint-Étienne_Time,For Saint-Étienne_Comp,For Saint-Étienne_Round,For Saint-Étienne_Day,For Saint-Étienne_Venue,For Saint-Étienne_Result,For Saint-Étienne_GF,For Saint-Étienne_GA,For Saint-Étienne_Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,For Saint-Étienne_Date,For Saint-Étienne_Time,For Saint-Étienne_Comp,For Saint-Étienne_Round,For Saint-Étienne_Day,For Saint-Étienne_Venue,For Saint-Étienne_Result,For Saint-Étienne_GF,For Saint-Étienne_GA,For Saint-Étienne_Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,For Saint-Étienne_Date,For Saint-Étienne_Time,For Saint-Étienne_Comp,For Saint-Étienne_Round,For Saint-Étienne_Day,For Saint-Étienne_Venue,For Saint-Étienne_Result,For Saint-Étienne_GF,For Saint-Étienne_GA,For Saint-Étienne_Opponent,For Saint-Étienne_Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,For Saint-Étienne_Date,For Saint-Étienne_Time,For Saint-Étienne_Comp,For Saint-Étienne_Round,For Saint-Étienne_Day,For Saint-Étienne_Venue,For Saint-Étienne_Result,For Saint-Étienne_GF,For Saint-Étienne_GA,For Saint-Étienne_Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2020-08-30,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Home,W,2.0,0.0,Lorient,2,13,5,38.5,0.15,0.4,17.7,1.0,0,0,1.4,1.4,0.11,0.6,0.6,Match Report,2020-08-30,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Home,W,2.0,0.0,Lorient,1,0,1,100.0,1,0.1,0.1,0,0,0,0,7.0,14.0,50.0,34.0,6.0,38.2,33.0,5.0,20.0,34.4,15.0,0.0,0.0,1.0,21.0,Match Report,2020-08-30,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Home,W,2.0,0.0,Lorient,396.0,483.0,82.0,7343.0,2677.0,185.0,201.0,92.0,160.0,183.0,87.4,47.0,85.0,55.3,2,1.1,0.4,11.0,18.0,6.0,2.0,26.0,Match Report,2020-08-30,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Home,W,2.0,0.0,Lorient,483.0,416.0,67.0,23.0,0.0,5.0,10,36.0,2.0,2.0,0.0,0.0,396.0,0.0,9.0,Match Report,2020-08-30,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Home,W,2.0,0.0,Lorient,25.0,13.0,3.0,5.0,2.0,2.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,Match Report,2020-08-30,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Home,W,2.0,0.0,Lorient,29.0,15,20.0,7.0,2.0,11.0,24.0,45.8,13.0,14.0,3.0,11.0,10,39,18.0,0.0,Match Report,2020-08-30,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Home,W,2.0,0.0,Lorient,53.0,614.0,67.0,270.0,254.0,100.0,16.0,614.0,29.0,18.0,62.1,11.0,37.9,370.0,2050.0,1102.0,13.0,8.0,4.0,22.0,8.0,392.0,26.0,Match Report,2020-08-30,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Home,W,2.0,0.0,Lorient,2,0,0,14,23,0,10,10,15,0.0,0.0,0,51.0,5.0,12.0,29.4,Match Report
2020-09-12,21:00 (12:00),Ligue 1,Matchweek 3,Sat,Home,W,2.0,0.0,Strasbourg,2,8,3,37.5,0.13,0.33,17.5,2.0,1,1,2.0,1.2,0.15,0.0,-0.2,Match Report,2020-09-12,21:00 (12:00),Ligue 1,Matchweek 3,Sat,Home,W,2.0,0.0,Strasbourg,6,0,6,100.0,1,1.3,1.3,0,0,0,0,4.0,10.0,40.0,19.0,4.0,36.8,32.9,5.0,60.0,45.2,5.0,2.0,40.0,0.0,11.0,Match Report,2020-09-12,21:00 (12:00),Ligue 1,Matchweek 3,Sat,Home,W,2.0,0.0,Strasbourg,304.0,412.0,73.8,5166.0,2252.0,148.0,170.0,87.1,122.0,156.0,78.2,29.0,63.0,46.0,0,0.3,0.2,5.0,21.0,3.0,1.0,27.0,Match Report,2020-09-12,21:00 (12:00),Ligue 1,Matchweek 3,Sat,Home,W,2.0,0.0,Strasbourg,412.0,346.0,63.0,16.0,0.0,1.0,23,35.0,6.0,1.0,5.0,0.0,304.0,3.0,9.0,Match Report,2020-09-12,21:00 (12:00),Ligue 1,Matchweek 3,Sat,Home,W,2.0,0.0,Strasbourg,16.0,8.0,4.0,1.0,0.0,2.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,Match Report,2020-09-12,21:00 (12:00),Ligue 1,Matchweek 3,Sat,Home,W,2.0,0.0,Strasbourg,18.0,10,7.0,8.0,3.0,6.0,15.0,40.0,9.0,11.0,4.0,7.0,12,30,21.0,0.0,Match Report,2020-09-12,21:00 (12:00),Ligue 1,Matchweek 3,Sat,Home,W,2.0,0.0,Strasbourg,49.0,537.0,55.0,175.0,247.0,119.0,15.0,536.0,10.0,5.0,50.0,5.0,50.0,327.0,1648.0,899.0,18.0,8.0,6.0,22.0,8.0,303.0,27.0,Match Report,2020-09-12,21:00 (12:00),Ligue 1,Matchweek 3,Sat,Home,W,2.0,0.0,Strasbourg,1,0,0,13,17,3,23,12,10,0.0,0.0,0,55.0,21.0,22.0,48.8,Match Report
2020-09-17,21:00 (12:00),Ligue 1,Matchweek 1,Thu,Away,W,2.0,0.0,Marseille,2,12,5,41.7,0.17,0.4,15.5,1.0,0,0,1.3,1.3,0.11,0.7,0.7,Match Report,2020-09-17,21:00 (12:00),Ligue 1,Matchweek 1,Thu,Away,W,2.0,0.0,Marseille,2,0,2,100.0,1,0.2,0.2,0,0,0,0,6.0,16.0,37.5,30.0,5.0,33.3,35.1,11.0,54.5,45.1,15.0,4.0,26.7,0.0,7.1,Match Report,2020-09-17,21:00 (12:00),Ligue 1,Matchweek 1,Thu,Away,W,2.0,0.0,Marseille,296.0,396.0,74.7,5490.0,2507.0,131.0,154.0,85.1,112.0,130.0,86.2,43.0,87.0,49.4,2,0.8,0.5,9.0,16.0,4.0,2.0,19.0,Match Report,2020-09-17,21:00 (12:00),Ligue 1,Matchweek 1,Thu,Away,W,2.0,0.0,Marseille,396.0,335.0,57.0,14.0,0.0,0.0,18,25.0,6.0,4.0,2.0,0.0,296.0,4.0,2.0,Match Report,2020-09-17,21:00 (12:00),Ligue 1,Matchweek 1,Thu,Away,W,2.0,0.0,Marseille,22.0,15.0,3.0,1.0,1.0,2.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,Match Report,2020-09-17,21:00 (12:00),Ligue 1,Matchweek 1,Thu,Away,W,2.0,0.0,Marseille,20.0,13,11.0,9.0,0.0,8.0,17.0,47.1,9.0,11.0,3.0,8.0,15,35,21.0,1.0,Match Report,2020-09-17,21:00 (12:00),Ligue 1,Matchweek 1,Thu,Away,W,2.0,0.0,Marseille,41.0,540.0,84.0,244.0,207.0,93.0,19.0,540.0,14.0,5.0,35.7,9.0,64.3,238.0,1352.0,696.0,16.0,8.0,4.0,23.0,7.0,294.0,19.0,Match Report,2020-09-17,21:00 (12:00),Ligue 1,Matchweek 1,Thu,Away,W,2.0,0.0,Marseille,2,0,0,15,12,4,18,15,13,0.0,0.0,0,60.0,15.0,10.0,60.0,Match Report
2020-09-20,17:00 (08:00),Ligue 1,Matchweek 4,Sun,Away,D,2.0,2.0,Nantes,2,6,3,50.0,0.33,0.67,20.7,0.0,0,0,1.0,1.0,0.17,1.0,1.0,Match Report,2020-09-20,17:00 (08:00),Ligue 1,Matchweek 4,Sun,Away,D,2.0,2.0,Nantes,3,2,1,33.3,0,1.0,-1.0,0,0,0,0,3.0,20.0,15.0,33.0,8.0,24.2,31.6,14.0,85.7,56.1,30.0,0.0,0.0,0.0,15.0,Match Report,2020-09-20,17:00 (08:00),Ligue 1,Matchweek 4,Sun,Away,D,2.0,2.0,Nantes,271.0,380.0,71.3,4655.0,1829.0,116.0,145.0,80.0,116.0,139.0,83.5,25.0,73.0,34.2,2,1.0,0.7,4.0,10.0,3.0,0.0,17.0,Match Report,2020-09-20,17:00 (08:00),Ligue 1,Matchweek 4,Sun,Away,D,2.0,2.0,Nantes,380.0,321.0,59.0,15.0,0.0,4.0,8,25.0,2.0,1.0,1.0,0.0,271.0,0.0,6.0,Match Report,2020-09-20,17:00 (08:00),Ligue 1,Matchweek 4,Sun,Away,D,2.0,2.0,Nantes,12.0,9.0,0.0,2.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,Match Report,2020-09-20,17:00 (08:00),Ligue 1,Matchweek 4,Sun,Away,D,2.0,2.0,Nantes,22.0,15,15.0,7.0,0.0,7.0,18.0,38.9,11.0,7.0,2.0,5.0,9,31,25.0,0.0,Match Report,2020-09-20,17:00 (08:00),Ligue 1,Matchweek 4,Sun,Away,D,2.0,2.0,Nantes,43.0,494.0,83.0,238.0,208.0,56.0,7.0,494.0,17.0,11.0,64.7,6.0,35.3,230.0,1212.0,624.0,10.0,7.0,3.0,20.0,4.0,268.0,17.0,Match Report,2020-09-20,17:00 (08:00),Ligue 1,Matchweek 4,Sun,Away,D,2.0,2.0,Nantes,2,0,0,17,10,0,8,9,15,0.0,0.0,0,43.0,13.0,23.0,36.1,Match Report
2020-09-26,17:00 (08:00),Ligue 1,Matchweek 5,Sat,Home,L,0.0,3.0,Rennes,0,6,4,66.7,0.0,0.0,18.0,0.0,0,0,0.3,0.3,0.05,-0.3,-0.3,Match Report,2020-09-26,17:00 (08:00),Ligue 1,Matchweek 5,Sat,Home,L,0.0,3.0,Rennes,6,3,3,50.0,0,1.5,-1.5,0,0,0,0,3.0,5.0,60.0,38.0,9.0,10.5,25.0,3.0,33.3,44.7,13.0,0.0,0.0,1.0,17.5,Match Report,2020-09-26,17:00 (08:00),Ligue 1,Matchweek 5,Sat,Home,L,0.0,3.0,Rennes,388.0,497.0,78.1,7240.0,2667.0,155.0,176.0,88.1,176.0,204.0,86.3,50.0,84.0,59.5,0,0.2,0.7,4.0,29.0,6.0,1.0,44.0,Match Report,2020-09-26,17:00 (08:00),Ligue 1,Matchweek 5,Sat,Home,L,0.0,3.0,Rennes,497.0,442.0,50.0,11.0,6.0,4.0,25,26.0,6.0,2.0,2.0,0.0,388.0,5.0,13.0,Match Report,2020-09-26,17:00 (08:00),Ligue 1,Matchweek 5,Sat,Home,L,0.0,3.0,Rennes,12.0,7.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2020-09-26,17:00 (08:00),Ligue 1,Matchweek 5,Sat,Home,L,0.0,3.0,Rennes,22.0,13,15.0,5.0,2.0,12.0,25.0,48.0,13.0,5.0,3.0,2.0,8,30,11.0,1.0,Match Report,2020-09-26,17:00 (08:00),Ligue 1,Matchweek 5,Sat,Home,L,0.0,3.0,Rennes,49.0,587.0,70.0,234.0,261.0,97.0,16.0,587.0,23.0,12.0,52.2,11.0,47.8,405.0,2332.0,1259.0,22.0,11.0,3.0,9.0,11.0,384.0,44.0,Match Report,2020-09-26,17:00 (08:00),Ligue 1,Matchweek 5,Sat,Home,L,0.0,3.0,Rennes,1,0,0,11,12,5,25,8,13,0.0,0.0,0,60.0,13.0,11.0,54.2,Match Report
2020-10-03,17:00 (08:00),Ligue 1,Matchweek 6,Sat,Away,L,0.0,2.0,Lens,0,2,1,50.0,0.0,0.0,16.0,0.0,0,0,0.1,0.1,0.06,-0.1,-0.1,Match Report,2020-10-03,17:00 (08:00),Ligue 1,Matchweek 6,Sat,Away,L,0.0,2.0,Lens,5,2,3,80.0,0,1.3,-0.7,1,1,0,0,6.0,26.0,23.1,33.0,2.0,51.5,43.8,11.0,81.8,59.6,19.0,0.0,0.0,2.0,17.5,Match Report,2020-10-03,17:00 (08:00),Ligue 1,Matchweek 6,Sat,Away,L,0.0,2.0,Lens,220.0,307.0,71.7,4107.0,1677.0,100.0,120.0,83.3,88.0,111.0,79.3,27.0,63.0,42.9,0,0.1,0.0,2.0,11.0,1.0,0.0,17.0,Match Report,2020-10-03,17:00 (08:00),Ligue 1,Matchweek 6,Sat,Away,L,0.0,2.0,Lens,307.0,243.0,64.0,25.0,0.0,4.0,5,25.0,0.0,0.0,0.0,0.0,220.0,0.0,6.0,Match Report,2020-10-03,17:00 (08:00),Ligue 1,Matchweek 6,Sat,Away,L,0.0,2.0,Lens,4.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2020-10-03,17:00 (08:00),Ligue 1,Matchweek 6,Sat,Away,L,0.0,2.0,Lens,13.0,7,8.0,4.0,1.0,7.0,13.0,53.8,6.0,13.0,2.0,11.0,8,21,23.0,0.0,Match Report,2020-10-03,17:00 (08:00),Ligue 1,Matchweek 6,Sat,Away,L,0.0,2.0,Lens,34.0,420.0,79.0,224.0,161.0,41.0,4.0,420.0,29.0,20.0,69.0,9.0,31.0,160.0,1012.0,404.0,7.0,9.0,1.0,17.0,16.0,219.0,17.0,Match Report,2020-10-03,17:00 (08:00),Ligue 1,Matchweek 6,Sat,Away,L,0.0,2.0,Lens,1,2,0,10,21,0,5,8,7,0.0,1.0,0,37.0,14.0,26.0,35.0,Match Report
2020-10-18,17:00 (08:00),Ligue 1,Matchweek 7,Sun,Home,L,1.0,3.0,Nice,1,11,4,36.4,0.09,0.25,19.4,1.0,0,0,0.8,0.8,0.07,0.2,0.2,Match Report,2020-10-18,17:00 (08:00),Ligue 1,Matchweek 7,Sun,Home,L,1.0,3.0,Nice,5,3,2,40.0,0,2.3,-0.7,0,0,0,0,1.0,2.0,50.0,14.0,4.0,0.0,28.0,6.0,33.3,39.5,8.0,0.0,0.0,0.0,9.2,Match Report,2020-10-18,17:00 (08:00),Ligue 1,Matchweek 7,Sun,Home,L,1.0,3.0,Nice,381.0,480.0,79.4,7078.0,2493.0,167.0,180.0,92.8,152.0,190.0,80.0,52.0,85.0,61.2,1,0.6,0.5,8.0,30.0,2.0,0.0,35.0,Match Report,2020-10-18,17:00 (08:00),Ligue 1,Matchweek 7,Sun,Home,L,1.0,3.0,Nice,480.0,432.0,46.0,10.0,0.0,7.0,27,19.0,7.0,2.0,4.0,0.0,381.0,2.0,5.0,Match Report,2020-10-18,17:00 (08:00),Ligue 1,Matchweek 7,Sun,Home,L,1.0,3.0,Nice,19.0,9.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Match Report,2020-10-18,17:00 (08:00),Ligue 1,Matchweek 7,Sun,Home,L,1.0,3.0,Nice,18.0,10,6.0,7.0,5.0,7.0,22.0,31.8,15.0,14.0,1.0,13.0,12,30,8.0,2.0,Match Report,2020-10-18,17:00 (08:00),Ligue 1,Matchweek 7,Sun,Home,L,1.0,3.0,Nice,46.0,585.0,38.0,151.0,302.0,139.0,20.0,585.0,24.0,14.0,58.3,10.0,41.7,331.0,1964.0,911.0,20.0,17.0,5.0,14.0,17.0,378.0,35.0,Match Report,2020-10-18,17:00 (08:00),Ligue 1,Matchweek 7,Sun,Home,L,1.0,3.0,Nice,2,0,0,15,10,2,27,12,10,0.0,0.0,0,57.0,10.0,5.0,66.7,Match Report
2020-10-25,15:00 (07:00),Ligue 1,Matchweek 8,Sun,Away,L,0.0,2.0,Metz,0,10,0,0.0,0.0,,22.3,1.0,0,0,0.5,0.5,0.05,-0.5,-0.5,Match Report,2020-10-25,15:00 (07:00),Ligue 1,Matchweek 8,Sun,Away,L,0.0,2.0,Metz,3,2,2,33.3,0,0.4,-0.6,0,0,0,0,5.0,5.0,100.0,25.0,8.0,16.0,26.1,6.0,16.7,24.7,11.0,1.0,9.1,2.0,19.4,Match Report,2020-10-25,15:00 (07:00),Ligue 1,Matchweek 8,Sun,Away,L,0.0,2.0,Metz,388.0,503.0,77.1,7324.0,2822.0,154.0,191.0,80.6,170.0,201.0,84.6,57.0,84.0,67.9,0,0.4,0.5,9.0,21.0,3.0,0.0,39.0,Match Report,2020-10-25,15:00 (07:00),Ligue 1,Matchweek 8,Sun,Away,L,0.0,2.0,Metz,503.0,443.0,59.0,11.0,1.0,6.0,19,36.0,3.0,1.0,2.0,0.0,388.0,1.0,15.0,Match Report,2020-10-25,15:00 (07:00),Ligue 1,Matchweek 8,Sun,Away,L,0.0,2.0,Metz,18.0,11.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2020-10-25,15:00 (07:00),Ligue 1,Matchweek 8,Sun,Away,L,0.0,2.0,Metz,21.0,15,14.0,5.0,2.0,9.0,22.0,40.9,13.0,9.0,0.0,9.0,15,36,21.0,0.0,Match Report,2020-10-25,15:00 (07:00),Ligue 1,Matchweek 8,Sun,Away,L,0.0,2.0,Metz,57.0,639.0,52.0,228.0,296.0,118.0,18.0,639.0,27.0,15.0,55.6,12.0,44.4,348.0,2050.0,972.0,22.0,12.0,4.0,26.0,10.0,385.0,38.0,Match Report,2020-10-25,15:00 (07:00),Ligue 1,Matchweek 8,Sun,Away,L,0.0,2.0,Metz,3,0,0,18,10,1,19,15,15,0.0,0.0,1,62.0,25.0,20.0,55.6,Match Report
2020-11-01,13:00 (04:00),Ligue 1,Matchweek 9,Sun,Home,L,0.0,1.0,Montpellier,0,8,0,0.0,0.0,,18.5,0.0,0,0,0.7,0.7,0.09,-0.7,-0.7,Match Report,2020-11-01,13:00 (04:00),Ligue 1,Matchweek 9,Sun,Home,L,0.0,1.0,Montpellier,2,1,1,50.0,0,0.3,-0.7,0,0,0,0,1.0,3.0,33.3,23.0,9.0,13.0,28.2,6.0,0.0,26.7,12.0,1.0,8.3,0.0,11.3,Match Report,2020-11-01,13:00 (04:00),Ligue 1,Matchweek 9,Sun,Home,L,0.0,1.0,Montpellier,423.0,525.0,80.6,8021.0,2974.0,159.0,182.0,87.4,214.0,253.0,84.6,46.0,79.0,58.2,0,0.7,0.4,7.0,36.0,4.0,1.0,48.0,Match Report,2020-11-01,13:00 (04:00),Ligue 1,Matchweek 9,Sun,Home,L,0.0,1.0,Montpellier,525.0,468.0,57.0,19.0,0.0,6.0,27,22.0,8.0,3.0,4.0,0.0,423.0,0.0,6.0,Match Report,2020-11-01,13:00 (04:00),Ligue 1,Matchweek 9,Sun,Home,L,0.0,1.0,Montpellier,16.0,11.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2020-11-01,13:00 (04:00),Ligue 1,Matchweek 9,Sun,Home,L,0.0,1.0,Montpellier,17.0,10,7.0,8.0,2.0,9.0,20.0,45.0,11.0,12.0,2.0,10.0,13,30,12.0,0.0,Match Report,2020-11-01,13:00 (04:00),Ligue 1,Matchweek 9,Sun,Home,L,0.0,1.0,Montpellier,54.0,635.0,54.0,192.0,344.0,107.0,15.0,635.0,31.0,21.0,67.7,10.0,32.3,398.0,2380.0,1317.0,17.0,8.0,4.0,17.0,1.0,422.0,48.0,Match Report,2020-11-01,13:00 (04:00),Ligue 1,Matchweek 9,Sun,Home,L,0.0,1.0,Montpellier,3,0,0,16,17,0,27,13,10,0.0,0.0,0,48.0,12.0,25.0,32.4,Match Report
2020-11-08,21:00 (12:00),Ligue 1,Matchweek 10,Sun,Away,L,1.0,2.0,Lyon,0,14,4,28.6,0.0,0.0,19.3,1.0,0,1,1.9,1.1,0.08,-1.9,-1.1,Match Report,2020-11-08,21:00 (12:00),Ligue 1,Matchweek 10,Sun,Away,L,1.0,2.0,Lyon,6,2,4,66.7,0,2.4,0.4,0,0,0,0,2.0,13.0,15.4,23.0,5.0,30.4,38.4,10.0,60.0,46.0,7.0,0.0,0.0,1.0,13.0,Match Report,2020-11-08,21:00 (12:00),Ligue 1,Matchweek 10,Sun,Away,L,1.0,2.0,Lyon,221.0,333.0,66.4,4172.0,1811.0,98.0,123.0,79.7,90.0,118.0,76.3,28.0,76.0,36.8,0,1.0,0.7,12.0,17.0,9.0,4.0,19.0,Match Report,2020-11-08,21:00 (12:00),Ligue 1,Matchweek 10,Sun,Away,L,1.0,2.0,Lyon,333.0,272.0,61.0,19.0,0.0,5.0,17,24.0,5.0,3.0,1.0,1.0,221.0,0.0,8.0,Match Report,2020-11-08,21:00 (12:00),Ligue 1,Matchweek 10,Sun,Away,L,1.0,2.0,Lyon,27.0,18.0,6.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2020-11-08,21:00 (12:00),Ligue 1,Matchweek 10,Sun,Away,L,1.0,2.0,Lyon,31.0,14,19.0,10.0,2.0,14.0,25.0,56.0,11.0,10.0,3.0,7.0,18,49,8.0,2.0,Match Report,2020-11-08,21:00 (12:00),Ligue 1,Matchweek 10,Sun,Away,L,1.0,2.0,Lyon,40.0,459.0,52.0,178.0,183.0,104.0,21.0,458.0,22.0,13.0,59.1,9.0,40.9,261.0,1498.0,771.0,11.0,8.0,4.0,19.0,11.0,218.0,18.0,Match Report,2020-11-08,21:00 (12:00),Ligue 1,Matchweek 10,Sun,Away,L,1.0,2.0,Lyon,3,0,0,19,16,0,17,18,14,0.0,0.0,0,58.0,9.0,24.0,27.3,Match Report
