For Düsseldorf_Date,For Düsseldorf_Time,For Düsseldorf_Comp,For Düsseldorf_Round,For Düsseldorf_Day,For Düsseldorf_Venue,For Düsseldorf_Result,For Düsseldorf_GF,For Düsseldorf_GA,For Düsseldorf_Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,For Düsseldorf_Date,For Düsseldorf_Time,For Düsseldorf_Comp,For Düsseldorf_Round,For Düsseldorf_Day,For Düsseldorf_Venue,For Düsseldorf_Result,For Düsseldorf_GF,For Düsseldorf_GA,For Düsseldorf_Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,For Düsseldorf_Date,For Düsseldorf_Time,For Düsseldorf_Comp,For Düsseldorf_Round,For Düsseldorf_Day,For Düsseldorf_Venue,For Düsseldorf_Result,For Düsseldorf_GF,For Düsseldorf_GA,For Düsseldorf_Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,For Düsseldorf_Date,For Düsseldorf_Time,For Düsseldorf_Comp,For Düsseldorf_Round,For Düsseldorf_Day,For Düsseldorf_Venue,For Düsseldorf_Result,For Düsseldorf_GF,For Düsseldorf_GA,For Düsseldorf_Opponent,For Düsseldorf_Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,For Düsseldorf_Date,For Düsseldorf_Time,For Düsseldorf_Comp,For Düsseldorf_Round,For Düsseldorf_Day,For Düsseldorf_Venue,For Düsseldorf_Result,For Düsseldorf_GF,For Düsseldorf_GA,For Düsseldorf_Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,For Düsseldorf_Date,For Düsseldorf_Time,For Düsseldorf_Comp,For Düsseldorf_Round,For Düsseldorf_Day,For Düsseldorf_Venue,For Düsseldorf_Result,For Düsseldorf_GF,For Düsseldorf_GA,For Düsseldorf_Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,For Düsseldorf_Date,For Düsseldorf_Time,For Düsseldorf_Comp,For Düsseldorf_Round,For Düsseldorf_Day,For Düsseldorf_Venue,For Düsseldorf_Result,For Düsseldorf_GF,For Düsseldorf_GA,For Düsseldorf_Opponent,For Düsseldorf_Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,For Düsseldorf_Date,For Düsseldorf_Time,For Düsseldorf_Comp,For Düsseldorf_Round,For Düsseldorf_Day,For Düsseldorf_Venue,For Düsseldorf_Result,For Düsseldorf_GF,For Düsseldorf_GA,For Düsseldorf_Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2019-10-30,20:45 (12:45),DFB-Pokal,Second round,Wed,Home,W,2,1,Erzgebirge Aue,2,18,6,33.3,0.06,0.17,,,1,1,,,,,,Match Report,2019-10-30,20:45 (12:45),DFB-Pokal,Second round,Wed,Home,W,2,1,Erzgebirge Aue,3,1,2,66.7,0,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2019-10-30,20:45 (12:45),DFB-Pokal,Second round,Wed,Home,W,2,1,Erzgebirge Aue,,,,,,,,,,,,,,,0,,,,,,,,Match Report,2019-10-30,20:45 (12:45),DFB-Pokal,Second round,Wed,Home,W,2,1,Erzgebirge Aue,,,,,,,28,,,,,,,,,Match Report,2019-10-30,20:45 (12:45),DFB-Pokal,Second round,Wed,Home,W,2,1,Erzgebirge Aue,,,,,,,,,,,,,,,Match Report,2019-10-30,20:45 (12:45),DFB-Pokal,Second round,Wed,Home,W,2,1,Erzgebirge Aue,,6,,,,,,,,,,,6,0,,,Match Report,2019-10-30,20:45 (12:45),DFB-Pokal,Second round,Wed,Home,W,2,1,Erzgebirge Aue,60.0,,,,,,,,,,,,,,,,,,,,,,,Match Report,2019-10-30,20:45 (12:45),DFB-Pokal,Second round,Wed,Home,W,2,1,Erzgebirge Aue,2,0,0,12,16,7,28,6,6,,,0,,,,,Match Report
2019-11-03,15:30 (06:30),Bundesliga,Matchweek 10,Sun,Home,W,2,0,Köln,2,8,2,25.0,0.13,0.5,19.8,0.0,1,1,2.0,1.2,0.15,0.0,-0.2,Match Report,2019-11-03,15:30 (06:30),Bundesliga,Matchweek 10,Sun,Home,W,2,0,Köln,1,0,1,100.0,1,0.5,0.5,0,0,0,0,8.0,21.0,38.1,30.0,3.0,53.3,42.1,6.0,83.3,58.2,17.0,1.0,5.9,0.0,6.5,Match Report,2019-11-03,15:30 (06:30),Bundesliga,Matchweek 10,Sun,Home,W,2,0,Köln,222.0,344.0,64.5,4421.0,2040.0,93.0,121.0,76.9,90.0,123.0,73.2,36.0,86.0,41.9,1,1.2,0.4,7.0,25.0,1.0,1.0,26.0,Match Report,2019-11-03,15:30 (06:30),Bundesliga,Matchweek 10,Sun,Home,W,2,0,Köln,344.0,293.0,51.0,21.0,1.0,2.0,20,20.0,3.0,0.0,3.0,0.0,222.0,0.0,8.0,Match Report,2019-11-03,15:30 (06:30),Bundesliga,Matchweek 10,Sun,Home,W,2,0,Köln,16.0,8.0,1.0,3.0,0.0,3.0,1.0,4.0,2.0,0.0,1.0,0.0,1.0,0.0,Match Report,2019-11-03,15:30 (06:30),Bundesliga,Matchweek 10,Sun,Home,W,2,0,Köln,21.0,11,8.0,11.0,2.0,9.0,18.0,50.0,9.0,8.0,3.0,5.0,16,37,25.0,0.0,Match Report,2019-11-03,15:30 (06:30),Bundesliga,Matchweek 10,Sun,Home,W,2,0,Köln,40.0,450.0,58.0,166.0,209.0,84.0,11.0,449.0,12.0,8.0,66.7,4.0,33.3,217.0,1383.0,728.0,14.0,5.0,3.0,8.0,7.0,219.0,25.0,Match Report,2019-11-03,15:30 (06:30),Bundesliga,Matchweek 10,Sun,Home,W,2,0,Köln,1,0,0,11,20,0,20,16,11,1.0,0.0,0,53.0,22.0,29.0,43.1,Match Report
2019-11-09,15:30 (06:30),Bundesliga,Matchweek 11,Sat,Away,D,3,3,Schalke 04,3,8,4,50.0,0.25,0.5,16.3,0.0,1,1,2.1,1.3,0.16,0.9,0.7,Match Report,2019-11-09,15:30 (06:30),Bundesliga,Matchweek 11,Sat,Away,D,3,3,Schalke 04,4,3,1,25.0,0,0.7,-2.3,0,0,0,0,4.0,17.0,23.5,18.0,2.0,38.9,37.6,15.0,66.7,52.9,7.0,0.0,0.0,0.0,,Match Report,2019-11-09,15:30 (06:30),Bundesliga,Matchweek 11,Sat,Away,D,3,3,Schalke 04,240.0,358.0,67.0,4492.0,1929.0,108.0,135.0,80.0,94.0,134.0,70.1,35.0,77.0,45.5,2,1.3,1.1,8.0,23.0,7.0,4.0,34.0,Match Report,2019-11-09,15:30 (06:30),Bundesliga,Matchweek 11,Sat,Away,D,3,3,Schalke 04,358.0,304.0,54.0,11.0,1.0,5.0,19,20.0,4.0,0.0,4.0,0.0,240.0,0.0,4.0,Match Report,2019-11-09,15:30 (06:30),Bundesliga,Matchweek 11,Sat,Away,D,3,3,Schalke 04,17.0,14.0,2.0,0.0,1.0,0.0,0.0,5.0,4.0,0.0,0.0,1.0,0.0,0.0,Match Report,2019-11-09,15:30 (06:30),Bundesliga,Matchweek 11,Sat,Away,D,3,3,Schalke 04,18.0,10,8.0,9.0,1.0,8.0,19.0,42.1,11.0,12.0,2.0,10.0,8,26,18.0,1.0,Match Report,2019-11-09,15:30 (06:30),Bundesliga,Matchweek 11,Sat,Away,D,3,3,Schalke 04,43.0,464.0,50.0,138.0,227.0,99.0,16.0,463.0,6.0,5.0,83.3,1.0,16.7,196.0,1171.0,510.0,9.0,10.0,2.0,16.0,5.0,237.0,32.0,Match Report,2019-11-09,15:30 (06:30),Bundesliga,Matchweek 11,Sat,Away,D,3,3,Schalke 04,4,0,0,17,9,0,19,8,10,0.0,0.0,0,32.0,17.0,29.0,37.0,Match Report
2019-11-23,15:30 (06:30),Bundesliga,Matchweek 12,Sat,Home,L,0,4,Bayern Munich,0,13,1,7.7,0.0,0.0,20.5,0.0,0,0,0.7,0.7,0.05,-0.7,-0.7,Match Report,2019-11-23,15:30 (06:30),Bundesliga,Matchweek 12,Sat,Home,L,0,4,Bayern Munich,5,4,1,20.0,0,3.3,-0.7,0,0,0,0,8.0,18.0,44.4,23.0,7.0,39.1,37.7,12.0,75.0,54.6,17.0,1.0,5.9,1.0,10.3,Match Report,2019-11-23,15:30 (06:30),Bundesliga,Matchweek 12,Sat,Home,L,0,4,Bayern Munich,209.0,316.0,66.1,4317.0,2304.0,80.0,96.0,83.3,84.0,114.0,73.7,41.0,76.0,53.9,0,0.6,0.7,10.0,21.0,4.0,1.0,24.0,Match Report,2019-11-23,15:30 (06:30),Bundesliga,Matchweek 12,Sat,Home,L,0,4,Bayern Munich,316.0,260.0,53.0,12.0,0.0,2.0,22,16.0,8.0,0.0,8.0,0.0,209.0,3.0,8.0,Match Report,2019-11-23,15:30 (06:30),Bundesliga,Matchweek 12,Sat,Home,L,0,4,Bayern Munich,23.0,19.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2019-11-23,15:30 (06:30),Bundesliga,Matchweek 12,Sat,Home,L,0,4,Bayern Munich,18.0,11,11.0,6.0,1.0,10.0,23.0,43.5,13.0,11.0,4.0,7.0,10,28,17.0,1.0,Match Report,2019-11-23,15:30 (06:30),Bundesliga,Matchweek 12,Sat,Home,L,0,4,Bayern Munich,30.0,418.0,68.0,188.0,143.0,93.0,14.0,418.0,13.0,9.0,69.2,4.0,30.8,203.0,1159.0,638.0,15.0,12.0,3.0,12.0,14.0,208.0,24.0,Match Report,2019-11-23,15:30 (06:30),Bundesliga,Matchweek 12,Sat,Home,L,0,4,Bayern Munich,1,0,0,8,6,3,22,10,11,0.0,0.0,0,56.0,8.0,8.0,50.0,Match Report
2019-11-30,15:30 (06:30),Bundesliga,Matchweek 13,Sat,Away,D,1,1,Hoffenheim,1,11,3,27.3,0.09,0.33,15.0,2.0,0,0,0.9,0.9,0.08,0.1,0.1,Match Report,2019-11-30,15:30 (06:30),Bundesliga,Matchweek 13,Sat,Away,D,1,1,Hoffenheim,6,1,5,83.3,0,1.0,0.0,0,0,0,0,2.0,4.0,50.0,19.0,8.0,15.8,24.1,6.0,16.7,31.2,11.0,0.0,0.0,3.0,29.7,Match Report,2019-11-30,15:30 (06:30),Bundesliga,Matchweek 13,Sat,Away,D,1,1,Hoffenheim,419.0,523.0,80.1,8487.0,3127.0,145.0,173.0,83.8,206.0,241.0,85.5,65.0,91.0,71.4,1,0.7,0.5,7.0,35.0,8.0,5.0,53.0,Match Report,2019-11-30,15:30 (06:30),Bundesliga,Matchweek 13,Sat,Away,D,1,1,Hoffenheim,523.0,476.0,44.0,12.0,1.0,9.0,36,19.0,5.0,1.0,4.0,0.0,419.0,3.0,9.0,Match Report,2019-11-30,15:30 (06:30),Bundesliga,Matchweek 13,Sat,Away,D,1,1,Hoffenheim,22.0,15.0,2.0,1.0,1.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Match Report,2019-11-30,15:30 (06:30),Bundesliga,Matchweek 13,Sat,Away,D,1,1,Hoffenheim,16.0,9,6.0,7.0,3.0,6.0,14.0,42.9,8.0,9.0,0.0,9.0,12,28,10.0,0.0,Match Report,2019-11-30,15:30 (06:30),Bundesliga,Matchweek 13,Sat,Away,D,1,1,Hoffenheim,49.0,647.0,43.0,158.0,338.0,161.0,24.0,647.0,30.0,15.0,50.0,15.0,50.0,404.0,2382.0,1282.0,22.0,19.0,4.0,19.0,4.0,415.0,52.0,Match Report,2019-11-30,15:30 (06:30),Bundesliga,Matchweek 13,Sat,Away,D,1,1,Hoffenheim,4,0,0,16,11,3,36,12,9,0.0,0.0,0,59.0,12.0,19.0,38.7,Match Report
2019-12-07,15:30 (06:30),Bundesliga,Matchweek 14,Sat,Away,L,0,5,Dortmund,0,2,0,0.0,0.0,,15.3,0.0,0,0,0.1,0.1,0.07,-0.1,-0.1,Match Report,2019-12-07,15:30 (06:30),Bundesliga,Matchweek 14,Sat,Away,L,0,5,Dortmund,10,5,5,50.0,0,5.8,0.8,0,0,0,0,9.0,17.0,52.9,28.0,6.0,42.9,35.8,13.0,38.5,39.7,11.0,0.0,0.0,0.0,,Match Report,2019-12-07,15:30 (06:30),Bundesliga,Matchweek 14,Sat,Away,L,0,5,Dortmund,265.0,354.0,74.9,4926.0,1961.0,115.0,136.0,84.6,106.0,130.0,81.5,38.0,65.0,58.5,0,0.1,0.2,2.0,15.0,4.0,0.0,21.0,Match Report,2019-12-07,15:30 (06:30),Bundesliga,Matchweek 14,Sat,Away,L,0,5,Dortmund,354.0,309.0,43.0,10.0,0.0,7.0,4,14.0,0.0,0.0,0.0,0.0,265.0,2.0,6.0,Match Report,2019-12-07,15:30 (06:30),Bundesliga,Matchweek 14,Sat,Away,L,0,5,Dortmund,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2019-12-07,15:30 (06:30),Bundesliga,Matchweek 14,Sat,Away,L,0,5,Dortmund,19.0,8,13.0,4.0,2.0,7.0,24.0,29.2,17.0,6.0,3.0,3.0,12,31,19.0,0.0,Match Report,2019-12-07,15:30 (06:30),Bundesliga,Matchweek 14,Sat,Away,L,0,5,Dortmund,27.0,440.0,81.0,235.0,160.0,47.0,7.0,440.0,8.0,6.0,75.0,2.0,25.0,242.0,1144.0,594.0,11.0,4.0,4.0,13.0,11.0,264.0,21.0,Match Report,2019-12-07,15:30 (06:30),Bundesliga,Matchweek 14,Sat,Away,L,0,5,Dortmund,3,0,0,10,8,2,4,12,8,0.0,0.0,0,50.0,3.0,9.0,25.0,Match Report
2019-12-14,18:30 (09:30),Bundesliga,Matchweek 15,Sat,Home,L,0,3,RB Leipzig,0,4,1,25.0,0.0,0.0,22.3,0.0,0,0,0.2,0.2,0.04,-0.2,-0.2,Match Report,2019-12-14,18:30 (09:30),Bundesliga,Matchweek 15,Sat,Home,L,0,3,RB Leipzig,7,3,4,71.4,0,1.8,-1.2,1,1,0,0,7.0,15.0,46.7,28.0,8.0,25.0,33.5,13.0,61.5,44.5,19.0,2.0,10.5,1.0,11.0,Match Report,2019-12-14,18:30 (09:30),Bundesliga,Matchweek 15,Sat,Home,L,0,3,RB Leipzig,247.0,332.0,74.4,5158.0,2137.0,84.0,95.0,88.4,118.0,144.0,81.9,44.0,84.0,52.4,0,0.1,0.2,3.0,15.0,1.0,1.0,24.0,Match Report,2019-12-14,18:30 (09:30),Bundesliga,Matchweek 15,Sat,Home,L,0,3,RB Leipzig,332.0,287.0,45.0,10.0,2.0,5.0,11,15.0,3.0,1.0,2.0,0.0,247.0,0.0,7.0,Match Report,2019-12-14,18:30 (09:30),Bundesliga,Matchweek 15,Sat,Home,L,0,3,RB Leipzig,6.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2019-12-14,18:30 (09:30),Bundesliga,Matchweek 15,Sat,Home,L,0,3,RB Leipzig,21.0,15,15.0,4.0,2.0,8.0,13.0,61.5,5.0,7.0,5.0,2.0,6,27,16.0,1.0,Match Report,2019-12-14,18:30 (09:30),Bundesliga,Matchweek 15,Sat,Home,L,0,3,RB Leipzig,31.0,423.0,76.0,202.0,155.0,69.0,7.0,423.0,16.0,6.0,37.5,10.0,62.5,237.0,1357.0,656.0,6.0,8.0,2.0,11.0,3.0,245.0,24.0,Match Report,2019-12-14,18:30 (09:30),Bundesliga,Matchweek 15,Sat,Home,L,0,3,RB Leipzig,2,0,0,12,10,0,11,6,15,0.0,1.0,0,34.0,7.0,16.0,30.4,Match Report
2019-12-17,20:30 (11:30),Bundesliga,Matchweek 16,Tue,Away,L,0,3,Augsburg,0,6,2,33.3,0.0,0.0,19.8,1.0,0,0,0.6,0.6,0.1,-0.6,-0.6,Match Report,2019-12-17,20:30 (11:30),Bundesliga,Matchweek 16,Tue,Away,L,0,3,Augsburg,7,3,4,57.1,0,1.0,-2.0,0,0,0,0,10.0,23.0,43.5,46.0,9.0,43.5,37.9,5.0,60.0,48.0,15.0,1.0,6.7,2.0,11.7,Match Report,2019-12-17,20:30 (11:30),Bundesliga,Matchweek 16,Tue,Away,L,0,3,Augsburg,320.0,440.0,72.7,6987.0,2843.0,108.0,141.0,76.6,159.0,196.0,81.1,53.0,87.0,60.9,0,0.5,0.5,4.0,24.0,3.0,2.0,29.0,Match Report,2019-12-17,20:30 (11:30),Bundesliga,Matchweek 16,Tue,Away,L,0,3,Augsburg,440.0,392.0,47.0,14.0,1.0,5.0,11,22.0,2.0,1.0,1.0,0.0,320.0,1.0,10.0,Match Report,2019-12-17,20:30 (11:30),Bundesliga,Matchweek 16,Tue,Away,L,0,3,Augsburg,11.0,6.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2019-12-17,20:30 (11:30),Bundesliga,Matchweek 16,Tue,Away,L,0,3,Augsburg,10.0,7,6.0,4.0,0.0,6.0,10.0,60.0,4.0,7.0,1.0,6.0,15,25,25.0,1.0,Match Report,2019-12-17,20:30 (11:30),Bundesliga,Matchweek 16,Tue,Away,L,0,3,Augsburg,53.0,554.0,79.0,264.0,223.0,71.0,7.0,554.0,12.0,7.0,58.3,5.0,41.7,343.0,1424.0,646.0,8.0,8.0,3.0,17.0,7.0,316.0,28.0,Match Report,2019-12-17,20:30 (11:30),Bundesliga,Matchweek 16,Tue,Away,L,0,3,Augsburg,4,0,0,14,11,1,11,15,7,0.0,0.0,0,46.0,23.0,22.0,51.1,Match Report
2019-12-22,15:30 (06:30),Bundesliga,Matchweek 17,Sun,Home,W,2,1,Union Berlin,2,22,8,36.4,0.09,0.25,20.0,2.0,0,0,1.3,1.3,0.06,0.7,0.7,Match Report,2019-12-22,15:30 (06:30),Bundesliga,Matchweek 17,Sun,Home,W,2,1,Union Berlin,5,1,4,80.0,0,2.0,1.0,0,0,0,0,7.0,17.0,41.2,29.0,5.0,31.0,30.2,10.0,80.0,58.9,24.0,2.0,8.3,3.0,19.2,Match Report,2019-12-22,15:30 (06:30),Bundesliga,Matchweek 17,Sun,Home,W,2,1,Union Berlin,349.0,470.0,74.3,6821.0,2727.0,146.0,177.0,82.5,133.0,167.0,79.6,61.0,97.0,62.9,1,1.0,0.8,14.0,22.0,10.0,1.0,45.0,Match Report,2019-12-22,15:30 (06:30),Bundesliga,Matchweek 17,Sun,Home,W,2,1,Union Berlin,470.0,404.0,66.0,19.0,0.0,6.0,31,28.0,7.0,0.0,7.0,0.0,349.0,0.0,10.0,Match Report,2019-12-22,15:30 (06:30),Bundesliga,Matchweek 17,Sun,Home,W,2,1,Union Berlin,38.0,21.0,7.0,1.0,2.0,4.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,Match Report,2019-12-22,15:30 (06:30),Bundesliga,Matchweek 17,Sun,Home,W,2,1,Union Berlin,12.0,7,8.0,3.0,1.0,4.0,11.0,36.4,7.0,12.0,5.0,7.0,8,20,24.0,0.0,Match Report,2019-12-22,15:30 (06:30),Bundesliga,Matchweek 17,Sun,Home,W,2,1,Union Berlin,48.0,604.0,76.0,206.0,228.0,178.0,26.0,604.0,26.0,11.0,42.3,15.0,57.7,255.0,1738.0,884.0,20.0,19.0,7.0,15.0,6.0,345.0,45.0,Match Report,2019-12-22,15:30 (06:30),Bundesliga,Matchweek 17,Sun,Home,W,2,1,Union Berlin,2,0,0,12,18,0,31,8,7,0.0,0.0,0,57.0,29.0,27.0,51.8,Match Report
2020-01-18,15:30 (06:30),Bundesliga,Matchweek 18,Sat,Home,L,0,1,Werder Bremen,0,18,2,11.1,0.0,0.0,18.9,0.0,0,0,1.1,1.1,0.06,-1.1,-1.1,Match Report,2020-01-18,15:30 (06:30),Bundesliga,Matchweek 18,Sat,Home,L,0,1,Werder Bremen,4,1,4,75.0,0,0.5,0.5,0,0,0,0,2.0,8.0,25.0,23.0,3.0,17.4,27.8,8.0,50.0,42.3,16.0,0.0,0.0,2.0,15.8,Match Report,2020-01-18,15:30 (06:30),Bundesliga,Matchweek 18,Sat,Home,L,0,1,Werder Bremen,334.0,477.0,70.0,6233.0,2445.0,131.0,169.0,77.5,148.0,186.0,79.6,44.0,88.0,50.0,0,0.5,0.9,11.0,26.0,10.0,5.0,47.0,Match Report,2020-01-18,15:30 (06:30),Bundesliga,Matchweek 18,Sat,Home,L,0,1,Werder Bremen,477.0,418.0,57.0,12.0,0.0,9.0,31,29.0,6.0,1.0,5.0,0.0,334.0,2.0,14.0,Match Report,2020-01-18,15:30 (06:30),Bundesliga,Matchweek 18,Sat,Home,L,0,1,Werder Bremen,35.0,29.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2020-01-18,15:30 (06:30),Bundesliga,Matchweek 18,Sat,Home,L,0,1,Werder Bremen,14.0,7,7.0,6.0,1.0,7.0,18.0,38.9,11.0,13.0,3.0,10.0,20,34,21.0,0.0,Match Report,2020-01-18,15:30 (06:30),Bundesliga,Matchweek 18,Sat,Home,L,0,1,Werder Bremen,49.0,595.0,60.0,182.0,254.0,163.0,19.0,595.0,7.0,6.0,85.7,1.0,14.3,234.0,1229.0,685.0,15.0,9.0,3.0,15.0,14.0,328.0,46.0,Match Report,2020-01-18,15:30 (06:30),Bundesliga,Matchweek 18,Sat,Home,L,0,1,Werder Bremen,4,0,0,17,12,2,31,20,7,0.0,0.0,1,56.0,23.0,27.0,46.0,Match Report
2020-01-26,18:00 (09:00),Bundesliga,Matchweek 19,Sun,Away,L,0,3,Leverkusen,0,12,3,25.0,0.0,0.0,17.4,0.0,0,0,0.9,0.9,0.08,-0.9,-0.9,Match Report,2020-01-26,18:00 (09:00),Bundesliga,Matchweek 19,Sun,Away,L,0,3,Leverkusen,10,3,7,80.0,0,3.4,0.4,1,1,0,0,10.0,20.0,50.0,20.0,3.0,50.0,39.3,12.0,83.3,57.9,17.0,1.0,5.9,1.0,10.4,Match Report,2020-01-26,18:00 (09:00),Bundesliga,Matchweek 19,Sun,Away,L,0,3,Leverkusen,215.0,327.0,65.7,4509.0,2256.0,90.0,106.0,84.9,68.0,97.0,70.1,45.0,90.0,50.0,0,0.9,0.7,10.0,22.0,7.0,3.0,24.0,Match Report,2020-01-26,18:00 (09:00),Bundesliga,Matchweek 19,Sun,Away,L,0,3,Leverkusen,327.0,278.0,46.0,12.0,1.0,11.0,23,13.0,5.0,2.0,3.0,0.0,215.0,3.0,11.0,Match Report,2020-01-26,18:00 (09:00),Bundesliga,Matchweek 19,Sun,Away,L,0,3,Leverkusen,23.0,16.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2020-01-26,18:00 (09:00),Bundesliga,Matchweek 19,Sun,Away,L,0,3,Leverkusen,21.0,15,7.0,12.0,2.0,8.0,32.0,25.0,24.0,14.0,7.0,7.0,18,39,17.0,1.0,Match Report,2020-01-26,18:00 (09:00),Bundesliga,Matchweek 19,Sun,Away,L,0,3,Leverkusen,34.0,449.0,69.0,169.0,205.0,81.0,18.0,449.0,10.0,8.0,80.0,2.0,20.0,180.0,981.0,505.0,12.0,7.0,5.0,13.0,6.0,214.0,24.0,Match Report,2020-01-26,18:00 (09:00),Bundesliga,Matchweek 19,Sun,Away,L,0,3,Leverkusen,3,0,0,11,10,3,23,18,15,0.0,1.0,0,52.0,13.0,19.0,40.6,Match Report
2020-02-01,15:30 (06:30),Bundesliga,Matchweek 20,Sat,Home,D,1,1,Eint Frankfurt,1,8,1,12.5,0.13,1.0,22.0,1.0,0,0,0.4,0.4,0.04,0.6,0.6,Match Report,2020-02-01,15:30 (06:30),Bundesliga,Matchweek 20,Sat,Home,D,1,1,Eint Frankfurt,4,1,3,75.0,0,0.4,-0.6,0,0,0,0,7.0,13.0,53.8,30.0,2.0,33.3,33.0,3.0,100.0,55.0,9.0,0.0,0.0,1.0,16.0,Match Report,2020-02-01,15:30 (06:30),Bundesliga,Matchweek 20,Sat,Home,D,1,1,Eint Frankfurt,398.0,521.0,76.4,7401.0,2774.0,172.0,196.0,87.8,150.0,179.0,83.8,58.0,102.0,56.9,0,0.2,0.3,5.0,31.0,5.0,2.0,48.0,Match Report,2020-02-01,15:30 (06:30),Bundesliga,Matchweek 20,Sat,Home,D,1,1,Eint Frankfurt,521.0,471.0,45.0,14.0,0.0,8.0,25,23.0,4.0,3.0,0.0,0.0,398.0,5.0,10.0,Match Report,2020-02-01,15:30 (06:30),Bundesliga,Matchweek 20,Sat,Home,D,1,1,Eint Frankfurt,14.0,13.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,Match Report,2020-02-01,15:30 (06:30),Bundesliga,Matchweek 20,Sat,Home,D,1,1,Eint Frankfurt,8.0,6,6.0,2.0,0.0,2.0,9.0,22.2,7.0,5.0,0.0,5.0,12,20,9.0,0.0,Match Report,2020-02-01,15:30 (06:30),Bundesliga,Matchweek 20,Sat,Home,D,1,1,Eint Frankfurt,53.0,606.0,36.0,189.0,304.0,120.0,9.0,606.0,12.0,5.0,41.7,7.0,58.3,335.0,1767.0,958.0,16.0,14.0,3.0,17.0,9.0,397.0,48.0,Match Report,2020-02-01,15:30 (06:30),Bundesliga,Matchweek 20,Sat,Home,D,1,1,Eint Frankfurt,2,0,0,8,12,5,25,12,6,0.0,0.0,0,67.0,20.0,13.0,60.6,Match Report
