For Köln_Date,For Köln_Time,For Köln_Comp,For Köln_Round,For Köln_Day,For Köln_Venue,For Köln_Result,For Köln_GF,For Köln_GA,For Köln_Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,For Köln_Date,For Köln_Time,For Köln_Comp,For Köln_Round,For Köln_Day,For Köln_Venue,For Köln_Result,For Köln_GF,For Köln_GA,For Köln_Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,For Köln_Date,For Köln_Time,For Köln_Comp,For Köln_Round,For Köln_Day,For Köln_Venue,For Köln_Result,For Köln_GF,For Köln_GA,For Köln_Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,For Köln_Date,For Köln_Time,For Köln_Comp,For Köln_Round,For Köln_Day,For Köln_Venue,For Köln_Result,For Köln_GF,For Köln_GA,For Köln_Opponent,For Köln_Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,For Köln_Date,For Köln_Time,For Köln_Comp,For Köln_Round,For Köln_Day,For Köln_Venue,For Köln_Result,For Köln_GF,For Köln_GA,For Köln_Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,For Köln_Date,For Köln_Time,For Köln_Comp,For Köln_Round,For Köln_Day,For Köln_Venue,For Köln_Result,For Köln_GF,For Köln_GA,For Köln_Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,For Köln_Date,For Köln_Time,For Köln_Comp,For Köln_Round,For Köln_Day,For Köln_Venue,For Köln_Result,For Köln_GF,For Köln_GA,For Köln_Opponent,For Köln_Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,For Köln_Date,For Köln_Time,For Köln_Comp,For Köln_Round,For Köln_Day,For Köln_Venue,For Köln_Result,For Köln_GF,For Köln_GA,For Köln_Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2019-08-11,18:30 (09:30),DFB-Pokal,First round,Sun,Away,D,3 (3),3 (2),Wehen,3,25,8,32.0,0.12,0.38,,,0,0,,,,,,Match Report,2019-08-11,18:30 (09:30),DFB-Pokal,First round,Sun,Away,D,3 (3),3 (2),Wehen,7,3,4,57.1,0,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2019-08-11,18:30 (09:30),DFB-Pokal,First round,Sun,Away,D,3 (3),3 (2),Wehen,,,,,,,,,,,,,,,2,,,,,,,,Match Report,2019-08-11,18:30 (09:30),DFB-Pokal,First round,Sun,Away,D,3 (3),3 (2),Wehen,,,,,,,41,,,,,,,,,Match Report,2019-08-11,18:30 (09:30),DFB-Pokal,First round,Sun,Away,D,3 (3),3 (2),Wehen,,,,,,,,,,,,,,,Match Report,2019-08-11,18:30 (09:30),DFB-Pokal,First round,Sun,Away,D,3 (3),3 (2),Wehen,,9,,,,,,,,,,,8,0,,,Match Report,2019-08-11,18:30 (09:30),DFB-Pokal,First round,Sun,Away,D,3 (3),3 (2),Wehen,63.0,,,,,,,,,,,,,,,,,,,,,,,Match Report,2019-08-11,18:30 (09:30),DFB-Pokal,First round,Sun,Away,D,3 (3),3 (2),Wehen,3,0,0,19,22,7,41,8,9,,,0,,,,,Match Report
2019-08-17,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Away,L,1,2,Wolfsburg,1,11,2,18.2,0.09,0.5,17.7,0.0,0,0,1.2,1.2,0.11,-0.2,-0.2,Match Report,2019-08-17,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Away,L,1,2,Wolfsburg,5,2,3,60.0,0,1.5,-0.5,0,0,0,0,11.0,20.0,55.0,36.0,11.0,50.0,38.4,5.0,40.0,32.6,9.0,1.0,11.1,1.0,18.0,Match Report,2019-08-17,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Away,L,1,2,Wolfsburg,353.0,479.0,73.7,7154.0,2929.0,132.0,157.0,84.1,157.0,191.0,82.2,61.0,105.0,58.1,0,0.4,0.4,8.0,25.0,5.0,1.0,41.0,Match Report,2019-08-17,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Away,L,1,2,Wolfsburg,479.0,414.0,64.0,18.0,0.0,5.0,24,32.0,6.0,4.0,1.0,0.0,353.0,1.0,12.0,Match Report,2019-08-17,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Away,L,1,2,Wolfsburg,18.0,14.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Match Report,2019-08-17,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Away,L,1,2,Wolfsburg,22.0,12,9.0,11.0,2.0,6.0,17.0,35.3,11.0,16.0,6.0,10.0,11,33,20.0,0.0,Match Report,2019-08-17,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Away,L,1,2,Wolfsburg,53.0,603.0,67.0,214.0,251.0,144.0,17.0,603.0,14.0,9.0,64.3,5.0,35.7,266.0,1715.0,810.0,15.0,13.0,3.0,14.0,12.0,351.0,41.0,Match Report,2019-08-17,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Away,L,1,2,Wolfsburg,3,0,0,18,15,1,24,11,12,0.0,0.0,0,48.0,18.0,19.0,48.6,Match Report
2019-08-23,20:30 (11:30),Bundesliga,Matchweek 2,Fri,Home,L,1,3,Dortmund,1,13,1,7.7,0.08,1.0,14.7,0.0,0,0,0.9,0.9,0.07,0.1,0.1,Match Report,2019-08-23,20:30 (11:30),Bundesliga,Matchweek 2,Fri,Home,L,1,3,Dortmund,6,3,3,50.0,0,2.9,-0.1,0,0,0,0,3.0,9.0,33.3,17.0,1.0,52.9,43.7,6.0,0.0,16.0,12.0,0.0,0.0,0.0,6.0,Match Report,2019-08-23,20:30 (11:30),Bundesliga,Matchweek 2,Fri,Home,L,1,3,Dortmund,168.0,268.0,62.7,3443.0,1591.0,70.0,88.0,79.5,63.0,93.0,67.7,33.0,72.0,45.8,1,0.6,0.4,6.0,15.0,2.0,1.0,17.0,Match Report,2019-08-23,20:30 (11:30),Bundesliga,Matchweek 2,Fri,Home,L,1,3,Dortmund,268.0,220.0,46.0,12.0,0.0,6.0,16,17.0,7.0,4.0,2.0,0.0,168.0,2.0,6.0,Match Report,2019-08-23,20:30 (11:30),Bundesliga,Matchweek 2,Fri,Home,L,1,3,Dortmund,17.0,6.0,6.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Match Report,2019-08-23,20:30 (11:30),Bundesliga,Matchweek 2,Fri,Home,L,1,3,Dortmund,23.0,16,13.0,8.0,2.0,8.0,21.0,38.1,13.0,14.0,4.0,10.0,13,36,22.0,0.0,Match Report,2019-08-23,20:30 (11:30),Bundesliga,Matchweek 2,Fri,Home,L,1,3,Dortmund,27.0,390.0,50.0,144.0,173.0,81.0,20.0,390.0,14.0,7.0,50.0,7.0,50.0,215.0,1163.0,610.0,16.0,9.0,3.0,12.0,11.0,168.0,17.0,Match Report,2019-08-23,20:30 (11:30),Bundesliga,Matchweek 2,Fri,Home,L,1,3,Dortmund,2,0,0,12,10,2,16,13,16,0.0,0.0,0,57.0,11.0,15.0,42.3,Match Report
2019-08-31,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Away,W,2,1,Freiburg,2,10,3,30.0,0.2,0.67,12.8,0.0,0,0,1.7,1.7,0.17,0.3,0.3,Match Report,2019-08-31,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Away,W,2,1,Freiburg,1,1,1,0.0,0,0.2,0.2,0,0,0,0,13.0,20.0,65.0,20.0,2.0,60.0,44.1,9.0,88.9,58.1,17.0,0.0,0.0,3.0,24.8,Match Report,2019-08-31,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Away,W,2,1,Freiburg,287.0,394.0,72.8,6309.0,2591.0,98.0,120.0,81.7,124.0,149.0,83.2,59.0,111.0,53.2,1,0.5,0.8,7.0,29.0,9.0,4.0,36.0,Match Report,2019-08-31,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Away,W,2,1,Freiburg,394.0,351.0,43.0,7.0,1.0,4.0,20,19.0,6.0,1.0,4.0,0.0,287.0,0.0,2.0,Match Report,2019-08-31,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Away,W,2,1,Freiburg,19.0,13.0,2.0,2.0,1.0,1.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,Match Report,2019-08-31,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Away,W,2,1,Freiburg,21.0,16,8.0,10.0,3.0,8.0,18.0,44.4,10.0,13.0,5.0,8.0,13,34,24.0,0.0,Match Report,2019-08-31,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Away,W,2,1,Freiburg,47.0,517.0,59.0,148.0,253.0,121.0,14.0,517.0,12.0,11.0,91.7,1.0,8.3,252.0,1434.0,722.0,15.0,11.0,2.0,16.0,11.0,287.0,36.0,Match Report,2019-08-31,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Away,W,2,1,Freiburg,2,0,0,15,6,0,20,13,16,0.0,0.0,1,61.0,27.0,23.0,54.0,Match Report
2019-09-14,15:30 (06:30),Bundesliga,Matchweek 4,Sat,Home,L,0,1,Gladbach,0,14,7,50.0,0.0,0.0,17.8,0.0,0,0,0.9,0.9,0.06,-0.9,-0.9,Match Report,2019-09-14,15:30 (06:30),Bundesliga,Matchweek 4,Sat,Home,L,0,1,Gladbach,3,1,2,66.7,0,0.8,-0.2,0,0,0,0,13.0,30.0,43.3,29.0,2.0,72.4,51.2,10.0,90.0,56.4,15.0,3.0,20.0,0.0,6.2,Match Report,2019-09-14,15:30 (06:30),Bundesliga,Matchweek 4,Sat,Home,L,0,1,Gladbach,325.0,447.0,72.7,7176.0,3095.0,112.0,148.0,75.7,144.0,173.0,83.2,67.0,109.0,61.5,0,0.7,0.9,10.0,26.0,7.0,1.0,32.0,Match Report,2019-09-14,15:30 (06:30),Bundesliga,Matchweek 4,Sat,Home,L,0,1,Gladbach,447.0,386.0,60.0,24.0,0.0,7.0,15,20.0,4.0,0.0,2.0,0.0,325.0,1.0,11.0,Match Report,2019-09-14,15:30 (06:30),Bundesliga,Matchweek 4,Sat,Home,L,0,1,Gladbach,26.0,17.0,5.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2019-09-14,15:30 (06:30),Bundesliga,Matchweek 4,Sat,Home,L,0,1,Gladbach,14.0,6,6.0,6.0,2.0,6.0,30.0,20.0,24.0,12.0,5.0,7.0,9,23,17.0,1.0,Match Report,2019-09-14,15:30 (06:30),Bundesliga,Matchweek 4,Sat,Home,L,0,1,Gladbach,51.0,548.0,71.0,189.0,254.0,110.0,19.0,548.0,15.0,7.0,46.7,8.0,53.3,217.0,1327.0,707.0,11.0,8.0,1.0,16.0,8.0,320.0,31.0,Match Report,2019-09-14,15:30 (06:30),Bundesliga,Matchweek 4,Sat,Home,L,0,1,Gladbach,2,0,0,23,17,1,15,9,6,0.0,0.0,0,56.0,28.0,24.0,53.8,Match Report
2019-09-21,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Away,L,0,4,Bayern Munich,0,14,2,14.3,0.0,0.0,20.0,2.0,0,0,1.2,1.2,0.09,-1.2,-1.2,Match Report,2019-09-21,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Away,L,0,4,Bayern Munich,5,4,1,40.0,0,2.3,-1.7,1,1,0,0,5.0,13.0,38.5,20.0,3.0,45.0,35.4,12.0,33.3,33.8,9.0,1.0,11.1,0.0,6.0,Match Report,2019-09-21,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Away,L,0,4,Bayern Munich,300.0,396.0,75.8,5466.0,2243.0,129.0,146.0,88.4,104.0,134.0,77.6,50.0,78.0,64.1,0,0.5,0.5,10.0,29.0,8.0,3.0,31.0,Match Report,2019-09-21,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Away,L,0,4,Bayern Munich,396.0,343.0,52.0,14.0,0.0,6.0,17,17.0,4.0,2.0,2.0,0.0,300.0,1.0,5.0,Match Report,2019-09-21,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Away,L,0,4,Bayern Munich,23.0,18.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2019-09-21,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Away,L,0,4,Bayern Munich,11.0,8,7.0,4.0,0.0,8.0,19.0,42.1,11.0,13.0,9.0,4.0,12,23,19.0,0.0,Match Report,2019-09-21,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Away,L,0,4,Bayern Munich,40.0,512.0,76.0,196.0,216.0,108.0,18.0,512.0,13.0,9.0,69.2,4.0,30.8,259.0,1312.0,679.0,15.0,14.0,3.0,15.0,5.0,299.0,31.0,Match Report,2019-09-21,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Away,L,0,4,Bayern Munich,0,1,0,20,15,1,17,12,8,0.0,1.0,0,48.0,6.0,9.0,40.0,Match Report
2019-09-29,18:00 (09:00),Bundesliga,Matchweek 6,Sun,Home,L,0,4,Hertha BSC,0,9,3,33.3,0.0,0.0,17.3,1.0,0,0,0.8,0.8,0.09,-0.8,-0.8,Match Report,2019-09-29,18:00 (09:00),Bundesliga,Matchweek 6,Sun,Home,L,0,4,Hertha BSC,6,4,2,33.3,0,2.0,-2.0,0,0,0,0,4.0,6.0,66.7,24.0,5.0,12.5,26.0,6.0,50.0,45.8,15.0,0.0,0.0,0.0,17.0,Match Report,2019-09-29,18:00 (09:00),Bundesliga,Matchweek 6,Sun,Home,L,0,4,Hertha BSC,405.0,503.0,80.5,8481.0,2968.0,126.0,143.0,88.1,215.0,242.0,88.8,60.0,94.0,63.8,0,0.7,0.9,7.0,27.0,8.0,2.0,44.0,Match Report,2019-09-29,18:00 (09:00),Bundesliga,Matchweek 6,Sun,Home,L,0,4,Hertha BSC,503.0,444.0,56.0,12.0,0.0,3.0,32,25.0,8.0,2.0,6.0,0.0,405.0,3.0,11.0,Match Report,2019-09-29,18:00 (09:00),Bundesliga,Matchweek 6,Sun,Home,L,0,4,Hertha BSC,16.0,14.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2019-09-29,18:00 (09:00),Bundesliga,Matchweek 6,Sun,Home,L,0,4,Hertha BSC,13.0,8,5.0,4.0,4.0,6.0,9.0,66.7,3.0,9.0,0.0,9.0,13,26,16.0,0.0,Match Report,2019-09-29,18:00 (09:00),Bundesliga,Matchweek 6,Sun,Home,L,0,4,Hertha BSC,54.0,603.0,55.0,186.0,294.0,127.0,17.0,603.0,8.0,3.0,37.5,5.0,62.5,304.0,1647.0,948.0,10.0,8.0,3.0,12.0,6.0,404.0,44.0,Match Report,2019-09-29,18:00 (09:00),Bundesliga,Matchweek 6,Sun,Home,L,0,4,Hertha BSC,1,1,0,10,13,3,32,13,8,0.0,0.0,0,41.0,12.0,13.0,48.0,Match Report
2019-10-05,18:30 (09:30),Bundesliga,Matchweek 7,Sat,Away,D,1,1,Schalke 04,1,9,5,55.6,0.11,0.2,17.8,0.0,0,0,0.9,0.9,0.11,0.1,0.1,Match Report,2019-10-05,18:30 (09:30),Bundesliga,Matchweek 7,Sat,Away,D,1,1,Schalke 04,3,1,2,66.7,0,1.1,0.1,0,0,0,0,11.0,22.0,50.0,26.0,2.0,57.7,44.3,17.0,41.2,40.1,15.0,0.0,0.0,0.0,13.7,Match Report,2019-10-05,18:30 (09:30),Bundesliga,Matchweek 7,Sat,Away,D,1,1,Schalke 04,270.0,387.0,69.8,5499.0,2553.0,108.0,139.0,77.7,110.0,144.0,76.4,50.0,80.0,62.5,1,0.9,0.5,8.0,14.0,4.0,1.0,27.0,Match Report,2019-10-05,18:30 (09:30),Bundesliga,Matchweek 7,Sat,Away,D,1,1,Schalke 04,387.0,325.0,59.0,17.0,2.0,3.0,12,19.0,4.0,3.0,1.0,0.0,270.0,3.0,15.0,Match Report,2019-10-05,18:30 (09:30),Bundesliga,Matchweek 7,Sat,Away,D,1,1,Schalke 04,17.0,9.0,3.0,2.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,Match Report,2019-10-05,18:30 (09:30),Bundesliga,Matchweek 7,Sat,Away,D,1,1,Schalke 04,12.0,8,8.0,3.0,1.0,5.0,16.0,31.3,11.0,14.0,4.0,10.0,12,24,24.0,0.0,Match Report,2019-10-05,18:30 (09:30),Bundesliga,Matchweek 7,Sat,Away,D,1,1,Schalke 04,45.0,505.0,78.0,202.0,221.0,93.0,9.0,505.0,24.0,15.0,62.5,9.0,37.5,242.0,1495.0,729.0,15.0,12.0,2.0,15.0,7.0,270.0,27.0,Match Report,2019-10-05,18:30 (09:30),Bundesliga,Matchweek 7,Sat,Away,D,1,1,Schalke 04,4,0,0,17,16,3,12,12,8,0.0,0.0,0,47.0,27.0,22.0,55.1,Match Report
2019-10-20,15:30 (06:30),Bundesliga,Matchweek 8,Sun,Home,W,3,0,Paderborn 07,3,17,6,35.3,0.18,0.5,12.0,0.0,0,0,2.4,2.4,0.15,0.6,0.6,Match Report,2019-10-20,15:30 (06:30),Bundesliga,Matchweek 8,Sun,Home,W,3,0,Paderborn 07,1,0,1,100.0,1,0.4,0.4,0,0,0,0,7.0,13.0,53.8,21.0,1.0,42.9,39.6,8.0,50.0,41.0,15.0,1.0,6.7,0.0,7.3,Match Report,2019-10-20,15:30 (06:30),Bundesliga,Matchweek 8,Sun,Home,W,3,0,Paderborn 07,329.0,439.0,74.9,6154.0,2699.0,143.0,167.0,85.6,139.0,168.0,82.7,42.0,77.0,54.5,2,2.0,1.0,12.0,21.0,6.0,3.0,39.0,Match Report,2019-10-20,15:30 (06:30),Bundesliga,Matchweek 8,Sun,Home,W,3,0,Paderborn 07,439.0,389.0,49.0,8.0,2.0,2.0,20,26.0,6.0,3.0,1.0,0.0,329.0,1.0,15.0,Match Report,2019-10-20,15:30 (06:30),Bundesliga,Matchweek 8,Sun,Home,W,3,0,Paderborn 07,31.0,20.0,3.0,3.0,5.0,0.0,0.0,5.0,2.0,1.0,0.0,2.0,0.0,0.0,Match Report,2019-10-20,15:30 (06:30),Bundesliga,Matchweek 8,Sun,Home,W,3,0,Paderborn 07,33.0,23,16.0,17.0,0.0,15.0,23.0,65.2,8.0,14.0,3.0,11.0,8,41,28.0,0.0,Match Report,2019-10-20,15:30 (06:30),Bundesliga,Matchweek 8,Sun,Home,W,3,0,Paderborn 07,43.0,578.0,61.0,225.0,256.0,104.0,25.0,578.0,18.0,12.0,66.7,6.0,33.3,286.0,1491.0,755.0,18.0,8.0,6.0,16.0,14.0,329.0,39.0,Match Report,2019-10-20,15:30 (06:30),Bundesliga,Matchweek 8,Sun,Home,W,3,0,Paderborn 07,0,0,0,7,7,1,20,8,23,0.0,0.0,0,71.0,20.0,15.0,57.1,Match Report
2019-10-25,20:30 (11:30),Bundesliga,Matchweek 9,Fri,Away,L,1,3,Mainz 05,1,17,8,47.1,0.06,0.13,19.0,3.0,0,0,1.3,1.3,0.08,-0.3,-0.3,Match Report,2019-10-25,20:30 (11:30),Bundesliga,Matchweek 9,Fri,Away,L,1,3,Mainz 05,6,3,3,50.0,0,2.0,-1.0,0,0,0,0,9.0,14.0,64.3,15.0,4.0,40.0,36.2,13.0,61.5,50.4,13.0,0.0,0.0,1.0,17.0,Match Report,2019-10-25,20:30 (11:30),Bundesliga,Matchweek 9,Fri,Away,L,1,3,Mainz 05,335.0,451.0,74.3,6403.0,2795.0,138.0,166.0,83.1,144.0,181.0,79.6,47.0,84.0,56.0,1,0.6,1.0,9.0,26.0,8.0,0.0,39.0,Match Report,2019-10-25,20:30 (11:30),Bundesliga,Matchweek 9,Fri,Away,L,1,3,Mainz 05,451.0,385.0,65.0,18.0,0.0,5.0,21,20.0,10.0,4.0,2.0,1.0,335.0,1.0,6.0,Match Report,2019-10-25,20:30 (11:30),Bundesliga,Matchweek 9,Fri,Away,L,1,3,Mainz 05,31.0,21.0,3.0,1.0,1.0,4.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Match Report,2019-10-25,20:30 (11:30),Bundesliga,Matchweek 9,Fri,Away,L,1,3,Mainz 05,13.0,9,7.0,4.0,2.0,5.0,17.0,29.4,12.0,12.0,3.0,9.0,9,22,16.0,0.0,Match Report,2019-10-25,20:30 (11:30),Bundesliga,Matchweek 9,Fri,Away,L,1,3,Mainz 05,53.0,556.0,48.0,164.0,258.0,140.0,22.0,556.0,10.0,5.0,50.0,5.0,50.0,290.0,1575.0,876.0,18.0,10.0,3.0,22.0,7.0,332.0,38.0,Match Report,2019-10-25,20:30 (11:30),Bundesliga,Matchweek 9,Fri,Away,L,1,3,Mainz 05,2,0,0,9,20,1,21,9,9,0.0,0.0,0,52.0,26.0,18.0,59.1,Match Report
