For Köln_Date,For Köln_Time,For Köln_Comp,For Köln_Round,For Köln_Day,For Köln_Venue,For Köln_Result,For Köln_GF,For Köln_GA,For Köln_Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,For Köln_Date,For Köln_Time,For Köln_Comp,For Köln_Round,For Köln_Day,For Köln_Venue,For Köln_Result,For Köln_GF,For Köln_GA,For Köln_Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,For Köln_Date,For Köln_Time,For Köln_Comp,For Köln_Round,For Köln_Day,For Köln_Venue,For Köln_Result,For Köln_GF,For Köln_GA,For Köln_Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,For Köln_Date,For Köln_Time,For Köln_Comp,For Köln_Round,For Köln_Day,For Köln_Venue,For Köln_Result,For Köln_GF,For Köln_GA,For Köln_Opponent,For Köln_Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,For Köln_Date,For Köln_Time,For Köln_Comp,For Köln_Round,For Köln_Day,For Köln_Venue,For Köln_Result,For Köln_GF,For Köln_GA,For Köln_Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,For Köln_Date,For Köln_Time,For Köln_Comp,For Köln_Round,For Köln_Day,For Köln_Venue,For Köln_Result,For Köln_GF,For Köln_GA,For Köln_Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,For Köln_Date,For Köln_Time,For Köln_Comp,For Köln_Round,For Köln_Day,For Köln_Venue,For Köln_Result,For Köln_GF,For Köln_GA,For Köln_Opponent,For Köln_Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,For Köln_Date,For Köln_Time,For Köln_Comp,For Köln_Round,For Köln_Day,For Köln_Venue,For Köln_Result,For Köln_GF,For Köln_GA,For Köln_Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2017-08-12,15:30 (06:30),DFB-Pokal,First round,Sat,Away,W,5,0,Leher,5,28,10,35.7,0.14,0.40,,,1,1,,,,,,Match Report,2017-08-12,15:30 (06:30),DFB-Pokal,First round,Sat,Away,W,5,0,Leher,1,0,1,100.0,1,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2017-08-12,15:30 (06:30),DFB-Pokal,First round,Sat,Away,W,5,0,Leher,,,,,,,,,,,,,,,1,,,,,,,,Match Report,2017-08-12,15:30 (06:30),DFB-Pokal,First round,Sat,Away,W,5,0,Leher,,,,,,,47,,,,,,,,,Match Report,2017-08-12,15:30 (06:30),DFB-Pokal,First round,Sat,Away,W,5,0,Leher,,,,,,,,,,,,,,,Match Report,2017-08-12,15:30 (06:30),DFB-Pokal,First round,Sat,Away,W,5,0,Leher,,11,,,,,,,,,,,17,0,,,Match Report,2017-08-12,15:30 (06:30),DFB-Pokal,First round,Sat,Away,W,5,0,Leher,81,,,,,,,,,,,,,,,,,,,,,,,Match Report,2017-08-12,15:30 (06:30),DFB-Pokal,First round,Sat,Away,W,5,0,Leher,1,0,0,10,5,3,47,17,11,,,0,,,,,Match Report
2017-08-20,18:00 (09:00),Bundesliga,Matchweek 1,Sun,Away,L,0,1,Gladbach,0,13,2,15.4,0.00,0.00,14.0,1,0,0,1.1,1.1,0.08,-1.1,-1.1,Match Report,2017-08-20,18:00 (09:00),Bundesliga,Matchweek 1,Sun,Away,L,0,1,Gladbach,8,1,7,87.5,0,0.8,-0.2,0,0,0,0,9,22,40.9,31,5,51.6,43.2,8,75.0,58.3,19,1,5.3,0,10.3,Match Report,2017-08-20,18:00 (09:00),Bundesliga,Matchweek 1,Sun,Away,L,0,1,Gladbach,445,542,82.1,8393,3129,159,180,88.3,226,249,90.8,47,81,58.0,0,0.8,1.2,10,32,10,5,42,Match Report,2017-08-20,18:00 (09:00),Bundesliga,Matchweek 1,Sun,Away,L,0,1,Gladbach,542,490,49,15,0,2,14,21,3,0,3,0,445,3,12,Match Report,2017-08-20,18:00 (09:00),Bundesliga,Matchweek 1,Sun,Away,L,0,1,Gladbach,26,22,0,1,0,1,2,0,0,0,0,0,0,0,Match Report,2017-08-20,18:00 (09:00),Bundesliga,Matchweek 1,Sun,Away,L,0,1,Gladbach,25,16,14,9,2,9,18,50.0,9,14,6,8,14,39,19,0,Match Report,2017-08-20,18:00 (09:00),Bundesliga,Matchweek 1,Sun,Away,L,0,1,Gladbach,47,655,66,174,364,118,21,655,17,5,29.4,12,70.6,325,1617,937,10,12,3,15,6,442,41,Match Report,2017-08-20,18:00 (09:00),Bundesliga,Matchweek 1,Sun,Away,L,0,1,Gladbach,2,0,0,11,12,3,14,14,16,0,0,0,34,15,13,53.6,Match Report
2017-08-25,20:30 (11:30),Bundesliga,Matchweek 2,Fri,Home,L,1,3,Hamburger SV,1,20,6,30.0,0.05,0.17,20.0,0,0,0,2.1,2.1,0.10,-1.1,-1.1,Match Report,2017-08-25,20:30 (11:30),Bundesliga,Matchweek 2,Fri,Home,L,1,3,Hamburger SV,4,3,1,25.0,0,1.7,-1.3,0,0,0,0,1,5,20.0,24,2,4.2,20.0,7,57.1,44.6,11,0,0.0,0,15.0,Match Report,2017-08-25,20:30 (11:30),Bundesliga,Matchweek 2,Fri,Home,L,1,3,Hamburger SV,499,619,80.6,9604,3186,171,195,87.7,267,298,89.6,56,103,54.4,1,1.4,2.1,14,52,11,6,72,Match Report,2017-08-25,20:30 (11:30),Bundesliga,Matchweek 2,Fri,Home,L,1,3,Hamburger SV,619,563,50,12,0,4,30,21,6,4,2,0,499,6,10,Match Report,2017-08-25,20:30 (11:30),Bundesliga,Matchweek 2,Fri,Home,L,1,3,Hamburger SV,35,30,3,0,2,0,0,2,2,0,0,0,0,0,Match Report,2017-08-25,20:30 (11:30),Bundesliga,Matchweek 2,Fri,Home,L,1,3,Hamburger SV,18,13,9,8,1,7,11,63.6,4,10,4,6,9,27,22,2,Match Report,2017-08-25,20:30 (11:30),Bundesliga,Matchweek 2,Fri,Home,L,1,3,Hamburger SV,70,731,48,214,343,180,23,731,21,9,42.9,12,57.1,377,2067,1211,21,20,2,12,4,494,72,Match Report,2017-08-25,20:30 (11:30),Bundesliga,Matchweek 2,Fri,Home,L,1,3,Hamburger SV,2,0,0,9,9,6,30,9,13,0,0,0,48,14,20,41.2,Match Report
2017-09-09,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Away,L,0,3,Augsburg,0,13,3,23.1,0.00,0.00,19.3,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Match Report,2017-09-09,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Away,L,0,3,Augsburg,4,3,1,50.0,0,2.4,-0.6,1,1,0,0,8,16,50.0,22,2,50.0,39.6,9,55.6,49.1,13,1,7.7,1,14.0,Match Report,2017-09-09,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Away,L,0,3,Augsburg,476,605,78.7,9265,3755,183,209,87.6,205,254,80.7,71,106,67.0,0,0.6,1.5,11,53,10,3,71,Match Report,2017-09-09,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Away,L,0,3,Augsburg,605,533,71,15,0,5,30,35,9,8,1,0,476,1,17,Match Report,2017-09-09,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Away,L,0,3,Augsburg,25,17,3,2,1,2,0,0,0,0,0,0,0,0,Match Report,2017-09-09,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Away,L,0,3,Augsburg,17,12,8,7,2,9,9,100.0,0,7,0,7,17,34,26,0,Match Report,2017-09-09,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Away,L,0,3,Augsburg,66,719,52,175,384,166,20,719,19,7,36.8,12,63.2,348,1629,819,17,13,3,17,15,471,70,Match Report,2017-09-09,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Away,L,0,3,Augsburg,0,0,0,13,14,1,30,17,12,0,1,0,48,26,19,57.8,Match Report
2017-09-14,21:05 (13:05),Europa Lg,Group stage,Thu,Away,L,1,3,eng Arsenal,1,10,4,40.0,0.10,0.25,25.9,1,0,0,0.4,0.4,0.04,+0.6,+0.6,Match Report,2017-09-14,21:05 (13:05),Europa Lg,Group stage,Thu,Away,L,1,3,eng Arsenal,7,3,4,57.1,0,1.3,-1.7,0,0,0,0,3,29,10.3,24,1,75.0,51.7,13,84.6,60.6,8,0,0.0,1,18.5,Match Report,2017-09-14,21:05 (13:05),Europa Lg,Group stage,Thu,Away,L,1,3,eng Arsenal,225,318,70.8,3968,1599,96,107,89.7,85,107,79.4,29,80,36.3,1,0.4,0.3,10,17,4,2,22,Match Report,2017-09-14,21:05 (13:05),Europa Lg,Group stage,Thu,Away,L,1,3,eng Arsenal,318,268,46,11,1,3,9,15,3,1,1,0,225,4,4,Match Report,2017-09-14,21:05 (13:05),Europa Lg,Group stage,Thu,Away,L,1,3,eng Arsenal,19,13,1,3,1,1,0,2,2,0,0,0,0,0,Match Report,2017-09-14,21:05 (13:05),Europa Lg,Group stage,Thu,Away,L,1,3,eng Arsenal,20,15,11,9,0,6,17,35.3,11,8,3,5,13,33,16,0,Match Report,2017-09-14,21:05 (13:05),Europa Lg,Group stage,Thu,Away,L,1,3,eng Arsenal,29,401,57,151,184,76,10,401,13,7,53.8,6,46.2,184,1466,816,16,14,6,12,3,225,22,Match Report,2017-09-14,21:05 (13:05),Europa Lg,Group stage,Thu,Away,L,1,3,eng Arsenal,0,0,0,11,6,4,9,13,15,0,0,0,46,4,16,20.0,Match Report
2017-09-17,18:00 (09:00),Bundesliga,Matchweek 4,Sun,Away,L,0,5,Dortmund,0,6,2,33.3,0.00,0.00,18.9,1,0,0,0.7,0.7,0.11,-0.7,-0.7,Match Report,2017-09-17,18:00 (09:00),Bundesliga,Matchweek 4,Sun,Away,L,0,5,Dortmund,8,5,3,50.0,0,3.9,-1.1,1,1,0,0,10,25,40.0,18,2,77.8,51.7,11,100.0,65.3,13,1,7.7,2,11.9,Match Report,2017-09-17,18:00 (09:00),Bundesliga,Matchweek 4,Sun,Away,L,0,5,Dortmund,198,297,66.7,3684,1807,99,117,84.6,61,83,73.5,30,72,41.7,0,0.7,0.3,6,15,1,1,18,Match Report,2017-09-17,18:00 (09:00),Bundesliga,Matchweek 4,Sun,Away,L,0,5,Dortmund,297,240,52,12,0,3,8,19,5,4,1,0,198,5,8,Match Report,2017-09-17,18:00 (09:00),Bundesliga,Matchweek 4,Sun,Away,L,0,5,Dortmund,12,9,2,0,0,1,0,0,0,0,0,0,0,0,Match Report,2017-09-17,18:00 (09:00),Bundesliga,Matchweek 4,Sun,Away,L,0,5,Dortmund,15,14,5,9,1,7,11,63.6,4,6,1,5,20,35,19,1,Match Report,2017-09-17,18:00 (09:00),Bundesliga,Matchweek 4,Sun,Away,L,0,5,Dortmund,27,383,58,160,161,68,9,383,13,3,23.1,10,76.9,151,832,417,11,8,3,14,6,198,18,Match Report,2017-09-17,18:00 (09:00),Bundesliga,Matchweek 4,Sun,Away,L,0,5,Dortmund,3,0,0,12,11,5,8,20,14,0,1,0,41,12,11,52.2,Match Report
2017-09-20,18:30 (09:30),Bundesliga,Matchweek 5,Wed,Home,L,0,1,Eint Frankfurt,0,17,7,41.2,0.00,0.00,18.6,1,0,0,2.1,2.1,0.14,-2.1,-2.1,Match Report,2017-09-20,18:30 (09:30),Bundesliga,Matchweek 5,Wed,Home,L,0,1,Eint Frankfurt,4,1,3,100.0,0,1.7,+0.7,1,1,0,0,5,14,35.7,21,2,42.9,34.7,7,71.4,49.9,15,0,0.0,2,19.5,Match Report,2017-09-20,18:30 (09:30),Bundesliga,Matchweek 5,Wed,Home,L,0,1,Eint Frankfurt,391,533,73.4,6841,2640,170,203,83.7,174,217,80.2,33,79,41.8,0,0.7,1.4,10,29,8,3,46,Match Report,2017-09-20,18:30 (09:30),Bundesliga,Matchweek 5,Wed,Home,L,0,1,Eint Frankfurt,533,473,58,22,0,3,28,23,4,1,3,0,391,2,16,Match Report,2017-09-20,18:30 (09:30),Bundesliga,Matchweek 5,Wed,Home,L,0,1,Eint Frankfurt,28,22,1,0,4,1,0,0,0,0,0,0,0,0,Match Report,2017-09-20,18:30 (09:30),Bundesliga,Matchweek 5,Wed,Home,L,0,1,Eint Frankfurt,24,13,12,11,1,12,19,63.2,7,8,2,6,15,39,22,1,Match Report,2017-09-20,18:30 (09:30),Bundesliga,Matchweek 5,Wed,Home,L,0,1,Eint Frankfurt,55,646,50,188,323,145,23,646,14,5,35.7,9,64.3,312,1669,1053,19,13,4,12,3,388,46,Match Report,2017-09-20,18:30 (09:30),Bundesliga,Matchweek 5,Wed,Home,L,0,1,Eint Frankfurt,2,0,0,20,21,2,28,15,13,0,1,0,59,22,21,51.2,Match Report
2017-09-24,15:30 (06:30),Bundesliga,Matchweek 6,Sun,Away,D,0,0,Hannover 96,0,6,1,16.7,0.00,0.00,16.8,0,0,0,1.0,1.0,0.17,-1.0,-1.0,Match Report,2017-09-24,15:30 (06:30),Bundesliga,Matchweek 6,Sun,Away,D,0,0,Hannover 96,1,0,1,100.0,1,0.6,+0.6,0,0,0,0,8,26,30.8,17,1,82.4,51.4,12,100.0,66.6,25,0,0.0,0,9.0,Match Report,2017-09-24,15:30 (06:30),Bundesliga,Matchweek 6,Sun,Away,D,0,0,Hannover 96,180,283,63.6,3684,1761,77,93,82.8,71,101,70.3,30,78,38.5,0,0.9,0.7,2,16,2,0,20,Match Report,2017-09-24,15:30 (06:30),Bundesliga,Matchweek 6,Sun,Away,D,0,0,Hannover 96,283,229,54,18,1,0,17,16,7,5,2,0,180,0,5,Match Report,2017-09-24,15:30 (06:30),Bundesliga,Matchweek 6,Sun,Away,D,0,0,Hannover 96,7,6,0,0,0,0,1,0,0,0,0,0,0,0,Match Report,2017-09-24,15:30 (06:30),Bundesliga,Matchweek 6,Sun,Away,D,0,0,Hannover 96,18,15,7,10,1,7,10,70.0,3,15,4,11,11,29,32,0,Match Report,2017-09-24,15:30 (06:30),Bundesliga,Matchweek 6,Sun,Away,D,0,0,Hannover 96,34,389,61,149,163,79,8,389,10,0,0.0,10,100.0,147,637,224,6,3,2,9,6,175,19,Match Report,2017-09-24,15:30 (06:30),Bundesliga,Matchweek 6,Sun,Away,D,0,0,Hannover 96,2,0,0,18,17,0,17,11,15,0,0,0,40,14,23,37.8,Match Report
2017-09-28,19:00 (10:00),Europa Lg,Group stage,Thu,Home,L,0,1,rs Red Star,0,19,5,26.3,0.00,0.00,17.0,0,0,0,1.7,1.7,0.09,-1.7,-1.7,Match Report,2017-09-28,19:00 (10:00),Europa Lg,Group stage,Thu,Home,L,0,1,rs Red Star,2,1,1,50.0,0,0.2,-0.8,0,0,0,0,5,10,50.0,20,7,15.0,30.0,12,58.3,51.7,7,0,0.0,2,17.0,Match Report,2017-09-28,19:00 (10:00),Europa Lg,Group stage,Thu,Home,L,0,1,rs Red Star,590,719,82.1,11935,3948,202,237,85.2,284,326,87.1,95,133,71.4,0,1.6,1.6,14,63,8,3,71,Match Report,2017-09-28,19:00 (10:00),Europa Lg,Group stage,Thu,Home,L,0,1,rs Red Star,719,656,61,12,1,6,46,26,9,1,7,0,590,2,19,Match Report,2017-09-28,19:00 (10:00),Europa Lg,Group stage,Thu,Home,L,0,1,rs Red Star,36,27,4,1,1,3,0,0,0,0,0,0,0,0,Match Report,2017-09-28,19:00 (10:00),Europa Lg,Group stage,Thu,Home,L,0,1,rs Red Star,19,13,9,6,4,5,19,26.3,14,12,4,8,6,25,13,0,Match Report,2017-09-28,19:00 (10:00),Europa Lg,Group stage,Thu,Home,L,0,1,rs Red Star,67,811,43,141,433,238,20,811,10,3,30.0,7,70.0,423,2111,1104,19,9,3,5,12,589,71,Match Report,2017-09-28,19:00 (10:00),Europa Lg,Group stage,Thu,Home,L,0,1,rs Red Star,2,0,0,9,11,2,46,6,13,0,0,0,45,20,15,57.1,Match Report
2017-10-01,18:00 (09:00),Bundesliga,Matchweek 7,Sun,Home,L,1,2,RB Leipzig,1,17,6,35.3,0.06,0.17,18.5,0,0,0,1.2,1.2,0.07,-0.2,-0.2,Match Report,2017-10-01,18:00 (09:00),Bundesliga,Matchweek 7,Sun,Home,L,1,2,RB Leipzig,10,2,8,80.0,0,2.9,+0.9,0,0,0,0,9,25,36.0,30,2,56.7,43.8,11,72.7,54.6,14,0,0.0,1,15.5,Match Report,2017-10-01,18:00 (09:00),Bundesliga,Matchweek 7,Sun,Home,L,1,2,RB Leipzig,328,463,70.8,6783,2972,111,143,77.6,151,191,79.1,59,101,58.4,1,0.8,1.0,11,30,5,1,36,Match Report,2017-10-01,18:00 (09:00),Bundesliga,Matchweek 7,Sun,Home,L,1,2,RB Leipzig,463,387,70,17,0,5,26,30,9,6,3,0,328,6,20,Match Report,2017-10-01,18:00 (09:00),Bundesliga,Matchweek 7,Sun,Home,L,1,2,RB Leipzig,29,19,2,3,3,1,1,2,2,0,0,0,0,0,Match Report,2017-10-01,18:00 (09:00),Bundesliga,Matchweek 7,Sun,Home,L,1,2,RB Leipzig,31,24,18,11,2,14,21,66.7,7,16,6,10,13,44,22,0,Match Report,2017-10-01,18:00 (09:00),Bundesliga,Matchweek 7,Sun,Home,L,1,2,RB Leipzig,48,602,74,235,220,149,25,602,20,10,50.0,10,50.0,262,1230,584,15,10,7,17,11,321,35,Match Report,2017-10-01,18:00 (09:00),Bundesliga,Matchweek 7,Sun,Home,L,1,2,RB Leipzig,0,0,0,11,13,6,26,13,24,0,0,0,43,15,19,44.1,Match Report
