For Mönchengladbach_Date,For Mönchengladbach_Time,For Mönchengladbach_Comp,For Mönchengladbach_Round,For Mönchengladbach_Day,For Mönchengladbach_Venue,For Mönchengladbach_Result,For Mönchengladbach_GF,For Mönchengladbach_GA,For Mönchengladbach_Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,For Mönchengladbach_Date,For Mönchengladbach_Time,For Mönchengladbach_Comp,For Mönchengladbach_Round,For Mönchengladbach_Day,For Mönchengladbach_Venue,For Mönchengladbach_Result,For Mönchengladbach_GF,For Mönchengladbach_GA,For Mönchengladbach_Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,For Mönchengladbach_Date,For Mönchengladbach_Time,For Mönchengladbach_Comp,For Mönchengladbach_Round,For Mönchengladbach_Day,For Mönchengladbach_Venue,For Mönchengladbach_Result,For Mönchengladbach_GF,For Mönchengladbach_GA,For Mönchengladbach_Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,For Mönchengladbach_Date,For Mönchengladbach_Time,For Mönchengladbach_Comp,For Mönchengladbach_Round,For Mönchengladbach_Day,For Mönchengladbach_Venue,For Mönchengladbach_Result,For Mönchengladbach_GF,For Mönchengladbach_GA,For Mönchengladbach_Opponent,For Mönchengladbach_Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,For Mönchengladbach_Date,For Mönchengladbach_Time,For Mönchengladbach_Comp,For Mönchengladbach_Round,For Mönchengladbach_Day,For Mönchengladbach_Venue,For Mönchengladbach_Result,For Mönchengladbach_GF,For Mönchengladbach_GA,For Mönchengladbach_Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,For Mönchengladbach_Date,For Mönchengladbach_Time,For Mönchengladbach_Comp,For Mönchengladbach_Round,For Mönchengladbach_Day,For Mönchengladbach_Venue,For Mönchengladbach_Result,For Mönchengladbach_GF,For Mönchengladbach_GA,For Mönchengladbach_Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,For Mönchengladbach_Date,For Mönchengladbach_Time,For Mönchengladbach_Comp,For Mönchengladbach_Round,For Mönchengladbach_Day,For Mönchengladbach_Venue,For Mönchengladbach_Result,For Mönchengladbach_GF,For Mönchengladbach_GA,For Mönchengladbach_Opponent,For Mönchengladbach_Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,For Mönchengladbach_Date,For Mönchengladbach_Time,For Mönchengladbach_Comp,For Mönchengladbach_Round,For Mönchengladbach_Day,For Mönchengladbach_Venue,For Mönchengladbach_Result,For Mönchengladbach_GF,For Mönchengladbach_GA,For Mönchengladbach_Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2017-08-11,20:45 (11:45),DFB-Pokal,First round,Fri,Away,W,2.0,1.0,RW Essen,2,23,8,34.8,0.09,0.25,,,0,0,,,,,,Match Report,2017-08-11,20:45 (11:45),DFB-Pokal,First round,Fri,Away,W,2.0,1.0,RW Essen,2,1,1,50.0,0,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2017-08-11,20:45 (11:45),DFB-Pokal,First round,Fri,Away,W,2.0,1.0,RW Essen,,,,,,,,,,,,,,,1,,,,,,,,Match Report,2017-08-11,20:45 (11:45),DFB-Pokal,First round,Fri,Away,W,2.0,1.0,RW Essen,,,,,,,32,,,,,,,,,Match Report,2017-08-11,20:45 (11:45),DFB-Pokal,First round,Fri,Away,W,2.0,1.0,RW Essen,,,,,,,,,,,,,,,Match Report,2017-08-11,20:45 (11:45),DFB-Pokal,First round,Fri,Away,W,2.0,1.0,RW Essen,,16,,,,,,,,,,,4,0,,,Match Report,2017-08-11,20:45 (11:45),DFB-Pokal,First round,Fri,Away,W,2.0,1.0,RW Essen,72.0,,,,,,,,,,,,,,,,,,,,,,,Match Report,2017-08-11,20:45 (11:45),DFB-Pokal,First round,Fri,Away,W,2.0,1.0,RW Essen,2,0,0,17,11,4,32,4,16,,,0,,,,,Match Report
2017-08-20,18:00 (09:00),Bundesliga,Matchweek 1,Sun,Home,W,1.0,0.0,Köln,1,22,8,36.4,0.05,0.13,18.4,0.0,0,0,1.5,1.5,0.07,-0.5,-0.5,Match Report,2017-08-20,18:00 (09:00),Bundesliga,Matchweek 1,Sun,Home,W,1.0,0.0,Köln,2,0,2,100.0,1,0.1,0.1,0,0,0,0,6.0,18.0,33.3,29.0,4.0,34.5,33.6,10.0,80.0,51.5,10.0,1.0,10.0,0.0,8.0,Match Report,2017-08-20,18:00 (09:00),Bundesliga,Matchweek 1,Sun,Home,W,1.0,0.0,Köln,504.0,600.0,84.0,8941.0,3122.0,220.0,244.0,90.2,215.0,240.0,89.6,51.0,88.0,58.0,1,0.9,1.3,17.0,42.0,10.0,5.0,50.0,Match Report,2017-08-20,18:00 (09:00),Bundesliga,Matchweek 1,Sun,Home,W,1.0,0.0,Köln,600.0,551.0,45.0,13.0,0.0,6.0,20,16.0,5.0,0.0,4.0,0.0,504.0,4.0,9.0,Match Report,2017-08-20,18:00 (09:00),Bundesliga,Matchweek 1,Sun,Home,W,1.0,0.0,Köln,40.0,33.0,1.0,3.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Match Report,2017-08-20,18:00 (09:00),Bundesliga,Matchweek 1,Sun,Home,W,1.0,0.0,Köln,18.0,12,9.0,8.0,1.0,12.0,17.0,70.6,5.0,16.0,4.0,12.0,7,25,13.0,1.0,Match Report,2017-08-20,18:00 (09:00),Bundesliga,Matchweek 1,Sun,Home,W,1.0,0.0,Köln,53.0,697.0,56.0,160.0,391.0,153.0,31.0,697.0,18.0,9.0,50.0,9.0,50.0,416.0,2161.0,1235.0,31.0,18.0,9.0,10.0,16.0,502.0,50.0,Match Report,2017-08-20,18:00 (09:00),Bundesliga,Matchweek 1,Sun,Home,W,1.0,0.0,Köln,3,0,0,12,11,4,20,7,12,0.0,0.0,0,46.0,13.0,15.0,46.4,Match Report
2017-08-26,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Away,D,2.0,2.0,Augsburg,2,16,3,18.8,0.13,0.67,17.7,0.0,0,0,1.3,1.3,0.08,0.7,0.7,Match Report,2017-08-26,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Away,D,2.0,2.0,Augsburg,9,2,7,77.8,0,2.3,0.3,0,0,0,0,4.0,18.0,22.2,25.0,5.0,52.0,41.9,13.0,38.5,43.1,28.0,0.0,0.0,1.0,16.0,Match Report,2017-08-26,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Away,D,2.0,2.0,Augsburg,378.0,474.0,79.7,6761.0,2773.0,177.0,205.0,86.3,149.0,170.0,87.6,47.0,79.0,59.5,1,1.0,0.5,13.0,24.0,10.0,2.0,41.0,Match Report,2017-08-26,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Away,D,2.0,2.0,Augsburg,474.0,420.0,53.0,14.0,0.0,8.0,5,23.0,0.0,0.0,0.0,0.0,378.0,1.0,12.0,Match Report,2017-08-26,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Away,D,2.0,2.0,Augsburg,27.0,22.0,1.0,0.0,3.0,1.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,Match Report,2017-08-26,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Away,D,2.0,2.0,Augsburg,14.0,10,7.0,6.0,1.0,9.0,12.0,75.0,3.0,14.0,7.0,7.0,5,19,33.0,0.0,Match Report,2017-08-26,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Away,D,2.0,2.0,Augsburg,50.0,591.0,79.0,211.0,296.0,88.0,20.0,591.0,20.0,3.0,15.0,17.0,85.0,269.0,1430.0,735.0,15.0,8.0,6.0,11.0,11.0,376.0,41.0,Match Report,2017-08-26,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Away,D,2.0,2.0,Augsburg,2,0,0,12,12,1,5,5,10,0.0,0.0,0,26.0,12.0,23.0,34.3,Match Report
2017-09-09,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Home,L,0.0,1.0,Eint Frankfurt,0,15,3,20.0,0.0,0.0,17.9,0.0,0,0,0.9,0.9,0.06,-0.9,-0.9,Match Report,2017-09-09,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Home,L,0.0,1.0,Eint Frankfurt,6,1,5,83.3,0,0.6,-0.4,0,0,0,0,6.0,17.0,35.3,35.0,7.0,45.7,40.1,5.0,20.0,32.0,9.0,1.0,11.1,0.0,11.7,Match Report,2017-09-09,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Home,L,0.0,1.0,Eint Frankfurt,505.0,622.0,81.2,9740.0,3574.0,200.0,230.0,87.0,235.0,257.0,91.4,64.0,113.0,56.6,0,0.8,1.5,11.0,62.0,8.0,1.0,62.0,Match Report,2017-09-09,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Home,L,0.0,1.0,Eint Frankfurt,622.0,558.0,60.0,20.0,0.0,4.0,34,20.0,13.0,0.0,10.0,1.0,505.0,4.0,17.0,Match Report,2017-09-09,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Home,L,0.0,1.0,Eint Frankfurt,23.0,17.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2017-09-09,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Home,L,0.0,1.0,Eint Frankfurt,19.0,15,7.0,7.0,5.0,9.0,11.0,81.8,2.0,12.0,0.0,12.0,12,31,23.0,0.0,Match Report,2017-09-09,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Home,L,0.0,1.0,Eint Frankfurt,69.0,728.0,55.0,199.0,322.0,215.0,26.0,728.0,14.0,4.0,28.6,10.0,71.4,454.0,1875.0,943.0,19.0,19.0,6.0,10.0,14.0,501.0,62.0,Match Report,2017-09-09,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Home,L,0.0,1.0,Eint Frankfurt,3,0,0,17,14,4,34,12,15,0.0,0.0,0,46.0,17.0,22.0,43.6,Match Report
2017-09-16,18:30 (09:30),Bundesliga,Matchweek 4,Sat,Away,D,2.0,2.0,RB Leipzig,2,9,2,22.2,0.11,0.5,20.6,0.0,1,1,1.5,0.7,0.07,0.5,0.3,Match Report,2017-09-16,18:30 (09:30),Bundesliga,Matchweek 4,Sat,Away,D,2.0,2.0,RB Leipzig,3,2,1,33.3,0,1.5,-0.5,0,0,0,0,5.0,8.0,62.5,18.0,3.0,27.8,32.1,7.0,42.9,37.0,7.0,0.0,0.0,0.0,12.0,Match Report,2017-09-16,18:30 (09:30),Bundesliga,Matchweek 4,Sat,Away,D,2.0,2.0,RB Leipzig,425.0,545.0,78.0,7763.0,2777.0,191.0,212.0,90.1,177.0,221.0,80.1,49.0,87.0,56.3,1,0.4,0.7,8.0,35.0,10.0,1.0,39.0,Match Report,2017-09-16,18:30 (09:30),Bundesliga,Matchweek 4,Sat,Away,D,2.0,2.0,RB Leipzig,545.0,487.0,56.0,14.0,0.0,6.0,15,30.0,2.0,1.0,1.0,0.0,425.0,2.0,12.0,Match Report,2017-09-16,18:30 (09:30),Bundesliga,Matchweek 4,Sat,Away,D,2.0,2.0,RB Leipzig,18.0,15.0,1.0,0.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0,0.0,1.0,1.0,Match Report,2017-09-16,18:30 (09:30),Bundesliga,Matchweek 4,Sat,Away,D,2.0,2.0,RB Leipzig,28.0,19,11.0,14.0,3.0,5.0,15.0,33.3,10.0,12.0,1.0,11.0,23,51,11.0,0.0,Match Report,2017-09-16,18:30 (09:30),Bundesliga,Matchweek 4,Sat,Away,D,2.0,2.0,RB Leipzig,48.0,648.0,46.0,181.0,356.0,122.0,20.0,647.0,25.0,8.0,32.0,17.0,68.0,307.0,1505.0,679.0,9.0,11.0,2.0,5.0,15.0,421.0,39.0,Match Report,2017-09-16,18:30 (09:30),Bundesliga,Matchweek 4,Sat,Away,D,2.0,2.0,RB Leipzig,1,0,0,12,13,2,15,23,19,1.0,0.0,0,41.0,9.0,9.0,50.0,Match Report
2017-09-19,18:30 (09:30),Bundesliga,Matchweek 5,Tue,Home,W,2.0,0.0,Stuttgart,2,7,2,28.6,0.14,0.5,18.2,0.0,1,1,1.1,0.3,0.05,0.9,0.7,Match Report,2017-09-19,18:30 (09:30),Bundesliga,Matchweek 5,Tue,Home,W,2.0,0.0,Stuttgart,4,0,4,100.0,1,0.3,0.3,0,0,0,0,5.0,13.0,38.5,19.0,1.0,36.8,32.8,8.0,75.0,57.8,9.0,0.0,0.0,0.0,,Match Report,2017-09-19,18:30 (09:30),Bundesliga,Matchweek 5,Tue,Home,W,2.0,0.0,Stuttgart,524.0,618.0,84.8,9562.0,2667.0,206.0,232.0,88.8,255.0,281.0,90.7,49.0,80.0,61.3,1,0.3,0.6,5.0,37.0,6.0,2.0,46.0,Match Report,2017-09-19,18:30 (09:30),Bundesliga,Matchweek 5,Tue,Home,W,2.0,0.0,Stuttgart,618.0,575.0,42.0,10.0,0.0,7.0,10,19.0,4.0,0.0,3.0,0.0,524.0,1.0,8.0,Match Report,2017-09-19,18:30 (09:30),Bundesliga,Matchweek 5,Tue,Home,W,2.0,0.0,Stuttgart,15.0,10.0,4.0,0.0,0.0,1.0,0.0,4.0,2.0,1.0,0.0,0.0,1.0,0.0,Match Report,2017-09-19,18:30 (09:30),Bundesliga,Matchweek 5,Tue,Home,W,2.0,0.0,Stuttgart,23.0,21,13.0,9.0,1.0,14.0,23.0,60.9,9.0,10.0,1.0,9.0,12,35,9.0,0.0,Match Report,2017-09-19,18:30 (09:30),Bundesliga,Matchweek 5,Tue,Home,W,2.0,0.0,Stuttgart,55.0,700.0,41.0,160.0,412.0,137.0,15.0,699.0,13.0,5.0,38.5,8.0,61.5,406.0,2070.0,1196.0,17.0,11.0,2.0,13.0,11.0,521.0,45.0,Match Report,2017-09-19,18:30 (09:30),Bundesliga,Matchweek 5,Tue,Home,W,2.0,0.0,Stuttgart,0,0,0,9,8,1,10,12,21,1.0,0.0,0,52.0,10.0,11.0,47.6,Match Report
2017-09-23,18:30 (09:30),Bundesliga,Matchweek 6,Sat,Away,L,1.0,6.0,Dortmund,1,8,5,62.5,0.13,0.2,16.7,0.0,0,0,1.4,1.4,0.17,-0.4,-0.4,Match Report,2017-09-23,18:30 (09:30),Bundesliga,Matchweek 6,Sat,Away,L,1.0,6.0,Dortmund,9,6,3,33.3,0,6.1,0.1,0,0,0,0,3.0,16.0,18.8,13.0,1.0,69.2,53.2,9.0,77.8,56.3,14.0,0.0,0.0,0.0,11.0,Match Report,2017-09-23,18:30 (09:30),Bundesliga,Matchweek 6,Sat,Away,L,1.0,6.0,Dortmund,186.0,272.0,68.4,3121.0,1398.0,96.0,114.0,84.2,63.0,83.0,75.9,17.0,49.0,34.7,0,0.9,0.4,6.0,17.0,2.0,0.0,13.0,Match Report,2017-09-23,18:30 (09:30),Bundesliga,Matchweek 6,Sat,Away,L,1.0,6.0,Dortmund,272.0,226.0,45.0,8.0,1.0,2.0,2,21.0,0.0,0.0,0.0,0.0,186.0,1.0,13.0,Match Report,2017-09-23,18:30 (09:30),Bundesliga,Matchweek 6,Sat,Away,L,1.0,6.0,Dortmund,13.0,10.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2017-09-23,18:30 (09:30),Bundesliga,Matchweek 6,Sat,Away,L,1.0,6.0,Dortmund,12.0,9,7.0,4.0,1.0,4.0,17.0,23.5,13.0,19.0,3.0,16.0,11,23,19.0,2.0,Match Report,2017-09-23,18:30 (09:30),Bundesliga,Matchweek 6,Sat,Away,L,1.0,6.0,Dortmund,22.0,361.0,59.0,149.0,157.0,57.0,7.0,361.0,14.0,9.0,64.3,5.0,35.7,143.0,707.0,338.0,6.0,3.0,3.0,9.0,6.0,185.0,13.0,Match Report,2017-09-23,18:30 (09:30),Bundesliga,Matchweek 6,Sat,Away,L,1.0,6.0,Dortmund,1,0,0,6,2,1,2,11,9,0.0,0.0,0,24.0,3.0,9.0,25.0,Match Report
2017-09-30,15:30 (06:30),Bundesliga,Matchweek 7,Sat,Home,W,2.0,1.0,Hannover 96,2,22,7,31.8,0.05,0.14,19.6,0.0,1,1,2.5,1.7,0.08,-0.5,-0.7,Match Report,2017-09-30,15:30 (06:30),Bundesliga,Matchweek 7,Sat,Home,W,2.0,1.0,Hannover 96,2,1,1,50.0,0,0.9,-0.1,0,0,0,0,8.0,11.0,72.7,24.0,5.0,25.0,27.3,9.0,55.6,44.6,12.0,2.0,16.7,1.0,13.9,Match Report,2017-09-30,15:30 (06:30),Bundesliga,Matchweek 7,Sat,Home,W,2.0,1.0,Hannover 96,407.0,527.0,77.2,7427.0,2841.0,184.0,206.0,89.3,156.0,193.0,80.8,60.0,98.0,61.2,1,1.5,1.3,16.0,30.0,7.0,2.0,36.0,Match Report,2017-09-30,15:30 (06:30),Bundesliga,Matchweek 7,Sat,Home,W,2.0,1.0,Hannover 96,527.0,463.0,60.0,14.0,0.0,4.0,24,27.0,8.0,4.0,4.0,0.0,407.0,4.0,14.0,Match Report,2017-09-30,15:30 (06:30),Bundesliga,Matchweek 7,Sat,Home,W,2.0,1.0,Hannover 96,40.0,28.0,5.0,3.0,1.0,3.0,0.0,4.0,1.0,1.0,0.0,0.0,2.0,0.0,Match Report,2017-09-30,15:30 (06:30),Bundesliga,Matchweek 7,Sat,Home,W,2.0,1.0,Hannover 96,26.0,18,14.0,11.0,1.0,10.0,15.0,66.7,5.0,21.0,3.0,18.0,11,37,21.0,1.0,Match Report,2017-09-30,15:30 (06:30),Bundesliga,Matchweek 7,Sat,Home,W,2.0,1.0,Hannover 96,55.0,645.0,50.0,185.0,319.0,144.0,29.0,644.0,16.0,8.0,50.0,8.0,50.0,292.0,1483.0,705.0,8.0,14.0,3.0,10.0,9.0,405.0,36.0,Match Report,2017-09-30,15:30 (06:30),Bundesliga,Matchweek 7,Sat,Home,W,2.0,1.0,Hannover 96,1,0,0,12,14,4,24,11,18,1.0,0.0,0,27.0,22.0,16.0,57.9,Match Report
2017-10-15,18:00 (09:00),Bundesliga,Matchweek 8,Sun,Away,W,2.0,0.0,Werder Bremen,2,16,8,50.0,0.13,0.25,16.3,0.0,0,0,1.4,1.4,0.09,0.6,0.6,Match Report,2017-10-15,18:00 (09:00),Bundesliga,Matchweek 8,Sun,Away,W,2.0,0.0,Werder Bremen,5,0,5,100.0,1,1.2,1.2,0,0,0,0,11.0,23.0,47.8,47.0,3.0,40.4,34.9,9.0,44.4,42.9,22.0,2.0,9.1,0.0,5.5,Match Report,2017-10-15,18:00 (09:00),Bundesliga,Matchweek 8,Sun,Away,W,2.0,0.0,Werder Bremen,501.0,597.0,83.9,8773.0,3067.0,234.0,261.0,89.7,190.0,216.0,88.0,57.0,87.0,65.5,1,1.3,1.6,15.0,29.0,11.0,1.0,37.0,Match Report,2017-10-15,18:00 (09:00),Bundesliga,Matchweek 8,Sun,Away,W,2.0,0.0,Werder Bremen,597.0,552.0,44.0,13.0,3.0,7.0,6,16.0,5.0,1.0,3.0,0.0,501.0,1.0,11.0,Match Report,2017-10-15,18:00 (09:00),Bundesliga,Matchweek 8,Sun,Away,W,2.0,0.0,Werder Bremen,29.0,20.0,3.0,2.0,2.0,2.0,0.0,4.0,0.0,1.0,1.0,2.0,0.0,0.0,Match Report,2017-10-15,18:00 (09:00),Bundesliga,Matchweek 8,Sun,Away,W,2.0,0.0,Werder Bremen,13.0,10,7.0,5.0,1.0,8.0,17.0,47.1,9.0,14.0,4.0,10.0,8,21,25.0,1.0,Match Report,2017-10-15,18:00 (09:00),Bundesliga,Matchweek 8,Sun,Away,W,2.0,0.0,Werder Bremen,54.0,702.0,81.0,200.0,357.0,153.0,31.0,702.0,14.0,8.0,57.1,6.0,42.9,370.0,1980.0,1133.0,22.0,13.0,7.0,11.0,8.0,495.0,37.0,Match Report,2017-10-15,18:00 (09:00),Bundesliga,Matchweek 8,Sun,Away,W,2.0,0.0,Werder Bremen,0,0,0,10,10,1,6,8,10,0.0,0.0,0,40.0,21.0,13.0,61.8,Match Report
2017-10-21,15:30 (06:30),Bundesliga,Matchweek 9,Sat,Home,L,1.0,5.0,Leverkusen,1,18,3,16.7,0.06,0.33,16.2,2.0,0,0,2.3,2.3,0.13,-1.3,-1.3,Match Report,2017-10-21,15:30 (06:30),Bundesliga,Matchweek 9,Sat,Home,L,1.0,5.0,Leverkusen,6,5,1,16.7,0,2.0,-3.0,0,0,0,0,1.0,5.0,20.0,31.0,2.0,9.7,25.1,7.0,28.6,40.6,16.0,0.0,0.0,0.0,9.6,Match Report,2017-10-21,15:30 (06:30),Bundesliga,Matchweek 9,Sat,Home,L,1.0,5.0,Leverkusen,504.0,595.0,84.7,9443.0,3146.0,218.0,245.0,89.0,199.0,219.0,90.9,76.0,101.0,75.2,1,2.0,2.0,13.0,36.0,11.0,2.0,46.0,Match Report,2017-10-21,15:30 (06:30),Bundesliga,Matchweek 9,Sat,Home,L,1.0,5.0,Leverkusen,595.0,542.0,51.0,9.0,0.0,7.0,17,25.0,4.0,0.0,4.0,0.0,504.0,2.0,12.0,Match Report,2017-10-21,15:30 (06:30),Bundesliga,Matchweek 9,Sat,Home,L,1.0,5.0,Leverkusen,31.0,23.0,2.0,0.0,3.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Match Report,2017-10-21,15:30 (06:30),Bundesliga,Matchweek 9,Sat,Home,L,1.0,5.0,Leverkusen,17.0,9,6.0,9.0,2.0,4.0,11.0,36.4,7.0,13.0,3.0,10.0,11,28,9.0,1.0,Match Report,2017-10-21,15:30 (06:30),Bundesliga,Matchweek 9,Sat,Home,L,1.0,5.0,Leverkusen,58.0,691.0,48.0,179.0,381.0,139.0,22.0,691.0,27.0,14.0,51.9,13.0,48.1,332.0,1609.0,860.0,13.0,8.0,3.0,10.0,8.0,499.0,46.0,Match Report,2017-10-21,15:30 (06:30),Bundesliga,Matchweek 9,Sat,Home,L,1.0,5.0,Leverkusen,3,0,0,11,11,2,17,11,9,0.0,0.0,0,34.0,12.0,9.0,57.1,Match Report
