For Brighton & Hove Albion_Date,For Brighton & Hove Albion_Time,For Brighton & Hove Albion_Comp,For Brighton & Hove Albion_Round,For Brighton & Hove Albion_Day,For Brighton & Hove Albion_Venue,For Brighton & Hove Albion_Result,For Brighton & Hove Albion_GF,For Brighton & Hove Albion_GA,For Brighton & Hove Albion_Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,For Brighton & Hove Albion_Date,For Brighton & Hove Albion_Time,For Brighton & Hove Albion_Comp,For Brighton & Hove Albion_Round,For Brighton & Hove Albion_Day,For Brighton & Hove Albion_Venue,For Brighton & Hove Albion_Result,For Brighton & Hove Albion_GF,For Brighton & Hove Albion_GA,For Brighton & Hove Albion_Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,For Brighton & Hove Albion_Date,For Brighton & Hove Albion_Time,For Brighton & Hove Albion_Comp,For Brighton & Hove Albion_Round,For Brighton & Hove Albion_Day,For Brighton & Hove Albion_Venue,For Brighton & Hove Albion_Result,For Brighton & Hove Albion_GF,For Brighton & Hove Albion_GA,For Brighton & Hove Albion_Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,For Brighton & Hove Albion_Date,For Brighton & Hove Albion_Time,For Brighton & Hove Albion_Comp,For Brighton & Hove Albion_Round,For Brighton & Hove Albion_Day,For Brighton & Hove Albion_Venue,For Brighton & Hove Albion_Result,For Brighton & Hove Albion_GF,For Brighton & Hove Albion_GA,For Brighton & Hove Albion_Opponent,For Brighton & Hove Albion_Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,For Brighton & Hove Albion_Date,For Brighton & Hove Albion_Time,For Brighton & Hove Albion_Comp,For Brighton & Hove Albion_Round,For Brighton & Hove Albion_Day,For Brighton & Hove Albion_Venue,For Brighton & Hove Albion_Result,For Brighton & Hove Albion_GF,For Brighton & Hove Albion_GA,For Brighton & Hove Albion_Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,For Brighton & Hove Albion_Date,For Brighton & Hove Albion_Time,For Brighton & Hove Albion_Comp,For Brighton & Hove Albion_Round,For Brighton & Hove Albion_Day,For Brighton & Hove Albion_Venue,For Brighton & Hove Albion_Result,For Brighton & Hove Albion_GF,For Brighton & Hove Albion_GA,For Brighton & Hove Albion_Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,For Brighton & Hove Albion_Date,For Brighton & Hove Albion_Time,For Brighton & Hove Albion_Comp,For Brighton & Hove Albion_Round,For Brighton & Hove Albion_Day,For Brighton & Hove Albion_Venue,For Brighton & Hove Albion_Result,For Brighton & Hove Albion_GF,For Brighton & Hove Albion_GA,For Brighton & Hove Albion_Opponent,For Brighton & Hove Albion_Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,For Brighton & Hove Albion_Date,For Brighton & Hove Albion_Time,For Brighton & Hove Albion_Comp,For Brighton & Hove Albion_Round,For Brighton & Hove Albion_Day,For Brighton & Hove Albion_Venue,For Brighton & Hove Albion_Result,For Brighton & Hove Albion_GF,For Brighton & Hove Albion_GA,For Brighton & Hove Albion_Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2017-08-12,17:30 (09:30),Premier League,Matchweek 1,Sat,Home,L,0,2,Manchester City,0,6,2,33.3,0.00,0.00,18.1,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Match Report,2017-08-12,17:30 (09:30),Premier League,Matchweek 1,Sat,Home,L,0,2,Manchester City,4,2,3,50.0,0,1.7,+0.7,0,0,0,0,11,25,44.0,19,3,73.7,48.0,11,100.0,62.9,21,0,0.0,0,5.0,Match Report,2017-08-12,17:30 (09:30),Premier League,Matchweek 1,Sat,Home,L,0,2,Manchester City,146,248,58.9,3001,1685,64,91,70.3,48,68,70.6,26,65,40.0,0,0.1,0.2,2,9,1,0,5,Match Report,2017-08-12,17:30 (09:30),Premier League,Matchweek 1,Sat,Home,L,0,2,Manchester City,248,198,44,9,0,1,8,18,3,2,1,0,146,6,7,Match Report,2017-08-12,17:30 (09:30),Premier League,Matchweek 1,Sat,Home,L,0,2,Manchester City,9,3,1,0,4,1,0,0,0,0,0,0,0,0,Match Report,2017-08-12,17:30 (09:30),Premier League,Matchweek 1,Sat,Home,L,0,2,Manchester City,10,8,9,1,0,6,12,50.0,6,10,5,5,12,22,43,1,Match Report,2017-08-12,17:30 (09:30),Premier League,Matchweek 1,Sat,Home,L,0,2,Manchester City,23,343,76,177,119,51,9,343,9,7,77.8,2,22.2,126,737,366,3,5,1,2,8,144,4,Match Report,2017-08-12,17:30 (09:30),Premier League,Matchweek 1,Sat,Home,L,0,2,Manchester City,0,0,0,6,8,6,8,12,8,0,0,1,42,13,13,50.0,Match Report
2017-08-19,15:00 (07:00),Premier League,Matchweek 2,Sat,Away,L,0,2,Leicester City,0,5,2,40.0,0.00,0.00,25.2,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Match Report,2017-08-19,15:00 (07:00),Premier League,Matchweek 2,Sat,Away,L,0,2,Leicester City,4,2,2,50.0,0,1.6,-0.4,0,0,0,0,9,22,40.9,30,6,50.0,37.5,9,77.8,53.7,15,2,13.3,0,7.4,Match Report,2017-08-19,15:00 (07:00),Premier League,Matchweek 2,Sat,Away,L,0,2,Leicester City,463,573,80.8,9797,3363,142,159,89.3,228,262,87.0,87,132,65.9,0,0.1,0.3,2,36,5,2,55,Match Report,2017-08-19,15:00 (07:00),Premier League,Matchweek 2,Sat,Away,L,0,2,Leicester City,573,526,45,9,0,9,17,22,2,0,2,0,463,2,7,Match Report,2017-08-19,15:00 (07:00),Premier League,Matchweek 2,Sat,Away,L,0,2,Leicester City,8,8,0,0,0,0,0,0,0,0,0,0,0,0,Match Report,2017-08-19,15:00 (07:00),Premier League,Matchweek 2,Sat,Away,L,0,2,Leicester City,11,6,8,3,0,6,14,42.9,8,9,6,3,9,20,22,2,Match Report,2017-08-19,15:00 (07:00),Premier League,Matchweek 2,Sat,Away,L,0,2,Leicester City,55,660,68,246,316,106,9,660,9,5,55.6,4,44.4,326,2090,911,18,8,2,20,7,461,54,Match Report,2017-08-19,15:00 (07:00),Premier League,Matchweek 2,Sat,Away,L,0,2,Leicester City,0,0,0,10,7,2,17,9,6,0,0,0,47,16,17,48.5,Match Report
2017-08-22,19:45 (11:45),EFL Cup,Second round,Tue,Home,W,1,0,Barnet,1,11,4,36.4,0.09,0.25,,,0,0,,,,,,Match Report,2017-08-22,19:45 (11:45),EFL Cup,Second round,Tue,Home,W,1,0,Barnet,1,0,1,100.0,1,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2017-08-22,19:45 (11:45),EFL Cup,Second round,Tue,Home,W,1,0,Barnet,,,,,,,,,,,,,,,0,,,,,,,,Match Report,2017-08-22,19:45 (11:45),EFL Cup,Second round,Tue,Home,W,1,0,Barnet,,,,,,,8,,,,,,,,,Match Report,2017-08-22,19:45 (11:45),EFL Cup,Second round,Tue,Home,W,1,0,Barnet,,,,,,,,,,,,,,,Match Report,2017-08-22,19:45 (11:45),EFL Cup,Second round,Tue,Home,W,1,0,Barnet,,9,,,,,,,,,,,10,0,,,Match Report,2017-08-22,19:45 (11:45),EFL Cup,Second round,Tue,Home,W,1,0,Barnet,62,,,,,,,,,,,,,,,,,,,,,,,Match Report,2017-08-22,19:45 (11:45),EFL Cup,Second round,Tue,Home,W,1,0,Barnet,1,0,0,4,7,3,8,10,9,0,0,0,,,,,Match Report
2017-08-26,15:00 (07:00),Premier League,Matchweek 3,Sat,Away,D,0,0,Watford,0,16,2,12.5,0.00,0.00,18.0,1,0,0,1.1,1.1,0.07,-1.1,-1.1,Match Report,2017-08-26,15:00 (07:00),Premier League,Matchweek 3,Sat,Away,D,0,0,Watford,0,0,0,,1,0.0,0.0,0,0,0,0,7,12,58.3,24,10,37.5,34.5,6,50.0,41.8,10,4,40.0,0,6.4,Match Report,2017-08-26,15:00 (07:00),Premier League,Matchweek 3,Sat,Away,D,0,0,Watford,391,494,79.1,8520,2780,112,138,81.2,195,213,91.5,79,121,65.3,0,0.9,0.8,13,37,9,3,54,Match Report,2017-08-26,15:00 (07:00),Premier League,Matchweek 3,Sat,Away,D,0,0,Watford,494,450,39,6,0,11,31,15,11,9,0,0,391,5,10,Match Report,2017-08-26,15:00 (07:00),Premier League,Matchweek 3,Sat,Away,D,0,0,Watford,27,21,3,0,1,2,0,0,0,0,0,0,0,0,Match Report,2017-08-26,15:00 (07:00),Premier League,Matchweek 3,Sat,Away,D,0,0,Watford,12,9,5,5,2,3,11,27.3,8,10,3,7,7,19,23,0,Match Report,2017-08-26,15:00 (07:00),Premier League,Matchweek 3,Sat,Away,D,0,0,Watford,57,589,58,181,243,172,23,589,11,5,45.5,6,54.5,315,1794,1036,19,14,1,11,4,388,53,Match Report,2017-08-26,15:00 (07:00),Premier League,Matchweek 3,Sat,Away,D,0,0,Watford,1,0,0,18,6,5,31,7,9,0,0,0,46,20,19,51.3,Match Report
2017-09-09,15:00 (07:00),Premier League,Matchweek 4,Sat,Home,W,3,1,West Brom,3,12,6,50.0,0.25,0.50,23.8,0,0,0,0.4,0.4,0.04,+2.6,+2.6,Match Report,2017-09-09,15:00 (07:00),Premier League,Matchweek 4,Sat,Home,W,3,1,West Brom,3,1,2,66.7,0,0.6,-0.4,0,0,0,0,7,17,41.2,23,9,30.4,33.2,13,76.9,57.5,23,3,13.0,0,8.7,Match Report,2017-09-09,15:00 (07:00),Premier League,Matchweek 4,Sat,Home,W,3,1,West Brom,386,487,79.3,7395,2605,173,192,90.1,161,190,84.7,49,94,52.1,3,0.4,0.2,9,37,5,2,38,Match Report,2017-09-09,15:00 (07:00),Premier League,Matchweek 4,Sat,Home,W,3,1,West Brom,487,448,38,5,0,6,13,16,2,2,0,0,386,1,9,Match Report,2017-09-09,15:00 (07:00),Premier League,Matchweek 4,Sat,Home,W,3,1,West Brom,24,22,2,0,0,0,0,6,6,0,0,0,0,0,Match Report,2017-09-09,15:00 (07:00),Premier League,Matchweek 4,Sat,Home,W,3,1,West Brom,17,11,11,6,0,5,15,33.3,10,8,2,6,17,34,45,0,Match Report,2017-09-09,15:00 (07:00),Premier League,Matchweek 4,Sat,Home,W,3,1,West Brom,48,606,65,229,280,105,4,606,5,3,60.0,2,40.0,372,2059,1104,13,8,0,11,6,379,36,Match Report,2017-09-09,15:00 (07:00),Premier League,Matchweek 4,Sat,Home,W,3,1,West Brom,2,0,0,9,4,1,13,17,11,0,0,0,50,14,23,37.8,Match Report
2017-09-15,20:00 (12:00),Premier League,Matchweek 5,Fri,Away,L,1,2,Bournemouth,1,9,1,11.1,0.11,1.00,14.8,0,0,0,0.9,0.9,0.10,+0.1,+0.1,Match Report,2017-09-15,20:00 (12:00),Premier League,Matchweek 5,Fri,Away,L,1,2,Bournemouth,3,2,1,33.3,0,1.5,-0.5,0,0,0,0,11,27,40.7,19,0,73.7,46.5,13,100.0,58.2,14,1,7.1,0,3.5,Match Report,2017-09-15,20:00 (12:00),Premier League,Matchweek 5,Fri,Away,L,1,2,Bournemouth,308,427,72.1,6359,2416,114,138,82.6,116,144,80.6,64,112,57.1,1,0.8,0.5,6,26,1,1,31,Match Report,2017-09-15,20:00 (12:00),Premier League,Matchweek 5,Fri,Away,L,1,2,Bournemouth,427,377,49,6,0,8,13,23,4,3,1,0,308,1,10,Match Report,2017-09-15,20:00 (12:00),Premier League,Matchweek 5,Fri,Away,L,1,2,Bournemouth,16,5,4,4,3,0,0,2,2,0,0,0,0,0,Match Report,2017-09-15,20:00 (12:00),Premier League,Matchweek 5,Fri,Away,L,1,2,Bournemouth,19,16,14,5,0,9,27,33.3,18,9,7,2,13,32,26,2,Match Report,2017-09-15,20:00 (12:00),Premier League,Matchweek 5,Fri,Away,L,1,2,Bournemouth,38,522,71,212,233,85,12,522,20,13,65.0,7,35.0,250,1185,496,8,8,2,14,5,307,31,Match Report,2017-09-15,20:00 (12:00),Premier League,Matchweek 5,Fri,Away,L,1,2,Bournemouth,0,0,0,12,4,1,13,13,16,0,0,0,52,17,21,44.7,Match Report
2017-09-19,19:45 (11:45),EFL Cup,Third round,Tue,Away,L,0,1,Bournemouth,0,13,5,38.5,0.00,0.00,,,0,0,,,,,,Match Report,2017-09-19,19:45 (11:45),EFL Cup,Third round,Tue,Away,L,0,1,Bournemouth,10,1,9,90.0,0,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2017-09-19,19:45 (11:45),EFL Cup,Third round,Tue,Away,L,0,1,Bournemouth,,,,,,,,,,,,,,,0,,,,,,,,Match Report,2017-09-19,19:45 (11:45),EFL Cup,Third round,Tue,Away,L,0,1,Bournemouth,,,,,,,26,,,,,,,,,Match Report,2017-09-19,19:45 (11:45),EFL Cup,Third round,Tue,Away,L,0,1,Bournemouth,,,,,,,,,,,,,,,Match Report,2017-09-19,19:45 (11:45),EFL Cup,Third round,Tue,Away,L,0,1,Bournemouth,,15,,,,,,,,,,,18,0,,,Match Report,2017-09-19,19:45 (11:45),EFL Cup,Third round,Tue,Away,L,0,1,Bournemouth,40,,,,,,,,,,,,,,,,,,,,,,,Match Report,2017-09-19,19:45 (11:45),EFL Cup,Third round,Tue,Away,L,0,1,Bournemouth,1,0,0,12,12,6,26,18,15,0,0,0,,,,,Match Report
2017-09-24,16:00 (08:00),Premier League,Matchweek 6,Sun,Home,W,1,0,Newcastle Utd,1,7,3,42.9,0.14,0.33,12.7,0,0,0,1.0,1.0,0.14,0.0,0.0,Match Report,2017-09-24,16:00 (08:00),Premier League,Matchweek 6,Sun,Home,W,1,0,Newcastle Utd,5,0,5,100.0,1,0.8,+0.8,0,0,0,0,10,25,40.0,22,2,68.2,44.0,11,90.9,59.3,15,1,6.7,0,3.0,Match Report,2017-09-24,16:00 (08:00),Premier League,Matchweek 6,Sun,Home,W,1,0,Newcastle Utd,365,487,74.9,7193,2475,152,176,86.4,143,181,79.0,58,102,56.9,1,0.6,0.7,5,26,6,1,41,Match Report,2017-09-24,16:00 (08:00),Premier League,Matchweek 6,Sun,Home,W,1,0,Newcastle Utd,487,439,47,8,1,6,21,25,2,2,0,0,365,1,6,Match Report,2017-09-24,16:00 (08:00),Premier League,Matchweek 6,Sun,Home,W,1,0,Newcastle Utd,14,11,2,1,0,0,0,2,1,1,0,0,0,0,Match Report,2017-09-24,16:00 (08:00),Premier League,Matchweek 6,Sun,Home,W,1,0,Newcastle Utd,16,8,7,7,2,7,18,38.9,11,14,5,9,11,27,44,1,Match Report,2017-09-24,16:00 (08:00),Premier League,Matchweek 6,Sun,Home,W,1,0,Newcastle Utd,49,593,75,199,262,138,20,593,12,6,50.0,6,50.0,306,1593,780,13,9,1,7,8,363,41,Match Report,2017-09-24,16:00 (08:00),Premier League,Matchweek 6,Sun,Home,W,1,0,Newcastle Utd,2,0,0,6,8,1,21,11,8,0,0,0,43,32,20,61.5,Match Report
2017-10-01,12:00 (04:00),Premier League,Matchweek 7,Sun,Away,L,0,2,Arsenal,0,9,1,11.1,0.00,0.00,19.9,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Match Report,2017-10-01,12:00 (04:00),Premier League,Matchweek 7,Sun,Away,L,0,2,Arsenal,8,2,6,75.0,0,2.7,+0.7,0,0,0,0,5,26,19.2,25,6,52.0,40.7,14,92.9,54.6,10,1,10.0,2,27.0,Match Report,2017-10-01,12:00 (04:00),Premier League,Matchweek 7,Sun,Away,L,0,2,Arsenal,299,410,72.9,5090,2008,138,151,91.4,108,140,77.1,31,82,37.8,0,0.3,0.4,7,20,6,2,31,Match Report,2017-10-01,12:00 (04:00),Premier League,Matchweek 7,Sun,Away,L,0,2,Arsenal,410,351,56,8,0,4,18,26,5,5,0,0,299,3,8,Match Report,2017-10-01,12:00 (04:00),Premier League,Matchweek 7,Sun,Away,L,0,2,Arsenal,17,10,3,2,0,1,1,0,0,0,0,0,0,0,Match Report,2017-10-01,12:00 (04:00),Premier League,Matchweek 7,Sun,Away,L,0,2,Arsenal,10,6,9,1,0,3,13,23.1,10,16,9,7,19,29,24,1,Match Report,2017-10-01,12:00 (04:00),Premier League,Matchweek 7,Sun,Away,L,0,2,Arsenal,36,507,90,214,179,121,15,507,18,10,55.6,8,44.4,255,1530,722,16,15,3,8,7,298,31,Match Report,2017-10-01,12:00 (04:00),Premier League,Matchweek 7,Sun,Away,L,0,2,Arsenal,2,0,0,8,7,3,18,19,6,0,0,0,46,13,30,30.2,Match Report
2017-10-15,13:30 (05:30),Premier League,Matchweek 8,Sun,Home,D,1,1,Everton,1,12,3,25.0,0.08,0.33,16.0,0,0,0,1.0,1.0,0.09,0.0,0.0,Match Report,2017-10-15,13:30 (05:30),Premier League,Matchweek 8,Sun,Home,D,1,1,Everton,6,1,5,100.0,0,1.8,+0.8,1,1,0,0,11,23,47.8,24,4,70.8,48.5,9,66.7,50.8,9,0,0.0,0,4.0,Match Report,2017-10-15,13:30 (05:30),Premier League,Matchweek 8,Sun,Home,D,1,1,Everton,307,439,69.9,5916,2552,124,148,83.8,114,151,75.5,53,105,50.5,1,0.8,1.1,6,22,10,4,35,Match Report,2017-10-15,13:30 (05:30),Premier League,Matchweek 8,Sun,Home,D,1,1,Everton,439,389,45,9,1,4,27,18,7,6,0,0,307,5,9,Match Report,2017-10-15,13:30 (05:30),Premier League,Matchweek 8,Sun,Home,D,1,1,Everton,18,10,2,2,3,1,0,2,1,0,0,1,0,0,Match Report,2017-10-15,13:30 (05:30),Premier League,Matchweek 8,Sun,Home,D,1,1,Everton,18,9,10,7,1,6,18,33.3,12,11,2,9,16,34,30,0,Match Report,2017-10-15,13:30 (05:30),Premier League,Matchweek 8,Sun,Home,D,1,1,Everton,47,560,57,214,221,131,22,560,16,9,56.3,7,43.8,281,1605,860,18,12,3,8,13,304,35,Match Report,2017-10-15,13:30 (05:30),Premier League,Matchweek 8,Sun,Home,D,1,1,Everton,4,0,0,12,9,5,27,16,9,0,1,0,65,25,24,51.0,Match Report
