For Mönchengladbach_Date,For Mönchengladbach_Time,For Mönchengladbach_Comp,For Mönchengladbach_Round,For Mönchengladbach_Day,For Mönchengladbach_Venue,For Mönchengladbach_Result,For Mönchengladbach_GF,For Mönchengladbach_GA,For Mönchengladbach_Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,For Mönchengladbach_Date,For Mönchengladbach_Time,For Mönchengladbach_Comp,For Mönchengladbach_Round,For Mönchengladbach_Day,For Mönchengladbach_Venue,For Mönchengladbach_Result,For Mönchengladbach_GF,For Mönchengladbach_GA,For Mönchengladbach_Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,For Mönchengladbach_Date,For Mönchengladbach_Time,For Mönchengladbach_Comp,For Mönchengladbach_Round,For Mönchengladbach_Day,For Mönchengladbach_Venue,For Mönchengladbach_Result,For Mönchengladbach_GF,For Mönchengladbach_GA,For Mönchengladbach_Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,For Mönchengladbach_Date,For Mönchengladbach_Time,For Mönchengladbach_Comp,For Mönchengladbach_Round,For Mönchengladbach_Day,For Mönchengladbach_Venue,For Mönchengladbach_Result,For Mönchengladbach_GF,For Mönchengladbach_GA,For Mönchengladbach_Opponent,For Mönchengladbach_Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,For Mönchengladbach_Date,For Mönchengladbach_Time,For Mönchengladbach_Comp,For Mönchengladbach_Round,For Mönchengladbach_Day,For Mönchengladbach_Venue,For Mönchengladbach_Result,For Mönchengladbach_GF,For Mönchengladbach_GA,For Mönchengladbach_Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,For Mönchengladbach_Date,For Mönchengladbach_Time,For Mönchengladbach_Comp,For Mönchengladbach_Round,For Mönchengladbach_Day,For Mönchengladbach_Venue,For Mönchengladbach_Result,For Mönchengladbach_GF,For Mönchengladbach_GA,For Mönchengladbach_Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,For Mönchengladbach_Date,For Mönchengladbach_Time,For Mönchengladbach_Comp,For Mönchengladbach_Round,For Mönchengladbach_Day,For Mönchengladbach_Venue,For Mönchengladbach_Result,For Mönchengladbach_GF,For Mönchengladbach_GA,For Mönchengladbach_Opponent,For Mönchengladbach_Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,For Mönchengladbach_Date,For Mönchengladbach_Time,For Mönchengladbach_Comp,For Mönchengladbach_Round,For Mönchengladbach_Day,For Mönchengladbach_Venue,For Mönchengladbach_Result,For Mönchengladbach_GF,For Mönchengladbach_GA,For Mönchengladbach_Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2020-09-12,15:30 (06:30),DFB-Pokal,First round,Sat,Away,W,8,0,Oberneuland,8,40,14,35.0,0.20,0.57,,,0,0,,,,,,Match Report,2020-09-12,15:30 (06:30),DFB-Pokal,First round,Sat,Away,W,8,0,Oberneuland,0,0,0,,1,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2020-09-12,15:30 (06:30),DFB-Pokal,First round,Sat,Away,W,8,0,Oberneuland,,,,,,,,,,,,,,,7,,,,,,,,Match Report,2020-09-12,15:30 (06:30),DFB-Pokal,First round,Sat,Away,W,8,0,Oberneuland,,,,,,,30,,,,,,,,,Match Report,2020-09-12,15:30 (06:30),DFB-Pokal,First round,Sat,Away,W,8,0,Oberneuland,,,,,,,,,,,,,,,Match Report,2020-09-12,15:30 (06:30),DFB-Pokal,First round,Sat,Away,W,8,0,Oberneuland,,12,,,,,,,,,,,8,0,,,Match Report,2020-09-12,15:30 (06:30),DFB-Pokal,First round,Sat,Away,W,8,0,Oberneuland,81,,,,,,,,,,,,,,,,,,,,,,,Match Report,2020-09-12,15:30 (06:30),DFB-Pokal,First round,Sat,Away,W,8,0,Oberneuland,0,0,0,6,7,2,30,8,12,,,0,,,,,Match Report
2020-09-19,18:30 (09:30),Bundesliga,Matchweek 1,Sat,Away,L,0,3,Dortmund,0,8,2,25.0,0.00,0.00,19.7,0,0,0,0.6,0.6,0.08,-0.6,-0.6,Match Report,2020-09-19,18:30 (09:30),Bundesliga,Matchweek 1,Sat,Away,L,0,3,Dortmund,4,3,1,50.0,0,2.0,-1.0,1,1,0,0,0,1,0.0,23,2,4.3,21.7,6,0.0,20.2,4,0,0.0,0,9.5,Match Report,2020-09-19,18:30 (09:30),Bundesliga,Matchweek 1,Sat,Away,L,0,3,Dortmund,536,619,86.6,9339,2964,234,257,91.1,230,256,89.8,54,71,76.1,0,0.6,0.8,7,45,6,1,54,Match Report,2020-09-19,18:30 (09:30),Bundesliga,Matchweek 1,Sat,Away,L,0,3,Dortmund,619,574,43,12,0,5,12,18,3,3,0,0,536,2,6,Match Report,2020-09-19,18:30 (09:30),Bundesliga,Matchweek 1,Sat,Away,L,0,3,Dortmund,14,10,2,1,1,0,0,0,0,0,0,0,0,0,Match Report,2020-09-19,18:30 (09:30),Bundesliga,Matchweek 1,Sat,Away,L,0,3,Dortmund,15,11,3,10,2,5,16,31.3,11,12,3,9,13,28,6,0,Match Report,2020-09-19,18:30 (09:30),Bundesliga,Matchweek 1,Sat,Away,L,0,3,Dortmund,52,701,49,177,385,146,16,701,7,5,71.4,2,28.6,471,2257,1108,16,15,4,19,8,532,54,Match Report,2020-09-19,18:30 (09:30),Bundesliga,Matchweek 1,Sat,Away,L,0,3,Dortmund,1,0,0,9,9,2,12,13,11,0,1,0,40,9,1,90.0,Match Report
2020-09-26,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Home,D,1,1,Union Berlin,1,14,6,42.9,0.07,0.17,15.4,0,0,0,1.8,1.8,0.13,-0.8,-0.8,Match Report,2020-09-26,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Home,D,1,1,Union Berlin,2,1,1,50.0,0,0.6,-0.4,0,0,0,0,4,6,66.7,25,4,24.0,22.2,7,0.0,18.0,12,0,0.0,1,27.0,Match Report,2020-09-26,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Home,D,1,1,Union Berlin,568,688,82.6,9475,3163,293,330,88.8,219,252,86.9,46,76,60.5,1,1.4,1.1,9,36,3,2,53,Match Report,2020-09-26,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Home,D,1,1,Union Berlin,688,623,61,16,0,7,18,29,7,2,4,0,568,4,12,Match Report,2020-09-26,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Home,D,1,1,Union Berlin,23,12,3,4,2,2,0,2,0,1,0,0,1,0,Match Report,2020-09-26,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Home,D,1,1,Union Berlin,12,6,5,7,0,3,8,37.5,5,10,4,6,15,27,21,0,Match Report,2020-09-26,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Home,D,1,1,Union Berlin,63,788,52,202,436,155,18,788,22,11,50.0,11,50.0,467,2612,1415,14,10,4,10,9,564,52,Match Report,2020-09-26,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Home,D,1,1,Union Berlin,1,0,0,11,16,4,18,15,6,0,0,0,49,24,11,68.6,Match Report
2020-10-03,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Away,W,3,1,Köln,3,14,9,64.3,0.14,0.22,18.7,0,1,1,2.1,1.3,0.09,+0.9,+0.7,Match Report,2020-10-03,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Away,W,3,1,Köln,2,1,1,50.0,0,0.1,-0.9,0,0,0,0,3,13,23.1,57,6,21.1,29.4,6,16.7,27.2,14,0,0.0,1,12.5,Match Report,2020-10-03,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Away,W,3,1,Köln,537,650,82.6,9451,3519,252,274,92.0,223,251,88.8,51,88,58.0,2,1.2,0.8,11,25,11,1,40,Match Report,2020-10-03,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Away,W,3,1,Köln,650,593,55,15,3,4,18,22,10,4,4,0,537,2,11,Match Report,2020-10-03,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Away,W,3,1,Köln,26,15,4,1,2,3,1,6,3,1,0,1,1,0,Match Report,2020-10-03,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Away,W,3,1,Köln,17,14,4,12,1,7,15,46.7,8,9,3,6,15,32,16,1,Match Report,2020-10-03,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Away,W,3,1,Köln,59,763,80,282,364,125,23,762,18,7,38.9,11,61.1,547,2102,1110,21,11,6,17,7,534,39,Match Report,2020-10-03,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Away,W,3,1,Köln,3,0,0,12,16,2,18,15,14,1,0,0,60,12,11,52.2,Match Report
2020-10-17,20:30 (11:30),Bundesliga,Matchweek 4,Sat,Home,D,1,1,Wolfsburg,1,12,1,8.3,0.00,0.00,18.9,1,1,1,1.9,1.1,0.09,-0.9,-1.1,Match Report,2020-10-17,20:30 (11:30),Bundesliga,Matchweek 4,Sat,Home,D,1,1,Wolfsburg,6,1,5,83.3,0,1.1,+0.1,0,0,0,0,2,9,22.2,27,4,29.6,32.0,7,14.3,20.7,13,0,0.0,0,13.5,Match Report,2020-10-17,20:30 (11:30),Bundesliga,Matchweek 4,Sat,Home,D,1,1,Wolfsburg,338,456,74.1,5940,2248,144,180,80.0,138,172,80.2,36,66,54.5,0,1.0,1.6,8,26,7,0,30,Match Report,2020-10-17,20:30 (11:30),Bundesliga,Matchweek 4,Sat,Home,D,1,1,Wolfsburg,456,410,44,15,0,2,19,15,5,3,1,0,338,2,7,Match Report,2020-10-17,20:30 (11:30),Bundesliga,Matchweek 4,Sat,Home,D,1,1,Wolfsburg,22,13,4,0,2,3,0,1,0,0,0,0,1,0,Match Report,2020-10-17,20:30 (11:30),Bundesliga,Matchweek 4,Sat,Home,D,1,1,Wolfsburg,20,11,7,12,1,5,18,27.8,13,19,4,15,11,31,25,0,Match Report,2020-10-17,20:30 (11:30),Bundesliga,Matchweek 4,Sat,Home,D,1,1,Wolfsburg,47,600,68,218,278,110,28,599,15,6,40.0,9,60.0,236,1427,756,16,7,4,20,11,334,29,Match Report,2020-10-17,20:30 (11:30),Bundesliga,Matchweek 4,Sat,Home,D,1,1,Wolfsburg,2,0,0,14,13,2,19,11,11,1,0,0,60,18,19,48.6,Match Report
2020-10-21,21:00 (12:00),Champions Lg,Group stage,Wed,Away,D,2,2,it Inter,2,5,1,20.0,0.20,1.00,16.5,0,1,1,1.4,0.7,0.13,+0.6,+0.3,Match Report,2020-10-21,21:00 (12:00),Champions Lg,Group stage,Wed,Away,D,2,2,it Inter,4,2,2,50.0,0,2.0,0.0,0,0,0,0,6,15,40.0,27,1,44.4,35.1,11,27.3,29.6,17,1,5.9,1,12.3,Match Report,2020-10-21,21:00 (12:00),Champions Lg,Group stage,Wed,Away,D,2,2,it Inter,333,439,75.9,5900,2136,148,178,83.1,122,149,81.9,44,81,54.3,1,0.6,0.8,4,23,2,0,23,Match Report,2020-10-21,21:00 (12:00),Champions Lg,Group stage,Wed,Away,D,2,2,it Inter,439,385,54,18,1,6,14,20,2,0,2,0,333,0,8,Match Report,2020-10-21,21:00 (12:00),Champions Lg,Group stage,Wed,Away,D,2,2,it Inter,10,7,1,0,1,1,0,4,3,0,0,0,1,0,Match Report,2020-10-21,21:00 (12:00),Champions Lg,Group stage,Wed,Away,D,2,2,it Inter,21,11,11,8,2,10,22,45.5,12,22,5,17,17,38,17,0,Match Report,2020-10-21,21:00 (12:00),Champions Lg,Group stage,Wed,Away,D,2,2,it Inter,43,560,73,209,247,107,9,559,19,13,68.4,6,31.6,249,1351,577,20,7,2,6,10,333,23,Match Report,2020-10-21,21:00 (12:00),Champions Lg,Group stage,Wed,Away,D,2,2,it Inter,1,0,0,11,15,0,14,17,11,1,0,0,50,19,12,61.3,Match Report
2020-10-24,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Away,W,3,2,Mainz 05,3,20,10,50.0,0.10,0.20,15.2,0,1,1,3.0,2.4,0.12,0.0,-0.4,Match Report,2020-10-24,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Away,W,3,2,Mainz 05,7,2,5,71.4,0,2.6,+0.6,0,0,0,0,3,8,37.5,30,4,26.7,31.0,4,0.0,15.0,10,0,0.0,0,,Match Report,2020-10-24,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Away,W,3,2,Mainz 05,539,661,81.5,8991,3456,267,302,88.4,197,238,82.8,53,77,68.8,1,1.9,1.6,16,36,6,1,49,Match Report,2020-10-24,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Away,W,3,2,Mainz 05,661,600,59,18,2,2,19,27,7,5,0,0,539,2,11,Match Report,2020-10-24,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Away,W,3,2,Mainz 05,35,18,5,5,5,2,0,4,0,1,1,2,0,0,Match Report,2020-10-24,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Away,W,3,2,Mainz 05,18,13,7,9,2,9,17,52.9,8,12,5,7,13,31,19,0,Match Report,2020-10-24,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Away,W,3,2,Mainz 05,60,778,57,257,389,137,29,777,19,14,73.7,5,26.3,388,1702,921,15,10,9,17,15,537,49,Match Report,2020-10-24,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Away,W,3,2,Mainz 05,3,0,0,11,17,2,19,13,13,0,0,0,63,22,15,59.5,Match Report
2020-10-27,21:00 (13:00),Champions Lg,Group stage,Tue,Home,D,2,2,es Real Madrid,2,9,5,55.6,0.22,0.40,16.9,1,0,0,1.6,1.6,0.18,+0.4,+0.4,Match Report,2020-10-27,21:00 (13:00),Champions Lg,Group stage,Tue,Home,D,2,2,es Real Madrid,6,2,4,66.7,0,2.0,0.0,0,0,0,0,6,15,40.0,32,4,40.6,33.1,9,22.2,19.9,27,1,3.7,0,5.0,Match Report,2020-10-27,21:00 (13:00),Champions Lg,Group stage,Tue,Home,D,2,2,es Real Madrid,344,435,79.1,5584,1866,162,177,91.5,129,153,84.3,32,65,49.2,1,1.0,0.6,7,8,7,2,13,Match Report,2020-10-27,21:00 (13:00),Champions Lg,Group stage,Tue,Home,D,2,2,es Real Madrid,435,403,30,6,1,7,6,11,1,1,0,0,344,2,6,Match Report,2020-10-27,21:00 (13:00),Champions Lg,Group stage,Tue,Home,D,2,2,es Real Madrid,16,10,0,3,1,1,1,3,2,0,0,1,0,0,Match Report,2020-10-27,21:00 (13:00),Champions Lg,Group stage,Tue,Home,D,2,2,es Real Madrid,15,5,8,5,2,6,22,27.3,16,18,8,10,14,29,39,1,Match Report,2020-10-27,21:00 (13:00),Champions Lg,Group stage,Tue,Home,D,2,2,es Real Madrid,35,546,102,268,211,74,14,546,18,14,77.8,4,22.2,248,1519,885,16,15,2,5,6,340,13,Match Report,2020-10-27,21:00 (13:00),Champions Lg,Group stage,Tue,Home,D,2,2,es Real Madrid,3,0,0,20,7,2,6,14,5,0,0,0,53,7,8,46.7,Match Report
2020-10-31,18:30 (10:30),Bundesliga,Matchweek 6,Sat,Home,W,1,0,RB Leipzig,1,5,3,60.0,0.20,0.33,14.3,0,0,0,0.4,0.4,0.07,+0.6,+0.6,Match Report,2020-10-31,18:30 (10:30),Bundesliga,Matchweek 6,Sat,Home,W,1,0,RB Leipzig,3,0,3,100.0,1,0.6,+0.6,0,0,0,0,5,16,31.3,39,5,28.2,33.3,13,38.5,39.2,14,1,7.1,0,12.0,Match Report,2020-10-31,18:30 (10:30),Bundesliga,Matchweek 6,Sat,Home,W,1,0,RB Leipzig,425,555,76.6,7772,2652,174,206,84.5,199,233,85.4,43,85,50.6,1,0.3,0.6,4,20,7,1,32,Match Report,2020-10-31,18:30 (10:30),Bundesliga,Matchweek 6,Sat,Home,W,1,0,RB Leipzig,555,496,54,18,1,6,12,20,2,2,0,0,425,5,15,Match Report,2020-10-31,18:30 (10:30),Bundesliga,Matchweek 6,Sat,Home,W,1,0,RB Leipzig,7,6,1,0,0,0,0,2,2,0,0,0,0,0,Match Report,2020-10-31,18:30 (10:30),Bundesliga,Matchweek 6,Sat,Home,W,1,0,RB Leipzig,9,5,5,3,1,3,11,27.3,8,14,5,9,23,32,17,0,Match Report,2020-10-31,18:30 (10:30),Bundesliga,Matchweek 6,Sat,Home,W,1,0,RB Leipzig,49,651,74,220,339,97,16,651,20,17,85.0,3,15.0,402,1788,1017,16,9,2,13,7,422,31,Match Report,2020-10-31,18:30 (10:30),Bundesliga,Matchweek 6,Sat,Home,W,1,0,RB Leipzig,2,0,0,13,16,5,12,23,5,0,0,0,49,16,20,44.4,Match Report
2020-11-03,19:55 (09:55),Champions Lg,Group stage,Tue,Away,W,6,0,ua Shakhtar,5,20,10,50.0,0.25,0.50,15.3,1,0,0,2.3,2.3,0.12,+2.7,+2.7,Match Report,2020-11-03,19:55 (09:55),Champions Lg,Group stage,Tue,Away,W,6,0,ua Shakhtar,1,0,1,100.0,1,0.2,+0.2,0,0,0,0,3,13,23.1,34,4,38.2,33.9,3,0.0,32.3,7,1,14.3,0,10.3,Match Report,2020-11-03,19:55 (09:55),Champions Lg,Group stage,Tue,Away,W,6,0,ua Shakhtar,466,548,85.0,7590,2293,246,259,95.0,162,184,88.0,44,71,62.0,4,1.7,1.4,16,18,17,3,33,Match Report,2020-11-03,19:55 (09:55),Champions Lg,Group stage,Tue,Away,W,6,0,ua Shakhtar,548,510,34,6,0,3,17,18,6,2,4,0,466,4,11,Match Report,2020-11-03,19:55 (09:55),Champions Lg,Group stage,Tue,Away,W,6,0,ua Shakhtar,35,26,3,0,4,1,1,9,8,0,0,1,0,0,Match Report,2020-11-03,19:55 (09:55),Champions Lg,Group stage,Tue,Away,W,6,0,ua Shakhtar,14,7,7,4,3,9,20,45.0,11,6,0,6,11,25,7,0,Match Report,2020-11-03,19:55 (09:55),Champions Lg,Group stage,Tue,Away,W,6,0,ua Shakhtar,47,625,57,189,319,120,30,625,8,4,50.0,4,50.0,301,1570,742,14,8,3,6,2,462,32,Match Report,2020-11-03,19:55 (09:55),Champions Lg,Group stage,Tue,Away,W,6,0,ua Shakhtar,1,0,0,15,6,4,17,11,7,0,0,0,54,8,4,66.7,Match Report
