For Cádiz_Date,For Cádiz_Time,For Cádiz_Comp,For Cádiz_Round,For Cádiz_Day,For Cádiz_Venue,For Cádiz_Result,For Cádiz_GF,For Cádiz_GA,For Cádiz_Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,For Cádiz_Date,For Cádiz_Time,For Cádiz_Comp,For Cádiz_Round,For Cádiz_Day,For Cádiz_Venue,For Cádiz_Result,For Cádiz_GF,For Cádiz_GA,For Cádiz_Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,For Cádiz_Date,For Cádiz_Time,For Cádiz_Comp,For Cádiz_Round,For Cádiz_Day,For Cádiz_Venue,For Cádiz_Result,For Cádiz_GF,For Cádiz_GA,For Cádiz_Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,For Cádiz_Date,For Cádiz_Time,For Cádiz_Comp,For Cádiz_Round,For Cádiz_Day,For Cádiz_Venue,For Cádiz_Result,For Cádiz_GF,For Cádiz_GA,For Cádiz_Opponent,For Cádiz_Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,For Cádiz_Date,For Cádiz_Time,For Cádiz_Comp,For Cádiz_Round,For Cádiz_Day,For Cádiz_Venue,For Cádiz_Result,For Cádiz_GF,For Cádiz_GA,For Cádiz_Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,For Cádiz_Date,For Cádiz_Time,For Cádiz_Comp,For Cádiz_Round,For Cádiz_Day,For Cádiz_Venue,For Cádiz_Result,For Cádiz_GF,For Cádiz_GA,For Cádiz_Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,For Cádiz_Date,For Cádiz_Time,For Cádiz_Comp,For Cádiz_Round,For Cádiz_Day,For Cádiz_Venue,For Cádiz_Result,For Cádiz_GF,For Cádiz_GA,For Cádiz_Opponent,For Cádiz_Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,For Cádiz_Date,For Cádiz_Time,For Cádiz_Comp,For Cádiz_Round,For Cádiz_Day,For Cádiz_Venue,For Cádiz_Result,For Cádiz_GF,For Cádiz_GA,For Cádiz_Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2023-08-14,19:30 (10:30),La Liga,Matchweek 1,Mon,Home,W,1.0,0.0,Alavés,1,12,3,25.0,0.08,0.33,17.6,1.0,0,0,0.7,0.7,0.05,0.3,0.3,Match Report,2023-08-14,19:30 (10:30),La Liga,Matchweek 1,Mon,Home,W,1.0,0.0,Alavés,2,0,2,100.0,1,0.1,0.1,0,0,0,0,7.0,20.0,35.0,26.0,3.0,53.8,44.3,6.0,100.0,72.0,17.0,1.0,5.9,0.0,8.4,Match Report,2023-08-14,19:30 (10:30),La Liga,Matchweek 1,Mon,Home,W,1.0,0.0,Alavés,226.0,337.0,67.1,4300.0,1890.0,88.0,115.0,76.5,106.0,140.0,75.7,26.0,68.0,38.2,1,0.4,0.5,9.0,14.0,0.0,0.0,13.0,Match Report,2023-08-14,19:30 (10:30),La Liga,Matchweek 1,Mon,Home,W,1.0,0.0,Alavés,337.0,288.0,47.0,16.0,1.0,1.0,12,22.0,2.0,0.0,1.0,0.0,226.0,2.0,2.0,Match Report,2023-08-14,19:30 (10:30),La Liga,Matchweek 1,Mon,Home,W,1.0,0.0,Alavés,21.0,8.0,6.0,2.0,2.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,Match Report,2023-08-14,19:30 (10:30),La Liga,Matchweek 1,Mon,Home,W,1.0,0.0,Alavés,13.0,9,3.0,9.0,1.0,3.0,10.0,30.0,7.0,9.0,3.0,6.0,5,18,26.0,0.0,Match Report,2023-08-14,19:30 (10:30),La Liga,Matchweek 1,Mon,Home,W,1.0,0.0,Alavés,45.0,430.0,52.0,153.0,208.0,75.0,11.0,430.0,10.0,7.0,70.0,2.0,20.0,205.0,996.0,591.0,11.0,7.0,3.0,13.0,7.0,224.0,13.0,Match Report,2023-08-14,19:30 (10:30),La Liga,Matchweek 1,Mon,Home,W,1.0,0.0,Alavés,3,1,0,19,15,2,12,5,9,0.0,0.0,0,51.0,19.0,26.0,42.2,Match Report
2023-08-20,19:30 (10:30),La Liga,Matchweek 2,Sun,Away,L,0.0,2.0,Barcelona,0,10,1,10.0,0.0,0.0,12.0,0.0,0,0,1.1,1.1,0.12,-1.1,-1.1,Match Report,2023-08-20,19:30 (10:30),La Liga,Matchweek 2,Sun,Away,L,0.0,2.0,Barcelona,10,2,8,80.0,0,3.2,1.2,0,0,0,0,12.0,35.0,34.3,27.0,4.0,85.2,55.1,12.0,100.0,70.0,25.0,5.0,20.0,0.0,4.8,Match Report,2023-08-20,19:30 (10:30),La Liga,Matchweek 2,Sun,Away,L,0.0,2.0,Barcelona,151.0,229.0,65.9,3272.0,1612.0,50.0,62.0,80.6,58.0,68.0,85.3,33.0,77.0,42.9,0,0.5,0.5,8.0,12.0,5.0,5.0,14.0,Match Report,2023-08-20,19:30 (10:30),La Liga,Matchweek 2,Sun,Away,L,0.0,2.0,Barcelona,229.0,188.0,40.0,10.0,0.0,4.0,15,13.0,2.0,0.0,0.0,0.0,151.0,1.0,4.0,Match Report,2023-08-20,19:30 (10:30),La Liga,Matchweek 2,Sun,Away,L,0.0,2.0,Barcelona,16.0,9.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2023-08-20,19:30 (10:30),La Liga,Matchweek 2,Sun,Away,L,0.0,2.0,Barcelona,11.0,6,6.0,5.0,0.0,3.0,15.0,20.0,12.0,12.0,8.0,4.0,8,19,20.0,0.0,Match Report,2023-08-20,19:30 (10:30),La Liga,Matchweek 2,Sun,Away,L,0.0,2.0,Barcelona,26.0,316.0,80.0,134.0,116.0,70.0,16.0,316.0,9.0,4.0,44.4,4.0,44.4,124.0,801.0,473.0,8.0,8.0,3.0,6.0,7.0,149.0,14.0,Match Report,2023-08-20,19:30 (10:30),La Liga,Matchweek 2,Sun,Away,L,0.0,2.0,Barcelona,3,0,0,22,9,1,15,8,6,0.0,0.0,0,27.0,15.0,12.0,55.6,Match Report
2023-08-26,19:00 (10:00),La Liga,Matchweek 3,Sat,Home,D,1.0,1.0,Almería,1,11,3,27.3,0.09,0.33,15.9,1.0,0,0,1.6,1.6,0.14,-0.6,-0.6,Match Report,2023-08-26,19:00 (10:00),La Liga,Matchweek 3,Sat,Home,D,1.0,1.0,Almería,2,1,1,50.0,0,0.8,-0.2,0,0,0,0,3.0,10.0,30.0,15.0,4.0,53.3,42.5,2.0,100.0,73.0,10.0,0.0,0.0,1.0,21.5,Match Report,2023-08-26,19:00 (10:00),La Liga,Matchweek 3,Sat,Home,D,1.0,1.0,Almería,292.0,394.0,74.1,5776.0,2052.0,117.0,140.0,83.6,116.0,144.0,80.6,50.0,92.0,54.3,1,1.5,2.2,9.0,29.0,12.0,6.0,37.0,Match Report,2023-08-26,19:00 (10:00),La Liga,Matchweek 3,Sat,Home,D,1.0,1.0,Almería,394.0,345.0,49.0,23.0,4.0,4.0,30,15.0,7.0,6.0,0.0,0.0,292.0,0.0,6.0,Match Report,2023-08-26,19:00 (10:00),La Liga,Matchweek 3,Sat,Home,D,1.0,1.0,Almería,21.0,17.0,2.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,Match Report,2023-08-26,19:00 (10:00),La Liga,Matchweek 3,Sat,Home,D,1.0,1.0,Almería,11.0,8,5.0,3.0,3.0,9.0,19.0,47.4,10.0,6.0,1.0,5.0,3,14,17.0,0.0,Match Report,2023-08-26,19:00 (10:00),La Liga,Matchweek 3,Sat,Home,D,1.0,1.0,Almería,52.0,484.0,35.0,119.0,226.0,142.0,23.0,484.0,12.0,6.0,50.0,3.0,25.0,239.0,1377.0,824.0,19.0,15.0,1.0,7.0,9.0,288.0,35.0,Match Report,2023-08-26,19:00 (10:00),La Liga,Matchweek 3,Sat,Home,D,1.0,1.0,Almería,0,1,0,16,22,0,30,3,8,0.0,0.0,0,55.0,19.0,16.0,54.3,Match Report
2023-09-01,19:30 (10:30),La Liga,Matchweek 4,Fri,Home,W,3.0,1.0,Villarreal,3,17,3,17.6,0.12,0.67,22.1,0.0,1,1,2.1,1.3,0.08,0.9,0.7,Match Report,2023-09-01,19:30 (10:30),La Liga,Matchweek 4,Fri,Home,W,3.0,1.0,Villarreal,3,1,2,66.7,0,0.4,-0.6,0,0,0,0,5.0,17.0,29.4,20.0,1.0,55.0,42.5,6.0,100.0,70.7,8.0,1.0,12.5,2.0,17.1,Match Report,2023-09-01,19:30 (10:30),La Liga,Matchweek 4,Fri,Home,W,3.0,1.0,Villarreal,251.0,347.0,72.3,5044.0,1929.0,97.0,105.0,92.4,115.0,146.0,78.8,37.0,79.0,46.8,1,0.4,0.4,10.0,26.0,6.0,3.0,30.0,Match Report,2023-09-01,19:30 (10:30),La Liga,Matchweek 4,Fri,Home,W,3.0,1.0,Villarreal,347.0,295.0,50.0,16.0,0.0,5.0,29,19.0,7.0,3.0,0.0,0.0,251.0,2.0,10.0,Match Report,2023-09-01,19:30 (10:30),La Liga,Matchweek 4,Fri,Home,W,3.0,1.0,Villarreal,27.0,17.0,5.0,0.0,2.0,1.0,2.0,5.0,3.0,0.0,0.0,1.0,1.0,0.0,Match Report,2023-09-01,19:30 (10:30),La Liga,Matchweek 4,Fri,Home,W,3.0,1.0,Villarreal,18.0,12,7.0,9.0,2.0,11.0,23.0,47.8,12.0,11.0,2.0,9.0,7,25,12.0,1.0,Match Report,2023-09-01,19:30 (10:30),La Liga,Matchweek 4,Fri,Home,W,3.0,1.0,Villarreal,43.0,447.0,35.0,111.0,196.0,149.0,20.0,446.0,7.0,3.0,42.9,2.0,28.6,212.0,1269.0,597.0,10.0,13.0,2.0,20.0,6.0,249.0,30.0,Match Report,2023-09-01,19:30 (10:30),La Liga,Matchweek 4,Fri,Home,W,3.0,1.0,Villarreal,5,0,0,21,14,2,29,7,12,1.0,0.0,0,47.0,7.0,16.0,30.4,Match Report
2023-09-16,14:00 (05:00),La Liga,Matchweek 5,Sat,Away,L,0.0,3.0,Athletic Club,0,5,4,80.0,0.0,0.0,21.8,1.0,0,0,0.3,0.3,0.06,-0.3,-0.3,Match Report,2023-09-16,14:00 (05:00),La Liga,Matchweek 5,Sat,Away,L,0.0,3.0,Athletic Club,8,3,5,62.5,0,2.4,-0.6,0,0,0,0,17.0,32.0,53.1,24.0,1.0,75.0,46.5,14.0,100.0,68.2,20.0,1.0,5.0,1.0,8.8,Match Report,2023-09-16,14:00 (05:00),La Liga,Matchweek 5,Sat,Away,L,0.0,3.0,Athletic Club,182.0,295.0,61.7,3669.0,2050.0,87.0,123.0,70.7,48.0,74.0,64.9,37.0,73.0,50.7,0,0.2,0.2,4.0,10.0,3.0,1.0,13.0,Match Report,2023-09-16,14:00 (05:00),La Liga,Matchweek 5,Sat,Away,L,0.0,3.0,Athletic Club,295.0,238.0,53.0,10.0,0.0,3.0,9,21.0,4.0,2.0,1.0,0.0,182.0,4.0,5.0,Match Report,2023-09-16,14:00 (05:00),La Liga,Matchweek 5,Sat,Away,L,0.0,3.0,Athletic Club,10.0,6.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2023-09-16,14:00 (05:00),La Liga,Matchweek 5,Sat,Away,L,0.0,3.0,Athletic Club,14.0,7,8.0,5.0,1.0,8.0,18.0,44.4,10.0,13.0,3.0,10.0,10,24,36.0,2.0,Match Report,2023-09-16,14:00 (05:00),La Liga,Matchweek 5,Sat,Away,L,0.0,3.0,Athletic Club,35.0,420.0,88.0,204.0,160.0,61.0,9.0,420.0,12.0,7.0,58.3,3.0,25.0,187.0,873.0,357.0,8.0,7.0,1.0,23.0,5.0,182.0,13.0,Match Report,2023-09-16,14:00 (05:00),La Liga,Matchweek 5,Sat,Away,L,0.0,3.0,Athletic Club,4,0,0,20,10,4,9,10,7,0.0,0.0,0,53.0,17.0,11.0,60.7,Match Report
2023-09-24,18:30 (09:30),La Liga,Matchweek 6,Sun,Away,D,1.0,1.0,Betis,1,5,1,20.0,0.2,1.0,16.2,0.0,0,0,0.2,0.2,0.04,0.8,0.8,Match Report,2023-09-24,18:30 (09:30),La Liga,Matchweek 6,Sun,Away,D,1.0,1.0,Betis,7,1,6,85.7,0,1.5,0.5,0,0,0,0,16.0,32.0,50.0,36.0,2.0,50.0,41.3,16.0,87.5,60.8,27.0,1.0,3.7,1.0,9.8,Match Report,2023-09-24,18:30 (09:30),La Liga,Matchweek 6,Sun,Away,D,1.0,1.0,Betis,235.0,328.0,71.6,4989.0,2227.0,97.0,111.0,87.4,92.0,112.0,82.1,39.0,79.0,49.4,0,0.1,0.2,2.0,26.0,2.0,1.0,21.0,Match Report,2023-09-24,18:30 (09:30),La Liga,Matchweek 6,Sun,Away,D,1.0,1.0,Betis,328.0,274.0,49.0,11.0,0.0,2.0,23,12.0,8.0,7.0,1.0,0.0,235.0,5.0,9.0,Match Report,2023-09-24,18:30 (09:30),La Liga,Matchweek 6,Sun,Away,D,1.0,1.0,Betis,7.0,3.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Match Report,2023-09-24,18:30 (09:30),La Liga,Matchweek 6,Sun,Away,D,1.0,1.0,Betis,27.0,14,15.0,9.0,3.0,12.0,25.0,48.0,13.0,9.0,3.0,6.0,5,32,23.0,0.0,Match Report,2023-09-24,18:30 (09:30),La Liga,Matchweek 6,Sun,Away,D,1.0,1.0,Betis,37.0,431.0,86.0,171.0,157.0,106.0,8.0,431.0,23.0,7.0,30.4,16.0,69.6,225.0,1213.0,525.0,13.0,12.0,1.0,10.0,8.0,234.0,21.0,Match Report,2023-09-24,18:30 (09:30),La Liga,Matchweek 6,Sun,Away,D,1.0,1.0,Betis,3,0,0,14,10,5,23,5,14,0.0,0.0,0,47.0,11.0,19.0,36.7,Match Report
2023-09-27,21:30 (12:30),La Liga,Matchweek 7,Wed,Home,D,0.0,0.0,Rayo Vallecano,0,9,2,22.2,0.0,0.0,18.0,0.0,0,0,0.6,0.6,0.07,-0.6,-0.6,Match Report,2023-09-27,21:30 (12:30),La Liga,Matchweek 7,Wed,Home,D,0.0,0.0,Rayo Vallecano,4,0,4,100.0,1,0.8,0.8,0,0,0,0,8.0,20.0,40.0,37.0,7.0,40.5,33.3,9.0,55.6,49.0,10.0,1.0,10.0,1.0,16.0,Match Report,2023-09-27,21:30 (12:30),La Liga,Matchweek 7,Wed,Home,D,0.0,0.0,Rayo Vallecano,326.0,459.0,71.0,6140.0,2518.0,143.0,173.0,82.7,137.0,174.0,78.7,39.0,86.0,45.3,0,0.4,0.5,8.0,29.0,6.0,3.0,31.0,Match Report,2023-09-27,21:30 (12:30),La Liga,Matchweek 7,Wed,Home,D,0.0,0.0,Rayo Vallecano,459.0,406.0,52.0,15.0,0.0,3.0,21,26.0,1.0,0.0,1.0,0.0,326.0,1.0,13.0,Match Report,2023-09-27,21:30 (12:30),La Liga,Matchweek 7,Wed,Home,D,0.0,0.0,Rayo Vallecano,17.0,12.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2023-09-27,21:30 (12:30),La Liga,Matchweek 7,Wed,Home,D,0.0,0.0,Rayo Vallecano,12.0,8,5.0,4.0,3.0,5.0,10.0,50.0,5.0,10.0,0.0,10.0,9,21,15.0,0.0,Match Report,2023-09-27,21:30 (12:30),La Liga,Matchweek 7,Wed,Home,D,0.0,0.0,Rayo Vallecano,52.0,560.0,49.0,166.0,261.0,137.0,16.0,560.0,8.0,1.0,12.5,7.0,87.5,256.0,1545.0,870.0,13.0,10.0,0.0,15.0,10.0,323.0,31.0,Match Report,2023-09-27,21:30 (12:30),La Liga,Matchweek 7,Wed,Home,D,0.0,0.0,Rayo Vallecano,5,0,0,16,12,1,21,9,8,0.0,0.0,0,53.0,22.0,12.0,64.7,Match Report
2023-10-01,21:00 (12:00),La Liga,Matchweek 8,Sun,Away,L,2.0,3.0,Atlético Madrid,2,8,4,50.0,0.25,0.5,21.8,0.0,0,0,0.8,0.8,0.11,1.2,1.2,Match Report,2023-10-01,21:00 (12:00),La Liga,Matchweek 8,Sun,Away,L,2.0,3.0,Atlético Madrid,9,3,6,66.7,0,3.6,0.6,0,0,0,0,9.0,29.0,31.0,21.0,3.0,85.7,55.8,11.0,100.0,71.8,15.0,1.0,6.7,0.0,4.3,Match Report,2023-10-01,21:00 (12:00),La Liga,Matchweek 8,Sun,Away,L,2.0,3.0,Atlético Madrid,235.0,339.0,69.3,4661.0,1684.0,98.0,117.0,83.8,98.0,126.0,77.8,33.0,81.0,40.7,1,0.4,0.2,3.0,20.0,3.0,2.0,18.0,Match Report,2023-10-01,21:00 (12:00),La Liga,Matchweek 8,Sun,Away,L,2.0,3.0,Atlético Madrid,339.0,298.0,41.0,7.0,0.0,1.0,17,16.0,3.0,0.0,2.0,0.0,235.0,0.0,9.0,Match Report,2023-10-01,21:00 (12:00),La Liga,Matchweek 8,Sun,Away,L,2.0,3.0,Atlético Madrid,9.0,6.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Match Report,2023-10-01,21:00 (12:00),La Liga,Matchweek 8,Sun,Away,L,2.0,3.0,Atlético Madrid,17.0,9,9.0,7.0,1.0,9.0,18.0,50.0,9.0,11.0,2.0,9.0,6,23,23.0,0.0,Match Report,2023-10-01,21:00 (12:00),La Liga,Matchweek 8,Sun,Away,L,2.0,3.0,Atlético Madrid,31.0,449.0,69.0,170.0,186.0,100.0,9.0,449.0,14.0,3.0,21.4,9.0,64.3,255.0,1378.0,669.0,8.0,10.0,1.0,18.0,8.0,233.0,18.0,Match Report,2023-10-01,21:00 (12:00),La Liga,Matchweek 8,Sun,Away,L,2.0,3.0,Atlético Madrid,3,0,0,10,5,0,17,6,9,0.0,0.0,0,62.0,11.0,18.0,37.9,Match Report
2023-10-07,14:00 (05:00),La Liga,Matchweek 9,Sat,Home,L,0.0,1.0,Girona,0,8,2,25.0,0.0,0.0,17.6,0.0,0,0,0.4,0.4,0.05,-0.4,-0.4,Match Report,2023-10-07,14:00 (05:00),La Liga,Matchweek 9,Sat,Home,L,0.0,1.0,Girona,5,1,4,80.0,0,1.8,0.8,0,0,0,0,14.0,35.0,40.0,30.0,4.0,83.3,53.4,10.0,100.0,69.2,27.0,4.0,14.8,1.0,7.0,Match Report,2023-10-07,14:00 (05:00),La Liga,Matchweek 9,Sat,Home,L,0.0,1.0,Girona,136.0,243.0,56.0,3080.0,1696.0,52.0,73.0,71.2,47.0,71.0,66.2,31.0,80.0,38.8,0,0.4,0.6,6.0,10.0,5.0,3.0,10.0,Match Report,2023-10-07,14:00 (05:00),La Liga,Matchweek 9,Sat,Home,L,0.0,1.0,Girona,243.0,197.0,46.0,16.0,0.0,3.0,21,13.0,5.0,2.0,3.0,0.0,136.0,0.0,7.0,Match Report,2023-10-07,14:00 (05:00),La Liga,Matchweek 9,Sat,Home,L,0.0,1.0,Girona,14.0,9.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2023-10-07,14:00 (05:00),La Liga,Matchweek 9,Sat,Home,L,0.0,1.0,Girona,15.0,8,8.0,4.0,3.0,4.0,14.0,28.6,10.0,11.0,7.0,4.0,8,23,21.0,0.0,Match Report,2023-10-07,14:00 (05:00),La Liga,Matchweek 9,Sat,Home,L,0.0,1.0,Girona,27.0,341.0,72.0,149.0,107.0,90.0,20.0,341.0,11.0,5.0,45.5,6.0,54.5,147.0,923.0,495.0,8.0,8.0,0.0,11.0,9.0,134.0,10.0,Match Report,2023-10-07,14:00 (05:00),La Liga,Matchweek 9,Sat,Home,L,0.0,1.0,Girona,1,1,0,12,12,0,21,8,8,0.0,0.0,0,48.0,16.0,15.0,51.6,Match Report
2023-10-23,21:00 (12:00),La Liga,Matchweek 10,Mon,Away,L,0.0,2.0,Valencia,0,5,4,80.0,0.0,0.0,9.9,0.0,0,0,0.6,0.6,0.13,-0.6,-0.6,Match Report,2023-10-23,21:00 (12:00),La Liga,Matchweek 10,Mon,Away,L,0.0,2.0,Valencia,4,2,2,50.0,0,1.9,-0.1,0,0,0,0,16.0,30.0,53.3,35.0,4.0,62.9,44.0,10.0,80.0,55.4,12.0,2.0,16.7,2.0,12.5,Match Report,2023-10-23,21:00 (12:00),La Liga,Matchweek 10,Mon,Away,L,0.0,2.0,Valencia,278.0,371.0,74.9,5567.0,2457.0,110.0,130.0,84.6,120.0,140.0,85.7,41.0,83.0,49.4,0,0.6,0.5,5.0,25.0,4.0,1.0,22.0,Match Report,2023-10-23,21:00 (12:00),La Liga,Matchweek 10,Mon,Away,L,0.0,2.0,Valencia,371.0,319.0,50.0,19.0,2.0,2.0,23,13.0,5.0,3.0,1.0,0.0,278.0,2.0,7.0,Match Report,2023-10-23,21:00 (12:00),La Liga,Matchweek 10,Mon,Away,L,0.0,2.0,Valencia,9.0,6.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2023-10-23,21:00 (12:00),La Liga,Matchweek 10,Mon,Away,L,0.0,2.0,Valencia,14.0,6,10.0,3.0,1.0,7.0,14.0,50.0,7.0,10.0,3.0,7.0,7,21,14.0,0.0,Match Report,2023-10-23,21:00 (12:00),La Liga,Matchweek 10,Mon,Away,L,0.0,2.0,Valencia,39.0,451.0,60.0,154.0,210.0,91.0,11.0,451.0,15.0,6.0,40.0,3.0,20.0,236.0,1358.0,792.0,18.0,8.0,2.0,13.0,10.0,273.0,22.0,Match Report,2023-10-23,21:00 (12:00),La Liga,Matchweek 10,Mon,Away,L,0.0,2.0,Valencia,3,1,0,16,16,2,23,7,6,0.0,0.0,0,50.0,14.0,12.0,53.8,Match Report
