For Atlético Madrid_Date,For Atlético Madrid_Time,For Atlético Madrid_Comp,For Atlético Madrid_Round,For Atlético Madrid_Day,For Atlético Madrid_Venue,For Atlético Madrid_Result,For Atlético Madrid_GF,For Atlético Madrid_GA,For Atlético Madrid_Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,For Atlético Madrid_Date,For Atlético Madrid_Time,For Atlético Madrid_Comp,For Atlético Madrid_Round,For Atlético Madrid_Day,For Atlético Madrid_Venue,For Atlético Madrid_Result,For Atlético Madrid_GF,For Atlético Madrid_GA,For Atlético Madrid_Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,For Atlético Madrid_Date,For Atlético Madrid_Time,For Atlético Madrid_Comp,For Atlético Madrid_Round,For Atlético Madrid_Day,For Atlético Madrid_Venue,For Atlético Madrid_Result,For Atlético Madrid_GF,For Atlético Madrid_GA,For Atlético Madrid_Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,For Atlético Madrid_Date,For Atlético Madrid_Time,For Atlético Madrid_Comp,For Atlético Madrid_Round,For Atlético Madrid_Day,For Atlético Madrid_Venue,For Atlético Madrid_Result,For Atlético Madrid_GF,For Atlético Madrid_GA,For Atlético Madrid_Opponent,For Atlético Madrid_Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,For Atlético Madrid_Date,For Atlético Madrid_Time,For Atlético Madrid_Comp,For Atlético Madrid_Round,For Atlético Madrid_Day,For Atlético Madrid_Venue,For Atlético Madrid_Result,For Atlético Madrid_GF,For Atlético Madrid_GA,For Atlético Madrid_Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,For Atlético Madrid_Date,For Atlético Madrid_Time,For Atlético Madrid_Comp,For Atlético Madrid_Round,For Atlético Madrid_Day,For Atlético Madrid_Venue,For Atlético Madrid_Result,For Atlético Madrid_GF,For Atlético Madrid_GA,For Atlético Madrid_Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,For Atlético Madrid_Date,For Atlético Madrid_Time,For Atlético Madrid_Comp,For Atlético Madrid_Round,For Atlético Madrid_Day,For Atlético Madrid_Venue,For Atlético Madrid_Result,For Atlético Madrid_GF,For Atlético Madrid_GA,For Atlético Madrid_Opponent,For Atlético Madrid_Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,For Atlético Madrid_Date,For Atlético Madrid_Time,For Atlético Madrid_Comp,For Atlético Madrid_Round,For Atlético Madrid_Day,For Atlético Madrid_Venue,For Atlético Madrid_Result,For Atlético Madrid_GF,For Atlético Madrid_GA,For Atlético Madrid_Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2023-08-14,21:30 (12:30),La Liga,Matchweek 1,Mon,Home,W,3,1,Granada,3,14,6,42.9,0.21,0.50,14.4,0,0,0,2.4,2.4,0.17,+0.6,+0.6,Match Report,2023-08-14,21:30 (12:30),La Liga,Matchweek 1,Mon,Home,W,3,1,Granada,4,1,3,75.0,0,1.1,+0.1,0,0,0,0,2,3,66.7,17,3,11.8,27.9,3,33.3,36.0,10,0,0.0,1,13.5,Match Report,2023-08-14,21:30 (12:30),La Liga,Matchweek 1,Mon,Home,W,3,1,Granada,386,479,80.6,6573,2453,193,221,87.3,134,158,84.8,44,67,65.7,1,1.8,1.9,11,25,15,3,46,Match Report,2023-08-14,21:30 (12:30),La Liga,Matchweek 1,Mon,Home,W,3,1,Granada,479,432,44,9,2,7,18,27,3,2,0,0,386,3,10,Match Report,2023-08-14,21:30 (12:30),La Liga,Matchweek 1,Mon,Home,W,3,1,Granada,25,17,3,1,2,2,0,6,4,0,1,1,0,0,Match Report,2023-08-14,21:30 (12:30),La Liga,Matchweek 1,Mon,Home,W,3,1,Granada,15,8,6,8,1,3,6,50.0,3,11,2,9,16,31,15,1,Match Report,2023-08-14,21:30 (12:30),La Liga,Matchweek 1,Mon,Home,W,3,1,Granada,46,590,40,139,284,176,36,590,19,11,57.9,8,42.1,338,2047,1081,23,19,8,13,12,378,45,Match Report,2023-08-14,21:30 (12:30),La Liga,Matchweek 1,Mon,Home,W,3,1,Granada,3,0,0,15,9,3,18,16,8,0,0,0,67,15,9,62.5,Match Report
2023-08-20,21:30 (12:30),La Liga,Matchweek 2,Sun,Away,D,0,0,Betis,0,5,1,20.0,0.00,0.00,13.7,0,0,0,0.5,0.5,0.09,-0.5,-0.5,Match Report,2023-08-20,21:30 (12:30),La Liga,Matchweek 2,Sun,Away,D,0,0,Betis,0,0,0,,1,0.0,0.0,0,0,0,0,4,5,80.0,17,2,11.8,20.9,9,33.3,27.9,11,0,0.0,0,,Match Report,2023-08-20,21:30 (12:30),La Liga,Matchweek 2,Sun,Away,D,0,0,Betis,438,526,83.3,7167,2550,236,262,90.1,160,177,90.4,36,64,56.3,0,0.5,1.0,4,34,10,1,43,Match Report,2023-08-20,21:30 (12:30),La Liga,Matchweek 2,Sun,Away,D,0,0,Betis,526,483,41,13,0,3,17,11,7,1,6,0,438,2,8,Match Report,2023-08-20,21:30 (12:30),La Liga,Matchweek 2,Sun,Away,D,0,0,Betis,10,8,2,0,0,0,0,0,0,0,0,0,0,0,Match Report,2023-08-20,21:30 (12:30),La Liga,Matchweek 2,Sun,Away,D,0,0,Betis,21,9,7,11,3,9,18,50.0,9,14,6,8,8,29,14,0,Match Report,2023-08-20,21:30 (12:30),La Liga,Matchweek 2,Sun,Away,D,0,0,Betis,47,628,58,199,304,131,23,628,10,5,50.0,5,50.0,414,2040,1110,14,13,4,15,7,435,41,Match Report,2023-08-20,21:30 (12:30),La Liga,Matchweek 2,Sun,Away,D,0,0,Betis,2,0,0,8,9,2,17,8,9,0,0,0,48,12,7,63.2,Match Report
2023-08-28,21:30 (12:30),La Liga,Matchweek 3,Mon,Away,W,7,0,Rayo Vallecano,7,17,10,58.8,0.41,0.70,16.0,0,0,0,3.4,3.4,0.21,+3.6,+3.6,Match Report,2023-08-28,21:30 (12:30),La Liga,Matchweek 3,Mon,Away,W,7,0,Rayo Vallecano,3,0,3,100.0,1,0.3,+0.3,0,0,0,0,11,21,52.4,29,5,48.3,40.8,10,70.0,42.9,22,2,9.1,0,12.5,Match Report,2023-08-28,21:30 (12:30),La Liga,Matchweek 3,Mon,Away,W,7,0,Rayo Vallecano,307,414,74.2,5480,2641,154,176,87.5,106,132,80.3,39,81,48.1,4,3.0,0.9,12,13,7,1,24,Match Report,2023-08-28,21:30 (12:30),La Liga,Matchweek 3,Mon,Away,W,7,0,Rayo Vallecano,414,362,51,22,5,4,7,15,3,1,1,0,307,1,7,Match Report,2023-08-28,21:30 (12:30),La Liga,Matchweek 3,Mon,Away,W,7,0,Rayo Vallecano,30,20,4,3,2,1,0,12,11,0,1,0,0,0,Match Report,2023-08-28,21:30 (12:30),La Liga,Matchweek 3,Mon,Away,W,7,0,Rayo Vallecano,20,9,12,5,3,10,21,47.6,11,14,1,13,9,29,29,0,Match Report,2023-08-28,21:30 (12:30),La Liga,Matchweek 3,Mon,Away,W,7,0,Rayo Vallecano,44,551,87,273,211,70,18,551,17,14,82.4,3,17.6,257,1192,611,11,10,3,17,12,302,23,Match Report,2023-08-28,21:30 (12:30),La Liga,Matchweek 3,Mon,Away,W,7,0,Rayo Vallecano,3,0,0,17,16,1,7,9,9,0,0,0,75,12,8,60.0,Match Report
2023-09-16,16:15 (07:15),La Liga,Matchweek 5,Sat,Away,L,0,3,Valencia,0,11,3,27.3,0.00,0.00,17.8,1,0,0,0.6,0.6,0.05,-0.6,-0.6,Match Report,2023-09-16,16:15 (07:15),La Liga,Matchweek 5,Sat,Away,L,0,3,Valencia,8,3,5,62.5,0,2.1,-0.9,0,0,0,0,0,0,,13,6,0.0,19.2,3,0.0,29.7,9,1,11.1,1,20.5,Match Report,2023-09-16,16:15 (07:15),La Liga,Matchweek 5,Sat,Away,L,0,3,Valencia,496,601,82.5,8093,2954,242,276,87.7,200,229,87.3,37,56,66.1,0,0.5,1.2,7,61,15,5,66,Match Report,2023-09-16,16:15 (07:15),La Liga,Matchweek 5,Sat,Away,L,0,3,Valencia,601,550,51,13,1,1,29,23,8,1,5,0,496,0,18,Match Report,2023-09-16,16:15 (07:15),La Liga,Matchweek 5,Sat,Away,L,0,3,Valencia,21,16,3,1,0,1,0,0,0,0,0,0,0,0,Match Report,2023-09-16,16:15 (07:15),La Liga,Matchweek 5,Sat,Away,L,0,3,Valencia,18,12,9,8,1,9,17,52.9,8,11,2,9,5,23,14,0,Match Report,2023-09-16,16:15 (07:15),La Liga,Matchweek 5,Sat,Away,L,0,3,Valencia,63,708,39,157,317,235,30,708,22,11,50.0,10,45.5,502,2423,1204,18,14,1,19,8,495,66,Match Report,2023-09-16,16:15 (07:15),La Liga,Matchweek 5,Sat,Away,L,0,3,Valencia,5,0,0,17,12,0,29,5,12,0,0,0,45,17,8,68.0,Match Report
2023-09-19,21:00 (12:00),Champions Lg,Group stage,Tue,Away,D,1,1,it Lazio,1,9,4,44.4,0.11,0.25,19.1,0,0,0,0.9,0.9,0.10,+0.1,+0.1,Match Report,2023-09-19,21:00 (12:00),Champions Lg,Group stage,Tue,Away,D,1,1,it Lazio,7,1,6,85.7,0,1.7,+0.7,0,0,0,0,3,9,33.3,24,6,29.2,33.8,9,22.2,29.3,20,0,0.0,0,4.8,Match Report,2023-09-19,21:00 (12:00),Champions Lg,Group stage,Tue,Away,D,1,1,it Lazio,564,653,86.4,9440,2994,260,275,94.5,246,272,90.4,40,74,54.1,1,0.8,0.8,8,41,6,2,35,Match Report,2023-09-19,21:00 (12:00),Champions Lg,Group stage,Tue,Away,D,1,1,it Lazio,653,616,36,7,0,8,14,14,5,3,1,0,564,1,9,Match Report,2023-09-19,21:00 (12:00),Champions Lg,Group stage,Tue,Away,D,1,1,it Lazio,18,15,0,1,1,1,0,2,2,0,0,0,0,0,Match Report,2023-09-19,21:00 (12:00),Champions Lg,Group stage,Tue,Away,D,1,1,it Lazio,12,7,10,2,0,9,18,50.0,9,14,7,7,9,21,22,1,Match Report,2023-09-19,21:00 (12:00),Champions Lg,Group stage,Tue,Away,D,1,1,it Lazio,51,755,86,303,344,114,21,755,13,7,53.8,6,46.2,457,1694,945,17,12,7,9,6,561,35,Match Report,2023-09-19,21:00 (12:00),Champions Lg,Group stage,Tue,Away,D,1,1,it Lazio,3,0,0,12,6,1,14,9,7,0,0,0,42,6,5,54.5,Match Report
2023-09-24,21:00 (12:00),La Liga,Matchweek 6,Sun,Home,W,3,1,Real Madrid,3,10,4,40.0,0.30,0.75,14.6,0,0,0,1.4,1.4,0.14,+1.6,+1.6,Match Report,2023-09-24,21:00 (12:00),La Liga,Matchweek 6,Sun,Home,W,3,1,Real Madrid,5,1,4,80.0,0,0.6,-0.4,0,0,0,0,3,15,20.0,16,5,43.8,37.2,13,69.2,49.2,23,0,0.0,0,2.0,Match Report,2023-09-24,21:00 (12:00),La Liga,Matchweek 6,Sun,Home,W,3,1,Real Madrid,310,384,80.7,5571,2097,160,179,89.4,101,114,88.6,42,70,60.0,3,1.3,1.1,9,23,4,3,26,Match Report,2023-09-24,21:00 (12:00),La Liga,Matchweek 6,Sun,Home,W,3,1,Real Madrid,384,332,51,11,1,10,15,19,6,4,2,0,310,1,9,Match Report,2023-09-24,21:00 (12:00),La Liga,Matchweek 6,Sun,Home,W,3,1,Real Madrid,18,17,1,0,0,0,0,6,6,0,0,0,0,0,Match Report,2023-09-24,21:00 (12:00),La Liga,Matchweek 6,Sun,Home,W,3,1,Real Madrid,25,19,16,8,1,12,23,52.2,11,15,7,8,8,33,27,0,Match Report,2023-09-24,21:00 (12:00),La Liga,Matchweek 6,Sun,Home,W,3,1,Real Madrid,37,494,74,221,171,109,14,494,8,5,62.5,3,37.5,255,1341,767,16,9,7,14,8,308,26,Match Report,2023-09-24,21:00 (12:00),La Liga,Matchweek 6,Sun,Home,W,3,1,Real Madrid,1,0,0,13,10,1,15,8,19,0,0,0,38,1,5,16.7,Match Report
2023-09-28,21:30 (12:30),La Liga,Matchweek 7,Thu,Away,W,2,0,Osasuna,2,5,3,60.0,0.40,0.67,12.9,0,0,0,1.5,1.5,0.30,+0.5,+0.5,Match Report,2023-09-28,21:30 (12:30),La Liga,Matchweek 7,Thu,Away,W,2,0,Osasuna,2,0,2,100.0,1,0.7,+0.7,0,0,0,0,6,17,35.3,24,6,25.0,30.9,13,84.6,58.0,34,2,5.9,2,12.4,Match Report,2023-09-28,21:30 (12:30),La Liga,Matchweek 7,Thu,Away,W,2,0,Osasuna,366,472,77.5,5712,2316,195,215,90.7,133,162,82.1,20,60,33.3,1,1.3,0.5,2,11,5,0,15,Match Report,2023-09-28,21:30 (12:30),La Liga,Matchweek 7,Thu,Away,W,2,0,Osasuna,472,421,46,16,1,2,3,14,2,1,0,0,366,5,8,Match Report,2023-09-28,21:30 (12:30),La Liga,Matchweek 7,Thu,Away,W,2,0,Osasuna,9,7,0,1,0,1,0,3,2,0,1,0,0,0,Match Report,2023-09-28,21:30 (12:30),La Liga,Matchweek 7,Thu,Away,W,2,0,Osasuna,12,9,7,5,0,7,17,41.2,10,14,3,11,4,16,35,0,Match Report,2023-09-28,21:30 (12:30),La Liga,Matchweek 7,Thu,Away,W,2,0,Osasuna,45,587,100,309,208,73,9,587,10,4,40.0,6,60.0,351,1477,790,14,13,2,18,5,363,15,Match Report,2023-09-28,21:30 (12:30),La Liga,Matchweek 7,Thu,Away,W,2,0,Osasuna,3,1,1,4,13,5,3,4,9,0,0,0,59,12,20,37.5,Match Report
2023-10-01,21:00 (12:00),La Liga,Matchweek 8,Sun,Home,W,3,2,Cádiz,3,18,9,50.0,0.17,0.33,15.5,1,0,0,2.7,2.7,0.15,+0.3,+0.3,Match Report,2023-10-01,21:00 (12:00),La Liga,Matchweek 8,Sun,Home,W,3,2,Cádiz,4,2,2,50.0,0,0.9,-1.1,0,0,0,0,1,4,25.0,18,6,5.6,25.8,11,27.3,28.6,11,0,0.0,1,23.5,Match Report,2023-10-01,21:00 (12:00),La Liga,Matchweek 8,Sun,Home,W,3,2,Cádiz,658,771,85.3,10021,3331,375,399,94.0,226,268,84.3,40,67,59.7,2,2.5,2.2,14,65,15,1,67,Match Report,2023-10-01,21:00 (12:00),La Liga,Matchweek 8,Sun,Home,W,3,2,Cádiz,771,726,43,9,2,5,15,15,5,0,4,0,658,2,9,Match Report,2023-10-01,21:00 (12:00),La Liga,Matchweek 8,Sun,Home,W,3,2,Cádiz,34,25,0,5,2,1,1,5,4,0,0,1,0,0,Match Report,2023-10-01,21:00 (12:00),La Liga,Matchweek 8,Sun,Home,W,3,2,Cádiz,17,9,6,5,6,9,12,75.0,3,7,1,6,3,20,12,0,Match Report,2023-10-01,21:00 (12:00),La Liga,Matchweek 8,Sun,Home,W,3,2,Cádiz,69,863,43,176,453,238,40,863,20,9,45.0,9,45.0,610,3405,1876,36,27,9,12,8,650,67,Match Report,2023-10-01,21:00 (12:00),La Liga,Matchweek 8,Sun,Home,W,3,2,Cádiz,1,0,0,5,10,2,15,3,9,0,0,0,64,18,11,62.1,Match Report
2023-10-04,18:45 (09:45),Champions Lg,Group stage,Wed,Home,W,3,2,nl Feyenoord,3,7,3,42.9,0.43,1.00,23.8,0,0,0,0.8,0.8,0.12,+2.2,+2.2,Match Report,2023-10-04,18:45 (09:45),Champions Lg,Group stage,Wed,Home,W,3,2,nl Feyenoord,7,2,6,71.4,0,2.7,+1.7,0,0,0,0,2,6,33.3,14,2,7.1,23.8,12,50.0,35.2,19,2,10.5,0,5.3,Match Report,2023-10-04,18:45 (09:45),Champions Lg,Group stage,Wed,Home,W,3,2,nl Feyenoord,431,523,82.4,7161,2229,207,226,91.6,184,214,86.0,30,60,50.0,1,0.3,0.3,2,23,5,2,30,Match Report,2023-10-04,18:45 (09:45),Champions Lg,Group stage,Wed,Home,W,3,2,nl Feyenoord,523,478,43,8,2,6,10,16,4,1,2,0,431,2,6,Match Report,2023-10-04,18:45 (09:45),Champions Lg,Group stage,Wed,Home,W,3,2,nl Feyenoord,11,9,0,0,1,0,1,3,2,0,0,1,0,0,Match Report,2023-10-04,18:45 (09:45),Champions Lg,Group stage,Wed,Home,W,3,2,nl Feyenoord,12,8,8,4,0,5,19,26.3,14,11,4,7,9,21,29,0,Match Report,2023-10-04,18:45 (09:45),Champions Lg,Group stage,Wed,Home,W,3,2,nl Feyenoord,48,636,85,251,301,89,11,636,13,5,38.5,7,53.8,384,1479,666,9,8,1,14,8,430,30,Match Report,2023-10-04,18:45 (09:45),Champions Lg,Group stage,Wed,Home,W,3,2,nl Feyenoord,4,0,0,8,6,2,10,9,8,0,0,1,49,5,10,33.3,Match Report
2023-10-08,16:15 (07:15),La Liga,Matchweek 9,Sun,Home,W,2,1,Real Sociedad,2,13,4,30.8,0.08,0.25,15.0,0,1,1,2.2,1.6,0.12,-0.2,-0.6,Match Report,2023-10-08,16:15 (07:15),La Liga,Matchweek 9,Sun,Home,W,2,1,Real Sociedad,4,1,3,75.0,0,0.9,-0.1,0,0,0,0,1,8,12.5,13,2,38.5,36.5,13,69.2,53.1,12,0,0.0,0,5.0,Match Report,2023-10-08,16:15 (07:15),La Liga,Matchweek 9,Sun,Home,W,2,1,Real Sociedad,270,369,73.2,4866,1810,131,144,91.0,91,114,79.8,40,84,47.6,1,1.2,0.9,9,13,6,0,19,Match Report,2023-10-08,16:15 (07:15),La Liga,Matchweek 9,Sun,Home,W,2,1,Real Sociedad,369,317,52,13,2,8,5,23,1,1,0,0,270,0,13,Match Report,2023-10-08,16:15 (07:15),La Liga,Matchweek 9,Sun,Home,W,2,1,Real Sociedad,23,15,4,0,2,2,0,3,1,1,0,1,0,0,Match Report,2023-10-08,16:15 (07:15),La Liga,Matchweek 9,Sun,Home,W,2,1,Real Sociedad,14,7,10,3,1,6,14,42.9,8,13,3,10,7,21,28,0,Match Report,2023-10-08,16:15 (07:15),La Liga,Matchweek 9,Sun,Home,W,2,1,Real Sociedad,38,471,67,222,175,81,19,470,14,9,64.3,4,28.6,267,1214,565,6,7,1,8,14,268,19,Match Report,2023-10-08,16:15 (07:15),La Liga,Matchweek 9,Sun,Home,W,2,1,Real Sociedad,3,0,0,9,11,0,5,7,7,0,0,0,50,21,11,65.6,Match Report
