For Brighton & Hove Albion_Date,For Brighton & Hove Albion_Time,For Brighton & Hove Albion_Comp,For Brighton & Hove Albion_Round,For Brighton & Hove Albion_Day,For Brighton & Hove Albion_Venue,For Brighton & Hove Albion_Result,For Brighton & Hove Albion_GF,For Brighton & Hove Albion_GA,For Brighton & Hove Albion_Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,For Brighton & Hove Albion_Date,For Brighton & Hove Albion_Time,For Brighton & Hove Albion_Comp,For Brighton & Hove Albion_Round,For Brighton & Hove Albion_Day,For Brighton & Hove Albion_Venue,For Brighton & Hove Albion_Result,For Brighton & Hove Albion_GF,For Brighton & Hove Albion_GA,For Brighton & Hove Albion_Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,For Brighton & Hove Albion_Date,For Brighton & Hove Albion_Time,For Brighton & Hove Albion_Comp,For Brighton & Hove Albion_Round,For Brighton & Hove Albion_Day,For Brighton & Hove Albion_Venue,For Brighton & Hove Albion_Result,For Brighton & Hove Albion_GF,For Brighton & Hove Albion_GA,For Brighton & Hove Albion_Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,For Brighton & Hove Albion_Date,For Brighton & Hove Albion_Time,For Brighton & Hove Albion_Comp,For Brighton & Hove Albion_Round,For Brighton & Hove Albion_Day,For Brighton & Hove Albion_Venue,For Brighton & Hove Albion_Result,For Brighton & Hove Albion_GF,For Brighton & Hove Albion_GA,For Brighton & Hove Albion_Opponent,For Brighton & Hove Albion_Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,For Brighton & Hove Albion_Date,For Brighton & Hove Albion_Time,For Brighton & Hove Albion_Comp,For Brighton & Hove Albion_Round,For Brighton & Hove Albion_Day,For Brighton & Hove Albion_Venue,For Brighton & Hove Albion_Result,For Brighton & Hove Albion_GF,For Brighton & Hove Albion_GA,For Brighton & Hove Albion_Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,For Brighton & Hove Albion_Date,For Brighton & Hove Albion_Time,For Brighton & Hove Albion_Comp,For Brighton & Hove Albion_Round,For Brighton & Hove Albion_Day,For Brighton & Hove Albion_Venue,For Brighton & Hove Albion_Result,For Brighton & Hove Albion_GF,For Brighton & Hove Albion_GA,For Brighton & Hove Albion_Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,For Brighton & Hove Albion_Date,For Brighton & Hove Albion_Time,For Brighton & Hove Albion_Comp,For Brighton & Hove Albion_Round,For Brighton & Hove Albion_Day,For Brighton & Hove Albion_Venue,For Brighton & Hove Albion_Result,For Brighton & Hove Albion_GF,For Brighton & Hove Albion_GA,For Brighton & Hove Albion_Opponent,For Brighton & Hove Albion_Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,For Brighton & Hove Albion_Date,For Brighton & Hove Albion_Time,For Brighton & Hove Albion_Comp,For Brighton & Hove Albion_Round,For Brighton & Hove Albion_Day,For Brighton & Hove Albion_Venue,For Brighton & Hove Albion_Result,For Brighton & Hove Albion_GF,For Brighton & Hove Albion_GA,For Brighton & Hove Albion_Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2022-08-07,14:00 (06:00),Premier League,Matchweek 1,Sun,Away,W,2,1,Manchester Utd,2,15,4,26.7,0.13,0.50,17.4,0,0,0,1.5,1.5,0.10,+0.5,+0.5,Match Report,2022-08-07,14:00 (06:00),Premier League,Matchweek 1,Sun,Away,W,2,1,Manchester Utd,5,1,5,80.0,0,0.8,+0.8,0,0,0,0,6,26,23.1,18,1,83.3,53.8,11,100.0,70.0,21,0,0.0,0,2.5,Match Report,2022-08-07,14:00 (06:00),Premier League,Matchweek 1,Sun,Away,W,2,1,Manchester Utd,252,362,69.6,4477,2032,123,142,86.6,95,121,78.5,24,71,33.8,1,1.1,1.1,13,26,11,5,35,Match Report,2022-08-07,14:00 (06:00),Premier League,Matchweek 1,Sun,Away,W,2,1,Manchester Utd,362,314,47,10,3,1,12,22,2,1,1,0,252,1,11,Match Report,2022-08-07,14:00 (06:00),Premier League,Matchweek 1,Sun,Away,W,2,1,Manchester Utd,23,19,1,0,3,0,0,3,2,0,0,1,0,0,Match Report,2022-08-07,14:00 (06:00),Premier League,Matchweek 1,Sun,Away,W,2,1,Manchester Utd,14,9,6,6,2,7,12,58.3,5,16,7,9,12,26,24,0,Match Report,2022-08-07,14:00 (06:00),Premier League,Matchweek 1,Sun,Away,W,2,1,Manchester Utd,38,483,68,150,174,163,28,483,14,6,42.9,6,42.9,177,973,372,7,5,3,19,6,251,35,Match Report,2022-08-07,14:00 (06:00),Premier League,Matchweek 1,Sun,Away,W,2,1,Manchester Utd,1,0,0,12,7,1,12,12,9,0,0,1,58,9,11,45.0,Match Report
2022-08-13,15:00 (07:00),Premier League,Matchweek 2,Sat,Home,D,0,0,Newcastle Utd,0,13,5,38.5,0.00,0.00,17.3,0,0,0,1.5,1.5,0.12,-1.5,-1.5,Match Report,2022-08-13,15:00 (07:00),Premier League,Matchweek 2,Sat,Home,D,0,0,Newcastle Utd,1,0,1,100.0,1,0.1,+0.1,0,0,0,0,6,18,33.3,21,3,66.7,51.0,4,100.0,69.8,7,1,14.3,2,23.3,Match Report,2022-08-13,15:00 (07:00),Premier League,Matchweek 2,Sat,Home,D,0,0,Newcastle Utd,309,420,73.6,5469,2222,154,182,84.6,111,146,76.0,36,71,50.7,0,1.3,1.6,10,33,11,1,48,Match Report,2022-08-13,15:00 (07:00),Premier League,Matchweek 2,Sat,Home,D,0,0,Newcastle Utd,420,374,45,10,0,5,19,23,7,4,2,0,309,1,6,Match Report,2022-08-13,15:00 (07:00),Premier League,Matchweek 2,Sat,Home,D,0,0,Newcastle Utd,23,18,2,2,0,0,1,0,0,0,0,0,0,0,Match Report,2022-08-13,15:00 (07:00),Premier League,Matchweek 2,Sat,Home,D,0,0,Newcastle Utd,18,14,7,10,1,8,20,40.0,12,7,1,6,8,26,19,1,Match Report,2022-08-13,15:00 (07:00),Premier League,Matchweek 2,Sat,Home,D,0,0,Newcastle Utd,54,521,42,143,200,185,28,521,8,3,37.5,5,62.5,236,1379,766,17,11,4,18,7,304,47,Match Report,2022-08-13,15:00 (07:00),Premier League,Matchweek 2,Sat,Home,D,0,0,Newcastle Utd,2,0,0,8,4,1,19,8,14,0,0,0,60,18,16,52.9,Match Report
2022-08-21,14:00 (06:00),Premier League,Matchweek 3,Sun,Away,W,2,0,West Ham,2,10,1,10.0,0.10,1.00,18.8,0,1,1,1.7,0.9,0.09,+0.3,+0.1,Match Report,2022-08-21,14:00 (06:00),Premier League,Matchweek 3,Sun,Away,W,2,0,West Ham,3,0,3,100.0,1,0.5,+0.5,0,0,0,0,6,21,28.6,36,6,50.0,41.8,4,75.0,53.5,18,3,16.7,0,8.5,Match Report,2022-08-21,14:00 (06:00),Premier League,Matchweek 3,Sun,Away,W,2,0,West Ham,418,523,79.9,7199,2601,193,219,88.1,177,203,87.2,36,75,48.0,1,0.9,0.6,8,35,5,1,41,Match Report,2022-08-21,14:00 (06:00),Premier League,Matchweek 3,Sun,Away,W,2,0,West Ham,523,486,36,12,2,6,16,15,4,1,3,0,418,1,9,Match Report,2022-08-21,14:00 (06:00),Premier League,Matchweek 3,Sun,Away,W,2,0,West Ham,21,17,2,0,1,1,0,4,3,0,0,0,1,0,Match Report,2022-08-21,14:00 (06:00),Premier League,Matchweek 3,Sun,Away,W,2,0,West Ham,17,7,4,10,3,2,6,33.3,4,17,7,10,6,23,19,0,Match Report,2022-08-21,14:00 (06:00),Premier League,Matchweek 3,Sun,Away,W,2,0,West Ham,50,628,72,195,281,160,21,627,6,3,50.0,2,33.3,303,1708,880,17,13,7,18,6,413,41,Match Report,2022-08-21,14:00 (06:00),Premier League,Matchweek 3,Sun,Away,W,2,0,West Ham,0,0,0,7,10,1,16,6,7,1,0,0,49,9,20,31.0,Match Report
2022-08-24,19:45 (11:45),EFL Cup,Second round,Wed,Away,W,3,0,FG Rovers,3,10,5,50.0,0.30,0.60,,,0,0,,,,,,Match Report,2022-08-24,19:45 (11:45),EFL Cup,Second round,Wed,Away,W,3,0,FG Rovers,2,0,2,100.0,1,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2022-08-24,19:45 (11:45),EFL Cup,Second round,Wed,Away,W,3,0,FG Rovers,,,,,,,,,,,,,,,3,,,,,,,,Match Report,2022-08-24,19:45 (11:45),EFL Cup,Second round,Wed,Away,W,3,0,FG Rovers,,,,,,,16,,,,,,,,,Match Report,2022-08-24,19:45 (11:45),EFL Cup,Second round,Wed,Away,W,3,0,FG Rovers,,,,,,,,,,,,,,,Match Report,2022-08-24,19:45 (11:45),EFL Cup,Second round,Wed,Away,W,3,0,FG Rovers,,8,,,,,,,,,,,16,0,,,Match Report,2022-08-24,19:45 (11:45),EFL Cup,Second round,Wed,Away,W,3,0,FG Rovers,53,,,,,,,,,,,,,,,,,,,,,,,Match Report,2022-08-24,19:45 (11:45),EFL Cup,Second round,Wed,Away,W,3,0,FG Rovers,1,0,0,9,7,1,16,16,8,,,0,,,,,Match Report
2022-08-27,15:00 (07:00),Premier League,Matchweek 4,Sat,Home,W,1,0,Leeds United,1,13,4,30.8,0.08,0.25,13.6,0,0,0,2.0,2.0,0.16,-1.0,-1.0,Match Report,2022-08-27,15:00 (07:00),Premier League,Matchweek 4,Sat,Home,W,1,0,Leeds United,2,0,2,100.0,1,0.5,+0.5,0,0,0,0,4,16,25.0,25,4,48.0,39.7,7,57.1,48.4,10,1,10.0,0,8.3,Match Report,2022-08-27,15:00 (07:00),Premier League,Matchweek 4,Sat,Home,W,1,0,Leeds United,278,398,69.8,5544,2329,118,149,79.2,110,140,78.6,43,83,51.8,1,2.0,1.6,12,27,5,0,28,Match Report,2022-08-27,15:00 (07:00),Premier League,Matchweek 4,Sat,Home,W,1,0,Leeds United,398,341,55,15,2,8,12,27,5,2,2,0,278,2,7,Match Report,2022-08-27,15:00 (07:00),Premier League,Matchweek 4,Sat,Home,W,1,0,Leeds United,23,16,4,2,0,1,0,2,2,0,0,0,0,0,Match Report,2022-08-27,15:00 (07:00),Premier League,Matchweek 4,Sat,Home,W,1,0,Leeds United,14,10,7,5,2,5,16,31.3,11,14,5,9,9,23,7,0,Match Report,2022-08-27,15:00 (07:00),Premier League,Matchweek 4,Sat,Home,W,1,0,Leeds United,44,506,46,159,208,140,25,506,19,7,36.8,8,42.1,233,1403,654,14,11,7,20,14,268,28,Match Report,2022-08-27,15:00 (07:00),Premier League,Matchweek 4,Sat,Home,W,1,0,Leeds United,2,0,0,10,13,2,12,9,10,0,0,0,60,14,10,58.3,Match Report
2022-08-30,19:30 (11:30),Premier League,Matchweek 5,Tue,Away,L,1,2,Fulham,1,6,2,33.3,0.00,0.00,15.3,0,1,1,1.4,0.6,0.11,-0.4,-0.6,Match Report,2022-08-30,19:30 (11:30),Premier League,Matchweek 5,Tue,Away,L,1,2,Fulham,3,2,2,33.3,0,0.3,-0.7,0,0,0,0,2,7,28.6,33,5,12.1,26.6,11,27.3,33.4,6,1,16.7,0,13.7,Match Report,2022-08-30,19:30 (11:30),Premier League,Matchweek 5,Tue,Away,L,1,2,Fulham,477,583,81.8,9075,2702,180,200,90.0,228,256,89.1,59,94,62.8,0,0.4,0.5,5,36,10,3,46,Match Report,2022-08-30,19:30 (11:30),Premier League,Matchweek 5,Tue,Away,L,1,2,Fulham,583,530,51,8,1,8,17,26,3,1,1,0,477,2,20,Match Report,2022-08-30,19:30 (11:30),Premier League,Matchweek 5,Tue,Away,L,1,2,Fulham,13,11,0,0,1,1,0,2,1,0,0,0,1,0,Match Report,2022-08-30,19:30 (11:30),Premier League,Matchweek 5,Tue,Away,L,1,2,Fulham,23,12,8,8,7,9,18,50.0,9,9,0,9,11,34,11,2,Match Report,2022-08-30,19:30 (11:30),Premier League,Matchweek 5,Tue,Away,L,1,2,Fulham,61,697,65,221,310,173,17,696,27,11,40.7,12,44.4,474,2135,1058,15,7,3,22,14,475,46,Match Report,2022-08-30,19:30 (11:30),Premier League,Matchweek 5,Tue,Away,L,1,2,Fulham,1,0,0,11,9,2,17,11,12,1,0,1,61,13,18,41.9,Match Report
2022-09-04,14:00 (06:00),Premier League,Matchweek 6,Sun,Home,W,5,2,Leicester City,4,22,10,45.5,0.14,0.30,19.6,2,1,1,2.6,2.0,0.09,+1.4,+1.0,Match Report,2022-09-04,14:00 (06:00),Premier League,Matchweek 6,Sun,Home,W,5,2,Leicester City,4,2,2,50.0,0,1.5,-0.5,0,0,0,0,0,5,0.0,23,3,17.4,27.3,5,20.0,31.8,3,0,0.0,0,,Match Report,2022-09-04,14:00 (06:00),Premier League,Matchweek 6,Sun,Home,W,5,2,Leicester City,444,538,82.5,9173,2924,135,160,84.4,239,265,90.2,68,100,68.0,2,1.4,1.3,13,49,16,4,59,Match Report,2022-09-04,14:00 (06:00),Premier League,Matchweek 6,Sun,Home,W,5,2,Leicester City,538,496,40,7,3,3,25,15,10,7,3,0,444,2,5,Match Report,2022-09-04,14:00 (06:00),Premier League,Matchweek 6,Sun,Home,W,5,2,Leicester City,39,25,2,6,1,4,1,8,4,0,2,0,2,0,Match Report,2022-09-04,14:00 (06:00),Premier League,Matchweek 6,Sun,Home,W,5,2,Leicester City,17,12,5,9,3,4,10,40.0,6,9,1,8,13,30,6,0,Match Report,2022-09-04,14:00 (06:00),Premier League,Matchweek 6,Sun,Home,W,5,2,Leicester City,53,650,32,155,287,213,32,649,21,11,52.4,6,28.6,327,1968,1018,22,13,4,12,7,442,59,Match Report,2022-09-04,14:00 (06:00),Premier League,Matchweek 6,Sun,Home,W,5,2,Leicester City,1,0,0,6,8,2,25,13,12,1,0,0,46,10,11,47.6,Match Report
2022-10-01,15:00 (07:00),Premier League,Matchweek 9,Sat,Away,D,3,3,Liverpool,3,6,6,100.0,0.50,0.50,10.0,0,0,0,1.4,1.4,0.23,+1.6,+1.6,Match Report,2022-10-01,15:00 (07:00),Premier League,Matchweek 9,Sat,Away,D,3,3,Liverpool,7,3,5,57.1,0,2.3,+0.3,0,0,0,0,3,21,14.3,36,9,41.7,37.8,11,54.5,44.8,20,2,10.0,0,5.0,Match Report,2022-10-01,15:00 (07:00),Premier League,Matchweek 9,Sat,Away,D,3,3,Liverpool,378,498,75.9,6640,2359,171,197,86.8,167,201,83.1,35,74,47.3,2,1.1,0.6,5,24,8,2,28,Match Report,2022-10-01,15:00 (07:00),Premier League,Matchweek 9,Sat,Away,D,3,3,Liverpool,498,455,43,10,3,4,13,16,2,1,1,0,378,0,12,Match Report,2022-10-01,15:00 (07:00),Premier League,Matchweek 9,Sat,Away,D,3,3,Liverpool,12,11,0,1,0,0,0,6,5,0,1,0,0,0,Match Report,2022-10-01,15:00 (07:00),Premier League,Matchweek 9,Sat,Away,D,3,3,Liverpool,23,9,14,7,2,7,15,46.7,8,9,2,7,14,37,27,0,Match Report,2022-10-01,15:00 (07:00),Premier League,Matchweek 9,Sat,Away,D,3,3,Liverpool,46,630,113,311,214,112,20,630,23,11,47.8,8,34.8,336,1519,786,11,7,5,20,6,374,27,Match Report,2022-10-01,15:00 (07:00),Premier League,Matchweek 9,Sat,Away,D,3,3,Liverpool,1,0,0,13,6,0,13,14,9,0,0,1,46,8,11,42.1,Match Report
2022-10-08,17:30 (09:30),Premier League,Matchweek 10,Sat,Home,L,0,1,Tottenham,0,14,4,28.6,0.00,0.00,18.5,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Match Report,2022-10-08,17:30 (09:30),Premier League,Matchweek 10,Sat,Home,L,0,1,Tottenham,3,1,2,66.7,0,0.5,-0.5,0,0,0,0,6,11,54.5,24,2,25.0,25.2,13,38.5,36.0,7,0,0.0,0,,Match Report,2022-10-08,17:30 (09:30),Premier League,Matchweek 10,Sat,Home,L,0,1,Tottenham,632,734,86.1,9759,3087,339,372,91.1,243,270,90.0,37,67,55.2,0,0.7,1.2,14,52,9,1,54,Match Report,2022-10-08,17:30 (09:30),Premier League,Matchweek 10,Sat,Home,L,0,1,Tottenham,734,675,57,17,5,5,17,19,6,1,1,2,632,2,10,Match Report,2022-10-08,17:30 (09:30),Premier League,Matchweek 10,Sat,Home,L,0,1,Tottenham,26,22,2,1,0,0,1,0,0,0,0,0,0,0,Match Report,2022-10-08,17:30 (09:30),Premier League,Matchweek 10,Sat,Home,L,0,1,Tottenham,17,9,4,9,4,8,16,50.0,8,11,1,10,10,27,7,0,Match Report,2022-10-08,17:30 (09:30),Premier League,Matchweek 10,Sat,Home,L,0,1,Tottenham,59,827,67,200,388,244,28,827,17,9,52.9,3,17.6,438,2196,1093,25,18,6,14,12,629,54,Match Report,2022-10-08,17:30 (09:30),Premier League,Matchweek 10,Sat,Home,L,0,1,Tottenham,1,0,0,9,13,2,17,10,9,0,0,0,57,12,11,52.2,Match Report
2022-10-14,20:00 (12:00),Premier League,Matchweek 11,Fri,Away,L,0,2,Brentford,0,21,7,33.3,0.00,0.00,17.2,0,0,0,1.9,1.9,0.09,-1.9,-1.9,Match Report,2022-10-14,20:00 (12:00),Premier League,Matchweek 11,Fri,Away,L,0,2,Brentford,2,2,0,50.0,0,2.0,0.0,1,1,0,0,3,8,37.5,28,5,28.6,33.5,6,0.0,3.2,10,0,0.0,0,17.0,Match Report,2022-10-14,20:00 (12:00),Premier League,Matchweek 11,Fri,Away,L,0,2,Brentford,552,672,82.1,9033,3205,270,295,91.5,217,250,86.8,42,77,54.5,0,1.9,2.1,19,54,17,4,68,Match Report,2022-10-14,20:00 (12:00),Premier League,Matchweek 11,Fri,Away,L,0,2,Brentford,672,617,52,12,4,3,33,20,11,5,5,0,552,3,13,Match Report,2022-10-14,20:00 (12:00),Premier League,Matchweek 11,Fri,Away,L,0,2,Brentford,39,31,4,0,4,0,0,0,0,0,0,0,0,0,Match Report,2022-10-14,20:00 (12:00),Premier League,Matchweek 11,Fri,Away,L,0,2,Brentford,25,15,12,6,7,9,18,50.0,9,7,1,6,7,32,9,0,Match Report,2022-10-14,20:00 (12:00),Premier League,Matchweek 11,Fri,Away,L,0,2,Brentford,72,777,62,203,313,263,40,777,9,2,22.2,7,77.8,471,2368,1177,20,20,7,14,5,548,68,Match Report,2022-10-14,20:00 (12:00),Premier League,Matchweek 11,Fri,Away,L,0,2,Brentford,1,0,0,15,11,3,33,7,15,0,1,0,50,14,17,45.2,Match Report
