For Saint-Étienne_Date,For Saint-Étienne_Time,For Saint-Étienne_Comp,For Saint-Étienne_Round,For Saint-Étienne_Day,For Saint-Étienne_Venue,For Saint-Étienne_Result,For Saint-Étienne_GF,For Saint-Étienne_GA,For Saint-Étienne_Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,For Saint-Étienne_Date,For Saint-Étienne_Time,For Saint-Étienne_Comp,For Saint-Étienne_Round,For Saint-Étienne_Day,For Saint-Étienne_Venue,For Saint-Étienne_Result,For Saint-Étienne_GF,For Saint-Étienne_GA,For Saint-Étienne_Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,For Saint-Étienne_Date,For Saint-Étienne_Time,For Saint-Étienne_Comp,For Saint-Étienne_Round,For Saint-Étienne_Day,For Saint-Étienne_Venue,For Saint-Étienne_Result,For Saint-Étienne_GF,For Saint-Étienne_GA,For Saint-Étienne_Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,For Saint-Étienne_Date,For Saint-Étienne_Time,For Saint-Étienne_Comp,For Saint-Étienne_Round,For Saint-Étienne_Day,For Saint-Étienne_Venue,For Saint-Étienne_Result,For Saint-Étienne_GF,For Saint-Étienne_GA,For Saint-Étienne_Opponent,For Saint-Étienne_Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,For Saint-Étienne_Date,For Saint-Étienne_Time,For Saint-Étienne_Comp,For Saint-Étienne_Round,For Saint-Étienne_Day,For Saint-Étienne_Venue,For Saint-Étienne_Result,For Saint-Étienne_GF,For Saint-Étienne_GA,For Saint-Étienne_Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,For Saint-Étienne_Date,For Saint-Étienne_Time,For Saint-Étienne_Comp,For Saint-Étienne_Round,For Saint-Étienne_Day,For Saint-Étienne_Venue,For Saint-Étienne_Result,For Saint-Étienne_GF,For Saint-Étienne_GA,For Saint-Étienne_Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,For Saint-Étienne_Date,For Saint-Étienne_Time,For Saint-Étienne_Comp,For Saint-Étienne_Round,For Saint-Étienne_Day,For Saint-Étienne_Venue,For Saint-Étienne_Result,For Saint-Étienne_GF,For Saint-Étienne_GA,For Saint-Étienne_Opponent,For Saint-Étienne_Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,For Saint-Étienne_Date,For Saint-Étienne_Time,For Saint-Étienne_Comp,For Saint-Étienne_Round,For Saint-Étienne_Day,For Saint-Étienne_Venue,For Saint-Étienne_Result,For Saint-Étienne_GF,For Saint-Étienne_GA,For Saint-Étienne_Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2018-08-11,20:00 (11:00),Ligue 1,Matchweek 1,Sat,Home,W,2,1,Guingamp,2,11,6,54.5,0.18,0.33,15.3,0,0,0,0.8,0.8,0.08,+1.2,+1.2,Match Report,2018-08-11,20:00 (11:00),Ligue 1,Matchweek 1,Sat,Home,W,2,1,Guingamp,5,1,4,100.0,0,1.3,+0.3,1,1,0,0,5,20,25.0,19,5,52.6,39.7,10,100.0,61.1,19,0,0.0,0,16.0,Match Report,2018-08-11,20:00 (11:00),Ligue 1,Matchweek 1,Sat,Home,W,2,1,Guingamp,287,398,72.1,5651,2195,110,130,84.6,133,164,81.1,41,86,47.7,2,0.6,0.9,9,22,7,2,36,Match Report,2018-08-11,20:00 (11:00),Ligue 1,Matchweek 1,Sat,Home,W,2,1,Guingamp,398,343,53,12,0,2,22,23,6,2,4,0,287,2,13,Match Report,2018-08-11,20:00 (11:00),Ligue 1,Matchweek 1,Sat,Home,W,2,1,Guingamp,19,12,4,0,2,1,0,4,4,0,0,0,0,0,Match Report,2018-08-11,20:00 (11:00),Ligue 1,Matchweek 1,Sat,Home,W,2,1,Guingamp,17,12,11,5,1,5,13,38.5,8,10,0,10,12,29,32,0,Match Report,2018-08-11,20:00 (11:00),Ligue 1,Matchweek 1,Sat,Home,W,2,1,Guingamp,43,519,59,205,221,99,14,519,5,3,60.0,2,40.0,226,1258,729,12,11,3,13,8,285,36,Match Report,2018-08-11,20:00 (11:00),Ligue 1,Matchweek 1,Sat,Home,W,2,1,Guingamp,3,0,0,14,10,2,22,12,12,0,1,0,44,21,28,42.9,Match Report
2018-08-19,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Away,D,1,1,Strasbourg,1,9,2,22.2,0.11,0.50,23.8,1,0,0,0.4,0.4,0.04,+0.6,+0.6,Match Report,2018-08-19,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Away,D,1,1,Strasbourg,5,1,4,80.0,0,1.1,+0.1,0,0,0,0,1,14,7.1,35,6,25.7,29.9,11,45.5,38.8,20,1,5.0,0,8.6,Match Report,2018-08-19,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Away,D,1,1,Strasbourg,343,426,80.5,6048,2109,159,175,90.9,134,151,88.7,43,76,56.6,1,0.2,0.2,5,16,3,2,22,Match Report,2018-08-19,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Away,D,1,1,Strasbourg,426,383,42,11,2,5,7,16,2,0,1,0,343,1,12,Match Report,2018-08-19,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Away,D,1,1,Strasbourg,14,10,2,0,1,1,0,2,2,0,0,0,0,0,Match Report,2018-08-19,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Away,D,1,1,Strasbourg,9,4,6,3,0,5,13,38.5,8,8,0,8,10,19,35,0,Match Report,2018-08-19,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Away,D,1,1,Strasbourg,42,533,86,254,225,57,11,533,7,4,57.1,3,42.9,301,1614,851,15,8,5,15,8,339,22,Match Report,2018-08-19,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Away,D,1,1,Strasbourg,2,1,0,7,10,1,7,10,4,0,0,0,38,12,17,41.4,Match Report
2018-08-25,20:00 (11:00),Ligue 1,Matchweek 3,Sat,Away,D,0,0,Montpellier,0,9,2,22.2,0.00,0.00,28.9,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Match Report,2018-08-25,20:00 (11:00),Ligue 1,Matchweek 3,Sat,Away,D,0,0,Montpellier,1,0,1,100.0,1,0.0,0.0,0,0,0,0,1,7,14.3,13,4,15.4,29.6,9,55.6,42.2,17,1,5.9,0,14.3,Match Report,2018-08-25,20:00 (11:00),Ligue 1,Matchweek 3,Sat,Away,D,0,0,Montpellier,468,569,82.2,8445,2845,209,235,88.9,197,223,88.3,53,82,64.6,0,0.3,0.4,8,24,6,1,37,Match Report,2018-08-25,20:00 (11:00),Ligue 1,Matchweek 3,Sat,Away,D,0,0,Montpellier,569,522,46,15,2,8,11,18,3,1,1,0,468,1,15,Match Report,2018-08-25,20:00 (11:00),Ligue 1,Matchweek 3,Sat,Away,D,0,0,Montpellier,14,12,1,0,0,1,0,0,0,0,0,0,0,0,Match Report,2018-08-25,20:00 (11:00),Ligue 1,Matchweek 3,Sat,Away,D,0,0,Montpellier,15,9,8,4,3,5,14,35.7,9,13,6,7,9,24,28,0,Match Report,2018-08-25,20:00 (11:00),Ligue 1,Matchweek 3,Sat,Away,D,0,0,Montpellier,54,678,53,209,364,110,5,678,18,11,61.1,7,38.9,367,2061,1019,23,14,1,12,19,466,37,Match Report,2018-08-25,20:00 (11:00),Ligue 1,Matchweek 3,Sat,Away,D,0,0,Montpellier,0,0,0,14,12,1,11,9,9,0,0,0,55,13,18,41.9,Match Report
2018-09-02,15:00 (06:00),Ligue 1,Matchweek 4,Sun,Home,D,0,0,Amiens,0,19,5,26.3,0.00,0.00,21.2,0,0,0,1.2,1.2,0.06,-1.2,-1.2,Match Report,2018-09-02,15:00 (06:00),Ligue 1,Matchweek 4,Sun,Home,D,0,0,Amiens,2,0,2,100.0,1,0.2,+0.2,0,0,0,0,5,8,62.5,20,7,20.0,27.7,9,44.4,37.9,4,0,0.0,1,15.8,Match Report,2018-09-02,15:00 (06:00),Ligue 1,Matchweek 4,Sun,Home,D,0,0,Amiens,434,556,78.1,8614,3037,168,201,83.6,206,239,86.2,59,97,60.8,0,0.8,1.0,15,38,10,5,49,Match Report,2018-09-02,15:00 (06:00),Ligue 1,Matchweek 4,Sun,Home,D,0,0,Amiens,556,490,62,15,1,3,37,23,14,4,7,0,434,4,10,Match Report,2018-09-02,15:00 (06:00),Ligue 1,Matchweek 4,Sun,Home,D,0,0,Amiens,36,26,5,3,1,1,0,0,0,0,0,0,0,0,Match Report,2018-09-02,15:00 (06:00),Ligue 1,Matchweek 4,Sun,Home,D,0,0,Amiens,16,12,4,8,4,6,12,50.0,6,4,0,4,8,24,6,1,Match Report,2018-09-02,15:00 (06:00),Ligue 1,Matchweek 4,Sun,Home,D,0,0,Amiens,63,640,37,155,291,199,31,640,7,6,85.7,1,14.3,344,1880,1106,25,18,8,18,5,430,48,Match Report,2018-09-02,15:00 (06:00),Ligue 1,Matchweek 4,Sun,Home,D,0,0,Amiens,3,0,0,11,11,4,37,8,12,0,0,0,43,18,9,66.7,Match Report
2018-09-14,20:45 (11:45),Ligue 1,Matchweek 5,Fri,Away,L,0,4,Paris S-G,0,11,2,18.2,0.00,0.00,19.5,1,0,0,1.0,1.0,0.09,-1.0,-1.0,Match Report,2018-09-14,20:45 (11:45),Ligue 1,Matchweek 5,Fri,Away,L,0,4,Paris S-G,9,4,5,66.7,0,4.0,0.0,1,1,0,0,5,18,27.8,25,5,48.0,37.0,10,60.0,39.1,11,0,0.0,1,18.3,Match Report,2018-09-14,20:45 (11:45),Ligue 1,Matchweek 5,Fri,Away,L,0,4,Paris S-G,311,395,78.7,5662,2142,154,174,88.5,116,135,85.9,40,80,50.0,0,0.7,0.7,8,26,5,2,33,Match Report,2018-09-14,20:45 (11:45),Ligue 1,Matchweek 5,Fri,Away,L,0,4,Paris S-G,395,354,41,12,0,1,23,10,4,1,3,0,311,0,1,Match Report,2018-09-14,20:45 (11:45),Ligue 1,Matchweek 5,Fri,Away,L,0,4,Paris S-G,21,10,3,3,3,1,1,0,0,0,0,0,0,0,Match Report,2018-09-14,20:45 (11:45),Ligue 1,Matchweek 5,Fri,Away,L,0,4,Paris S-G,12,8,6,5,1,1,5,20.0,4,6,2,4,15,27,17,1,Match Report,2018-09-14,20:45 (11:45),Ligue 1,Matchweek 5,Fri,Away,L,0,4,Paris S-G,36,497,66,194,206,105,18,497,10,7,70.0,3,30.0,271,1390,793,17,16,2,14,6,307,33,Match Report,2018-09-14,20:45 (11:45),Ligue 1,Matchweek 5,Fri,Away,L,0,4,Paris S-G,1,0,0,13,11,0,23,15,8,0,1,0,44,4,16,20.0,Match Report
2018-09-22,20:00 (11:00),Ligue 1,Matchweek 6,Sat,Home,W,2,1,Caen,2,22,6,27.3,0.05,0.17,16.2,1,1,1,3.5,2.7,0.15,-1.5,-1.7,Match Report,2018-09-22,20:00 (11:00),Ligue 1,Matchweek 6,Sat,Home,W,2,1,Caen,2,1,1,50.0,0,0.4,-0.6,0,0,0,0,8,18,44.4,23,3,56.5,39.0,7,71.4,48.4,15,0,0.0,0,7.8,Match Report,2018-09-22,20:00 (11:00),Ligue 1,Matchweek 6,Sat,Home,W,2,1,Caen,347,480,72.3,6610,2610,151,180,83.9,145,187,77.5,45,93,48.4,0,2.0,1.4,16,31,10,1,56,Match Report,2018-09-22,20:00 (11:00),Ligue 1,Matchweek 6,Sat,Home,W,2,1,Caen,480,418,59,18,2,2,26,23,9,2,4,0,347,3,6,Match Report,2018-09-22,20:00 (11:00),Ligue 1,Matchweek 6,Sat,Home,W,2,1,Caen,35,19,3,3,8,2,0,3,1,0,0,1,1,0,Match Report,2018-09-22,20:00 (11:00),Ligue 1,Matchweek 6,Sat,Home,W,2,1,Caen,23,14,8,12,3,9,16,56.3,7,12,2,10,17,40,29,1,Match Report,2018-09-22,20:00 (11:00),Ligue 1,Matchweek 6,Sat,Home,W,2,1,Caen,54,618,45,201,248,178,34,617,19,10,52.6,9,47.4,272,1421,732,19,8,8,9,15,345,56,Match Report,2018-09-22,20:00 (11:00),Ligue 1,Matchweek 6,Sat,Home,W,2,1,Caen,2,0,0,3,19,3,26,17,14,1,0,0,63,17,29,37.0,Match Report
2018-09-25,21:00 (12:00),Ligue 1,Matchweek 7,Tue,Away,W,3,2,Toulouse,3,14,8,57.1,0.21,0.38,17.8,0,0,0,2.3,2.3,0.16,+0.7,+0.7,Match Report,2018-09-25,21:00 (12:00),Ligue 1,Matchweek 7,Tue,Away,W,3,2,Toulouse,6,2,4,66.7,0,2.4,+0.4,0,0,0,0,8,41,19.5,28,2,85.7,48.3,17,100.0,56.1,20,0,0.0,0,4.0,Match Report,2018-09-25,21:00 (12:00),Ligue 1,Matchweek 7,Tue,Away,W,3,2,Toulouse,276,388,71.1,5212,2254,122,135,90.4,112,140,80.0,36,93,38.7,3,2.2,0.6,13,26,6,0,38,Match Report,2018-09-25,21:00 (12:00),Ligue 1,Matchweek 7,Tue,Away,W,3,2,Toulouse,388,333,55,14,1,2,8,19,2,1,1,0,276,0,6,Match Report,2018-09-25,21:00 (12:00),Ligue 1,Matchweek 7,Tue,Away,W,3,2,Toulouse,23,17,1,1,2,1,1,5,4,0,1,0,0,0,Match Report,2018-09-25,21:00 (12:00),Ligue 1,Matchweek 7,Tue,Away,W,3,2,Toulouse,25,13,13,9,3,11,20,55.0,9,9,1,8,6,31,33,0,Match Report,2018-09-25,21:00 (12:00),Ligue 1,Matchweek 7,Tue,Away,W,3,2,Toulouse,43,512,73,203,222,93,16,512,9,5,55.6,4,44.4,209,1251,633,12,6,2,13,14,273,38,Match Report,2018-09-25,21:00 (12:00),Ligue 1,Matchweek 7,Tue,Away,W,3,2,Toulouse,2,0,0,14,13,0,8,6,13,0,0,0,47,17,21,44.7,Match Report
2018-09-28,20:45 (11:45),Ligue 1,Matchweek 8,Fri,Home,W,2,0,Monaco,2,16,5,31.3,0.13,0.40,21.1,1,0,0,1.6,1.6,0.10,+0.4,+0.4,Match Report,2018-09-28,20:45 (11:45),Ligue 1,Matchweek 8,Fri,Home,W,2,0,Monaco,6,0,6,100.0,1,0.6,+0.6,0,0,0,0,5,19,26.3,26,2,53.8,39.5,11,45.5,40.0,10,0,0.0,1,18.0,Match Report,2018-09-28,20:45 (11:45),Ligue 1,Matchweek 8,Fri,Home,W,2,0,Monaco,395,508,77.8,7427,2646,170,194,87.6,158,187,84.5,57,103,55.3,2,1.2,0.8,12,36,10,1,44,Match Report,2018-09-28,20:45 (11:45),Ligue 1,Matchweek 8,Fri,Home,W,2,0,Monaco,508,456,50,10,2,7,19,22,6,0,3,0,395,2,9,Match Report,2018-09-28,20:45 (11:45),Ligue 1,Matchweek 8,Fri,Home,W,2,0,Monaco,27,21,1,1,0,2,2,3,3,0,0,0,0,0,Match Report,2018-09-28,20:45 (11:45),Ligue 1,Matchweek 8,Fri,Home,W,2,0,Monaco,17,11,6,7,4,7,11,63.6,4,16,5,11,15,32,16,1,Match Report,2018-09-28,20:45 (11:45),Ligue 1,Matchweek 8,Fri,Home,W,2,0,Monaco,49,621,56,191,293,147,20,621,16,12,75.0,4,25.0,323,1861,1042,21,15,2,14,12,394,44,Match Report,2018-09-28,20:45 (11:45),Ligue 1,Matchweek 8,Fri,Home,W,2,0,Monaco,0,0,0,8,9,2,19,15,11,0,0,0,60,15,16,48.4,Match Report
2018-10-06,17:00 (08:00),Ligue 1,Matchweek 9,Sat,Away,L,1,3,Lille,1,6,1,16.7,0.00,0.00,19.5,0,1,1,1.3,0.6,0.09,-0.3,-0.6,Match Report,2018-10-06,17:00 (08:00),Ligue 1,Matchweek 9,Sat,Away,L,1,3,Lille,5,3,2,40.0,0,2.2,-0.8,0,0,0,0,5,13,38.5,24,3,25.0,28.7,10,70.0,42.4,6,0,0.0,0,12.6,Match Report,2018-10-06,17:00 (08:00),Ligue 1,Matchweek 9,Sat,Away,L,1,3,Lille,399,500,79.8,7698,3056,148,169,87.6,185,212,87.3,56,92,60.9,0,0.5,0.5,5,32,5,1,48,Match Report,2018-10-06,17:00 (08:00),Ligue 1,Matchweek 9,Sat,Away,L,1,3,Lille,500,455,42,8,0,3,25,16,4,2,1,0,399,3,6,Match Report,2018-10-06,17:00 (08:00),Ligue 1,Matchweek 9,Sat,Away,L,1,3,Lille,12,10,0,0,1,1,0,1,0,0,0,0,1,0,Match Report,2018-10-06,17:00 (08:00),Ligue 1,Matchweek 9,Sat,Away,L,1,3,Lille,15,10,5,8,2,5,10,50.0,5,11,4,7,11,26,14,1,Match Report,2018-10-06,17:00 (08:00),Ligue 1,Matchweek 9,Sat,Away,L,1,3,Lille,53,598,62,188,301,114,13,597,4,2,50.0,2,50.0,292,1832,926,17,17,3,20,12,394,48,Match Report,2018-10-06,17:00 (08:00),Ligue 1,Matchweek 9,Sat,Away,L,1,3,Lille,1,0,0,10,8,3,25,11,10,1,0,0,51,18,13,58.1,Match Report
2018-10-21,17:00 (08:00),Ligue 1,Matchweek 10,Sun,Home,D,1,1,Rennes,1,8,1,12.5,0.00,0.00,18.4,0,1,1,1.8,1.1,0.13,-0.8,-1.1,Match Report,2018-10-21,17:00 (08:00),Ligue 1,Matchweek 10,Sun,Home,D,1,1,Rennes,5,1,4,80.0,0,1.7,+0.7,1,0,0,1,5,17,29.4,23,2,39.1,37.2,12,66.7,41.5,13,0,0.0,0,6.0,Match Report,2018-10-21,17:00 (08:00),Ligue 1,Matchweek 10,Sun,Home,D,1,1,Rennes,427,540,79.1,8046,2728,177,211,83.9,174,201,86.6,63,104,60.6,0,1.0,0.7,7,31,10,5,45,Match Report,2018-10-21,17:00 (08:00),Ligue 1,Matchweek 10,Sun,Home,D,1,1,Rennes,540,477,63,12,1,5,16,35,2,0,2,0,427,0,8,Match Report,2018-10-21,17:00 (08:00),Ligue 1,Matchweek 10,Sun,Home,D,1,1,Rennes,15,10,1,2,0,1,1,1,0,0,0,0,1,0,Match Report,2018-10-21,17:00 (08:00),Ligue 1,Matchweek 10,Sun,Home,D,1,1,Rennes,21,14,7,10,4,9,14,64.3,5,7,2,5,13,34,12,3,Match Report,2018-10-21,17:00 (08:00),Ligue 1,Matchweek 10,Sun,Home,D,1,1,Rennes,54,648,55,184,349,122,15,647,25,13,52.0,12,48.0,393,1945,893,15,11,3,14,20,422,45,Match Report,2018-10-21,17:00 (08:00),Ligue 1,Matchweek 10,Sun,Home,D,1,1,Rennes,1,0,0,13,10,0,16,13,14,1,1,0,60,16,14,53.3,Match Report
