For Nîmes_Date,For Nîmes_Time,For Nîmes_Comp,For Nîmes_Round,For Nîmes_Day,For Nîmes_Venue,For Nîmes_Result,For Nîmes_GF,For Nîmes_GA,For Nîmes_Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,For Nîmes_Date,For Nîmes_Time,For Nîmes_Comp,For Nîmes_Round,For Nîmes_Day,For Nîmes_Venue,For Nîmes_Result,For Nîmes_GF,For Nîmes_GA,For Nîmes_Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,For Nîmes_Date,For Nîmes_Time,For Nîmes_Comp,For Nîmes_Round,For Nîmes_Day,For Nîmes_Venue,For Nîmes_Result,For Nîmes_GF,For Nîmes_GA,For Nîmes_Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,For Nîmes_Date,For Nîmes_Time,For Nîmes_Comp,For Nîmes_Round,For Nîmes_Day,For Nîmes_Venue,For Nîmes_Result,For Nîmes_GF,For Nîmes_GA,For Nîmes_Opponent,For Nîmes_Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,For Nîmes_Date,For Nîmes_Time,For Nîmes_Comp,For Nîmes_Round,For Nîmes_Day,For Nîmes_Venue,For Nîmes_Result,For Nîmes_GF,For Nîmes_GA,For Nîmes_Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,For Nîmes_Date,For Nîmes_Time,For Nîmes_Comp,For Nîmes_Round,For Nîmes_Day,For Nîmes_Venue,For Nîmes_Result,For Nîmes_GF,For Nîmes_GA,For Nîmes_Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,For Nîmes_Date,For Nîmes_Time,For Nîmes_Comp,For Nîmes_Round,For Nîmes_Day,For Nîmes_Venue,For Nîmes_Result,For Nîmes_GF,For Nîmes_GA,For Nîmes_Opponent,For Nîmes_Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,For Nîmes_Date,For Nîmes_Time,For Nîmes_Comp,For Nîmes_Round,For Nîmes_Day,For Nîmes_Venue,For Nîmes_Result,For Nîmes_GF,For Nîmes_GA,For Nîmes_Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2018-08-11,20:00 (11:00),Ligue 1,Matchweek 1,Sat,Away,W,4,3,Angers,3,14,4,28.6,0.21,0.75,23.0,1,0,0,1.5,1.5,0.10,+1.5,+1.5,Match Report,2018-08-11,20:00 (11:00),Ligue 1,Matchweek 1,Sat,Away,W,4,3,Angers,7,3,4,57.1,0,2.2,-0.8,0,0,0,0,9,22,40.9,22,2,63.6,44.7,8,100.0,60.6,11,2,18.2,0,10.3,Match Report,2018-08-11,20:00 (11:00),Ligue 1,Matchweek 1,Sat,Away,W,4,3,Angers,262,376,69.7,4750,2104,131,155,84.5,84,109,77.1,37,90,41.1,3,1.3,1.0,10,21,6,4,25,Match Report,2018-08-11,20:00 (11:00),Ligue 1,Matchweek 1,Sat,Away,W,4,3,Angers,376,325,50,20,2,10,13,17,1,1,0,0,262,1,9,Match Report,2018-08-11,20:00 (11:00),Ligue 1,Matchweek 1,Sat,Away,W,4,3,Angers,23,15,3,3,0,2,0,6,3,0,3,0,0,0,Match Report,2018-08-11,20:00 (11:00),Ligue 1,Matchweek 1,Sat,Away,W,4,3,Angers,21,15,13,8,0,9,22,40.9,13,13,5,8,15,36,25,0,Match Report,2018-08-11,20:00 (11:00),Ligue 1,Matchweek 1,Sat,Away,W,4,3,Angers,43,506,56,171,245,96,12,506,18,8,44.4,10,55.6,222,1150,599,11,5,2,19,9,256,25,Match Report,2018-08-11,20:00 (11:00),Ligue 1,Matchweek 1,Sat,Away,W,4,3,Angers,2,1,1,12,19,1,13,15,15,0,0,0,57,26,21,55.3,Match Report
2018-08-19,21:00 (12:00),Ligue 1,Matchweek 2,Sun,Home,W,3,1,Marseille,3,14,7,50.0,0.21,0.43,17.9,0,0,0,1.4,1.4,0.10,+1.6,+1.6,Match Report,2018-08-19,21:00 (12:00),Ligue 1,Matchweek 2,Sun,Home,W,3,1,Marseille,6,1,5,83.3,0,1.0,0.0,0,0,0,0,10,22,45.5,17,2,82.4,50.6,9,88.9,58.4,19,0,0.0,0,,Match Report,2018-08-19,21:00 (12:00),Ligue 1,Matchweek 2,Sun,Home,W,3,1,Marseille,206,308,66.9,4399,2167,89,120,74.2,68,90,75.6,45,85,52.9,1,0.6,0.5,9,23,2,1,26,Match Report,2018-08-19,21:00 (12:00),Ligue 1,Matchweek 2,Sun,Home,W,3,1,Marseille,308,254,54,13,0,5,21,24,6,2,4,0,206,0,4,Match Report,2018-08-19,21:00 (12:00),Ligue 1,Matchweek 2,Sun,Home,W,3,1,Marseille,24,14,6,2,1,0,1,5,4,0,1,0,0,0,Match Report,2018-08-19,21:00 (12:00),Ligue 1,Matchweek 2,Sun,Home,W,3,1,Marseille,23,18,9,13,1,13,22,59.1,9,6,1,5,8,31,26,0,Match Report,2018-08-19,21:00 (12:00),Ligue 1,Matchweek 2,Sun,Home,W,3,1,Marseille,39,423,52,130,197,106,17,423,13,9,69.2,4,30.8,209,1444,665,18,12,4,21,19,203,26,Match Report,2018-08-19,21:00 (12:00),Ligue 1,Matchweek 2,Sun,Home,W,3,1,Marseille,3,0,0,11,11,0,21,8,18,0,0,0,52,21,24,46.7,Match Report
2018-08-25,20:00 (11:00),Ligue 1,Matchweek 3,Sat,Away,L,0,1,Toulouse,0,9,0,0.0,0.00,,15.7,0,0,0,0.6,0.6,0.07,-0.6,-0.6,Match Report,2018-08-25,20:00 (11:00),Ligue 1,Matchweek 3,Sat,Away,L,0,1,Toulouse,4,1,2,100.0,0,2.2,+1.2,2,1,1,0,9,26,34.6,27,4,74.1,49.1,7,85.7,51.3,11,1,9.1,0,9.7,Match Report,2018-08-25,20:00 (11:00),Ligue 1,Matchweek 3,Sat,Away,L,0,1,Toulouse,250,361,69.3,4755,2145,117,138,84.8,91,121,75.2,34,80,42.5,0,0.4,0.7,6,19,4,1,27,Match Report,2018-08-25,20:00 (11:00),Ligue 1,Matchweek 3,Sat,Away,L,0,1,Toulouse,361,294,67,19,0,5,18,36,3,2,1,0,250,0,10,Match Report,2018-08-25,20:00 (11:00),Ligue 1,Matchweek 3,Sat,Away,L,0,1,Toulouse,15,9,5,0,0,1,0,0,0,0,0,0,0,0,Match Report,2018-08-25,20:00 (11:00),Ligue 1,Matchweek 3,Sat,Away,L,0,1,Toulouse,23,14,10,10,3,8,19,42.1,11,10,2,8,14,37,21,1,Match Report,2018-08-25,20:00 (11:00),Ligue 1,Matchweek 3,Sat,Away,L,0,1,Toulouse,39,475,47,141,211,125,19,475,10,4,40.0,6,60.0,206,1020,534,12,6,5,24,9,249,27,Match Report,2018-08-25,20:00 (11:00),Ligue 1,Matchweek 3,Sat,Away,L,0,1,Toulouse,3,0,0,21,15,0,18,14,14,0,2,0,44,22,25,46.8,Match Report
2018-09-01,17:00 (08:00),Ligue 1,Matchweek 4,Sat,Home,L,2,4,Paris S-G,2,13,5,38.5,0.08,0.20,23.6,1,1,1,1.3,0.5,0.04,+0.7,+0.5,Match Report,2018-09-01,17:00 (08:00),Ligue 1,Matchweek 4,Sat,Home,L,2,4,Paris S-G,5,4,1,20.0,0,2.9,-1.1,0,0,0,0,3,7,42.9,16,5,37.5,33.2,2,50.0,38.0,8,0,0.0,0,10.0,Match Report,2018-09-01,17:00 (08:00),Ligue 1,Matchweek 4,Sat,Home,L,2,4,Paris S-G,280,372,75.3,4586,1969,152,174,87.4,83,108,76.9,30,60,50.0,1,0.4,0.4,11,25,5,2,28,Match Report,2018-09-01,17:00 (08:00),Ligue 1,Matchweek 4,Sat,Home,L,2,4,Paris S-G,372,311,60,11,0,1,21,39,3,0,2,0,280,1,12,Match Report,2018-09-01,17:00 (08:00),Ligue 1,Matchweek 4,Sat,Home,L,2,4,Paris S-G,26,16,4,1,1,3,1,4,3,0,0,0,1,0,Match Report,2018-09-01,17:00 (08:00),Ligue 1,Matchweek 4,Sat,Home,L,2,4,Paris S-G,21,16,5,14,2,11,21,52.4,10,7,1,6,13,34,24,0,Match Report,2018-09-01,17:00 (08:00),Ligue 1,Matchweek 4,Sat,Home,L,2,4,Paris S-G,40,496,35,146,192,161,15,495,14,8,57.1,6,42.9,239,1183,606,16,13,5,20,18,276,28,Match Report,2018-09-01,17:00 (08:00),Ligue 1,Matchweek 4,Sat,Home,L,2,4,Paris S-G,1,1,0,12,11,1,21,13,16,1,0,0,57,6,6,50.0,Match Report
2018-09-16,17:00 (08:00),Ligue 1,Matchweek 5,Sun,Away,D,3,3,Bordeaux,3,15,5,33.3,0.20,0.60,21.0,3,0,0,1.6,1.6,0.11,+1.4,+1.4,Match Report,2018-09-16,17:00 (08:00),Ligue 1,Matchweek 5,Sun,Away,D,3,3,Bordeaux,4,3,1,25.0,0,2.0,-1.0,0,0,0,0,12,22,54.5,28,2,53.6,36.1,8,87.5,60.0,11,1,9.1,1,13.0,Match Report,2018-09-16,17:00 (08:00),Ligue 1,Matchweek 5,Sun,Away,D,3,3,Bordeaux,347,477,72.7,6248,2934,167,210,79.5,140,168,83.3,32,75,42.7,2,1.3,1.3,8,37,9,1,46,Match Report,2018-09-16,17:00 (08:00),Ligue 1,Matchweek 5,Sun,Away,D,3,3,Bordeaux,477,429,48,9,1,2,15,24,3,2,1,0,347,0,10,Match Report,2018-09-16,17:00 (08:00),Ligue 1,Matchweek 5,Sun,Away,D,3,3,Bordeaux,24,18,1,0,2,3,0,6,4,0,0,1,1,0,Match Report,2018-09-16,17:00 (08:00),Ligue 1,Matchweek 5,Sun,Away,D,3,3,Bordeaux,21,10,7,9,5,8,13,61.5,5,13,6,7,9,30,20,0,Match Report,2018-09-16,17:00 (08:00),Ligue 1,Matchweek 5,Sun,Away,D,3,3,Bordeaux,50,608,51,188,254,174,20,608,13,6,46.2,7,53.8,341,1739,857,19,16,2,25,17,345,46,Match Report,2018-09-16,17:00 (08:00),Ligue 1,Matchweek 5,Sun,Away,D,3,3,Bordeaux,0,0,0,9,12,0,15,9,10,0,0,0,55,29,34,46.0,Match Report
2018-09-21,20:45 (11:45),Ligue 1,Matchweek 6,Fri,Away,D,1,1,Monaco,1,8,2,25.0,0.13,0.50,19.6,1,0,0,0.6,0.6,0.08,+0.4,+0.4,Match Report,2018-09-21,20:45 (11:45),Ligue 1,Matchweek 6,Fri,Away,D,1,1,Monaco,4,1,3,75.0,0,1.1,+0.1,0,0,0,0,7,25,28.0,20,4,70.0,45.2,12,91.7,52.8,23,3,13.0,0,5.2,Match Report,2018-09-21,20:45 (11:45),Ligue 1,Matchweek 6,Fri,Away,D,1,1,Monaco,262,383,68.4,4491,2068,143,170,84.1,82,112,73.2,32,79,40.5,1,0.5,1.0,6,20,1,0,22,Match Report,2018-09-21,20:45 (11:45),Ligue 1,Matchweek 6,Fri,Away,D,1,1,Monaco,383,320,60,14,0,1,19,27,5,2,3,0,262,3,5,Match Report,2018-09-21,20:45 (11:45),Ligue 1,Matchweek 6,Fri,Away,D,1,1,Monaco,14,4,4,2,0,4,0,2,0,1,0,0,1,0,Match Report,2018-09-21,20:45 (11:45),Ligue 1,Matchweek 6,Fri,Away,D,1,1,Monaco,24,14,13,6,5,11,20,55.0,9,9,1,8,6,30,24,0,Match Report,2018-09-21,20:45 (11:45),Ligue 1,Matchweek 6,Fri,Away,D,1,1,Monaco,43,507,48,185,227,99,10,507,18,10,55.6,8,44.4,227,1211,618,11,6,0,19,9,257,22,Match Report,2018-09-21,20:45 (11:45),Ligue 1,Matchweek 6,Fri,Away,D,1,1,Monaco,2,0,0,15,16,3,19,6,14,0,0,0,59,19,24,44.2,Match Report
2018-09-26,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Home,D,0,0,Guingamp,0,6,2,33.3,0.00,0.00,31.0,1,0,1,1.0,0.2,0.03,-1.0,-0.2,Match Report,2018-09-26,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Home,D,0,0,Guingamp,3,0,3,100.0,1,0.8,+0.8,0,0,0,0,8,15,53.3,21,4,52.4,41.5,7,57.1,42.4,12,1,8.3,1,12.3,Match Report,2018-09-26,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Home,D,0,0,Guingamp,347,500,69.4,6420,2742,152,183,83.1,148,193,76.7,41,93,44.1,0,0.1,0.3,3,27,3,1,36,Match Report,2018-09-26,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Home,D,0,0,Guingamp,500,437,63,11,0,1,14,40,4,2,2,0,347,0,11,Match Report,2018-09-26,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Home,D,0,0,Guingamp,12,10,0,0,0,2,0,0,0,0,0,0,0,0,Match Report,2018-09-26,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Home,D,0,0,Guingamp,23,18,15,6,2,10,18,55.6,8,6,1,5,11,34,33,0,Match Report,2018-09-26,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Home,D,0,0,Guingamp,58,630,53,219,302,114,11,629,11,6,54.5,5,45.5,291,1509,824,11,6,3,29,13,343,36,Match Report,2018-09-26,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Home,D,0,0,Guingamp,3,0,0,11,11,0,14,11,18,1,0,0,53,40,29,58.0,Match Report
2018-09-30,17:00 (08:00),Ligue 1,Matchweek 8,Sun,Away,L,0,3,Montpellier,0,11,3,27.3,0.00,0.00,18.7,0,0,0,1.0,1.0,0.10,-1.0,-1.0,Match Report,2018-09-30,17:00 (08:00),Ligue 1,Matchweek 8,Sun,Away,L,0,3,Montpellier,6,3,3,66.7,0,2.7,-0.3,1,1,0,0,9,15,60.0,16,3,43.8,40.0,10,80.0,50.7,15,3,20.0,1,8.8,Match Report,2018-09-30,17:00 (08:00),Ligue 1,Matchweek 8,Sun,Away,L,0,3,Montpellier,238,343,69.4,4362,2100,110,143,76.9,85,109,78.0,31,63,49.2,0,1.0,0.3,8,15,5,2,24,Match Report,2018-09-30,17:00 (08:00),Ligue 1,Matchweek 8,Sun,Away,L,0,3,Montpellier,343,290,52,16,0,3,17,21,1,1,0,0,238,1,6,Match Report,2018-09-30,17:00 (08:00),Ligue 1,Matchweek 8,Sun,Away,L,0,3,Montpellier,20,15,0,2,2,1,0,0,0,0,0,0,0,0,Match Report,2018-09-30,17:00 (08:00),Ligue 1,Matchweek 8,Sun,Away,L,0,3,Montpellier,25,12,16,9,0,9,18,50.0,9,15,5,10,15,40,30,1,Match Report,2018-09-30,17:00 (08:00),Ligue 1,Matchweek 8,Sun,Away,L,0,3,Montpellier,42,480,56,187,206,91,15,480,19,9,47.4,10,52.6,226,1244,649,14,11,6,13,9,235,24,Match Report,2018-09-30,17:00 (08:00),Ligue 1,Matchweek 8,Sun,Away,L,0,3,Montpellier,3,0,0,18,14,1,17,15,12,0,1,0,42,24,20,54.5,Match Report
2018-10-06,20:00 (11:00),Ligue 1,Matchweek 9,Sat,Home,D,0,0,Reims,0,17,5,29.4,0.00,0.00,20.1,0,0,0,0.9,0.9,0.05,-0.9,-0.9,Match Report,2018-10-06,20:00 (11:00),Ligue 1,Matchweek 9,Sat,Home,D,0,0,Reims,3,0,3,100.0,1,0.4,+0.4,0,0,0,0,9,21,42.9,26,2,65.4,44.2,4,100.0,65.8,9,0,0.0,0,5.7,Match Report,2018-10-06,20:00 (11:00),Ligue 1,Matchweek 9,Sat,Home,D,0,0,Reims,399,545,73.2,7664,3150,173,211,82.0,145,190,76.3,64,108,59.3,0,0.7,0.6,10,40,5,4,39,Match Report,2018-10-06,20:00 (11:00),Ligue 1,Matchweek 9,Sat,Home,D,0,0,Reims,545,478,65,16,0,5,35,35,9,2,7,0,399,2,14,Match Report,2018-10-06,20:00 (11:00),Ligue 1,Matchweek 9,Sat,Home,D,0,0,Reims,30,24,2,0,2,1,1,0,0,0,0,0,0,0,Match Report,2018-10-06,20:00 (11:00),Ligue 1,Matchweek 9,Sat,Home,D,0,0,Reims,15,8,6,9,0,10,16,62.5,6,5,0,5,10,25,17,0,Match Report,2018-10-06,20:00 (11:00),Ligue 1,Matchweek 9,Sat,Home,D,0,0,Reims,63,650,35,193,303,159,11,650,9,2,22.2,7,77.8,306,1604,790,18,8,2,20,10,393,38,Match Report,2018-10-06,20:00 (11:00),Ligue 1,Matchweek 9,Sat,Home,D,0,0,Reims,1,0,0,13,9,2,35,10,8,0,0,0,58,38,39,49.4,Match Report
2018-10-19,20:45 (11:45),Ligue 1,Matchweek 10,Fri,Away,L,0,2,Lyon,0,23,6,26.1,0.00,0.00,20.7,0,0,0,1.4,1.4,0.06,-1.4,-1.4,Match Report,2018-10-19,20:45 (11:45),Ligue 1,Matchweek 10,Fri,Away,L,0,2,Lyon,5,2,3,60.0,0,2.2,+0.2,0,0,0,0,5,15,33.3,17,6,52.9,38.6,7,85.7,56.7,14,1,7.1,0,11.3,Match Report,2018-10-19,20:45 (11:45),Ligue 1,Matchweek 10,Fri,Away,L,0,2,Lyon,311,407,76.4,4942,2058,186,209,89.0,73,97,75.3,34,64,53.1,0,1.3,1.1,20,22,6,3,41,Match Report,2018-10-19,20:45 (11:45),Ligue 1,Matchweek 10,Fri,Away,L,0,2,Lyon,407,359,48,13,1,5,25,18,7,3,3,1,311,0,13,Match Report,2018-10-19,20:45 (11:45),Ligue 1,Matchweek 10,Fri,Away,L,0,2,Lyon,42,33,5,0,2,1,1,0,0,0,0,0,0,0,Match Report,2018-10-19,20:45 (11:45),Ligue 1,Matchweek 10,Fri,Away,L,0,2,Lyon,24,15,13,7,4,8,21,38.1,13,11,3,8,13,37,21,0,Match Report,2018-10-19,20:45 (11:45),Ligue 1,Matchweek 10,Fri,Away,L,0,2,Lyon,40,542,45,159,223,167,23,542,12,5,41.7,7,58.3,270,1678,1024,27,18,4,14,11,306,40,Match Report,2018-10-19,20:45 (11:45),Ligue 1,Matchweek 10,Fri,Away,L,0,2,Lyon,2,0,0,11,10,0,25,13,15,0,0,0,59,13,14,48.1,Match Report
