For Leganés_Date,For Leganés_Time,For Leganés_Comp,For Leganés_Round,For Leganés_Day,For Leganés_Venue,For Leganés_Result,For Leganés_GF,For Leganés_GA,For Leganés_Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,For Leganés_Date,For Leganés_Time,For Leganés_Comp,For Leganés_Round,For Leganés_Day,For Leganés_Venue,For Leganés_Result,For Leganés_GF,For Leganés_GA,For Leganés_Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,For Leganés_Date,For Leganés_Time,For Leganés_Comp,For Leganés_Round,For Leganés_Day,For Leganés_Venue,For Leganés_Result,For Leganés_GF,For Leganés_GA,For Leganés_Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,For Leganés_Date,For Leganés_Time,For Leganés_Comp,For Leganés_Round,For Leganés_Day,For Leganés_Venue,For Leganés_Result,For Leganés_GF,For Leganés_GA,For Leganés_Opponent,For Leganés_Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,For Leganés_Date,For Leganés_Time,For Leganés_Comp,For Leganés_Round,For Leganés_Day,For Leganés_Venue,For Leganés_Result,For Leganés_GF,For Leganés_GA,For Leganés_Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,For Leganés_Date,For Leganés_Time,For Leganés_Comp,For Leganés_Round,For Leganés_Day,For Leganés_Venue,For Leganés_Result,For Leganés_GF,For Leganés_GA,For Leganés_Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,For Leganés_Date,For Leganés_Time,For Leganés_Comp,For Leganés_Round,For Leganés_Day,For Leganés_Venue,For Leganés_Result,For Leganés_GF,For Leganés_GA,For Leganés_Opponent,For Leganés_Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,For Leganés_Date,For Leganés_Time,For Leganés_Comp,For Leganés_Round,For Leganés_Day,For Leganés_Venue,For Leganés_Result,For Leganés_GF,For Leganés_GA,For Leganés_Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2017-11-18,16:15 (07:15),La Liga,Matchweek 12,Sat,Home,L,0,3,Barcelona,0,18,7,38.9,0.00,0.00,21.2,1,0,0,1.5,1.5,0.09,-1.5,-1.5,Match Report,2017-11-18,16:15 (07:15),La Liga,Matchweek 12,Sat,Home,L,0,3,Barcelona,6,3,3,50.0,0,2.6,-0.4,0,0,0,0,7,20,35.0,21,3,76.2,49.3,5,80.0,57.2,5,0,0.0,0,5.5,Match Report,2017-11-18,16:15 (07:15),La Liga,Matchweek 12,Sat,Home,L,0,3,Barcelona,214,312,68.6,4503,1998,84,103,81.6,82,111,73.9,45,85,52.9,0,1.4,0.5,13,29,6,2,34,Match Report,2017-11-18,16:15 (07:15),La Liga,Matchweek 12,Sat,Home,L,0,3,Barcelona,312,266,46,14,1,7,18,17,6,2,4,0,214,0,11,Match Report,2017-11-18,16:15 (07:15),La Liga,Matchweek 12,Sat,Home,L,0,3,Barcelona,26,21,2,1,0,1,1,0,0,0,0,0,0,0,Match Report,2017-11-18,16:15 (07:15),La Liga,Matchweek 12,Sat,Home,L,0,3,Barcelona,26,17,16,9,1,8,21,38.1,13,9,3,6,12,38,20,1,Match Report,2017-11-18,16:15 (07:15),La Liga,Matchweek 12,Sat,Home,L,0,3,Barcelona,33,428,48,154,164,121,19,428,20,8,40.0,12,60.0,244,1281,625,15,12,8,10,18,214,34,Match Report,2017-11-18,16:15 (07:15),La Liga,Matchweek 12,Sat,Home,L,0,3,Barcelona,1,0,0,25,10,0,18,12,17,0,0,0,63,3,9,25.0,Match Report
2017-11-24,21:00 (12:00),La Liga,Matchweek 13,Fri,Away,L,0,1,Celta Vigo,0,10,2,20.0,0.00,0.00,22.1,1,0,0,0.8,0.8,0.09,-0.8,-0.8,Match Report,2017-11-24,21:00 (12:00),La Liga,Matchweek 13,Fri,Away,L,0,1,Celta Vigo,7,1,6,100.0,0,2.0,+1.0,1,1,0,0,13,34,38.2,32,6,84.4,49.4,7,100.0,64.7,7,0,0.0,6,23.1,Match Report,2017-11-24,21:00 (12:00),La Liga,Matchweek 13,Fri,Away,L,0,1,Celta Vigo,294,410,71.7,5783,2558,131,157,83.4,109,139,78.4,48,94,51.1,0,0.7,1.0,5,30,6,3,28,Match Report,2017-11-24,21:00 (12:00),La Liga,Matchweek 13,Fri,Away,L,0,1,Celta Vigo,410,359,46,14,0,2,24,19,4,1,2,0,294,5,4,Match Report,2017-11-24,21:00 (12:00),La Liga,Matchweek 13,Fri,Away,L,0,1,Celta Vigo,16,8,2,2,1,3,0,0,0,0,0,0,0,0,Match Report,2017-11-24,21:00 (12:00),La Liga,Matchweek 13,Fri,Away,L,0,1,Celta Vigo,18,16,14,3,1,6,15,40.0,9,2,0,2,18,36,18,0,Match Report,2017-11-24,21:00 (12:00),La Liga,Matchweek 13,Fri,Away,L,0,1,Celta Vigo,42,507,54,170,223,119,14,507,10,6,60.0,4,40.0,263,1285,544,15,10,2,13,6,293,28,Match Report,2017-11-24,21:00 (12:00),La Liga,Matchweek 13,Fri,Away,L,0,1,Celta Vigo,3,0,0,17,11,5,24,18,16,0,1,0,49,14,14,50.0,Match Report
2017-11-28,19:30 (10:30),Copa del Rey,Round of 32,Tue,Home,W,1,0,Valladolid,1,,,,,,,,0,0,,,,,,Match Report,2017-11-28,19:30 (10:30),Copa del Rey,Round of 32,Tue,Home,W,1,0,Valladolid,,0,,,1,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2017-11-28,19:30 (10:30),Copa del Rey,Round of 32,Tue,Home,W,1,0,Valladolid,,,,,,,,,,,,,,,1,,,,,,,,Match Report,2017-11-28,19:30 (10:30),Copa del Rey,Round of 32,Tue,Home,W,1,0,Valladolid,,,,,,,,,,,,,,,,Match Report,2017-11-28,19:30 (10:30),Copa del Rey,Round of 32,Tue,Home,W,1,0,Valladolid,,,,,,,,,,,,,,,Match Report,2017-11-28,19:30 (10:30),Copa del Rey,Round of 32,Tue,Home,W,1,0,Valladolid,,,,,,,,,,,,,,0,,,Match Report,2017-11-28,19:30 (10:30),Copa del Rey,Round of 32,Tue,Home,W,1,0,Valladolid,,,,,,,,,,,,,,,,,,,,,,,,Match Report,2017-11-28,19:30 (10:30),Copa del Rey,Round of 32,Tue,Home,W,1,0,Valladolid,3,0,0,,,,,,,,,0,,,,,Match Report
2017-12-03,12:00 (03:00),La Liga,Matchweek 14,Sun,Home,W,3,1,Villarreal,3,11,5,45.5,0.27,0.60,16.9,1,0,0,1.1,1.1,0.10,+1.9,+1.9,Match Report,2017-12-03,12:00 (03:00),La Liga,Matchweek 14,Sun,Home,W,3,1,Villarreal,4,1,3,75.0,0,1.0,0.0,0,0,0,0,6,22,27.3,21,2,71.4,47.4,9,77.8,55.4,14,2,14.3,3,18.8,Match Report,2017-12-03,12:00 (03:00),La Liga,Matchweek 14,Sun,Home,W,3,1,Villarreal,209,326,64.1,4057,1997,108,134,80.6,62,92,67.4,37,88,42.0,3,1.1,1.0,10,20,4,3,26,Match Report,2017-12-03,12:00 (03:00),La Liga,Matchweek 14,Sun,Home,W,3,1,Villarreal,326,254,68,20,1,4,19,32,5,5,0,0,209,4,6,Match Report,2017-12-03,12:00 (03:00),La Liga,Matchweek 14,Sun,Home,W,3,1,Villarreal,21,10,3,2,1,4,1,6,4,0,1,0,0,1,Match Report,2017-12-03,12:00 (03:00),La Liga,Matchweek 14,Sun,Home,W,3,1,Villarreal,12,9,7,5,0,6,12,50.0,6,10,2,8,23,35,16,1,Match Report,2017-12-03,12:00 (03:00),La Liga,Matchweek 14,Sun,Home,W,3,1,Villarreal,39,427,49,144,183,108,17,427,16,9,56.3,7,43.8,192,1015,570,12,8,3,19,7,208,26,Match Report,2017-12-03,12:00 (03:00),La Liga,Matchweek 14,Sun,Home,W,3,1,Villarreal,2,0,0,11,15,4,19,23,9,0,0,0,46,12,14,46.2,Match Report
2017-12-09,18:30 (09:30),La Liga,Matchweek 15,Sat,Away,L,0,1,La Coruña,0,3,0,0.0,0.00,,17.3,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Match Report,2017-12-09,18:30 (09:30),La Liga,Matchweek 15,Sat,Away,L,0,1,La Coruña,4,1,3,75.0,0,0.4,-0.6,0,0,0,0,5,24,20.8,22,4,50.0,42.1,14,92.9,63.5,16,0,0.0,2,20.7,Match Report,2017-12-09,18:30 (09:30),La Liga,Matchweek 15,Sat,Away,L,0,1,La Coruña,281,397,70.8,4965,2286,145,174,83.3,101,131,77.1,29,74,39.2,0,0.1,0.3,2,13,1,1,18,Match Report,2017-12-09,18:30 (09:30),La Liga,Matchweek 15,Sat,Away,L,0,1,La Coruña,397,346,48,18,0,4,8,13,1,0,1,0,281,3,6,Match Report,2017-12-09,18:30 (09:30),La Liga,Matchweek 15,Sat,Away,L,0,1,La Coruña,4,3,1,0,0,0,0,0,0,0,0,0,0,0,Match Report,2017-12-09,18:30 (09:30),La Liga,Matchweek 15,Sat,Away,L,0,1,La Coruña,14,12,10,4,0,8,17,47.1,9,9,4,5,22,36,24,1,Match Report,2017-12-09,18:30 (09:30),La Liga,Matchweek 15,Sat,Away,L,0,1,La Coruña,40,516,69,229,225,66,6,516,9,6,66.7,3,33.3,242,1017,481,7,4,0,22,12,278,18,Match Report,2017-12-09,18:30 (09:30),La Liga,Matchweek 15,Sat,Away,L,0,1,La Coruña,4,0,0,21,16,3,8,22,12,0,0,0,58,16,13,55.2,Match Report
2017-12-19,21:30 (12:30),La Liga,Matchweek 17,Tue,Away,D,0,0,Levante,0,10,2,20.0,0.00,0.00,20.1,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Match Report,2017-12-19,21:30 (12:30),La Liga,Matchweek 17,Tue,Away,D,0,0,Levante,3,0,3,100.0,1,0.8,+0.8,0,0,0,0,12,29,41.4,29,3,72.4,47.3,8,100.0,67.0,31,3,9.7,1,11.0,Match Report,2017-12-19,21:30 (12:30),La Liga,Matchweek 17,Tue,Away,D,0,0,Levante,221,335,66.0,4416,2216,100,118,84.7,78,112,69.6,34,76,44.7,0,0.2,0.4,7,20,2,0,14,Match Report,2017-12-19,21:30 (12:30),La Liga,Matchweek 17,Tue,Away,D,0,0,Levante,335,281,51,22,0,3,16,15,5,1,4,0,221,3,10,Match Report,2017-12-19,21:30 (12:30),La Liga,Matchweek 17,Tue,Away,D,0,0,Levante,17,9,4,1,1,2,0,0,0,0,0,0,0,0,Match Report,2017-12-19,21:30 (12:30),La Liga,Matchweek 17,Tue,Away,D,0,0,Levante,29,20,12,11,6,13,16,81.3,3,11,2,9,11,40,24,0,Match Report,2017-12-19,21:30 (12:30),La Liga,Matchweek 17,Tue,Away,D,0,0,Levante,43,437,58,197,143,99,13,437,12,6,50.0,6,50.0,198,930,430,10,5,5,11,11,220,14,Match Report,2017-12-19,21:30 (12:30),La Liga,Matchweek 17,Tue,Away,D,0,0,Levante,6,1,1,17,20,3,16,11,20,0,0,0,51,19,14,57.6,Match Report
2018-01-04,19:00 (10:00),Copa del Rey,Round of 16,Thu,Home,W,1,0,Villarreal,1,,,,,,,,0,0,,,,,,Match Report,2018-01-04,19:00 (10:00),Copa del Rey,Round of 16,Thu,Home,W,1,0,Villarreal,,0,,,1,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2018-01-04,19:00 (10:00),Copa del Rey,Round of 16,Thu,Home,W,1,0,Villarreal,,,,,,,,,,,,,,,1,,,,,,,,Match Report,2018-01-04,19:00 (10:00),Copa del Rey,Round of 16,Thu,Home,W,1,0,Villarreal,,,,,,,,,,,,,,,,Match Report,2018-01-04,19:00 (10:00),Copa del Rey,Round of 16,Thu,Home,W,1,0,Villarreal,,,,,,,,,,,,,,,Match Report,2018-01-04,19:00 (10:00),Copa del Rey,Round of 16,Thu,Home,W,1,0,Villarreal,,,,,,,,,,,,,,0,,,Match Report,2018-01-04,19:00 (10:00),Copa del Rey,Round of 16,Thu,Home,W,1,0,Villarreal,,,,,,,,,,,,,,,,,,,,,,,,Match Report,2018-01-04,19:00 (10:00),Copa del Rey,Round of 16,Thu,Home,W,1,0,Villarreal,2,0,0,,,,,,,,,0,,,,,Match Report
2018-01-07,12:00 (03:00),La Liga,Matchweek 18,Sun,Home,W,1,0,Real Sociedad,1,8,4,50.0,0.13,0.25,15.3,0,0,0,1.1,1.1,0.13,-0.1,-0.1,Match Report,2018-01-07,12:00 (03:00),La Liga,Matchweek 18,Sun,Home,W,1,0,Real Sociedad,5,0,5,100.0,1,0.8,+0.8,0,0,0,0,5,30,16.7,26,2,88.5,50.8,7,100.0,62.3,24,1,4.2,2,15.3,Match Report,2018-01-07,12:00 (03:00),La Liga,Matchweek 18,Sun,Home,W,1,0,Real Sociedad,226,338,66.9,3761,1501,125,150,83.3,66,90,73.3,27,76,35.5,1,1.0,1.0,6,18,4,1,21,Match Report,2018-01-07,12:00 (03:00),La Liga,Matchweek 18,Sun,Home,W,1,0,Real Sociedad,338,293,44,13,0,5,18,18,5,4,0,0,226,1,9,Match Report,2018-01-07,12:00 (03:00),La Liga,Matchweek 18,Sun,Home,W,1,0,Real Sociedad,12,6,2,1,1,1,1,2,0,1,0,0,1,0,Match Report,2018-01-07,12:00 (03:00),La Liga,Matchweek 18,Sun,Home,W,1,0,Real Sociedad,13,10,6,7,0,3,9,33.3,6,6,2,4,11,24,34,0,Match Report,2018-01-07,12:00 (03:00),La Liga,Matchweek 18,Sun,Home,W,1,0,Real Sociedad,32,432,65,184,173,79,12,432,14,11,78.6,3,21.4,225,1046,564,10,6,1,8,6,224,21,Match Report,2018-01-07,12:00 (03:00),La Liga,Matchweek 18,Sun,Home,W,1,0,Real Sociedad,0,0,0,14,8,1,18,11,10,0,0,0,48,11,15,42.3,Match Report
2018-01-10,19:30 (10:30),Copa del Rey,Round of 16,Wed,Away,L,1,2,Villarreal,1,,,,,,,,0,0,,,,,,Match Report,2018-01-10,19:30 (10:30),Copa del Rey,Round of 16,Wed,Away,L,1,2,Villarreal,,2,,,0,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2018-01-10,19:30 (10:30),Copa del Rey,Round of 16,Wed,Away,L,1,2,Villarreal,,,,,,,,,,,,,,,1,,,,,,,,Match Report,2018-01-10,19:30 (10:30),Copa del Rey,Round of 16,Wed,Away,L,1,2,Villarreal,,,,,,,,,,,,,,,,Match Report,2018-01-10,19:30 (10:30),Copa del Rey,Round of 16,Wed,Away,L,1,2,Villarreal,,,,,,,,,,,,,,,Match Report,2018-01-10,19:30 (10:30),Copa del Rey,Round of 16,Wed,Away,L,1,2,Villarreal,,,,,,,,,,,,,,0,,,Match Report,2018-01-10,19:30 (10:30),Copa del Rey,Round of 16,Wed,Away,L,1,2,Villarreal,,,,,,,,,,,,,,,,,,,,,,,,Match Report,2018-01-10,19:30 (10:30),Copa del Rey,Round of 16,Wed,Away,L,1,2,Villarreal,4,0,0,,,,,,,,,0,,,,,Match Report
2018-01-15,21:00 (12:00),La Liga,Matchweek 19,Mon,Away,L,2,3,Betis,2,10,6,60.0,0.20,0.33,20.2,0,0,0,1.5,1.5,0.16,+0.5,+0.5,Match Report,2018-01-15,21:00 (12:00),La Liga,Matchweek 19,Mon,Away,L,2,3,Betis,9,3,6,77.8,0,2.4,-0.6,1,1,0,0,7,25,28.0,19,0,100.0,59.0,6,100.0,70.0,15,0,0.0,2,21.3,Match Report,2018-01-15,21:00 (12:00),La Liga,Matchweek 19,Mon,Away,L,2,3,Betis,181,269,67.3,3572,1669,83,104,79.8,68,84,81.0,27,66,40.9,1,1.2,0.8,8,30,6,2,22,Match Report,2018-01-15,21:00 (12:00),La Liga,Matchweek 19,Mon,Away,L,2,3,Betis,269,226,41,13,2,4,8,17,1,0,1,0,181,2,4,Match Report,2018-01-15,21:00 (12:00),La Liga,Matchweek 19,Mon,Away,L,2,3,Betis,17,11,2,1,1,2,0,3,2,0,0,1,0,0,Match Report,2018-01-15,21:00 (12:00),La Liga,Matchweek 19,Mon,Away,L,2,3,Betis,11,8,2,8,1,3,22,13.6,19,6,3,3,8,19,25,1,Match Report,2018-01-15,21:00 (12:00),La Liga,Matchweek 19,Mon,Away,L,2,3,Betis,26,347,48,122,146,84,18,347,5,4,80.0,1,20.0,174,905,412,8,7,3,6,11,179,21,Match Report,2018-01-15,21:00 (12:00),La Liga,Matchweek 19,Mon,Away,L,2,3,Betis,3,0,0,15,12,2,8,8,8,0,1,0,47,11,8,57.9,Match Report
2018-01-18,21:30 (12:30),Copa del Rey,Quarter-finals,Thu,Home,L,0,1,Real Madrid,0,,,,,,,,0,0,,,,,,Match Report,2018-01-18,21:30 (12:30),Copa del Rey,Quarter-finals,Thu,Home,L,0,1,Real Madrid,,1,,,0,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2018-01-18,21:30 (12:30),Copa del Rey,Quarter-finals,Thu,Home,L,0,1,Real Madrid,,,,,,,,,,,,,,,0,,,,,,,,Match Report,2018-01-18,21:30 (12:30),Copa del Rey,Quarter-finals,Thu,Home,L,0,1,Real Madrid,,,,,,,,,,,,,,,,Match Report,2018-01-18,21:30 (12:30),Copa del Rey,Quarter-finals,Thu,Home,L,0,1,Real Madrid,,,,,,,,,,,,,,,Match Report,2018-01-18,21:30 (12:30),Copa del Rey,Quarter-finals,Thu,Home,L,0,1,Real Madrid,,,,,,,,,,,,,,0,,,Match Report,2018-01-18,21:30 (12:30),Copa del Rey,Quarter-finals,Thu,Home,L,0,1,Real Madrid,,,,,,,,,,,,,,,,,,,,,,,,Match Report,2018-01-18,21:30 (12:30),Copa del Rey,Quarter-finals,Thu,Home,L,0,1,Real Madrid,3,0,0,,,,,,,,,0,,,,,Match Report
2018-01-21,12:00 (03:00),La Liga,Matchweek 20,Sun,Away,D,2,2,Alavés,2,7,3,42.9,0.14,0.33,16.1,0,1,1,1.5,0.8,0.12,+0.5,+0.2,Match Report,2018-01-21,12:00 (03:00),La Liga,Matchweek 20,Sun,Away,D,2,2,Alavés,6,2,4,66.7,0,2.3,+0.3,0,0,0,0,10,25,40.0,23,0,87.0,53.3,6,83.3,57.5,10,1,10.0,1,14.0,Match Report,2018-01-21,12:00 (03:00),La Liga,Matchweek 20,Sun,Away,D,2,2,Alavés,275,403,68.2,5291,2147,141,163,86.5,94,135,69.6,38,90,42.2,0,0.5,0.5,5,25,7,5,35,Match Report,2018-01-21,12:00 (03:00),La Liga,Matchweek 20,Sun,Away,D,2,2,Alavés,403,349,53,18,1,8,25,20,6,4,1,0,275,1,8,Match Report,2018-01-21,12:00 (03:00),La Liga,Matchweek 20,Sun,Away,D,2,2,Alavés,15,9,2,0,1,3,0,3,1,0,0,1,1,0,Match Report,2018-01-21,12:00 (03:00),La Liga,Matchweek 20,Sun,Away,D,2,2,Alavés,19,13,14,3,2,5,15,33.3,10,10,4,6,15,34,22,0,Match Report,2018-01-21,12:00 (03:00),La Liga,Matchweek 20,Sun,Away,D,2,2,Alavés,52,505,42,177,222,113,16,504,16,8,50.0,8,50.0,257,1106,529,10,10,0,10,6,274,35,Match Report,2018-01-21,12:00 (03:00),La Liga,Matchweek 20,Sun,Away,D,2,2,Alavés,3,0,0,14,12,1,25,15,13,0,0,0,54,23,20,53.5,Match Report
2018-01-24,21:30 (12:30),Copa del Rey,Quarter-finals,Wed,Away,W,2,1,Real Madrid,2,,,,,,,,0,0,,,,,,Match Report,2018-01-24,21:30 (12:30),Copa del Rey,Quarter-finals,Wed,Away,W,2,1,Real Madrid,,1,,,0,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2018-01-24,21:30 (12:30),Copa del Rey,Quarter-finals,Wed,Away,W,2,1,Real Madrid,,,,,,,,,,,,,,,1,,,,,,,,Match Report,2018-01-24,21:30 (12:30),Copa del Rey,Quarter-finals,Wed,Away,W,2,1,Real Madrid,,,,,,,,,,,,,,,,Match Report,2018-01-24,21:30 (12:30),Copa del Rey,Quarter-finals,Wed,Away,W,2,1,Real Madrid,,,,,,,,,,,,,,,Match Report,2018-01-24,21:30 (12:30),Copa del Rey,Quarter-finals,Wed,Away,W,2,1,Real Madrid,,,,,,,,,,,,,,0,,,Match Report,2018-01-24,21:30 (12:30),Copa del Rey,Quarter-finals,Wed,Away,W,2,1,Real Madrid,,,,,,,,,,,,,,,,,,,,,,,,Match Report,2018-01-24,21:30 (12:30),Copa del Rey,Quarter-finals,Wed,Away,W,2,1,Real Madrid,2,0,0,,,,,,,,,0,,,,,Match Report
2018-01-28,12:00 (03:00),La Liga,Matchweek 21,Sun,Home,W,3,2,Espanyol,1,11,6,54.5,0.09,0.17,22.8,0,0,0,0.5,0.5,0.05,+0.5,+0.5,Match Report,2018-01-28,12:00 (03:00),La Liga,Matchweek 21,Sun,Home,W,3,2,Espanyol,3,2,1,33.3,0,0.9,-1.1,0,0,0,0,10,28,35.7,23,4,78.3,50.7,11,90.9,56.6,21,1,4.8,4,15.8,Match Report,2018-01-28,12:00 (03:00),La Liga,Matchweek 21,Sun,Home,W,3,2,Espanyol,216,342,63.2,4010,1838,114,150,76.0,61,83,73.5,33,79,41.8,1,0.4,0.5,8,13,2,2,13,Match Report,2018-01-28,12:00 (03:00),La Liga,Matchweek 21,Sun,Home,W,3,2,Espanyol,342,279,61,21,0,6,13,25,1,1,0,0,216,2,10,Match Report,2018-01-28,12:00 (03:00),La Liga,Matchweek 21,Sun,Home,W,3,2,Espanyol,18,10,2,0,1,3,2,2,2,0,0,0,0,0,Match Report,2018-01-28,12:00 (03:00),La Liga,Matchweek 21,Sun,Home,W,3,2,Espanyol,25,17,11,11,3,7,19,36.8,12,12,3,9,9,34,26,0,Match Report,2018-01-28,12:00 (03:00),La Liga,Matchweek 21,Sun,Home,W,3,2,Espanyol,44,448,53,164,197,92,11,448,8,3,37.5,5,62.5,188,1263,541,12,8,2,12,10,213,13,Match Report,2018-01-28,12:00 (03:00),La Liga,Matchweek 21,Sun,Home,W,3,2,Espanyol,2,0,0,20,19,2,13,9,17,0,0,0,35,13,14,48.1,Match Report
2018-01-31,21:30 (12:30),Copa del Rey,Semi-finals,Wed,Home,D,1,1,Sevilla,1,,,,,,,,0,0,,,,,,Match Report,2018-01-31,21:30 (12:30),Copa del Rey,Semi-finals,Wed,Home,D,1,1,Sevilla,,1,,,0,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2018-01-31,21:30 (12:30),Copa del Rey,Semi-finals,Wed,Home,D,1,1,Sevilla,,,,,,,,,,,,,,,0,,,,,,,,Match Report,2018-01-31,21:30 (12:30),Copa del Rey,Semi-finals,Wed,Home,D,1,1,Sevilla,,,,,,,,,,,,,,,,Match Report,2018-01-31,21:30 (12:30),Copa del Rey,Semi-finals,Wed,Home,D,1,1,Sevilla,,,,,,,,,,,,,,,Match Report,2018-01-31,21:30 (12:30),Copa del Rey,Semi-finals,Wed,Home,D,1,1,Sevilla,,,,,,,,,,,,,,0,,,Match Report,2018-01-31,21:30 (12:30),Copa del Rey,Semi-finals,Wed,Home,D,1,1,Sevilla,,,,,,,,,,,,,,,,,,,,,,,,Match Report,2018-01-31,21:30 (12:30),Copa del Rey,Semi-finals,Wed,Home,D,1,1,Sevilla,2,0,0,,,,,,,,,0,,,,,Match Report
2018-02-04,12:00 (03:00),La Liga,Matchweek 22,Sun,Away,D,0,0,Getafe,0,2,1,50.0,0.00,0.00,12.3,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Match Report,2018-02-04,12:00 (03:00),La Liga,Matchweek 22,Sun,Away,D,0,0,Getafe,1,0,1,100.0,1,0.8,+0.8,0,0,0,0,12,30,40.0,27,2,66.7,45.7,12,100.0,58.6,10,1,10.0,6,27.0,Match Report,2018-02-04,12:00 (03:00),La Liga,Matchweek 22,Sun,Away,D,0,0,Getafe,267,397,67.3,4909,2283,131,169,77.5,95,127,74.8,38,88,43.2,0,0.1,0.2,2,21,1,0,31,Match Report,2018-02-04,12:00 (03:00),La Liga,Matchweek 22,Sun,Away,D,0,0,Getafe,397,337,60,17,3,3,13,28,2,1,1,0,267,0,7,Match Report,2018-02-04,12:00 (03:00),La Liga,Matchweek 22,Sun,Away,D,0,0,Getafe,3,0,2,0,0,1,0,0,0,0,0,0,0,0,Match Report,2018-02-04,12:00 (03:00),La Liga,Matchweek 22,Sun,Away,D,0,0,Getafe,26,18,8,15,3,10,16,62.5,6,15,3,12,17,43,28,0,Match Report,2018-02-04,12:00 (03:00),La Liga,Matchweek 22,Sun,Away,D,0,0,Getafe,50,526,50,179,259,93,3,526,19,10,52.6,9,47.4,228,1048,377,10,6,0,20,15,263,30,Match Report,2018-02-04,12:00 (03:00),La Liga,Matchweek 22,Sun,Away,D,0,0,Getafe,6,0,0,20,17,0,13,17,18,0,0,0,55,24,9,72.7,Match Report
