For Atlético Madrid_Date,For Atlético Madrid_Time,For Atlético Madrid_Comp,For Atlético Madrid_Round,For Atlético Madrid_Day,For Atlético Madrid_Venue,For Atlético Madrid_Result,For Atlético Madrid_GF,For Atlético Madrid_GA,For Atlético Madrid_Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,For Atlético Madrid_Date,For Atlético Madrid_Time,For Atlético Madrid_Comp,For Atlético Madrid_Round,For Atlético Madrid_Day,For Atlético Madrid_Venue,For Atlético Madrid_Result,For Atlético Madrid_GF,For Atlético Madrid_GA,For Atlético Madrid_Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,For Atlético Madrid_Date,For Atlético Madrid_Time,For Atlético Madrid_Comp,For Atlético Madrid_Round,For Atlético Madrid_Day,For Atlético Madrid_Venue,For Atlético Madrid_Result,For Atlético Madrid_GF,For Atlético Madrid_GA,For Atlético Madrid_Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,For Atlético Madrid_Date,For Atlético Madrid_Time,For Atlético Madrid_Comp,For Atlético Madrid_Round,For Atlético Madrid_Day,For Atlético Madrid_Venue,For Atlético Madrid_Result,For Atlético Madrid_GF,For Atlético Madrid_GA,For Atlético Madrid_Opponent,For Atlético Madrid_Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,For Atlético Madrid_Date,For Atlético Madrid_Time,For Atlético Madrid_Comp,For Atlético Madrid_Round,For Atlético Madrid_Day,For Atlético Madrid_Venue,For Atlético Madrid_Result,For Atlético Madrid_GF,For Atlético Madrid_GA,For Atlético Madrid_Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,For Atlético Madrid_Date,For Atlético Madrid_Time,For Atlético Madrid_Comp,For Atlético Madrid_Round,For Atlético Madrid_Day,For Atlético Madrid_Venue,For Atlético Madrid_Result,For Atlético Madrid_GF,For Atlético Madrid_GA,For Atlético Madrid_Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,For Atlético Madrid_Date,For Atlético Madrid_Time,For Atlético Madrid_Comp,For Atlético Madrid_Round,For Atlético Madrid_Day,For Atlético Madrid_Venue,For Atlético Madrid_Result,For Atlético Madrid_GF,For Atlético Madrid_GA,For Atlético Madrid_Opponent,For Atlético Madrid_Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,For Atlético Madrid_Date,For Atlético Madrid_Time,For Atlético Madrid_Comp,For Atlético Madrid_Round,For Atlético Madrid_Day,For Atlético Madrid_Venue,For Atlético Madrid_Result,For Atlético Madrid_GF,For Atlético Madrid_GA,For Atlético Madrid_Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2017-08-19,20:15 (11:15),La Liga,Matchweek 1,Sat,Away,D,2,2,Girona,2,9,3,33.3,0.22,0.67,19.9,0,0,0,0.7,0.7,0.07,+1.3,+1.3,Match Report,2017-08-19,20:15 (11:15),La Liga,Matchweek 1,Sat,Away,D,2,2,Girona,6,2,4,66.7,0,3.2,+1.2,0,0,0,0,1,13,7.7,21,1,47.6,41.1,10,30.0,37.4,22,1,4.5,1,9.0,Match Report,2017-08-19,20:15 (11:15),La Liga,Matchweek 1,Sat,Away,D,2,2,Girona,347,455,76.3,5894,2439,166,193,86.0,139,168,82.7,32,71,45.1,2,0.6,0.6,7,39,4,0,42,Match Report,2017-08-19,20:15 (11:15),La Liga,Matchweek 1,Sat,Away,D,2,2,Girona,455,406,47,15,1,1,8,19,0,0,0,0,347,2,6,Match Report,2017-08-19,20:15 (11:15),La Liga,Matchweek 1,Sat,Away,D,2,2,Girona,18,14,1,2,0,1,0,4,2,1,0,0,1,0,Match Report,2017-08-19,20:15 (11:15),La Liga,Matchweek 1,Sat,Away,D,2,2,Girona,16,9,11,5,0,6,10,60.0,4,2,0,2,6,22,32,1,Match Report,2017-08-19,20:15 (11:15),La Liga,Matchweek 1,Sat,Away,D,2,2,Girona,48,543,56,188,246,115,13,543,18,12,66.7,6,33.3,293,1811,1062,17,15,4,9,6,345,42,Match Report,2017-08-19,20:15 (11:15),La Liga,Matchweek 1,Sat,Away,D,2,2,Girona,4,1,0,15,15,2,8,6,9,0,0,0,42,20,18,52.6,Match Report
2017-08-26,21:15 (13:15),La Liga,Matchweek 2,Sat,Away,W,5,1,Las Palmas,5,8,6,75.0,0.63,0.83,21.3,0,0,0,0.4,0.4,0.05,+4.6,+4.6,Match Report,2017-08-26,21:15 (13:15),La Liga,Matchweek 2,Sat,Away,W,5,1,Las Palmas,4,1,2,75.0,0,1.7,+0.7,1,0,1,0,6,18,33.3,19,1,63.2,43.9,7,85.7,56.1,12,2,16.7,0,5.5,Match Report,2017-08-26,21:15 (13:15),La Liga,Matchweek 2,Sat,Away,W,5,1,Las Palmas,302,387,78.0,5166,1835,158,182,86.8,96,110,87.3,38,75,50.7,3,0.3,0.3,5,17,5,0,28,Match Report,2017-08-26,21:15 (13:15),La Liga,Matchweek 2,Sat,Away,W,5,1,Las Palmas,387,345,42,13,1,3,7,18,2,0,1,0,302,0,5,Match Report,2017-08-26,21:15 (13:15),La Liga,Matchweek 2,Sat,Away,W,5,1,Las Palmas,13,7,2,2,0,1,1,9,6,0,2,0,0,1,Match Report,2017-08-26,21:15 (13:15),La Liga,Matchweek 2,Sat,Away,W,5,1,Las Palmas,28,17,13,12,3,12,25,48.0,13,10,2,8,22,50,26,0,Match Report,2017-08-26,21:15 (13:15),La Liga,Matchweek 2,Sat,Away,W,5,1,Las Palmas,38,510,53,169,241,105,23,510,20,9,45.0,11,55.0,284,1554,832,16,15,7,18,5,299,26,Match Report,2017-08-26,21:15 (13:15),La Liga,Matchweek 2,Sat,Away,W,5,1,Las Palmas,1,0,0,9,10,0,7,22,17,0,1,0,55,12,3,80.0,Match Report
2017-09-09,16:15 (07:15),La Liga,Matchweek 3,Sat,Away,D,0,0,Valencia,0,13,4,30.8,0.00,0.00,20.3,0,0,0,0.6,0.6,0.05,-0.6,-0.6,Match Report,2017-09-09,16:15 (07:15),La Liga,Matchweek 3,Sat,Away,D,0,0,Valencia,0,0,0,,1,0.0,0.0,0,0,0,0,7,19,36.8,20,4,55.0,40.6,9,88.9,57.0,21,1,4.8,0,9.5,Match Report,2017-09-09,16:15 (07:15),La Liga,Matchweek 3,Sat,Away,D,0,0,Valencia,433,537,80.6,6886,2436,223,245,91.0,132,158,83.5,47,83,56.6,0,0.4,0.7,6,34,6,1,46,Match Report,2017-09-09,16:15 (07:15),La Liga,Matchweek 3,Sat,Away,D,0,0,Valencia,537,483,54,16,1,4,17,25,3,1,2,0,433,0,16,Match Report,2017-09-09,16:15 (07:15),La Liga,Matchweek 3,Sat,Away,D,0,0,Valencia,21,16,0,2,2,1,0,0,0,0,0,0,0,0,Match Report,2017-09-09,16:15 (07:15),La Liga,Matchweek 3,Sat,Away,D,0,0,Valencia,24,19,10,14,0,11,18,61.1,7,14,6,8,13,37,23,0,Match Report,2017-09-09,16:15 (07:15),La Liga,Matchweek 3,Sat,Away,D,0,0,Valencia,51,662,62,226,282,164,23,662,22,8,36.4,14,63.6,396,2125,1219,24,20,3,14,15,433,46,Match Report,2017-09-09,16:15 (07:15),La Liga,Matchweek 3,Sat,Away,D,0,0,Valencia,0,0,0,14,15,0,17,13,19,0,0,0,65,11,12,47.8,Match Report
2017-09-12,20:45 (11:45),Champions Lg,Group stage,Tue,Away,D,0,0,it Roma,0,20,9,45.0,0.00,0.00,20.3,1,0,0,2.4,2.4,0.13,-2.4,-2.4,Match Report,2017-09-12,20:45 (11:45),Champions Lg,Group stage,Tue,Away,D,0,0,it Roma,1,0,1,100.0,1,0.2,+0.2,0,0,0,0,3,13,23.1,14,1,35.7,34.1,10,80.0,50.6,12,1,8.3,0,10.5,Match Report,2017-09-12,20:45 (11:45),Champions Lg,Group stage,Tue,Away,D,0,0,it Roma,426,520,81.9,7000,2393,214,227,94.3,155,170,91.2,39,78,50.0,0,1.8,1.2,15,35,12,3,47,Match Report,2017-09-12,20:45 (11:45),Champions Lg,Group stage,Tue,Away,D,0,0,it Roma,520,468,47,8,3,4,18,21,7,2,3,0,426,5,14,Match Report,2017-09-12,20:45 (11:45),Champions Lg,Group stage,Tue,Away,D,0,0,it Roma,34,26,2,3,2,1,0,0,0,0,0,0,0,0,Match Report,2017-09-12,20:45 (11:45),Champions Lg,Group stage,Tue,Away,D,0,0,it Roma,29,21,9,12,8,8,15,53.3,7,11,3,8,19,48,19,1,Match Report,2017-09-12,20:45 (11:45),Champions Lg,Group stage,Tue,Away,D,0,0,it Roma,48,640,49,171,304,168,21,640,19,13,68.4,6,31.6,375,2085,1095,15,16,5,14,9,425,47,Match Report,2017-09-12,20:45 (11:45),Champions Lg,Group stage,Tue,Away,D,0,0,it Roma,0,0,0,14,9,5,18,19,21,0,0,0,60,11,15,42.3,Match Report
2017-09-16,20:45 (11:45),La Liga,Matchweek 4,Sat,Home,W,1,0,Málaga,1,17,4,23.5,0.06,0.25,21.8,0,0,0,1.5,1.5,0.09,-0.5,-0.5,Match Report,2017-09-16,20:45 (11:45),La Liga,Matchweek 4,Sat,Home,W,1,0,Málaga,4,0,4,100.0,1,0.2,+0.2,0,0,0,0,6,9,66.7,21,3,33.3,31.9,3,66.7,55.7,6,0,0.0,0,13.0,Match Report,2017-09-16,20:45 (11:45),La Liga,Matchweek 4,Sat,Home,W,1,0,Málaga,579,690,83.9,10850,3524,238,275,86.5,261,288,90.6,69,99,69.7,1,1.4,0.8,13,71,8,1,75,Match Report,2017-09-16,20:45 (11:45),La Liga,Matchweek 4,Sat,Home,W,1,0,Málaga,690,629,56,15,0,3,25,29,8,3,3,0,579,5,6,Match Report,2017-09-16,20:45 (11:45),La Liga,Matchweek 4,Sat,Home,W,1,0,Málaga,27,20,2,3,1,0,1,2,1,0,1,0,0,0,Match Report,2017-09-16,20:45 (11:45),La Liga,Matchweek 4,Sat,Home,W,1,0,Málaga,21,17,8,6,7,10,19,52.6,9,13,3,10,5,26,11,0,Match Report,2017-09-16,20:45 (11:45),La Liga,Matchweek 4,Sat,Home,W,1,0,Málaga,66,777,38,162,414,209,21,777,20,10,50.0,10,50.0,493,2793,1621,28,13,3,6,20,579,75,Match Report,2017-09-16,20:45 (11:45),La Liga,Matchweek 4,Sat,Home,W,1,0,Málaga,2,0,0,9,15,5,25,5,17,0,0,0,56,7,13,35.0,Match Report
2017-09-20,20:00 (11:00),La Liga,Matchweek 5,Wed,Away,W,2,1,Athletic Club,2,16,9,56.3,0.13,0.22,20.2,1,0,0,2.2,2.2,0.14,-0.2,-0.2,Match Report,2017-09-20,20:00 (11:00),La Liga,Matchweek 5,Wed,Away,W,2,1,Athletic Club,7,1,5,85.7,0,2.7,+1.7,1,0,1,0,4,19,21.1,18,3,61.1,50.1,9,88.9,56.2,27,1,3.7,1,12.0,Match Report,2017-09-20,20:00 (11:00),La Liga,Matchweek 5,Wed,Away,W,2,1,Athletic Club,353,452,78.1,6118,2478,171,191,89.5,120,143,83.9,45,90,50.0,2,1.9,1.6,12,34,6,0,38,Match Report,2017-09-20,20:00 (11:00),La Liga,Matchweek 5,Wed,Away,W,2,1,Athletic Club,452,406,44,14,3,5,5,19,0,0,0,0,353,2,6,Match Report,2017-09-20,20:00 (11:00),La Liga,Matchweek 5,Wed,Away,W,2,1,Athletic Club,29,18,3,4,0,2,2,4,4,0,0,0,0,0,Match Report,2017-09-20,20:00 (11:00),La Liga,Matchweek 5,Wed,Away,W,2,1,Athletic Club,20,15,11,7,2,7,11,63.6,4,9,0,9,11,31,36,0,Match Report,2017-09-20,20:00 (11:00),La Liga,Matchweek 5,Wed,Away,W,2,1,Athletic Club,44,583,72,199,251,139,19,583,22,15,68.2,7,31.8,289,1459,658,11,6,4,22,12,351,38,Match Report,2017-09-20,20:00 (11:00),La Liga,Matchweek 5,Wed,Away,W,2,1,Athletic Club,2,0,0,12,12,2,5,11,15,0,1,0,54,17,21,44.7,Match Report
2017-09-23,13:00 (04:00),La Liga,Matchweek 6,Sat,Home,W,2,0,Sevilla,2,13,4,30.8,0.15,0.50,20.1,0,0,0,1.3,1.3,0.10,+0.7,+0.7,Match Report,2017-09-23,13:00 (04:00),La Liga,Matchweek 6,Sat,Home,W,2,0,Sevilla,0,0,0,,1,0.0,0.0,0,0,0,0,9,19,47.4,18,3,61.1,41.8,8,100.0,58.9,10,0,0.0,0,2.0,Match Report,2017-09-23,13:00 (04:00),La Liga,Matchweek 6,Sat,Home,W,2,0,Sevilla,307,403,76.2,5455,2369,154,177,87.0,89,115,77.4,46,78,59.0,1,0.7,0.5,9,25,4,0,31,Match Report,2017-09-23,13:00 (04:00),La Liga,Matchweek 6,Sat,Home,W,2,0,Sevilla,403,340,61,18,0,4,12,27,7,1,4,0,307,2,11,Match Report,2017-09-23,13:00 (04:00),La Liga,Matchweek 6,Sat,Home,W,2,0,Sevilla,20,14,2,3,0,1,0,3,2,0,1,0,0,0,Match Report,2017-09-23,13:00 (04:00),La Liga,Matchweek 6,Sat,Home,W,2,0,Sevilla,23,17,14,8,1,6,20,30.0,14,20,6,14,15,38,25,0,Match Report,2017-09-23,13:00 (04:00),La Liga,Matchweek 6,Sat,Home,W,2,0,Sevilla,39,528,69,185,222,124,18,528,23,12,52.2,11,47.8,264,1700,885,21,4,7,14,14,303,29,Match Report,2017-09-23,13:00 (04:00),La Liga,Matchweek 6,Sat,Home,W,2,0,Sevilla,4,0,0,11,17,2,12,15,17,0,0,0,44,11,11,50.0,Match Report
2017-09-27,20:45 (11:45),Champions Lg,Group stage,Wed,Home,L,1,2,eng Chelsea,1,11,3,27.3,0.00,0.00,24.2,0,1,1,1.4,0.7,0.06,-0.4,-0.7,Match Report,2017-09-27,20:45 (11:45),Champions Lg,Group stage,Wed,Home,L,1,2,eng Chelsea,4,2,2,50.0,0,1.5,-0.5,0,0,0,0,3,9,33.3,14,5,14.3,28.5,8,87.5,56.3,12,0,0.0,0,,Match Report,2017-09-27,20:45 (11:45),Champions Lg,Group stage,Wed,Home,L,1,2,eng Chelsea,447,543,82.3,7486,2600,228,246,92.7,152,181,84.0,50,83,60.2,0,0.4,0.6,9,36,3,1,40,Match Report,2017-09-27,20:45 (11:45),Champions Lg,Group stage,Wed,Home,L,1,2,eng Chelsea,543,490,52,12,1,3,11,27,3,1,2,0,447,1,8,Match Report,2017-09-27,20:45 (11:45),Champions Lg,Group stage,Wed,Home,L,1,2,eng Chelsea,21,16,1,0,2,2,0,2,0,0,0,1,1,0,Match Report,2017-09-27,20:45 (11:45),Champions Lg,Group stage,Wed,Home,L,1,2,eng Chelsea,26,16,14,10,2,10,26,38.5,16,17,5,12,16,42,21,0,Match Report,2017-09-27,20:45 (11:45),Champions Lg,Group stage,Wed,Home,L,1,2,eng Chelsea,50,653,59,196,318,147,9,652,13,7,53.8,6,46.2,375,2217,1256,34,19,3,10,19,446,40,Match Report,2017-09-27,20:45 (11:45),Champions Lg,Group stage,Wed,Home,L,1,2,eng Chelsea,2,0,0,14,12,1,11,16,16,1,0,0,55,13,9,59.1,Match Report
2017-09-30,20:45 (11:45),La Liga,Matchweek 7,Sat,Away,D,0,0,Leganés,0,11,2,18.2,0.00,0.00,15.8,0,0,0,1.1,1.1,0.11,-1.1,-1.1,Match Report,2017-09-30,20:45 (11:45),La Liga,Matchweek 7,Sat,Away,D,0,0,Leganés,3,0,3,100.0,1,0.5,+0.5,0,0,0,0,1,2,50.0,11,7,9.1,20.8,5,20.0,29.8,16,0,0.0,0,4.0,Match Report,2017-09-30,20:45 (11:45),La Liga,Matchweek 7,Sat,Away,D,0,0,Leganés,474,614,77.2,8626,2691,227,259,87.6,177,225,78.7,63,105,60.0,0,1.1,0.6,8,31,5,2,40,Match Report,2017-09-30,20:45 (11:45),La Liga,Matchweek 7,Sat,Away,D,0,0,Leganés,614,566,47,13,0,4,20,22,6,1,5,0,474,1,11,Match Report,2017-09-30,20:45 (11:45),La Liga,Matchweek 7,Sat,Away,D,0,0,Leganés,19,11,3,1,3,1,0,0,0,0,0,0,0,0,Match Report,2017-09-30,20:45 (11:45),La Liga,Matchweek 7,Sat,Away,D,0,0,Leganés,26,19,11,9,6,8,14,57.1,6,6,2,4,13,39,23,0,Match Report,2017-09-30,20:45 (11:45),La Liga,Matchweek 7,Sat,Away,D,0,0,Leganés,61,725,39,195,378,157,19,725,21,11,52.4,10,47.6,396,2292,1314,20,8,4,15,13,469,40,Match Report,2017-09-30,20:45 (11:45),La Liga,Matchweek 7,Sat,Away,D,0,0,Leganés,1,0,0,13,12,1,20,13,19,0,0,0,66,16,21,43.2,Match Report
2017-10-14,20:45 (11:45),La Liga,Matchweek 8,Sat,Home,D,1,1,Barcelona,1,5,4,80.0,0.20,0.25,17.3,0,0,0,0.2,0.2,0.05,+0.8,+0.8,Match Report,2017-10-14,20:45 (11:45),La Liga,Matchweek 8,Sat,Home,D,1,1,Barcelona,7,1,6,85.7,0,1.8,+0.8,0,0,0,0,5,23,21.7,15,1,86.7,57.0,10,100.0,66.0,14,0,0.0,0,12.0,Match Report,2017-10-14,20:45 (11:45),La Liga,Matchweek 8,Sat,Home,D,1,1,Barcelona,261,359,72.7,4188,1581,139,167,83.2,89,106,84.0,21,60,35.0,1,0.2,0.2,5,13,3,0,23,Match Report,2017-10-14,20:45 (11:45),La Liga,Matchweek 8,Sat,Home,D,1,1,Barcelona,359,315,42,11,1,0,7,17,2,0,1,0,261,2,11,Match Report,2017-10-14,20:45 (11:45),La Liga,Matchweek 8,Sat,Home,D,1,1,Barcelona,9,7,1,1,0,0,0,2,2,0,0,0,0,0,Match Report,2017-10-14,20:45 (11:45),La Liga,Matchweek 8,Sat,Home,D,1,1,Barcelona,22,11,17,5,0,11,27,40.7,16,12,3,9,16,38,31,0,Match Report,2017-10-14,20:45 (11:45),La Liga,Matchweek 8,Sat,Home,D,1,1,Barcelona,32,468,72,203,190,78,8,468,12,8,66.7,4,33.3,222,1348,725,15,14,2,7,12,260,23,Match Report,2017-10-14,20:45 (11:45),La Liga,Matchweek 8,Sat,Home,D,1,1,Barcelona,3,0,0,12,10,2,7,16,11,0,0,0,53,3,14,17.6,Match Report
