For Atlético Madrid_Date,For Atlético Madrid_Time,For Atlético Madrid_Comp,For Atlético Madrid_Round,For Atlético Madrid_Day,For Atlético Madrid_Venue,For Atlético Madrid_Result,For Atlético Madrid_GF,For Atlético Madrid_GA,For Atlético Madrid_Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,For Atlético Madrid_Date,For Atlético Madrid_Time,For Atlético Madrid_Comp,For Atlético Madrid_Round,For Atlético Madrid_Day,For Atlético Madrid_Venue,For Atlético Madrid_Result,For Atlético Madrid_GF,For Atlético Madrid_GA,For Atlético Madrid_Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,For Atlético Madrid_Date,For Atlético Madrid_Time,For Atlético Madrid_Comp,For Atlético Madrid_Round,For Atlético Madrid_Day,For Atlético Madrid_Venue,For Atlético Madrid_Result,For Atlético Madrid_GF,For Atlético Madrid_GA,For Atlético Madrid_Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,For Atlético Madrid_Date,For Atlético Madrid_Time,For Atlético Madrid_Comp,For Atlético Madrid_Round,For Atlético Madrid_Day,For Atlético Madrid_Venue,For Atlético Madrid_Result,For Atlético Madrid_GF,For Atlético Madrid_GA,For Atlético Madrid_Opponent,For Atlético Madrid_Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,For Atlético Madrid_Date,For Atlético Madrid_Time,For Atlético Madrid_Comp,For Atlético Madrid_Round,For Atlético Madrid_Day,For Atlético Madrid_Venue,For Atlético Madrid_Result,For Atlético Madrid_GF,For Atlético Madrid_GA,For Atlético Madrid_Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,For Atlético Madrid_Date,For Atlético Madrid_Time,For Atlético Madrid_Comp,For Atlético Madrid_Round,For Atlético Madrid_Day,For Atlético Madrid_Venue,For Atlético Madrid_Result,For Atlético Madrid_GF,For Atlético Madrid_GA,For Atlético Madrid_Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,For Atlético Madrid_Date,For Atlético Madrid_Time,For Atlético Madrid_Comp,For Atlético Madrid_Round,For Atlético Madrid_Day,For Atlético Madrid_Venue,For Atlético Madrid_Result,For Atlético Madrid_GF,For Atlético Madrid_GA,For Atlético Madrid_Opponent,For Atlético Madrid_Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,For Atlético Madrid_Date,For Atlético Madrid_Time,For Atlético Madrid_Comp,For Atlético Madrid_Round,For Atlético Madrid_Day,For Atlético Madrid_Venue,For Atlético Madrid_Result,For Atlético Madrid_GF,For Atlético Madrid_GA,For Atlético Madrid_Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2019-08-18,22:00 (13:00),La Liga,Matchweek 1,Sun,Home,W,1,0,Getafe,1,4,4,100.0,0.25,0.25,13.7,0,0,1,2.2,1.4,0.36,-1.2,-0.4,Match Report,2019-08-18,22:00 (13:00),La Liga,Matchweek 1,Sun,Home,W,1,0,Getafe,0,0,0,,1,0.0,0.0,0,0,0,0,7,14,50.0,14,2,57.1,41.6,9,66.7,46.8,17,1,5.9,0,10.0,Match Report,2019-08-18,22:00 (13:00),La Liga,Matchweek 1,Sun,Home,W,1,0,Getafe,366,453,80.8,6350,2350,159,174,91.4,129,150,86.0,47,76,61.8,1,1.5,0.7,4,21,6,1,20,Match Report,2019-08-18,22:00 (13:00),La Liga,Matchweek 1,Sun,Home,W,1,0,Getafe,453,395,55,21,2,3,7,21,3,0,3,0,366,3,10,Match Report,2019-08-18,22:00 (13:00),La Liga,Matchweek 1,Sun,Home,W,1,0,Getafe,9,5,1,1,1,1,0,2,2,0,0,0,0,0,Match Report,2019-08-18,22:00 (13:00),La Liga,Matchweek 1,Sun,Home,W,1,0,Getafe,12,9,8,3,1,5,5,100.0,0,5,2,3,13,25,19,0,Match Report,2019-08-18,22:00 (13:00),La Liga,Matchweek 1,Sun,Home,W,1,0,Getafe,57,535,44,171,276,92,8,534,9,7,77.8,2,22.2,295,1203,614,5,10,1,15,7,365,20,Match Report,2019-08-18,22:00 (13:00),La Liga,Matchweek 1,Sun,Home,W,1,0,Getafe,3,1,1,19,20,3,7,13,9,1,0,0,33,19,19,50.0,Match Report
2019-08-25,19:00 (10:00),La Liga,Matchweek 2,Sun,Away,W,1,0,Leganés,1,6,4,66.7,0.17,0.25,22.1,0,0,0,1.8,1.8,0.30,-0.8,-0.8,Match Report,2019-08-25,19:00 (10:00),La Liga,Matchweek 2,Sun,Away,W,1,0,Leganés,4,0,4,100.0,1,0.5,+0.5,0,0,0,0,4,11,36.4,14,4,42.9,41.1,7,71.4,55.4,18,0,0.0,0,11.0,Match Report,2019-08-25,19:00 (10:00),La Liga,Matchweek 2,Sun,Away,W,1,0,Leganés,419,535,78.3,7504,2638,178,205,86.8,183,211,86.7,46,87,52.9,1,1.8,0.9,6,32,5,0,34,Match Report,2019-08-25,19:00 (10:00),La Liga,Matchweek 2,Sun,Away,W,1,0,Leganés,535,485,46,15,4,6,7,19,4,0,4,0,419,4,7,Match Report,2019-08-25,19:00 (10:00),La Liga,Matchweek 2,Sun,Away,W,1,0,Leganés,11,10,0,1,0,0,0,2,2,0,0,0,0,0,Match Report,2019-08-25,19:00 (10:00),La Liga,Matchweek 2,Sun,Away,W,1,0,Leganés,13,10,8,5,0,3,8,37.5,5,11,1,10,8,21,31,1,Match Report,2019-08-25,19:00 (10:00),La Liga,Matchweek 2,Sun,Away,W,1,0,Leganés,58,642,54,181,357,105,14,642,12,9,75.0,3,25.0,351,1588,884,10,16,2,21,14,417,33,Match Report,2019-08-25,19:00 (10:00),La Liga,Matchweek 2,Sun,Away,W,1,0,Leganés,5,0,0,13,11,4,7,8,10,0,0,0,52,27,21,56.3,Match Report
2019-09-01,19:00 (10:00),La Liga,Matchweek 3,Sun,Home,W,3,2,Eibar,3,7,3,42.9,0.43,1.00,13.2,0,0,0,1.5,1.5,0.22,+1.5,+1.5,Match Report,2019-09-01,19:00 (10:00),La Liga,Matchweek 3,Sun,Home,W,3,2,Eibar,2,2,0,0.0,0,1.0,-1.0,0,0,0,0,9,17,52.9,21,6,52.4,41.6,11,54.5,43.4,7,1,14.3,0,11.5,Match Report,2019-09-01,19:00 (10:00),La Liga,Matchweek 3,Sun,Home,W,3,2,Eibar,375,501,74.9,6577,2725,175,202,86.6,124,161,77.0,50,93,53.8,2,1.0,1.3,5,18,6,2,27,Match Report,2019-09-01,19:00 (10:00),La Liga,Matchweek 3,Sun,Home,W,3,2,Eibar,501,432,60,14,4,7,12,31,1,1,0,0,375,9,4,Match Report,2019-09-01,19:00 (10:00),La Liga,Matchweek 3,Sun,Home,W,3,2,Eibar,11,8,1,2,0,0,0,5,3,0,2,0,0,0,Match Report,2019-09-01,19:00 (10:00),La Liga,Matchweek 3,Sun,Home,W,3,2,Eibar,14,10,2,11,1,6,9,66.7,3,7,0,7,10,24,12,0,Match Report,2019-09-01,19:00 (10:00),La Liga,Matchweek 3,Sun,Home,W,3,2,Eibar,57,592,45,178,311,109,16,592,17,11,64.7,6,35.3,318,1355,605,12,11,3,18,6,374,27,Match Report,2019-09-01,19:00 (10:00),La Liga,Matchweek 3,Sun,Home,W,3,2,Eibar,0,0,0,9,14,9,12,10,10,0,0,0,50,22,22,50.0,Match Report
2019-09-14,18:30 (09:30),La Liga,Matchweek 4,Sat,Away,L,0,2,Real Sociedad,0,12,2,16.7,0.00,0.00,14.3,0,0,0,1.2,1.2,0.10,-1.2,-1.2,Match Report,2019-09-14,18:30 (09:30),La Liga,Matchweek 4,Sat,Away,L,0,2,Real Sociedad,5,2,3,60.0,0,1.7,0.0,0,0,0,0,9,18,50.0,19,1,68.4,43.7,7,71.4,51.3,11,0,0.0,0,3.0,Match Report,2019-09-14,18:30 (09:30),La Liga,Matchweek 4,Sat,Away,L,0,2,Real Sociedad,329,439,74.9,5453,2241,169,197,85.8,94,123,76.4,42,77,54.5,0,1.2,1.6,12,21,13,2,36,Match Report,2019-09-14,18:30 (09:30),La Liga,Matchweek 4,Sat,Away,L,0,2,Real Sociedad,439,384,51,16,0,4,15,20,5,0,4,0,329,4,7,Match Report,2019-09-14,18:30 (09:30),La Liga,Matchweek 4,Sat,Away,L,0,2,Real Sociedad,24,14,6,0,1,3,0,0,0,0,0,0,0,0,Match Report,2019-09-14,18:30 (09:30),La Liga,Matchweek 4,Sat,Away,L,0,2,Real Sociedad,20,11,12,5,3,13,20,65.0,7,10,3,7,8,28,14,1,Match Report,2019-09-14,18:30 (09:30),La Liga,Matchweek 4,Sat,Away,L,0,2,Real Sociedad,46,546,50,152,255,143,29,546,11,5,45.5,6,54.5,269,1288,656,16,18,2,15,10,324,36,Match Report,2019-09-14,18:30 (09:30),La Liga,Matchweek 4,Sat,Away,L,0,2,Real Sociedad,3,0,0,10,12,4,15,8,11,0,0,0,47,27,25,51.9,Match Report
2019-09-18,21:00 (12:00),Champions Lg,Group stage,Wed,Home,D,2,2,it Juventus,2,19,8,42.1,0.11,0.25,15.5,0,0,0,2.3,2.3,0.12,-0.3,-0.3,Match Report,2019-09-18,21:00 (12:00),Champions Lg,Group stage,Wed,Home,D,2,2,it Juventus,5,2,3,60.0,0,1.6,-0.4,0,0,0,0,6,11,54.5,19,10,36.8,30.6,5,80.0,57.8,18,0,0.0,0,12.0,Match Report,2019-09-18,21:00 (12:00),Champions Lg,Group stage,Wed,Home,D,2,2,it Juventus,433,522,83.0,7238,2385,241,263,91.6,120,145,82.8,58,87,66.7,2,2.2,2.2,17,26,15,2,50,Match Report,2019-09-18,21:00 (12:00),Champions Lg,Group stage,Wed,Home,D,2,2,it Juventus,522,477,45,12,1,10,28,14,11,2,4,0,433,0,8,Match Report,2019-09-18,21:00 (12:00),Champions Lg,Group stage,Wed,Home,D,2,2,it Juventus,37,27,7,2,1,0,0,4,1,2,0,1,0,0,Match Report,2019-09-18,21:00 (12:00),Champions Lg,Group stage,Wed,Home,D,2,2,it Juventus,9,6,6,2,1,4,16,25.0,12,6,4,2,7,16,26,1,Match Report,2019-09-18,21:00 (12:00),Champions Lg,Group stage,Wed,Home,D,2,2,it Juventus,46,625,60,165,229,236,32,625,13,9,69.2,4,30.8,349,1818,989,19,13,2,9,9,428,50,Match Report,2019-09-18,21:00 (12:00),Champions Lg,Group stage,Wed,Home,D,2,2,it Juventus,1,0,0,12,11,0,28,7,6,0,0,0,37,15,11,57.7,Match Report
2019-09-21,18:30 (09:30),La Liga,Matchweek 5,Sat,Home,D,0,0,Celta Vigo,0,20,5,25.0,0.00,0.00,16.1,1,0,0,1.7,1.7,0.09,-1.7,-1.7,Match Report,2019-09-21,18:30 (09:30),La Liga,Matchweek 5,Sat,Home,D,0,0,Celta Vigo,3,0,3,100.0,1,0.7,+0.7,0,0,0,0,1,2,50.0,10,2,20.0,26.7,4,0.0,19.5,12,0,0.0,0,,Match Report,2019-09-21,18:30 (09:30),La Liga,Matchweek 5,Sat,Home,D,0,0,Celta Vigo,380,469,81.0,6032,2348,186,213,87.3,136,159,85.5,32,52,61.5,0,1.4,1.7,14,29,9,0,53,Match Report,2019-09-21,18:30 (09:30),La Liga,Matchweek 5,Sat,Home,D,0,0,Celta Vigo,469,413,53,13,3,1,23,22,13,1,12,0,380,3,4,Match Report,2019-09-21,18:30 (09:30),La Liga,Matchweek 5,Sat,Home,D,0,0,Celta Vigo,33,13,9,1,6,3,1,0,0,0,0,0,0,0,Match Report,2019-09-21,18:30 (09:30),La Liga,Matchweek 5,Sat,Home,D,0,0,Celta Vigo,19,13,6,9,4,5,19,26.3,14,10,1,9,9,28,19,0,Match Report,2019-09-21,18:30 (09:30),La Liga,Matchweek 5,Sat,Home,D,0,0,Celta Vigo,49,577,36,144,255,186,29,577,12,9,75.0,3,25.0,324,1907,1056,18,23,4,19,8,378,53,Match Report,2019-09-21,18:30 (09:30),La Liga,Matchweek 5,Sat,Home,D,0,0,Celta Vigo,3,0,0,14,12,3,23,9,13,0,0,0,49,22,27,44.9,Match Report
2019-09-25,19:00 (10:00),La Liga,Matchweek 6,Wed,Away,W,2,0,Mallorca,2,13,3,23.1,0.15,0.67,15.6,0,0,0,1.0,1.0,0.08,+1.0,+1.0,Match Report,2019-09-25,19:00 (10:00),La Liga,Matchweek 6,Wed,Away,W,2,0,Mallorca,2,0,2,100.0,1,0.1,+0.1,0,0,0,0,10,24,41.7,20,2,65.0,46.4,11,100.0,62.6,19,1,5.3,1,15.0,Match Report,2019-09-25,19:00 (10:00),La Liga,Matchweek 6,Wed,Away,W,2,0,Mallorca,435,521,83.5,6735,2659,221,240,92.1,146,171,85.4,35,60,58.3,1,0.8,1.3,10,26,13,2,31,Match Report,2019-09-25,19:00 (10:00),La Liga,Matchweek 6,Wed,Away,W,2,0,Mallorca,521,476,45,8,3,0,10,20,5,0,3,0,435,0,6,Match Report,2019-09-25,19:00 (10:00),La Liga,Matchweek 6,Wed,Away,W,2,0,Mallorca,24,22,1,0,1,0,0,3,2,0,0,1,0,0,Match Report,2019-09-25,19:00 (10:00),La Liga,Matchweek 6,Wed,Away,W,2,0,Mallorca,21,11,14,6,1,5,10,50.0,5,14,3,11,13,34,26,1,Match Report,2019-09-25,19:00 (10:00),La Liga,Matchweek 6,Wed,Away,W,2,0,Mallorca,52,658,57,180,330,153,22,658,13,6,46.2,7,53.8,319,1680,819,12,16,2,22,9,432,30,Match Report,2019-09-25,19:00 (10:00),La Liga,Matchweek 6,Wed,Away,W,2,0,Mallorca,5,1,1,15,8,0,10,13,11,0,0,0,45,20,13,60.6,Match Report
2019-09-28,21:00 (12:00),La Liga,Matchweek 7,Sat,Home,D,0,0,Real Madrid,0,7,1,14.3,0.00,0.00,12.4,0,0,0,0.9,0.9,0.12,-0.9,-0.9,Match Report,2019-09-28,21:00 (12:00),La Liga,Matchweek 7,Sat,Home,D,0,0,Real Madrid,3,0,3,100.0,1,1.3,+1.3,0,0,0,0,3,14,21.4,17,5,47.1,35.4,10,60.0,43.1,22,1,4.5,0,12.0,Match Report,2019-09-28,21:00 (12:00),La Liga,Matchweek 7,Sat,Home,D,0,0,Real Madrid,403,493,81.7,5844,2353,232,251,92.4,119,144,82.6,23,53,43.4,0,0.9,0.9,7,24,4,0,47,Match Report,2019-09-28,21:00 (12:00),La Liga,Matchweek 7,Sat,Home,D,0,0,Real Madrid,493,445,44,13,2,2,18,15,5,2,3,0,403,4,8,Match Report,2019-09-28,21:00 (12:00),La Liga,Matchweek 7,Sat,Home,D,0,0,Real Madrid,13,10,2,1,0,0,0,0,0,0,0,0,0,0,Match Report,2019-09-28,21:00 (12:00),La Liga,Matchweek 7,Sat,Home,D,0,0,Real Madrid,18,11,9,8,1,7,10,70.0,3,9,3,6,11,29,24,0,Match Report,2019-09-28,21:00 (12:00),La Liga,Matchweek 7,Sat,Home,D,0,0,Real Madrid,45,597,64,167,272,165,15,597,24,16,66.7,8,33.3,363,1870,920,25,20,6,14,8,402,47,Match Report,2019-09-28,21:00 (12:00),La Liga,Matchweek 7,Sat,Home,D,0,0,Real Madrid,1,0,0,14,13,4,18,11,11,0,0,0,51,12,14,46.2,Match Report
2019-10-01,22:00 (12:00),Champions Lg,Group stage,Tue,Away,W,2,0,ru Loko Moscow,2,20,9,45.0,0.10,0.22,14.9,0,0,0,2.9,2.9,0.15,-0.9,-0.9,Match Report,2019-10-01,22:00 (12:00),Champions Lg,Group stage,Tue,Away,W,2,0,ru Loko Moscow,3,0,3,100.0,1,1.1,+1.1,0,0,0,0,6,15,40.0,7,0,85.7,44.9,9,100.0,54.7,16,0,0.0,0,,Match Report,2019-10-01,22:00 (12:00),Champions Lg,Group stage,Tue,Away,W,2,0,ru Loko Moscow,494,598,82.6,7795,2666,267,291,91.8,173,202,85.6,37,67,55.2,1,2.3,2.4,14,28,12,0,49,Match Report,2019-10-01,22:00 (12:00),Champions Lg,Group stage,Tue,Away,W,2,0,ru Loko Moscow,598,540,54,12,2,3,14,25,7,1,6,0,494,4,9,Match Report,2019-10-01,22:00 (12:00),Champions Lg,Group stage,Tue,Away,W,2,0,ru Loko Moscow,35,24,6,0,4,1,0,3,2,0,0,1,0,0,Match Report,2019-10-01,22:00 (12:00),Champions Lg,Group stage,Tue,Away,W,2,0,ru Loko Moscow,22,12,15,2,5,7,14,50.0,7,3,1,2,17,39,17,0,Match Report,2019-10-01,22:00 (12:00),Champions Lg,Group stage,Tue,Away,W,2,0,ru Loko Moscow,61,714,42,147,394,180,28,714,8,5,62.5,3,37.5,402,1984,1069,18,20,2,14,11,487,49,Match Report,2019-10-01,22:00 (12:00),Champions Lg,Group stage,Tue,Away,W,2,0,ru Loko Moscow,2,0,0,14,12,4,14,17,12,0,0,0,59,18,25,41.9,Match Report
2019-10-06,16:00 (07:00),La Liga,Matchweek 8,Sun,Away,D,0,0,Valladolid,0,9,1,11.1,0.00,0.00,18.7,0,0,0,0.8,0.8,0.10,-0.8,-0.8,Match Report,2019-10-06,16:00 (07:00),La Liga,Matchweek 8,Sun,Away,D,0,0,Valladolid,1,0,1,100.0,1,0.0,0.0,1,0,0,1,5,15,33.3,12,0,33.3,30.6,11,100.0,62.2,7,0,0.0,0,10.0,Match Report,2019-10-06,16:00 (07:00),La Liga,Matchweek 8,Sun,Away,D,0,0,Valladolid,373,477,78.2,6322,2534,165,189,87.3,159,188,84.6,28,59,47.5,0,0.6,0.8,5,34,6,1,46,Match Report,2019-10-06,16:00 (07:00),La Liga,Matchweek 8,Sun,Away,D,0,0,Valladolid,477,422,53,18,3,3,16,19,4,0,3,0,373,2,10,Match Report,2019-10-06,16:00 (07:00),La Liga,Matchweek 8,Sun,Away,D,0,0,Valladolid,17,11,0,3,2,1,0,0,0,0,0,0,0,0,Match Report,2019-10-06,16:00 (07:00),La Liga,Matchweek 8,Sun,Away,D,0,0,Valladolid,16,11,8,5,3,8,16,50.0,8,7,1,6,5,21,13,0,Match Report,2019-10-06,16:00 (07:00),La Liga,Matchweek 8,Sun,Away,D,0,0,Valladolid,54,570,36,117,288,167,18,570,14,9,64.3,5,35.7,313,1690,977,15,17,3,20,6,370,44,Match Report,2019-10-06,16:00 (07:00),La Liga,Matchweek 8,Sun,Away,D,0,0,Valladolid,4,0,0,14,15,2,16,5,11,0,1,0,51,14,14,50.0,Match Report
