For Atlético Madrid_Date,For Atlético Madrid_Time,For Atlético Madrid_Comp,For Atlético Madrid_Round,For Atlético Madrid_Day,For Atlético Madrid_Venue,For Atlético Madrid_Result,For Atlético Madrid_GF,For Atlético Madrid_GA,For Atlético Madrid_Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,For Atlético Madrid_Date,For Atlético Madrid_Time,For Atlético Madrid_Comp,For Atlético Madrid_Round,For Atlético Madrid_Day,For Atlético Madrid_Venue,For Atlético Madrid_Result,For Atlético Madrid_GF,For Atlético Madrid_GA,For Atlético Madrid_Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,For Atlético Madrid_Date,For Atlético Madrid_Time,For Atlético Madrid_Comp,For Atlético Madrid_Round,For Atlético Madrid_Day,For Atlético Madrid_Venue,For Atlético Madrid_Result,For Atlético Madrid_GF,For Atlético Madrid_GA,For Atlético Madrid_Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,For Atlético Madrid_Date,For Atlético Madrid_Time,For Atlético Madrid_Comp,For Atlético Madrid_Round,For Atlético Madrid_Day,For Atlético Madrid_Venue,For Atlético Madrid_Result,For Atlético Madrid_GF,For Atlético Madrid_GA,For Atlético Madrid_Opponent,For Atlético Madrid_Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,For Atlético Madrid_Date,For Atlético Madrid_Time,For Atlético Madrid_Comp,For Atlético Madrid_Round,For Atlético Madrid_Day,For Atlético Madrid_Venue,For Atlético Madrid_Result,For Atlético Madrid_GF,For Atlético Madrid_GA,For Atlético Madrid_Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,For Atlético Madrid_Date,For Atlético Madrid_Time,For Atlético Madrid_Comp,For Atlético Madrid_Round,For Atlético Madrid_Day,For Atlético Madrid_Venue,For Atlético Madrid_Result,For Atlético Madrid_GF,For Atlético Madrid_GA,For Atlético Madrid_Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,For Atlético Madrid_Date,For Atlético Madrid_Time,For Atlético Madrid_Comp,For Atlético Madrid_Round,For Atlético Madrid_Day,For Atlético Madrid_Venue,For Atlético Madrid_Result,For Atlético Madrid_GF,For Atlético Madrid_GA,For Atlético Madrid_Opponent,For Atlético Madrid_Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,For Atlético Madrid_Date,For Atlético Madrid_Time,For Atlético Madrid_Comp,For Atlético Madrid_Round,For Atlético Madrid_Day,For Atlético Madrid_Venue,For Atlético Madrid_Result,For Atlético Madrid_GF,For Atlético Madrid_GA,For Atlético Madrid_Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2021-10-19,21:00 (12:00),Champions Lg,Group stage,Tue,Home,L,2,3,eng Liverpool,2,8,5,62.5,0.25,0.40,14.4,0,0,0,2.2,2.2,0.28,-0.2,-0.2,Match Report,2021-10-19,21:00 (12:00),Champions Lg,Group stage,Tue,Home,L,2,3,eng Liverpool,6,3,3,66.7,0,2.0,-1.0,1,1,0,0,4,20,20.0,19,5,57.9,46.7,11,81.8,54.0,13,1,7.7,0,5.0,Match Report,2021-10-19,21:00 (12:00),Champions Lg,Group stage,Tue,Home,L,2,3,eng Liverpool,237,330,71.8,4398,1868,100,115,87.0,99,120,82.5,28,68,41.2,2,2.2,0.9,7,15,5,1,24,Match Report,2021-10-19,21:00 (12:00),Champions Lg,Group stage,Tue,Home,L,2,3,eng Liverpool,330,289,38,9,6,9,8,12,2,0,0,0,237,3,10,Match Report,2021-10-19,21:00 (12:00),Champions Lg,Group stage,Tue,Home,L,2,3,eng Liverpool,14,10,0,2,1,0,1,3,1,0,1,1,0,0,Match Report,2021-10-19,21:00 (12:00),Champions Lg,Group stage,Tue,Home,L,2,3,eng Liverpool,17,7,8,9,0,9,18,50.0,9,10,1,9,5,22,19,0,Match Report,2021-10-19,21:00 (12:00),Champions Lg,Group stage,Tue,Home,L,2,3,eng Liverpool,32,422,54,147,208,75,13,422,18,10,55.6,8,44.4,200,1332,707,17,11,4,9,7,233,24,Match Report,2021-10-19,21:00 (12:00),Champions Lg,Group stage,Tue,Home,L,2,3,eng Liverpool,1,1,0,8,7,3,8,5,7,0,1,0,44,10,15,40.0,Match Report
2021-10-24,21:00 (12:00),La Liga,Matchweek 10,Sun,Home,D,2,2,Real Sociedad,2,16,3,18.8,0.06,0.33,19.7,0,1,1,1.7,0.9,0.06,+0.3,+0.1,Match Report,2021-10-24,21:00 (12:00),La Liga,Matchweek 10,Sun,Home,D,2,2,Real Sociedad,4,2,2,50.0,0,0.8,-1.2,0,0,0,0,3,4,75.0,19,6,21.1,31.5,1,0.0,40.0,6,0,0.0,0,2.0,Match Report,2021-10-24,21:00 (12:00),La Liga,Matchweek 10,Sun,Home,D,2,2,Real Sociedad,472,567,83.2,8257,2627,235,255,92.2,157,188,83.5,61,89,68.5,1,0.9,1.1,15,38,14,4,61,Match Report,2021-10-24,21:00 (12:00),La Liga,Matchweek 10,Sun,Home,D,2,2,Real Sociedad,567,520,45,14,2,15,26,23,4,1,2,0,472,2,5,Match Report,2021-10-24,21:00 (12:00),La Liga,Matchweek 10,Sun,Home,D,2,2,Real Sociedad,34,29,2,2,0,1,0,4,3,0,0,0,1,0,Match Report,2021-10-24,21:00 (12:00),La Liga,Matchweek 10,Sun,Home,D,2,2,Real Sociedad,16,9,7,7,2,6,13,46.2,7,11,2,9,9,25,9,0,Match Report,2021-10-24,21:00 (12:00),La Liga,Matchweek 10,Sun,Home,D,2,2,Real Sociedad,56,655,34,127,299,235,38,654,13,8,61.5,5,38.5,395,2302,1440,35,26,12,12,10,472,61,Match Report,2021-10-24,21:00 (12:00),La Liga,Matchweek 10,Sun,Home,D,2,2,Real Sociedad,1,0,0,14,13,2,26,9,9,1,0,0,51,13,3,81.3,Match Report
2021-10-28,21:30 (12:30),La Liga,Matchweek 11,Thu,Away,D,2,2,Levante,2,7,3,42.9,0.29,0.67,14.8,0,0,0,0.9,0.9,0.13,+1.1,+1.1,Match Report,2021-10-28,21:30 (12:30),La Liga,Matchweek 11,Thu,Away,D,2,2,Levante,3,2,1,100.0,0,2.0,0.0,2,2,0,0,2,9,22.2,20,4,35.0,36.3,6,33.3,29.2,10,0,0.0,2,27.0,Match Report,2021-10-28,21:30 (12:30),La Liga,Matchweek 11,Thu,Away,D,2,2,Levante,546,641,85.2,8025,2344,324,342,94.7,126,152,82.9,59,87,67.8,1,0.6,1.2,5,36,5,1,33,Match Report,2021-10-28,21:30 (12:30),La Liga,Matchweek 11,Thu,Away,D,2,2,Levante,641,593,44,19,2,11,11,14,2,0,2,0,546,4,10,Match Report,2021-10-28,21:30 (12:30),La Liga,Matchweek 11,Thu,Away,D,2,2,Levante,12,12,0,0,0,0,0,4,4,0,0,0,0,0,Match Report,2021-10-28,21:30 (12:30),La Liga,Matchweek 11,Thu,Away,D,2,2,Levante,14,10,7,7,0,8,14,57.1,6,8,3,5,7,21,5,0,Match Report,2021-10-28,21:30 (12:30),La Liga,Matchweek 11,Thu,Away,D,2,2,Levante,64,716,43,163,416,140,22,716,12,6,50.0,6,50.0,492,2467,1349,25,18,4,13,2,544,33,Match Report,2021-10-28,21:30 (12:30),La Liga,Matchweek 11,Thu,Away,D,2,2,Levante,5,0,0,11,15,4,11,7,10,0,2,0,49,8,3,72.7,Match Report
2021-10-31,16:15 (08:15),La Liga,Matchweek 12,Sun,Home,W,3,0,Betis,2,18,9,50.0,0.11,0.22,12.0,0,0,0,2.3,2.3,0.13,-0.3,-0.3,Match Report,2021-10-31,16:15 (08:15),La Liga,Matchweek 12,Sun,Home,W,3,0,Betis,1,0,1,100.0,1,0.0,0.0,0,0,0,0,6,13,46.2,18,4,38.9,38.3,9,66.7,42.3,6,1,16.7,0,13.5,Match Report,2021-10-31,16:15 (08:15),La Liga,Matchweek 12,Sun,Home,W,3,0,Betis,398,492,80.9,7171,2991,177,193,91.7,160,184,87.0,49,81,60.5,2,2.0,2.1,15,36,9,1,50,Match Report,2021-10-31,16:15 (08:15),La Liga,Matchweek 12,Sun,Home,W,3,0,Betis,492,426,63,13,4,5,18,27,13,9,1,0,398,3,13,Match Report,2021-10-31,16:15 (08:15),La Liga,Matchweek 12,Sun,Home,W,3,0,Betis,33,21,7,1,3,1,0,4,3,0,1,0,0,0,Match Report,2021-10-31,16:15 (08:15),La Liga,Matchweek 12,Sun,Home,W,3,0,Betis,17,9,8,8,1,7,15,46.7,8,12,4,8,7,24,7,0,Match Report,2021-10-31,16:15 (08:15),La Liga,Matchweek 12,Sun,Home,W,3,0,Betis,48,600,47,168,279,160,25,600,19,12,63.2,7,36.8,272,1252,665,18,7,5,19,8,396,49,Match Report,2021-10-31,16:15 (08:15),La Liga,Matchweek 12,Sun,Home,W,3,0,Betis,0,0,0,11,12,3,18,7,9,0,0,0,48,15,6,71.4,Match Report
2021-11-03,20:00 (13:00),Champions Lg,Group stage,Wed,Away,L,0,2,eng Liverpool,0,5,0,0.0,0.00,,28.7,1,0,0,0.2,0.2,0.05,-0.2,-0.2,Match Report,2021-11-03,20:00 (13:00),Champions Lg,Group stage,Wed,Away,L,0,2,eng Liverpool,6,2,4,66.7,0,3.1,+1.1,0,0,0,0,9,28,32.1,18,3,83.3,48.0,13,100.0,58.3,15,1,6.7,0,7.5,Match Report,2021-11-03,20:00 (13:00),Champions Lg,Group stage,Wed,Away,L,0,2,eng Liverpool,212,301,70.4,3789,1682,102,124,82.3,51,68,75.0,37,72,51.4,0,0.1,0.3,2,16,5,1,16,Match Report,2021-11-03,20:00 (13:00),Champions Lg,Group stage,Wed,Away,L,0,2,eng Liverpool,301,246,53,11,0,8,10,23,3,1,1,0,212,2,1,Match Report,2021-11-03,20:00 (13:00),Champions Lg,Group stage,Wed,Away,L,0,2,eng Liverpool,6,3,0,1,0,1,1,0,0,0,0,0,0,0,Match Report,2021-11-03,20:00 (13:00),Champions Lg,Group stage,Wed,Away,L,0,2,eng Liverpool,19,7,14,4,1,8,24,33.3,16,12,4,8,8,27,16,0,Match Report,2021-11-03,20:00 (13:00),Champions Lg,Group stage,Wed,Away,L,0,2,eng Liverpool,29,399,68,157,140,104,12,399,17,11,64.7,6,35.3,171,810,430,12,9,5,13,14,210,16,Match Report,2021-11-03,20:00 (13:00),Champions Lg,Group stage,Wed,Away,L,0,2,eng Liverpool,4,1,0,9,12,2,10,8,7,0,0,0,40,9,12,42.9,Match Report
2021-11-07,16:15 (07:15),La Liga,Matchweek 13,Sun,Away,D,3,3,Valencia,3,13,7,53.8,0.23,0.43,18.0,0,0,0,2.3,2.3,0.21,+0.7,+0.7,Match Report,2021-11-07,16:15 (07:15),La Liga,Matchweek 13,Sun,Away,D,3,3,Valencia,5,3,3,40.0,0,1.4,-0.6,0,0,0,0,2,11,18.2,16,2,50.0,33.9,7,42.9,36.6,20,1,5.0,0,6.5,Match Report,2021-11-07,16:15 (07:15),La Liga,Matchweek 13,Sun,Away,D,3,3,Valencia,400,505,79.2,6789,2308,190,214,88.8,146,177,82.5,41,73,56.2,1,1.2,0.6,8,22,6,0,46,Match Report,2021-11-07,16:15 (07:15),La Liga,Matchweek 13,Sun,Away,D,3,3,Valencia,505,461,44,12,2,8,7,21,0,0,0,0,400,0,8,Match Report,2021-11-07,16:15 (07:15),La Liga,Matchweek 13,Sun,Away,D,3,3,Valencia,23,14,2,1,3,2,1,4,1,0,1,1,0,1,Match Report,2021-11-07,16:15 (07:15),La Liga,Matchweek 13,Sun,Away,D,3,3,Valencia,16,8,11,3,2,12,26,46.2,14,11,2,9,11,27,39,0,Match Report,2021-11-07,16:15 (07:15),La Liga,Matchweek 13,Sun,Away,D,3,3,Valencia,52,634,68,220,310,112,21,634,11,6,54.5,5,45.5,336,1661,977,14,12,4,11,8,397,46,Match Report,2021-11-07,16:15 (07:15),La Liga,Matchweek 13,Sun,Away,D,3,3,Valencia,2,0,0,17,12,0,7,11,8,0,0,1,65,6,5,54.5,Match Report
2021-11-20,18:30 (09:30),La Liga,Matchweek 14,Sat,Home,W,1,0,Osasuna,1,15,2,13.3,0.07,0.50,21.3,0,0,0,1.0,1.0,0.07,0.0,0.0,Match Report,2021-11-20,18:30 (09:30),La Liga,Matchweek 14,Sat,Home,W,1,0,Osasuna,3,0,3,100.0,1,0.4,+0.4,0,0,0,0,6,9,66.7,20,5,20.0,29.5,9,55.6,45.1,14,0,0.0,2,19.5,Match Report,2021-11-20,18:30 (09:30),La Liga,Matchweek 14,Sat,Home,W,1,0,Osasuna,489,611,80.0,8523,2691,233,268,86.9,173,199,86.9,64,109,58.7,1,0.8,1.4,11,47,13,5,50,Match Report,2021-11-20,18:30 (09:30),La Liga,Matchweek 14,Sat,Home,W,1,0,Osasuna,611,562,45,7,0,8,45,21,7,1,3,0,489,4,7,Match Report,2021-11-20,18:30 (09:30),La Liga,Matchweek 14,Sat,Home,W,1,0,Osasuna,26,19,2,4,0,1,0,2,1,1,0,0,0,0,Match Report,2021-11-20,18:30 (09:30),La Liga,Matchweek 14,Sat,Home,W,1,0,Osasuna,7,6,3,2,2,3,6,50.0,3,13,4,9,5,12,24,0,Match Report,2021-11-20,18:30 (09:30),La Liga,Matchweek 14,Sat,Home,W,1,0,Osasuna,60,720,48,181,274,274,30,720,21,12,57.1,9,42.9,458,2504,1533,35,25,3,16,7,486,50,Match Report,2021-11-20,18:30 (09:30),La Liga,Matchweek 14,Sat,Home,W,1,0,Osasuna,2,0,0,7,8,4,45,5,6,0,0,0,57,19,21,47.5,Match Report
2021-11-24,21:00 (12:00),Champions Lg,Group stage,Wed,Home,L,0,1,it Milan,0,6,2,33.3,0.00,0.00,16.5,0,0,0,0.9,0.9,0.15,-0.9,-0.9,Match Report,2021-11-24,21:00 (12:00),Champions Lg,Group stage,Wed,Home,L,0,1,it Milan,4,1,3,75.0,0,1.0,0.0,0,0,0,0,5,17,29.4,17,6,41.2,39.0,14,78.6,51.5,7,0,0.0,0,,Match Report,2021-11-24,21:00 (12:00),Champions Lg,Group stage,Wed,Home,L,0,1,it Milan,321,421,76.2,5750,2430,150,169,88.8,111,141,78.7,43,77,55.8,0,0.9,1.1,6,28,2,0,31,Match Report,2021-11-24,21:00 (12:00),Champions Lg,Group stage,Wed,Home,L,0,1,it Milan,421,367,53,17,1,8,12,18,2,1,1,0,321,1,6,Match Report,2021-11-24,21:00 (12:00),Champions Lg,Group stage,Wed,Home,L,0,1,it Milan,12,10,0,2,0,0,0,0,0,0,0,0,0,0,Match Report,2021-11-24,21:00 (12:00),Champions Lg,Group stage,Wed,Home,L,0,1,it Milan,17,12,8,6,3,7,26,26.9,19,6,2,4,17,34,17,0,Match Report,2021-11-24,21:00 (12:00),Champions Lg,Group stage,Wed,Home,L,0,1,it Milan,43,533,58,188,237,112,14,533,10,7,70.0,3,30.0,280,1427,701,13,12,3,15,15,319,31,Match Report,2021-11-24,21:00 (12:00),Champions Lg,Group stage,Wed,Home,L,0,1,it Milan,1,0,0,19,14,1,12,17,12,0,0,0,54,15,22,40.5,Match Report
2021-11-28,18:30 (09:30),La Liga,Matchweek 15,Sun,Away,W,4,1,Cádiz,4,17,7,41.2,0.24,0.57,13.7,0,0,0,3.8,3.8,0.23,+0.2,+0.2,Match Report,2021-11-28,18:30 (09:30),La Liga,Matchweek 15,Sun,Away,W,4,1,Cádiz,1,1,0,0.0,0,0.8,-0.2,0,0,0,0,4,7,57.1,16,7,12.5,27.3,8,62.5,46.9,23,4,17.4,1,7.8,Match Report,2021-11-28,18:30 (09:30),La Liga,Matchweek 15,Sun,Away,W,4,1,Cádiz,615,713,86.3,9572,3349,328,364,90.1,222,249,89.2,40,56,71.4,4,2.8,1.7,14,41,14,4,56,Match Report,2021-11-28,18:30 (09:30),La Liga,Matchweek 15,Sun,Away,W,4,1,Cádiz,713,665,46,14,8,3,18,14,8,3,4,0,615,2,8,Match Report,2021-11-28,18:30 (09:30),La Liga,Matchweek 15,Sun,Away,W,4,1,Cádiz,32,25,3,0,3,1,0,8,8,0,0,0,0,0,Match Report,2021-11-28,18:30 (09:30),La Liga,Matchweek 15,Sun,Away,W,4,1,Cádiz,14,5,8,4,2,10,18,55.6,8,6,3,3,9,23,25,0,Match Report,2021-11-28,18:30 (09:30),La Liga,Matchweek 15,Sun,Away,W,4,1,Cádiz,63,807,57,190,425,195,25,807,18,15,83.3,3,16.7,393,2179,1072,18,24,4,13,7,614,56,Match Report,2021-11-28,18:30 (09:30),La Liga,Matchweek 15,Sun,Away,W,4,1,Cádiz,0,0,0,11,13,2,18,9,5,0,0,0,51,16,7,69.6,Match Report
2021-12-04,18:30 (09:30),La Liga,Matchweek 16,Sat,Home,L,1,2,Mallorca,1,14,6,42.9,0.07,0.17,11.7,0,0,0,1.5,1.5,0.11,-0.5,-0.5,Match Report,2021-12-04,18:30 (09:30),La Liga,Matchweek 16,Sat,Home,L,1,2,Mallorca,3,2,1,33.3,0,1.4,-0.6,0,0,0,0,1,7,14.3,15,2,33.3,35.3,5,40.0,39.6,8,0,0.0,0,2.0,Match Report,2021-12-04,18:30 (09:30),La Liga,Matchweek 16,Sat,Home,L,1,2,Mallorca,443,538,82.3,7648,2350,194,223,87.0,163,185,88.1,58,89,65.2,1,1.1,1.6,11,25,10,4,44,Match Report,2021-12-04,18:30 (09:30),La Liga,Matchweek 16,Sat,Home,L,1,2,Mallorca,538,480,57,16,1,1,26,25,8,2,4,0,443,1,8,Match Report,2021-12-04,18:30 (09:30),La Liga,Matchweek 16,Sat,Home,L,1,2,Mallorca,26,19,4,0,1,2,0,2,2,0,0,0,0,0,Match Report,2021-12-04,18:30 (09:30),La Liga,Matchweek 16,Sat,Home,L,1,2,Mallorca,28,11,9,12,7,7,21,33.3,14,10,3,7,8,36,21,0,Match Report,2021-12-04,18:30 (09:30),La Liga,Matchweek 16,Sat,Home,L,1,2,Mallorca,58,661,51,164,349,152,30,661,8,5,62.5,3,37.5,317,1963,1002,19,14,4,21,7,440,44,Match Report,2021-12-04,18:30 (09:30),La Liga,Matchweek 16,Sat,Home,L,1,2,Mallorca,2,0,0,13,16,1,26,8,11,0,0,0,45,20,20,50.0,Match Report
2021-12-07,20:00 (12:00),Champions Lg,Group stage,Tue,Away,W,3,1,pt Porto,3,14,5,35.7,0.21,0.60,10.6,0,0,0,3.7,3.7,0.34,-0.7,-0.7,Match Report,2021-12-07,20:00 (12:00),Champions Lg,Group stage,Tue,Away,W,3,1,pt Porto,6,1,5,100.0,0,1.5,+0.5,1,1,0,0,5,22,22.7,20,1,85.0,51.1,5,100.0,66.2,14,2,14.3,0,5.0,Match Report,2021-12-07,20:00 (12:00),Champions Lg,Group stage,Tue,Away,W,3,1,pt Porto,173,280,61.8,3109,1342,87,113,77.0,55,83,66.3,23,60,38.3,3,2.4,0.8,7,12,1,0,15,Match Report,2021-12-07,20:00 (12:00),Champions Lg,Group stage,Tue,Away,W,3,1,pt Porto,280,235,44,13,3,6,6,21,4,2,1,0,173,1,12,Match Report,2021-12-07,20:00 (12:00),Champions Lg,Group stage,Tue,Away,W,3,1,pt Porto,18,9,0,3,6,0,0,5,4,0,0,1,0,0,Match Report,2021-12-07,20:00 (12:00),Champions Lg,Group stage,Tue,Away,W,3,1,pt Porto,19,14,14,5,0,12,23,52.2,11,13,6,7,16,35,32,0,Match Report,2021-12-07,20:00 (12:00),Champions Lg,Group stage,Tue,Away,W,3,1,pt Porto,33,408,61,196,141,73,22,408,10,8,80.0,2,20.0,147,903,504,14,5,7,14,9,171,15,Match Report,2021-12-07,20:00 (12:00),Champions Lg,Group stage,Tue,Away,W,3,1,pt Porto,1,1,0,15,11,1,6,16,14,0,1,0,56,16,15,51.6,Match Report
2021-12-12,21:00 (12:00),La Liga,Matchweek 17,Sun,Away,L,0,2,Real Madrid,0,9,6,66.7,0.00,0.00,15.8,1,0,0,0.7,0.7,0.08,-0.7,-0.7,Match Report,2021-12-12,21:00 (12:00),La Liga,Matchweek 17,Sun,Away,L,0,2,Real Madrid,3,2,1,33.3,0,0.6,-1.4,0,0,0,0,0,11,0.0,10,1,30.0,28.5,8,100.0,57.8,4,0,0.0,1,27.0,Match Report,2021-12-12,21:00 (12:00),La Liga,Matchweek 17,Sun,Away,L,0,2,Real Madrid,353,426,82.9,6020,1812,164,177,92.7,138,155,89.0,34,66,51.5,0,0.6,1.3,6,31,13,2,48,Match Report,2021-12-12,21:00 (12:00),La Liga,Matchweek 17,Sun,Away,L,0,2,Real Madrid,426,377,48,16,3,7,21,15,6,5,0,0,353,1,3,Match Report,2021-12-12,21:00 (12:00),La Liga,Matchweek 17,Sun,Away,L,0,2,Real Madrid,16,8,2,2,1,2,1,0,0,0,0,0,0,0,Match Report,2021-12-12,21:00 (12:00),La Liga,Matchweek 17,Sun,Away,L,0,2,Real Madrid,18,10,5,9,4,8,15,53.3,7,8,1,7,9,27,8,0,Match Report,2021-12-12,21:00 (12:00),La Liga,Matchweek 17,Sun,Away,L,0,2,Real Madrid,39,526,31,101,266,162,21,526,17,8,47.1,9,52.9,313,1580,824,15,13,1,14,9,352,47,Match Report,2021-12-12,21:00 (12:00),La Liga,Matchweek 17,Sun,Away,L,0,2,Real Madrid,3,0,0,15,17,1,21,9,10,0,0,0,46,8,13,38.1,Match Report
2021-12-18,21:00 (12:00),La Liga,Matchweek 18,Sat,Away,L,1,2,Sevilla,1,15,3,20.0,0.07,0.33,19.6,0,0,0,1.0,1.0,0.07,0.0,0.0,Match Report,2021-12-18,21:00 (12:00),La Liga,Matchweek 18,Sat,Away,L,1,2,Sevilla,2,2,0,0.0,0,1.0,-1.0,0,0,0,0,6,24,25.0,26,4,53.8,39.2,10,100.0,59.1,12,0,0.0,0,6.0,Match Report,2021-12-18,21:00 (12:00),La Liga,Matchweek 18,Sat,Away,L,1,2,Sevilla,343,452,75.9,6065,2131,159,184,86.4,126,153,82.4,43,82,52.4,1,0.8,0.9,11,20,8,0,37,Match Report,2021-12-18,21:00 (12:00),La Liga,Matchweek 18,Sat,Away,L,1,2,Sevilla,452,392,59,15,1,6,18,24,7,2,2,0,343,1,11,Match Report,2021-12-18,21:00 (12:00),La Liga,Matchweek 18,Sat,Away,L,1,2,Sevilla,27,17,6,1,2,1,0,2,0,1,0,1,0,0,Match Report,2021-12-18,21:00 (12:00),La Liga,Matchweek 18,Sat,Away,L,1,2,Sevilla,23,16,11,10,2,15,20,75.0,5,6,0,6,13,36,11,0,Match Report,2021-12-18,21:00 (12:00),La Liga,Matchweek 18,Sat,Away,L,1,2,Sevilla,46,555,45,161,253,144,24,555,12,7,58.3,5,41.7,251,1450,699,14,15,4,12,10,341,37,Match Report,2021-12-18,21:00 (12:00),La Liga,Matchweek 18,Sat,Away,L,1,2,Sevilla,1,0,0,14,15,1,18,13,16,0,0,0,49,12,14,46.2,Match Report
2021-12-22,19:00 (10:00),La Liga,Matchweek 9,Wed,Away,L,1,2,Granada,1,15,3,20.0,0.07,0.33,14.8,0,0,0,1.5,1.5,0.10,-0.5,-0.5,Match Report,2021-12-22,19:00 (10:00),La Liga,Matchweek 9,Wed,Away,L,1,2,Granada,4,2,2,50.0,0,1.6,-0.4,0,0,0,0,7,12,58.3,24,5,37.5,30.5,3,100.0,60.3,8,0,0.0,0,,Match Report,2021-12-22,19:00 (10:00),La Liga,Matchweek 9,Wed,Away,L,1,2,Granada,471,576,81.8,8035,2692,237,254,93.3,174,202,86.1,48,78,61.5,1,1.2,1.5,12,38,13,5,42,Match Report,2021-12-22,19:00 (10:00),La Liga,Matchweek 9,Wed,Away,L,1,2,Granada,576,517,53,17,4,6,21,23,7,2,3,0,471,6,11,Match Report,2021-12-22,19:00 (10:00),La Liga,Matchweek 9,Wed,Away,L,1,2,Granada,29,23,3,3,0,0,0,2,1,0,1,0,0,0,Match Report,2021-12-22,19:00 (10:00),La Liga,Matchweek 9,Wed,Away,L,1,2,Granada,13,7,4,6,3,5,19,26.3,14,8,1,7,15,28,12,0,Match Report,2021-12-22,19:00 (10:00),La Liga,Matchweek 9,Wed,Away,L,1,2,Granada,60,678,50,164,278,238,34,678,19,11,57.9,8,42.1,421,2069,1169,22,20,7,16,11,471,42,Match Report,2021-12-22,19:00 (10:00),La Liga,Matchweek 9,Wed,Away,L,1,2,Granada,1,0,0,7,17,6,21,15,7,0,0,0,51,17,8,68.0,Match Report
