For Alavés_Date,For Alavés_Time,For Alavés_Comp,For Alavés_Round,For Alavés_Day,For Alavés_Venue,For Alavés_Result,For Alavés_GF,For Alavés_GA,For Alavés_Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,For Alavés_Date,For Alavés_Time,For Alavés_Comp,For Alavés_Round,For Alavés_Day,For Alavés_Venue,For Alavés_Result,For Alavés_GF,For Alavés_GA,For Alavés_Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,For Alavés_Date,For Alavés_Time,For Alavés_Comp,For Alavés_Round,For Alavés_Day,For Alavés_Venue,For Alavés_Result,For Alavés_GF,For Alavés_GA,For Alavés_Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,For Alavés_Date,For Alavés_Time,For Alavés_Comp,For Alavés_Round,For Alavés_Day,For Alavés_Venue,For Alavés_Result,For Alavés_GF,For Alavés_GA,For Alavés_Opponent,For Alavés_Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,For Alavés_Date,For Alavés_Time,For Alavés_Comp,For Alavés_Round,For Alavés_Day,For Alavés_Venue,For Alavés_Result,For Alavés_GF,For Alavés_GA,For Alavés_Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,For Alavés_Date,For Alavés_Time,For Alavés_Comp,For Alavés_Round,For Alavés_Day,For Alavés_Venue,For Alavés_Result,For Alavés_GF,For Alavés_GA,For Alavés_Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,For Alavés_Date,For Alavés_Time,For Alavés_Comp,For Alavés_Round,For Alavés_Day,For Alavés_Venue,For Alavés_Result,For Alavés_GF,For Alavés_GA,For Alavés_Opponent,For Alavés_Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,For Alavés_Date,For Alavés_Time,For Alavés_Comp,For Alavés_Round,For Alavés_Day,For Alavés_Venue,For Alavés_Result,For Alavés_GF,For Alavés_GA,For Alavés_Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2020-09-13,14:00 (05:00),La Liga,Matchweek 1,Sun,Home,L,0,1,Betis,0,7,2,28.6,0.00,0.00,11.3,0,0,0,1.2,1.2,0.19,-1.2,-1.2,Match Report,2020-09-13,14:00 (05:00),La Liga,Matchweek 1,Sun,Home,L,0,1,Betis,4,1,3,75.0,0,0.3,-0.7,0,0,0,0,4,8,50.0,23,6,30.4,33.2,6,16.7,28.7,10,0,0.0,1,31.0,Match Report,2020-09-13,14:00 (05:00),La Liga,Matchweek 1,Sun,Home,L,0,1,Betis,250,353,70.8,5202,2491,90,111,81.1,110,142,77.5,44,75,58.7,0,0.6,0.5,6,21,3,1,24,Match Report,2020-09-13,14:00 (05:00),La Liga,Matchweek 1,Sun,Home,L,0,1,Betis,353,285,60,20,0,5,14,26,6,1,4,0,250,8,9,Match Report,2020-09-13,14:00 (05:00),La Liga,Matchweek 1,Sun,Home,L,0,1,Betis,11,2,4,1,3,1,0,0,0,0,0,0,0,0,Match Report,2020-09-13,14:00 (05:00),La Liga,Matchweek 1,Sun,Home,L,0,1,Betis,12,6,7,4,1,2,9,22.2,7,10,2,8,14,26,10,0,Match Report,2020-09-13,14:00 (05:00),La Liga,Matchweek 1,Sun,Home,L,0,1,Betis,43,437,45,171,194,74,10,437,16,5,31.3,11,68.8,241,852,339,8,6,0,10,4,250,24,Match Report,2020-09-13,14:00 (05:00),La Liga,Matchweek 1,Sun,Home,L,0,1,Betis,3,0,0,19,17,8,14,14,6,0,0,0,33,23,8,74.2,Match Report
2020-09-20,18:30 (09:30),La Liga,Matchweek 2,Sun,Away,L,1,2,Granada,1,5,3,60.0,0.20,0.33,19.0,1,0,0,0.7,0.7,0.13,+0.3,+0.3,Match Report,2020-09-20,18:30 (09:30),La Liga,Matchweek 2,Sun,Away,L,1,2,Granada,3,2,1,33.3,0,1.9,-0.1,0,0,0,0,6,16,37.5,13,2,69.2,46.2,10,70.0,45.0,18,0,0.0,2,16.0,Match Report,2020-09-20,18:30 (09:30),La Liga,Matchweek 2,Sun,Away,L,1,2,Granada,221,335,66.0,4605,2007,89,115,77.4,88,115,76.5,36,83,43.4,0,0.6,0.5,3,24,4,2,22,Match Report,2020-09-20,18:30 (09:30),La Liga,Matchweek 2,Sun,Away,L,1,2,Granada,335,280,55,13,2,7,19,25,4,2,2,0,221,0,8,Match Report,2020-09-20,18:30 (09:30),La Liga,Matchweek 2,Sun,Away,L,1,2,Granada,10,8,0,1,0,1,0,2,1,0,0,0,1,0,Match Report,2020-09-20,18:30 (09:30),La Liga,Matchweek 2,Sun,Away,L,1,2,Granada,18,14,7,11,0,5,14,35.7,9,9,2,7,8,26,17,0,Match Report,2020-09-20,18:30 (09:30),La Liga,Matchweek 2,Sun,Away,L,1,2,Granada,44,437,46,148,203,89,10,437,14,4,28.6,10,71.4,165,901,356,8,6,2,18,7,219,22,Match Report,2020-09-20,18:30 (09:30),La Liga,Matchweek 2,Sun,Away,L,1,2,Granada,3,0,0,12,7,0,19,8,14,0,0,0,38,20,20,50.0,Match Report
2020-09-26,13:00 (04:00),La Liga,Matchweek 3,Sat,Home,D,0,0,Getafe,0,9,0,0.0,0.00,,17.4,1,0,0,1.3,1.3,0.15,-1.3,-1.3,Match Report,2020-09-26,13:00 (04:00),La Liga,Matchweek 3,Sat,Home,D,0,0,Getafe,4,0,4,100.0,1,0.4,+0.4,0,0,0,0,16,26,61.5,23,1,82.6,51.6,7,100.0,63.6,18,1,5.6,4,18.5,Match Report,2020-09-26,13:00 (04:00),La Liga,Matchweek 3,Sat,Home,D,0,0,Getafe,204,365,55.9,4402,2598,94,140,67.1,57,96,59.4,46,101,45.5,0,1.3,1.0,8,23,7,3,25,Match Report,2020-09-26,13:00 (04:00),La Liga,Matchweek 3,Sat,Home,D,0,0,Getafe,365,309,54,15,1,4,12,30,1,1,0,0,204,2,10,Match Report,2020-09-26,13:00 (04:00),La Liga,Matchweek 3,Sat,Home,D,0,0,Getafe,16,12,2,0,0,2,0,0,0,0,0,0,0,0,Match Report,2020-09-26,13:00 (04:00),La Liga,Matchweek 3,Sat,Home,D,0,0,Getafe,18,13,15,1,2,9,18,50.0,9,8,1,7,12,30,16,0,Match Report,2020-09-26,13:00 (04:00),La Liga,Matchweek 3,Sat,Home,D,0,0,Getafe,47,473,48,180,169,127,16,473,8,1,12.5,7,87.5,119,542,230,4,4,2,18,11,200,25,Match Report,2020-09-26,13:00 (04:00),La Liga,Matchweek 3,Sat,Home,D,0,0,Getafe,2,0,0,13,13,2,12,12,13,0,0,0,46,34,22,60.7,Match Report
2020-09-30,19:00 (10:00),La Liga,Matchweek 4,Wed,Away,L,1,3,Villarreal,1,8,3,37.5,0.13,0.33,15.8,0,0,0,1.1,1.1,0.14,-0.1,-0.1,Match Report,2020-09-30,19:00 (10:00),La Liga,Matchweek 4,Wed,Away,L,1,3,Villarreal,5,3,2,60.0,0,3.2,+0.2,1,1,0,0,6,11,54.5,28,6,28.6,32.5,5,60.0,42.6,11,0,0.0,1,14.0,Match Report,2020-09-30,19:00 (10:00),La Liga,Matchweek 4,Wed,Away,L,1,3,Villarreal,315,421,74.8,6449,2634,118,153,77.1,141,170,82.9,54,82,65.9,1,0.9,0.4,5,24,6,2,32,Match Report,2020-09-30,19:00 (10:00),La Liga,Matchweek 4,Wed,Away,L,1,3,Villarreal,421,374,45,15,0,8,15,21,0,0,0,0,315,2,7,Match Report,2020-09-30,19:00 (10:00),La Liga,Matchweek 4,Wed,Away,L,1,3,Villarreal,15,11,0,1,0,0,3,2,1,0,0,0,0,1,Match Report,2020-09-30,19:00 (10:00),La Liga,Matchweek 4,Wed,Away,L,1,3,Villarreal,14,5,7,3,4,8,24,33.3,16,10,1,9,16,30,19,0,Match Report,2020-09-30,19:00 (10:00),La Liga,Matchweek 4,Wed,Away,L,1,3,Villarreal,41,521,61,197,223,106,13,521,14,5,35.7,9,64.3,250,1420,666,9,6,1,12,6,312,32,Match Report,2020-09-30,19:00 (10:00),La Liga,Matchweek 4,Wed,Away,L,1,3,Villarreal,2,0,0,13,10,2,15,16,5,0,1,0,57,21,9,70.0,Match Report
2020-10-04,14:00 (05:00),La Liga,Matchweek 5,Sun,Home,W,1,0,Athletic Club,1,8,3,37.5,0.13,0.33,17.1,0,0,0,0.6,0.6,0.08,+0.4,+0.4,Match Report,2020-10-04,14:00 (05:00),La Liga,Matchweek 5,Sun,Home,W,1,0,Athletic Club,0,0,0,,1,0.0,0.0,0,0,0,0,7,17,41.2,18,2,61.1,43.4,9,66.7,45.7,23,0,0.0,2,15.8,Match Report,2020-10-04,14:00 (05:00),La Liga,Matchweek 5,Sun,Home,W,1,0,Athletic Club,225,341,66.0,4254,2120,105,134,78.4,75,96,78.1,35,80,43.8,1,0.6,0.5,7,21,8,7,26,Match Report,2020-10-04,14:00 (05:00),La Liga,Matchweek 5,Sun,Home,W,1,0,Athletic Club,341,289,50,20,0,7,18,20,0,0,0,0,225,2,10,Match Report,2020-10-04,14:00 (05:00),La Liga,Matchweek 5,Sun,Home,W,1,0,Athletic Club,14,11,2,0,0,1,0,2,0,1,0,0,1,0,Match Report,2020-10-04,14:00 (05:00),La Liga,Matchweek 5,Sun,Home,W,1,0,Athletic Club,7,4,4,2,1,3,10,30.0,7,8,1,7,13,20,32,0,Match Report,2020-10-04,14:00 (05:00),La Liga,Matchweek 5,Sun,Home,W,1,0,Athletic Club,41,454,62,154,195,109,20,454,20,14,70.0,6,30.0,160,826,454,8,7,4,13,7,222,26,Match Report,2020-10-04,14:00 (05:00),La Liga,Matchweek 5,Sun,Home,W,1,0,Athletic Club,2,1,1,20,15,2,18,13,4,0,0,0,49,23,27,46.0,Match Report
2020-10-18,18:30 (09:30),La Liga,Matchweek 6,Sun,Home,L,0,2,Elche,0,13,2,15.4,0.00,0.00,20.1,0,0,0,1.7,1.7,0.13,-1.7,-1.7,Match Report,2020-10-18,18:30 (09:30),La Liga,Matchweek 6,Sun,Home,L,0,2,Elche,3,2,1,33.3,0,1.2,-0.8,0,0,0,0,5,9,55.6,25,4,36.0,34.7,2,0.0,25.0,12,0,0.0,4,27.3,Match Report,2020-10-18,18:30 (09:30),La Liga,Matchweek 6,Sun,Home,L,0,2,Elche,350,445,78.7,6549,2434,152,171,88.9,142,168,84.5,46,77,59.7,0,1.1,1.0,10,26,8,2,42,Match Report,2020-10-18,18:30 (09:30),La Liga,Matchweek 6,Sun,Home,L,0,2,Elche,445,400,41,15,2,8,28,19,2,1,0,0,350,4,12,Match Report,2020-10-18,18:30 (09:30),La Liga,Matchweek 6,Sun,Home,L,0,2,Elche,23,19,2,2,0,0,0,0,0,0,0,0,0,0,Match Report,2020-10-18,18:30 (09:30),La Liga,Matchweek 6,Sun,Home,L,0,2,Elche,15,9,3,10,2,4,13,30.8,9,9,2,7,18,33,15,1,Match Report,2020-10-18,18:30 (09:30),La Liga,Matchweek 6,Sun,Home,L,0,2,Elche,47,556,40,137,296,131,23,556,18,11,61.1,7,38.9,356,1770,918,18,18,7,16,7,348,42,Match Report,2020-10-18,18:30 (09:30),La Liga,Matchweek 6,Sun,Home,L,0,2,Elche,2,0,0,11,11,4,28,18,9,0,0,0,59,13,8,61.9,Match Report
2020-10-25,14:00 (06:00),La Liga,Matchweek 7,Sun,Away,W,2,0,Valladolid,2,13,3,23.1,0.15,0.67,15.4,0,0,1,2.5,1.7,0.14,-0.5,+0.3,Match Report,2020-10-25,14:00 (06:00),La Liga,Matchweek 7,Sun,Away,W,2,0,Valladolid,1,0,1,100.0,1,0.3,+0.3,0,0,0,0,8,9,88.9,14,4,42.9,33.2,7,42.9,28.7,10,0,0.0,2,18.3,Match Report,2020-10-25,14:00 (06:00),La Liga,Matchweek 7,Sun,Away,W,2,0,Valladolid,376,488,77.0,6957,2701,165,188,87.8,148,181,81.8,52,92,56.5,2,1.8,0.8,11,27,8,3,42,Match Report,2020-10-25,14:00 (06:00),La Liga,Matchweek 7,Sun,Away,W,2,0,Valladolid,488,438,47,12,1,7,21,23,4,0,1,2,376,3,4,Match Report,2020-10-25,14:00 (06:00),La Liga,Matchweek 7,Sun,Away,W,2,0,Valladolid,27,19,3,1,2,2,0,3,2,0,0,1,0,0,Match Report,2020-10-25,14:00 (06:00),La Liga,Matchweek 7,Sun,Away,W,2,0,Valladolid,12,9,7,5,0,5,8,62.5,3,12,1,11,12,24,18,0,Match Report,2020-10-25,14:00 (06:00),La Liga,Matchweek 7,Sun,Away,W,2,0,Valladolid,55,589,37,165,305,123,21,588,13,8,61.5,5,38.5,351,1659,919,18,11,3,9,11,373,42,Match Report,2020-10-25,14:00 (06:00),La Liga,Matchweek 7,Sun,Away,W,2,0,Valladolid,0,0,0,7,9,3,21,12,9,1,0,0,48,26,15,63.4,Match Report
2020-10-31,21:00 (13:00),La Liga,Matchweek 8,Sat,Home,D,1,1,Barcelona,1,4,3,75.0,0.25,0.33,15.7,1,0,0,1.2,1.2,0.29,-0.2,-0.2,Match Report,2020-10-31,21:00 (13:00),La Liga,Matchweek 8,Sat,Home,D,1,1,Barcelona,8,1,7,87.5,0,0.9,-0.1,0,0,0,0,8,17,47.1,12,1,83.3,54.7,13,53.8,40.1,7,1,14.3,0,6.0,Match Report,2020-10-31,21:00 (13:00),La Liga,Matchweek 8,Sat,Home,D,1,1,Barcelona,151,237,63.7,3126,1760,70,94,74.5,47,67,70.1,30,63,47.6,0,0.1,0.1,2,10,3,1,10,Match Report,2020-10-31,21:00 (13:00),La Liga,Matchweek 8,Sat,Home,D,1,1,Barcelona,237,198,38,6,1,2,7,15,2,0,2,0,151,1,6,Match Report,2020-10-31,21:00 (13:00),La Liga,Matchweek 8,Sat,Home,D,1,1,Barcelona,6,4,0,0,0,1,1,1,0,0,0,0,0,1,Match Report,2020-10-31,21:00 (13:00),La Liga,Matchweek 8,Sat,Home,D,1,1,Barcelona,27,10,20,5,2,17,38,44.7,21,14,9,5,21,48,29,0,Match Report,2020-10-31,21:00 (13:00),La Liga,Matchweek 8,Sat,Home,D,1,1,Barcelona,21,373,86,206,124,50,5,373,14,4,28.6,10,71.4,183,897,456,11,14,2,15,8,148,10,Match Report,2020-10-31,21:00 (13:00),La Liga,Matchweek 8,Sat,Home,D,1,1,Barcelona,4,1,1,16,4,1,7,21,10,0,0,0,53,10,6,62.5,Match Report
2020-11-08,18:30 (09:30),La Liga,Matchweek 9,Sun,Away,D,1,1,Levante,1,6,2,33.3,0.17,0.50,14.5,0,0,0,0.8,0.8,0.13,+0.2,+0.2,Match Report,2020-11-08,18:30 (09:30),La Liga,Matchweek 9,Sun,Away,D,1,1,Levante,5,1,4,80.0,0,0.8,-0.2,0,0,0,0,22,36,61.1,28,3,82.1,48.1,13,100.0,61.2,25,2,8.0,0,4.5,Match Report,2020-11-08,18:30 (09:30),La Liga,Matchweek 9,Sun,Away,D,1,1,Levante,157,240,65.4,3493,2169,69,89,77.5,44,72,61.1,41,69,59.4,1,0.8,0.2,6,12,3,0,14,Match Report,2020-11-08,18:30 (09:30),La Liga,Matchweek 9,Sun,Away,D,1,1,Levante,240,189,50,18,0,0,5,16,1,1,0,0,157,1,1,Match Report,2020-11-08,18:30 (09:30),La Liga,Matchweek 9,Sun,Away,D,1,1,Levante,12,8,2,1,0,0,1,2,2,0,0,0,0,0,Match Report,2020-11-08,18:30 (09:30),La Liga,Matchweek 9,Sun,Away,D,1,1,Levante,18,9,11,6,1,10,20,50.0,10,11,4,7,19,37,34,0,Match Report,2020-11-08,18:30 (09:30),La Liga,Matchweek 9,Sun,Away,D,1,1,Levante,29,367,84,179,140,55,11,367,11,7,63.6,5,45.5,125,787,389,9,7,3,17,12,156,14,Match Report,2020-11-08,18:30 (09:30),La Liga,Matchweek 9,Sun,Away,D,1,1,Levante,6,1,1,16,12,1,5,19,9,0,0,0,45,19,12,61.3,Match Report
2020-11-22,21:00 (12:00),La Liga,Matchweek 10,Sun,Home,D,2,2,Valencia,2,12,2,16.7,0.08,0.50,17.9,0,1,1,1.7,0.9,0.08,+0.3,+0.1,Match Report,2020-11-22,21:00 (12:00),La Liga,Matchweek 10,Sun,Home,D,2,2,Valencia,5,2,3,60.0,0,1.7,-0.3,0,0,0,0,8,23,34.8,17,0,82.4,50.2,10,90.0,53.6,13,0,0.0,0,1.0,Match Report,2020-11-22,21:00 (12:00),La Liga,Matchweek 10,Sun,Home,D,2,2,Valencia,185,280,66.1,3672,1764,82,97,84.5,77,106,72.6,25,61,41.0,1,0.5,0.3,7,18,1,1,21,Match Report,2020-11-22,21:00 (12:00),La Liga,Matchweek 10,Sun,Home,D,2,2,Valencia,280,233,44,15,0,2,15,12,4,1,1,0,185,3,6,Match Report,2020-11-22,21:00 (12:00),La Liga,Matchweek 10,Sun,Home,D,2,2,Valencia,17,5,3,1,4,4,0,4,1,1,1,0,1,0,Match Report,2020-11-22,21:00 (12:00),La Liga,Matchweek 10,Sun,Home,D,2,2,Valencia,9,7,2,4,3,6,14,42.9,8,8,1,7,11,20,19,0,Match Report,2020-11-22,21:00 (12:00),La Liga,Matchweek 10,Sun,Home,D,2,2,Valencia,34,368,50,138,151,85,19,367,8,5,62.5,3,37.5,170,874,463,16,7,7,11,4,183,20,Match Report,2020-11-22,21:00 (12:00),La Liga,Matchweek 10,Sun,Home,D,2,2,Valencia,1,0,0,21,15,3,15,11,7,1,0,0,43,13,11,54.2,Match Report
