For Leganés_Date,For Leganés_Time,For Leganés_Comp,For Leganés_Round,For Leganés_Day,For Leganés_Venue,For Leganés_Result,For Leganés_GF,For Leganés_GA,For Leganés_Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,For Leganés_Date,For Leganés_Time,For Leganés_Comp,For Leganés_Round,For Leganés_Day,For Leganés_Venue,For Leganés_Result,For Leganés_GF,For Leganés_GA,For Leganés_Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,For Leganés_Date,For Leganés_Time,For Leganés_Comp,For Leganés_Round,For Leganés_Day,For Leganés_Venue,For Leganés_Result,For Leganés_GF,For Leganés_GA,For Leganés_Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,For Leganés_Date,For Leganés_Time,For Leganés_Comp,For Leganés_Round,For Leganés_Day,For Leganés_Venue,For Leganés_Result,For Leganés_GF,For Leganés_GA,For Leganés_Opponent,For Leganés_Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,For Leganés_Date,For Leganés_Time,For Leganés_Comp,For Leganés_Round,For Leganés_Day,For Leganés_Venue,For Leganés_Result,For Leganés_GF,For Leganés_GA,For Leganés_Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,For Leganés_Date,For Leganés_Time,For Leganés_Comp,For Leganés_Round,For Leganés_Day,For Leganés_Venue,For Leganés_Result,For Leganés_GF,For Leganés_GA,For Leganés_Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,For Leganés_Date,For Leganés_Time,For Leganés_Comp,For Leganés_Round,For Leganés_Day,For Leganés_Venue,For Leganés_Result,For Leganés_GF,For Leganés_GA,For Leganés_Opponent,For Leganés_Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,For Leganés_Date,For Leganés_Time,For Leganés_Comp,For Leganés_Round,For Leganés_Day,For Leganés_Venue,For Leganés_Result,For Leganés_GF,For Leganés_GA,For Leganés_Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2018-08-20,22:00 (13:00),La Liga,Matchweek 1,Mon,Away,L,1,2,Athletic Club,1,11,2,18.2,0.09,0.50,15.4,1,0,0,1.0,1.0,0.09,0.0,0.0,Match Report,2018-08-20,22:00 (13:00),La Liga,Matchweek 1,Mon,Away,L,1,2,Athletic Club,5,2,3,60.0,0,2.2,+0.2,0,0,0,0,9,25,36.0,18,0,72.2,47.5,13,92.3,61.2,23,0,0.0,0,,Match Report,2018-08-20,22:00 (13:00),La Liga,Matchweek 1,Mon,Away,L,1,2,Athletic Club,228,334,68.3,4385,1918,124,150,82.7,64,100,64.0,39,75,52.0,0,0.9,0.7,8,18,5,4,21,Match Report,2018-08-20,22:00 (13:00),La Liga,Matchweek 1,Mon,Away,L,1,2,Athletic Club,334,281,52,11,0,5,14,23,2,0,2,0,228,1,4,Match Report,2018-08-20,22:00 (13:00),La Liga,Matchweek 1,Mon,Away,L,1,2,Athletic Club,20,12,3,1,1,3,0,1,0,0,0,1,0,0,Match Report,2018-08-20,22:00 (13:00),La Liga,Matchweek 1,Mon,Away,L,1,2,Athletic Club,14,10,6,7,1,5,12,41.7,7,9,3,6,9,23,29,0,Match Report,2018-08-20,22:00 (13:00),La Liga,Matchweek 1,Mon,Away,L,1,2,Athletic Club,35,423,54,143,193,92,20,423,13,10,76.9,3,23.1,216,1098,562,12,14,1,6,7,227,21,Match Report,2018-08-20,22:00 (13:00),La Liga,Matchweek 1,Mon,Away,L,1,2,Athletic Club,5,0,0,13,12,1,14,9,10,0,0,0,39,29,24,54.7,Match Report
2018-08-24,22:15 (13:15),La Liga,Matchweek 2,Fri,Home,D,2,2,Real Sociedad,2,18,4,22.2,0.11,0.50,16.5,0,0,0,1.7,1.7,0.10,+0.3,+0.3,Match Report,2018-08-24,22:15 (13:15),La Liga,Matchweek 2,Fri,Home,D,2,2,Real Sociedad,6,2,4,66.7,0,1.8,-0.2,0,0,0,0,5,14,35.7,41,2,34.1,34.6,1,0.0,31.0,2,0,0.0,2,17.8,Match Report,2018-08-24,22:15 (13:15),La Liga,Matchweek 2,Fri,Home,D,2,2,Real Sociedad,508,649,78.3,10689,3333,172,201,85.6,236,275,85.8,97,157,61.8,2,1.7,1.5,16,41,14,10,52,Match Report,2018-08-24,22:15 (13:15),La Liga,Matchweek 2,Fri,Home,D,2,2,Real Sociedad,649,599,47,12,0,6,39,26,5,0,4,0,508,3,10,Match Report,2018-08-24,22:15 (13:15),La Liga,Matchweek 2,Fri,Home,D,2,2,Real Sociedad,35,26,4,1,2,2,0,4,4,0,0,0,0,0,Match Report,2018-08-24,22:15 (13:15),La Liga,Matchweek 2,Fri,Home,D,2,2,Real Sociedad,10,7,4,4,2,1,9,11.1,8,6,0,6,9,19,4,0,Match Report,2018-08-24,22:15 (13:15),La Liga,Matchweek 2,Fri,Home,D,2,2,Real Sociedad,67,728,35,203,331,199,26,728,14,7,50.0,7,50.0,449,2123,988,18,14,3,8,9,504,52,Match Report,2018-08-24,22:15 (13:15),La Liga,Matchweek 2,Fri,Home,D,2,2,Real Sociedad,1,0,0,12,9,3,39,9,7,0,0,0,55,29,32,47.5,Match Report
2018-09-01,20:45 (11:45),La Liga,Matchweek 3,Sat,Away,L,1,4,Real Madrid,1,7,2,28.6,0.00,0.00,23.1,0,1,1,1.1,0.3,0.04,-0.1,-0.3,Match Report,2018-09-01,20:45 (11:45),La Liga,Matchweek 3,Sat,Away,L,1,4,Real Madrid,8,4,4,62.5,0,2.9,-1.1,1,1,0,0,10,22,45.5,16,3,81.3,49.8,10,90.0,59.9,20,1,5.0,0,14.0,Match Report,2018-09-01,20:45 (11:45),La Liga,Matchweek 3,Sat,Away,L,1,4,Real Madrid,202,282,71.6,4194,1946,96,111,86.5,70,90,77.8,35,76,46.1,0,0.2,0.3,6,18,3,3,25,Match Report,2018-09-01,20:45 (11:45),La Liga,Matchweek 3,Sat,Away,L,1,4,Real Madrid,282,239,42,11,0,7,11,15,1,0,1,0,202,1,1,Match Report,2018-09-01,20:45 (11:45),La Liga,Matchweek 3,Sat,Away,L,1,4,Real Madrid,13,11,1,0,0,1,0,2,1,0,0,0,1,0,Match Report,2018-09-01,20:45 (11:45),La Liga,Matchweek 3,Sat,Away,L,1,4,Real Madrid,11,7,5,4,2,5,18,27.8,13,11,3,8,11,22,24,0,Match Report,2018-09-01,20:45 (11:45),La Liga,Matchweek 3,Sat,Away,L,1,4,Real Madrid,23,379,64,168,150,66,8,378,8,2,25.0,6,75.0,208,1119,471,7,8,1,13,10,199,25,Match Report,2018-09-01,20:45 (11:45),La Liga,Matchweek 3,Sat,Away,L,1,4,Real Madrid,1,0,0,11,11,1,11,11,7,1,1,0,48,16,19,45.7,Match Report
2018-09-16,12:00 (03:00),La Liga,Matchweek 4,Sun,Home,L,0,1,Villarreal,0,15,3,20.0,0.00,0.00,20.2,0,0,1,1.4,0.6,0.04,-1.4,-0.6,Match Report,2018-09-16,12:00 (03:00),La Liga,Matchweek 4,Sun,Home,L,0,1,Villarreal,3,1,2,66.7,0,0.5,-0.5,0,0,0,0,8,16,50.0,18,2,50.0,42.5,8,87.5,62.5,7,1,14.3,1,15.8,Match Report,2018-09-16,12:00 (03:00),La Liga,Matchweek 4,Sun,Home,L,0,1,Villarreal,311,411,75.7,6379,2154,128,145,88.3,110,131,84.0,66,116,56.9,0,0.4,0.6,9,27,7,7,38,Match Report,2018-09-16,12:00 (03:00),La Liga,Matchweek 4,Sun,Home,L,0,1,Villarreal,411,361,47,10,0,7,36,21,6,3,2,1,311,3,5,Match Report,2018-09-16,12:00 (03:00),La Liga,Matchweek 4,Sun,Home,L,0,1,Villarreal,27,19,4,0,3,1,0,0,0,0,0,0,0,0,Match Report,2018-09-16,12:00 (03:00),La Liga,Matchweek 4,Sun,Home,L,0,1,Villarreal,14,12,6,7,1,4,11,36.4,7,4,1,3,10,24,10,0,Match Report,2018-09-16,12:00 (03:00),La Liga,Matchweek 4,Sun,Home,L,0,1,Villarreal,47,482,35,110,249,129,17,481,12,10,83.3,2,16.7,262,1605,952,16,10,1,8,5,311,38,Match Report,2018-09-16,12:00 (03:00),La Liga,Matchweek 4,Sun,Home,L,0,1,Villarreal,4,0,0,16,8,3,36,10,12,0,0,0,36,19,13,59.4,Match Report
2018-09-22,16:15 (07:15),La Liga,Matchweek 5,Sat,Away,L,0,1,Eibar,0,4,2,50.0,0.00,0.00,12.3,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Match Report,2018-09-22,16:15 (07:15),La Liga,Matchweek 5,Sat,Away,L,0,1,Eibar,3,1,2,66.7,0,0.9,-0.1,0,0,0,0,11,30,36.7,24,1,79.2,53.0,13,84.6,59.5,20,2,10.0,1,14.5,Match Report,2018-09-22,16:15 (07:15),La Liga,Matchweek 5,Sat,Away,L,0,1,Eibar,214,383,55.9,4366,2371,90,125,72.0,85,138,61.6,38,99,38.4,0,0.2,0.4,3,19,3,1,24,Match Report,2018-09-22,16:15 (07:15),La Liga,Matchweek 5,Sat,Away,L,0,1,Eibar,383,316,60,17,0,0,16,26,2,0,2,0,214,7,8,Match Report,2018-09-22,16:15 (07:15),La Liga,Matchweek 5,Sat,Away,L,0,1,Eibar,8,4,2,0,1,1,0,0,0,0,0,0,0,0,Match Report,2018-09-22,16:15 (07:15),La Liga,Matchweek 5,Sat,Away,L,0,1,Eibar,18,13,8,8,2,6,16,37.5,10,6,2,4,11,29,32,0,Match Report,2018-09-22,16:15 (07:15),La Liga,Matchweek 5,Sat,Away,L,0,1,Eibar,44,481,62,200,217,66,9,481,8,5,62.5,3,37.5,205,878,350,5,6,1,12,9,207,23,Match Report,2018-09-22,16:15 (07:15),La Liga,Matchweek 5,Sat,Away,L,0,1,Eibar,1,0,0,17,13,7,16,11,13,0,0,0,62,45,32,58.4,Match Report
2018-09-26,20:00 (11:00),La Liga,Matchweek 6,Wed,Home,W,2,1,Barcelona,2,10,6,60.0,0.20,0.33,17.2,0,0,0,1.1,1.1,0.11,+0.9,+0.9,Match Report,2018-09-26,20:00 (11:00),La Liga,Matchweek 6,Wed,Home,W,2,1,Barcelona,5,1,4,80.0,0,1.0,0.0,0,0,0,0,8,21,38.1,23,3,69.6,46.9,6,83.3,49.2,11,1,9.1,1,14.0,Match Report,2018-09-26,20:00 (11:00),La Liga,Matchweek 6,Wed,Home,W,2,1,Barcelona,173,255,67.8,3404,1572,85,92,92.4,46,74,62.2,35,71,49.3,1,0.7,0.7,7,11,4,3,11,Match Report,2018-09-26,20:00 (11:00),La Liga,Matchweek 6,Wed,Home,W,2,1,Barcelona,255,204,50,16,2,5,13,22,4,1,3,0,173,1,7,Match Report,2018-09-26,20:00 (11:00),La Liga,Matchweek 6,Wed,Home,W,2,1,Barcelona,16,12,1,2,0,1,0,4,4,0,0,0,0,0,Match Report,2018-09-26,20:00 (11:00),La Liga,Matchweek 6,Wed,Home,W,2,1,Barcelona,18,9,11,7,0,6,12,50.0,6,7,0,7,15,33,24,1,Match Report,2018-09-26,20:00 (11:00),La Liga,Matchweek 6,Wed,Home,W,2,1,Barcelona,23,371,52,162,124,88,14,371,17,10,58.8,7,41.2,157,943,366,5,5,2,15,6,172,11,Match Report,2018-09-26,20:00 (11:00),La Liga,Matchweek 6,Wed,Home,W,2,1,Barcelona,4,0,0,15,11,1,13,15,9,0,0,0,39,10,14,41.7,Match Report
2018-09-30,20:45 (11:45),La Liga,Matchweek 7,Sun,Away,L,0,1,Betis,0,11,5,45.5,0.00,0.00,21.3,1,0,0,0.5,0.5,0.05,-0.5,-0.5,Match Report,2018-09-30,20:45 (11:45),La Liga,Matchweek 7,Sun,Away,L,0,1,Betis,4,1,3,75.0,0,1.6,+0.6,0,0,0,0,7,21,33.3,15,2,80.0,52.8,9,100.0,69.1,23,0,0.0,0,8.5,Match Report,2018-09-30,20:45 (11:45),La Liga,Matchweek 7,Sun,Away,L,0,1,Betis,107,198,54.0,2263,1337,47,63,74.6,43,70,61.4,17,53,32.1,0,0.4,0.2,9,9,1,0,12,Match Report,2018-09-30,20:45 (11:45),La Liga,Matchweek 7,Sun,Away,L,0,1,Betis,198,161,36,10,0,4,5,14,1,0,1,0,107,1,5,Match Report,2018-09-30,20:45 (11:45),La Liga,Matchweek 7,Sun,Away,L,0,1,Betis,14,6,2,0,2,2,2,0,0,0,0,0,0,0,Match Report,2018-09-30,20:45 (11:45),La Liga,Matchweek 7,Sun,Away,L,0,1,Betis,20,13,12,8,0,5,9,55.6,4,16,6,10,14,34,28,0,Match Report,2018-09-30,20:45 (11:45),La Liga,Matchweek 7,Sun,Away,L,0,1,Betis,18,320,64,153,115,58,6,320,8,4,50.0,4,50.0,132,695,263,5,5,2,14,7,106,12,Match Report,2018-09-30,20:45 (11:45),La Liga,Matchweek 7,Sun,Away,L,0,1,Betis,4,0,0,10,7,1,5,14,13,0,0,0,48,25,16,61.0,Match Report
2018-10-06,20:45 (11:45),La Liga,Matchweek 8,Sat,Home,W,1,0,Rayo Vallecano,1,13,4,30.8,0.08,0.25,17.5,2,0,0,0.9,0.9,0.07,+0.1,+0.1,Match Report,2018-10-06,20:45 (11:45),La Liga,Matchweek 8,Sat,Home,W,1,0,Rayo Vallecano,2,0,2,100.0,1,0.5,+0.5,0,0,0,0,13,21,61.9,23,3,69.6,49.8,5,100.0,68.6,26,2,7.7,1,10.2,Match Report,2018-10-06,20:45 (11:45),La Liga,Matchweek 8,Sat,Home,W,1,0,Rayo Vallecano,200,304,65.8,4488,2286,77,99,77.8,75,109,68.8,46,84,54.8,1,0.8,0.8,11,17,6,3,24,Match Report,2018-10-06,20:45 (11:45),La Liga,Matchweek 8,Sat,Home,W,1,0,Rayo Vallecano,304,255,44,11,2,4,21,21,6,3,1,0,200,5,4,Match Report,2018-10-06,20:45 (11:45),La Liga,Matchweek 8,Sat,Home,W,1,0,Rayo Vallecano,21,13,3,1,0,3,1,2,1,1,0,0,0,0,Match Report,2018-10-06,20:45 (11:45),La Liga,Matchweek 8,Sat,Home,W,1,0,Rayo Vallecano,15,7,5,7,3,7,14,50.0,7,12,2,10,14,29,27,0,Match Report,2018-10-06,20:45 (11:45),La Liga,Matchweek 8,Sat,Home,W,1,0,Rayo Vallecano,36,409,57,131,167,118,21,409,7,2,28.6,5,71.4,211,1246,558,11,11,4,8,9,197,24,Match Report,2018-10-06,20:45 (11:45),La Liga,Matchweek 8,Sat,Home,W,1,0,Rayo Vallecano,1,0,0,12,11,5,21,14,7,0,0,0,54,18,9,66.7,Match Report
2018-10-20,16:15 (07:15),La Liga,Matchweek 9,Sat,Away,D,1,1,Valencia,1,6,4,66.7,0.00,0.00,27.2,1,1,1,1.0,0.2,0.04,0.0,-0.2,Match Report,2018-10-20,16:15 (07:15),La Liga,Matchweek 9,Sat,Away,D,1,1,Valencia,4,1,3,75.0,0,2.1,+1.1,0,0,0,0,15,35,42.9,37,2,64.9,47.1,12,91.7,63.3,32,2,6.3,0,9.3,Match Report,2018-10-20,16:15 (07:15),La Liga,Matchweek 9,Sat,Away,D,1,1,Valencia,298,405,73.6,5976,2303,114,134,85.1,135,160,84.4,45,94,47.9,0,0.1,0.1,3,23,2,0,30,Match Report,2018-10-20,16:15 (07:15),La Liga,Matchweek 9,Sat,Away,D,1,1,Valencia,405,366,38,9,0,4,9,14,1,0,1,0,298,1,8,Match Report,2018-10-20,16:15 (07:15),La Liga,Matchweek 9,Sat,Away,D,1,1,Valencia,12,5,3,1,0,2,1,2,0,1,0,0,1,0,Match Report,2018-10-20,16:15 (07:15),La Liga,Matchweek 9,Sat,Away,D,1,1,Valencia,16,12,9,7,0,5,15,33.3,10,9,5,4,13,29,48,0,Match Report,2018-10-20,16:15 (07:15),La Liga,Matchweek 9,Sat,Away,D,1,1,Valencia,41,521,96,208,239,75,6,520,13,6,46.2,7,53.8,271,1214,587,7,3,1,12,5,294,29,Match Report,2018-10-20,16:15 (07:15),La Liga,Matchweek 9,Sat,Away,D,1,1,Valencia,2,0,0,13,8,1,9,13,12,1,0,0,52,17,11,60.7,Match Report
2018-10-27,18:30 (09:30),La Liga,Matchweek 10,Sat,Away,L,0,2,Levante,0,21,6,28.6,0.00,0.00,20.2,0,0,0,1.4,1.4,0.07,-1.4,-1.4,Match Report,2018-10-27,18:30 (09:30),La Liga,Matchweek 10,Sat,Away,L,0,2,Levante,4,2,2,50.0,0,1.4,-0.6,0,0,0,0,15,21,71.4,31,5,41.9,39.9,8,100.0,57.0,7,1,14.3,0,8.3,Match Report,2018-10-27,18:30 (09:30),La Liga,Matchweek 10,Sat,Away,L,0,2,Levante,443,565,78.4,8535,3457,196,220,89.1,188,230,81.7,58,98,59.2,0,0.9,0.7,14,40,11,4,58,Match Report,2018-10-27,18:30 (09:30),La Liga,Matchweek 10,Sat,Away,L,0,2,Levante,565,508,55,12,0,4,22,30,2,0,1,0,443,2,13,Match Report,2018-10-27,18:30 (09:30),La Liga,Matchweek 10,Sat,Away,L,0,2,Levante,34,23,4,3,3,1,0,0,0,0,0,0,0,0,Match Report,2018-10-27,18:30 (09:30),La Liga,Matchweek 10,Sat,Away,L,0,2,Levante,26,16,17,7,2,11,20,55.0,9,11,2,9,7,33,19,2,Match Report,2018-10-27,18:30 (09:30),La Liga,Matchweek 10,Sat,Away,L,0,2,Levante,58,682,58,181,330,175,19,682,9,6,66.7,3,33.3,408,1958,843,14,10,3,18,12,438,58,Match Report,2018-10-27,18:30 (09:30),La Liga,Matchweek 10,Sat,Away,L,0,2,Levante,2,0,0,14,12,2,22,7,16,0,0,0,67,15,11,57.7,Match Report
