For Köln_Date,For Köln_Time,For Köln_Comp,For Köln_Round,For Köln_Day,For Köln_Venue,For Köln_Result,For Köln_GF,For Köln_GA,For Köln_Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,For Köln_Date,For Köln_Time,For Köln_Comp,For Köln_Round,For Köln_Day,For Köln_Venue,For Köln_Result,For Köln_GF,For Köln_GA,For Köln_Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,For Köln_Date,For Köln_Time,For Köln_Comp,For Köln_Round,For Köln_Day,For Köln_Venue,For Köln_Result,For Köln_GF,For Köln_GA,For Köln_Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,For Köln_Date,For Köln_Time,For Köln_Comp,For Köln_Round,For Köln_Day,For Köln_Venue,For Köln_Result,For Köln_GF,For Köln_GA,For Köln_Opponent,For Köln_Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,For Köln_Date,For Köln_Time,For Köln_Comp,For Köln_Round,For Köln_Day,For Köln_Venue,For Köln_Result,For Köln_GF,For Köln_GA,For Köln_Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,For Köln_Date,For Köln_Time,For Köln_Comp,For Köln_Round,For Köln_Day,For Köln_Venue,For Köln_Result,For Köln_GF,For Köln_GA,For Köln_Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,For Köln_Date,For Köln_Time,For Köln_Comp,For Köln_Round,For Köln_Day,For Köln_Venue,For Köln_Result,For Köln_GF,For Köln_GA,For Köln_Opponent,For Köln_Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,For Köln_Date,For Köln_Time,For Köln_Comp,For Köln_Round,For Köln_Day,For Köln_Venue,For Köln_Result,For Köln_GF,For Köln_GA,For Köln_Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2021-08-08,15:30 (06:30),DFB-Pokal,Round of 64,Sun,Away,D,1 (4),1 (2),Carl Zeiss Jena,1,44,11,25.0,0.02,0.09,,,0,0,,,,,,Match Report,2021-08-08,15:30 (06:30),DFB-Pokal,Round of 64,Sun,Away,D,1 (4),1 (2),Carl Zeiss Jena,1,1,0,0.0,0,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2021-08-08,15:30 (06:30),DFB-Pokal,Round of 64,Sun,Away,D,1 (4),1 (2),Carl Zeiss Jena,,,,,,,,,,,,,,,1,,,,,,,,Match Report,2021-08-08,15:30 (06:30),DFB-Pokal,Round of 64,Sun,Away,D,1 (4),1 (2),Carl Zeiss Jena,,,,,,,60,,,,,,,,,Match Report,2021-08-08,15:30 (06:30),DFB-Pokal,Round of 64,Sun,Away,D,1 (4),1 (2),Carl Zeiss Jena,,,,,,,,,,,,,,,Match Report,2021-08-08,15:30 (06:30),DFB-Pokal,Round of 64,Sun,Away,D,1 (4),1 (2),Carl Zeiss Jena,,19,,,,,,,,,,,3,0,,,Match Report,2021-08-08,15:30 (06:30),DFB-Pokal,Round of 64,Sun,Away,D,1 (4),1 (2),Carl Zeiss Jena,72.0,,,,,,,,,,,,,,,,,,,,,,,Match Report,2021-08-08,15:30 (06:30),DFB-Pokal,Round of 64,Sun,Away,D,1 (4),1 (2),Carl Zeiss Jena,1,0,0,13,19,1,60,3,19,,,0,,,,,Match Report
2021-08-15,17:30 (08:30),Bundesliga,Matchweek 1,Sun,Home,W,3,1,Hertha BSC,3,14,5,35.7,0.21,0.6,14.2,0.0,0,0,1.6,1.6,0.11,1.4,1.4,Match Report,2021-08-15,17:30 (08:30),Bundesliga,Matchweek 1,Sun,Home,W,3,1,Hertha BSC,5,1,4,80.0,0,1.7,0.7,0,0,0,0,5.0,8.0,62.5,26.0,1.0,23.1,25.8,8.0,25.0,35.8,11.0,1.0,9.1,0.0,5.0,Match Report,2021-08-15,17:30 (08:30),Bundesliga,Matchweek 1,Sun,Home,W,3,1,Hertha BSC,390.0,502.0,77.7,7439.0,2778.0,146.0,179.0,81.6,189.0,215.0,87.9,49.0,75.0,65.3,3,1.1,1.3,12.0,21.0,11.0,5.0,54.0,Match Report,2021-08-15,17:30 (08:30),Bundesliga,Matchweek 1,Sun,Home,W,3,1,Hertha BSC,502.0,444.0,56.0,15.0,0.0,3.0,25,27.0,4.0,1.0,2.0,0.0,390.0,2.0,9.0,Match Report,2021-08-15,17:30 (08:30),Bundesliga,Matchweek 1,Sun,Home,W,3,1,Hertha BSC,26.0,19.0,2.0,0.0,1.0,2.0,2.0,6.0,5.0,0.0,0.0,0.0,0.0,1.0,Match Report,2021-08-15,17:30 (08:30),Bundesliga,Matchweek 1,Sun,Home,W,3,1,Hertha BSC,19.0,10,8.0,9.0,2.0,8.0,16.0,50.0,8.0,8.0,2.0,6.0,17,36,17.0,0.0,Match Report,2021-08-15,17:30 (08:30),Bundesliga,Matchweek 1,Sun,Home,W,3,1,Hertha BSC,59.0,621.0,54.0,162.0,292.0,176.0,27.0,621.0,13.0,7.0,53.8,6.0,46.2,402.0,2085.0,983.0,14.0,13.0,4.0,16.0,5.0,390.0,54.0,Match Report,2021-08-15,17:30 (08:30),Bundesliga,Matchweek 1,Sun,Home,W,3,1,Hertha BSC,4,0,0,18,14,2,25,17,10,0.0,0.0,0,45.0,13.0,15.0,46.4,Match Report
2021-08-22,17:30 (08:30),Bundesliga,Matchweek 2,Sun,Away,L,2,3,Bayern Munich,2,10,3,30.0,0.2,0.67,18.7,1.0,0,0,1.1,1.1,0.11,0.9,0.9,Match Report,2021-08-22,17:30 (08:30),Bundesliga,Matchweek 2,Sun,Away,L,2,3,Bayern Munich,6,3,3,50.0,0,2.9,-0.1,0,0,0,0,3.0,9.0,33.3,29.0,3.0,27.6,30.7,9.0,11.1,23.6,10.0,1.0,10.0,4.0,16.1,Match Report,2021-08-22,17:30 (08:30),Bundesliga,Matchweek 2,Sun,Away,L,2,3,Bayern Munich,326.0,441.0,73.9,6463.0,2897.0,117.0,149.0,78.5,153.0,183.0,83.6,53.0,95.0,55.8,2,1.0,0.7,8.0,20.0,6.0,3.0,32.0,Match Report,2021-08-22,17:30 (08:30),Bundesliga,Matchweek 2,Sun,Away,L,2,3,Bayern Munich,441.0,391.0,49.0,13.0,3.0,6.0,22,19.0,4.0,4.0,0.0,0.0,326.0,1.0,10.0,Match Report,2021-08-22,17:30 (08:30),Bundesliga,Matchweek 2,Sun,Away,L,2,3,Bayern Munich,17.0,10.0,3.0,0.0,2.0,2.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,Match Report,2021-08-22,17:30 (08:30),Bundesliga,Matchweek 2,Sun,Away,L,2,3,Bayern Munich,25.0,14,11.0,10.0,4.0,10.0,32.0,31.3,22.0,12.0,5.0,7.0,17,42,17.0,0.0,Match Report,2021-08-22,17:30 (08:30),Bundesliga,Matchweek 2,Sun,Away,L,2,3,Bayern Munich,43.0,572.0,77.0,241.0,211.0,124.0,16.0,572.0,22.0,9.0,40.9,13.0,59.1,307.0,1670.0,753.0,17.0,11.0,3.0,20.0,6.0,326.0,32.0,Match Report,2021-08-22,17:30 (08:30),Bundesliga,Matchweek 2,Sun,Away,L,2,3,Bayern Munich,1,0,0,10,13,1,22,17,14,0.0,0.0,0,79.0,17.0,16.0,51.5,Match Report
2021-08-28,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Home,W,2,1,Bochum,2,22,5,22.7,0.09,0.4,16.2,0.0,0,0,3.2,3.2,0.14,-1.2,-1.2,Match Report,2021-08-28,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Home,W,2,1,Bochum,1,1,0,0.0,0,0.3,-0.7,0,0,0,0,1.0,5.0,20.0,16.0,2.0,31.3,31.5,4.0,0.0,13.5,10.0,0.0,0.0,2.0,20.4,Match Report,2021-08-28,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Home,W,2,1,Bochum,444.0,550.0,80.7,8166.0,2807.0,175.0,192.0,91.1,199.0,234.0,85.0,51.0,82.0,62.2,2,2.9,2.9,18.0,43.0,16.0,8.0,63.0,Match Report,2021-08-28,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Home,W,2,1,Bochum,550.0,478.0,69.0,22.0,0.0,2.0,39,36.0,5.0,2.0,2.0,0.0,444.0,3.0,16.0,Match Report,2021-08-28,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Home,W,2,1,Bochum,40.0,30.0,6.0,2.0,1.0,1.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,Match Report,2021-08-28,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Home,W,2,1,Bochum,15.0,12,5.0,8.0,2.0,10.0,14.0,71.4,4.0,12.0,5.0,7.0,11,26,15.0,0.0,Match Report,2021-08-28,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Home,W,2,1,Bochum,70.0,661.0,39.0,127.0,345.0,192.0,36.0,661.0,18.0,9.0,50.0,9.0,50.0,342.0,2078.0,1285.0,18.0,12.0,6.0,10.0,4.0,441.0,63.0,Match Report,2021-08-28,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Home,W,2,1,Bochum,2,0,0,11,21,3,39,11,12,0.0,0.0,0,56.0,20.0,19.0,51.3,Match Report
2021-09-11,15:30 (06:30),Bundesliga,Matchweek 4,Sat,Away,D,1,1,Freiburg,1,15,4,26.7,0.07,0.25,16.6,0.0,0,0,1.1,1.1,0.07,-0.1,-0.1,Match Report,2021-09-11,15:30 (06:30),Bundesliga,Matchweek 4,Sat,Away,D,1,1,Freiburg,3,1,3,66.7,0,0.5,0.5,0,0,0,0,10.0,21.0,47.6,36.0,1.0,50.0,42.0,8.0,37.5,38.0,15.0,0.0,0.0,0.0,8.0,Match Report,2021-09-11,15:30 (06:30),Bundesliga,Matchweek 4,Sat,Away,D,1,1,Freiburg,307.0,410.0,74.9,6711.0,3093.0,98.0,120.0,81.7,143.0,173.0,82.7,60.0,101.0,59.4,1,1.0,0.8,13.0,25.0,10.0,5.0,42.0,Match Report,2021-09-11,15:30 (06:30),Bundesliga,Matchweek 4,Sat,Away,D,1,1,Freiburg,410.0,353.0,56.0,19.0,0.0,6.0,24,25.0,2.0,0.0,2.0,0.0,307.0,1.0,6.0,Match Report,2021-09-11,15:30 (06:30),Bundesliga,Matchweek 4,Sat,Away,D,1,1,Freiburg,25.0,16.0,5.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Match Report,2021-09-11,15:30 (06:30),Bundesliga,Matchweek 4,Sat,Away,D,1,1,Freiburg,10.0,6,4.0,5.0,1.0,4.0,12.0,33.3,8.0,9.0,0.0,9.0,11,21,22.0,0.0,Match Report,2021-09-11,15:30 (06:30),Bundesliga,Matchweek 4,Sat,Away,D,1,1,Freiburg,46.0,526.0,69.0,180.0,211.0,141.0,27.0,526.0,11.0,6.0,54.5,5.0,45.5,321.0,1625.0,822.0,21.0,19.0,2.0,21.0,10.0,307.0,42.0,Match Report,2021-09-11,15:30 (06:30),Bundesliga,Matchweek 4,Sat,Away,D,1,1,Freiburg,3,1,1,12,13,1,24,11,6,0.0,0.0,1,55.0,26.0,17.0,60.5,Match Report
2021-09-18,18:30 (09:30),Bundesliga,Matchweek 5,Sat,Home,D,1,1,RB Leipzig,1,14,5,35.7,0.07,0.2,18.4,1.0,0,0,1.7,1.7,0.13,-0.7,-0.7,Match Report,2021-09-18,18:30 (09:30),Bundesliga,Matchweek 5,Sat,Home,D,1,1,RB Leipzig,9,1,8,88.9,0,2.4,1.4,0,0,0,0,8.0,12.0,66.7,40.0,7.0,30.0,32.8,5.0,0.0,24.0,18.0,1.0,5.6,2.0,16.3,Match Report,2021-09-18,18:30 (09:30),Bundesliga,Matchweek 5,Sat,Home,D,1,1,RB Leipzig,295.0,415.0,71.1,5828.0,2572.0,106.0,133.0,79.7,127.0,162.0,78.4,50.0,86.0,58.1,0,0.5,0.7,9.0,21.0,9.0,0.0,38.0,Match Report,2021-09-18,18:30 (09:30),Bundesliga,Matchweek 5,Sat,Home,D,1,1,RB Leipzig,415.0,366.0,46.0,8.0,1.0,5.0,17,27.0,4.0,2.0,1.0,0.0,295.0,3.0,10.0,Match Report,2021-09-18,18:30 (09:30),Bundesliga,Matchweek 5,Sat,Home,D,1,1,RB Leipzig,21.0,16.0,2.0,0.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Match Report,2021-09-18,18:30 (09:30),Bundesliga,Matchweek 5,Sat,Home,D,1,1,RB Leipzig,22.0,12,8.0,8.0,6.0,5.0,18.0,27.8,13.0,19.0,3.0,16.0,14,36,22.0,0.0,Match Report,2021-09-18,18:30 (09:30),Bundesliga,Matchweek 5,Sat,Home,D,1,1,RB Leipzig,47.0,546.0,85.0,227.0,194.0,129.0,21.0,546.0,12.0,4.0,33.3,8.0,66.7,315.0,1292.0,589.0,12.0,8.0,2.0,17.0,9.0,290.0,38.0,Match Report,2021-09-18,18:30 (09:30),Bundesliga,Matchweek 5,Sat,Home,D,1,1,RB Leipzig,3,0,0,12,6,3,17,14,12,0.0,0.0,0,64.0,18.0,15.0,54.5,Match Report
2021-09-25,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Away,D,1,1,Eint Frankfurt,1,14,2,14.3,0.07,0.5,17.5,0.0,0,0,0.9,0.9,0.07,0.1,0.1,Match Report,2021-09-25,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Away,D,1,1,Eint Frankfurt,3,1,2,66.7,0,0.7,-0.3,0,0,0,0,4.0,9.0,44.4,29.0,2.0,20.7,31.0,9.0,33.3,28.7,23.0,0.0,0.0,1.0,13.0,Match Report,2021-09-25,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Away,D,1,1,Eint Frankfurt,330.0,445.0,74.2,6611.0,2881.0,130.0,153.0,85.0,148.0,194.0,76.3,50.0,85.0,58.8,1,0.9,2.2,12.0,30.0,13.0,6.0,44.0,Match Report,2021-09-25,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Away,D,1,1,Eint Frankfurt,445.0,394.0,50.0,14.0,0.0,6.0,24,19.0,6.0,3.0,3.0,0.0,330.0,1.0,8.0,Match Report,2021-09-25,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Away,D,1,1,Eint Frankfurt,21.0,18.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Match Report,2021-09-25,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Away,D,1,1,Eint Frankfurt,23.0,11,13.0,8.0,2.0,14.0,27.0,51.9,13.0,17.0,5.0,12.0,13,36,41.0,0.0,Match Report,2021-09-25,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Away,D,1,1,Eint Frankfurt,54.0,615.0,101.0,246.0,242.0,134.0,22.0,615.0,18.0,9.0,50.0,9.0,50.0,327.0,1534.0,705.0,17.0,7.0,4.0,30.0,8.0,325.0,44.0,Match Report,2021-09-25,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Away,D,1,1,Eint Frankfurt,3,0,0,19,11,1,24,13,11,0.0,0.0,0,75.0,36.0,17.0,67.9,Match Report
2021-10-01,20:30 (11:30),Bundesliga,Matchweek 7,Fri,Home,W,3,1,Greuther Fürth,3,18,8,44.4,0.17,0.38,15.5,0.0,0,0,2.9,2.9,0.16,0.1,0.1,Match Report,2021-10-01,20:30 (11:30),Bundesliga,Matchweek 7,Fri,Home,W,3,1,Greuther Fürth,3,1,2,66.7,0,0.8,-0.2,0,0,0,0,4.0,11.0,36.4,37.0,4.0,27.0,31.9,6.0,16.7,31.5,9.0,1.0,11.1,3.0,28.5,Match Report,2021-10-01,20:30 (11:30),Bundesliga,Matchweek 7,Fri,Home,W,3,1,Greuther Fürth,415.0,533.0,77.9,9016.0,3491.0,112.0,139.0,80.6,227.0,261.0,87.0,73.0,108.0,67.6,3,2.5,2.8,15.0,49.0,12.0,5.0,69.0,Match Report,2021-10-01,20:30 (11:30),Bundesliga,Matchweek 7,Fri,Home,W,3,1,Greuther Fürth,533.0,467.0,65.0,20.0,5.0,8.0,29,29.0,8.0,6.0,1.0,0.0,415.0,1.0,9.0,Match Report,2021-10-01,20:30 (11:30),Bundesliga,Matchweek 7,Fri,Home,W,3,1,Greuther Fürth,30.0,26.0,2.0,0.0,2.0,0.0,0.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,Match Report,2021-10-01,20:30 (11:30),Bundesliga,Matchweek 7,Fri,Home,W,3,1,Greuther Fürth,19.0,12,8.0,10.0,1.0,10.0,21.0,47.6,11.0,13.0,1.0,12.0,9,28,13.0,0.0,Match Report,2021-10-01,20:30 (11:30),Bundesliga,Matchweek 7,Fri,Home,W,3,1,Greuther Fürth,67.0,662.0,60.0,175.0,326.0,167.0,29.0,662.0,16.0,8.0,50.0,8.0,50.0,351.0,1669.0,890.0,24.0,9.0,6.0,26.0,5.0,413.0,69.0,Match Report,2021-10-01,20:30 (11:30),Bundesliga,Matchweek 7,Fri,Home,W,3,1,Greuther Fürth,1,0,0,16,17,1,29,9,12,0.0,0.0,0,53.0,18.0,25.0,41.9,Match Report
2021-10-15,20:30 (11:30),Bundesliga,Matchweek 8,Fri,Away,L,0,5,Hoffenheim,0,10,0,0.0,0.0,,17.6,0.0,0,0,0.7,0.7,0.07,-0.7,-0.7,Match Report,2021-10-15,20:30 (11:30),Bundesliga,Matchweek 8,Fri,Away,L,0,5,Hoffenheim,8,5,3,37.5,0,4.5,-0.5,0,0,0,0,4.0,14.0,28.6,30.0,3.0,40.0,35.7,5.0,40.0,30.4,11.0,0.0,0.0,0.0,10.3,Match Report,2021-10-15,20:30 (11:30),Bundesliga,Matchweek 8,Fri,Away,L,0,5,Hoffenheim,339.0,453.0,74.8,6763.0,2166.0,107.0,128.0,83.6,174.0,206.0,84.5,52.0,84.0,61.9,0,0.6,0.9,7.0,22.0,6.0,3.0,36.0,Match Report,2021-10-15,20:30 (11:30),Bundesliga,Matchweek 8,Fri,Away,L,0,5,Hoffenheim,453.0,396.0,54.0,15.0,2.0,6.0,16,25.0,3.0,1.0,1.0,0.0,339.0,3.0,9.0,Match Report,2021-10-15,20:30 (11:30),Bundesliga,Matchweek 8,Fri,Away,L,0,5,Hoffenheim,18.0,15.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2021-10-15,20:30 (11:30),Bundesliga,Matchweek 8,Fri,Away,L,0,5,Hoffenheim,12.0,7,8.0,2.0,2.0,10.0,15.0,66.7,5.0,10.0,3.0,7.0,16,28,13.0,1.0,Match Report,2021-10-15,20:30 (11:30),Bundesliga,Matchweek 8,Fri,Away,L,0,5,Hoffenheim,49.0,555.0,58.0,202.0,251.0,102.0,10.0,555.0,8.0,1.0,12.5,7.0,87.5,266.0,1251.0,655.0,13.0,6.0,0.0,17.0,9.0,332.0,36.0,Match Report,2021-10-15,20:30 (11:30),Bundesliga,Matchweek 8,Fri,Away,L,0,5,Hoffenheim,1,0,0,8,12,3,16,16,7,0.0,0.0,0,52.0,21.0,13.0,61.8,Match Report
2021-10-24,15:30 (06:30),Bundesliga,Matchweek 9,Sun,Home,D,2,2,Leverkusen,2,19,5,26.3,0.11,0.4,16.3,0.0,0,0,1.8,1.8,0.09,0.2,0.2,Match Report,2021-10-24,15:30 (06:30),Bundesliga,Matchweek 9,Sun,Home,D,2,2,Leverkusen,6,2,4,66.7,0,2.4,0.4,0,0,0,0,5.0,9.0,55.6,34.0,8.0,20.6,27.6,6.0,33.3,32.0,8.0,0.0,0.0,1.0,16.0,Match Report,2021-10-24,15:30 (06:30),Bundesliga,Matchweek 9,Sun,Home,D,2,2,Leverkusen,386.0,530.0,72.8,7242.0,2738.0,137.0,162.0,84.6,189.0,244.0,77.5,49.0,89.0,55.1,2,1.6,1.6,16.0,29.0,7.0,5.0,40.0,Match Report,2021-10-24,15:30 (06:30),Bundesliga,Matchweek 9,Sun,Home,D,2,2,Leverkusen,530.0,463.0,65.0,19.0,0.0,1.0,28,31.0,6.0,3.0,3.0,0.0,386.0,2.0,10.0,Match Report,2021-10-24,15:30 (06:30),Bundesliga,Matchweek 9,Sun,Home,D,2,2,Leverkusen,32.0,24.0,6.0,0.0,1.0,1.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,Match Report,2021-10-24,15:30 (06:30),Bundesliga,Matchweek 9,Sun,Home,D,2,2,Leverkusen,19.0,10,3.0,10.0,6.0,13.0,32.0,40.6,19.0,7.0,1.0,6.0,11,30,15.0,0.0,Match Report,2021-10-24,15:30 (06:30),Bundesliga,Matchweek 9,Sun,Home,D,2,2,Leverkusen,62.0,646.0,70.0,184.0,288.0,180.0,25.0,646.0,15.0,4.0,26.7,11.0,73.3,378.0,2128.0,1147.0,20.0,20.0,3.0,16.0,6.0,381.0,39.0,Match Report,2021-10-24,15:30 (06:30),Bundesliga,Matchweek 9,Sun,Home,D,2,2,Leverkusen,1,0,0,10,13,2,28,11,10,0.0,0.0,0,65.0,17.0,12.0,58.6,Match Report
