For Schalke 04_Date,For Schalke 04_Time,For Schalke 04_Comp,For Schalke 04_Round,For Schalke 04_Day,For Schalke 04_Venue,For Schalke 04_Result,For Schalke 04_GF,For Schalke 04_GA,For Schalke 04_Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,For Schalke 04_Date,For Schalke 04_Time,For Schalke 04_Comp,For Schalke 04_Round,For Schalke 04_Day,For Schalke 04_Venue,For Schalke 04_Result,For Schalke 04_GF,For Schalke 04_GA,For Schalke 04_Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,For Schalke 04_Date,For Schalke 04_Time,For Schalke 04_Comp,For Schalke 04_Round,For Schalke 04_Day,For Schalke 04_Venue,For Schalke 04_Result,For Schalke 04_GF,For Schalke 04_GA,For Schalke 04_Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,For Schalke 04_Date,For Schalke 04_Time,For Schalke 04_Comp,For Schalke 04_Round,For Schalke 04_Day,For Schalke 04_Venue,For Schalke 04_Result,For Schalke 04_GF,For Schalke 04_GA,For Schalke 04_Opponent,For Schalke 04_Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,For Schalke 04_Date,For Schalke 04_Time,For Schalke 04_Comp,For Schalke 04_Round,For Schalke 04_Day,For Schalke 04_Venue,For Schalke 04_Result,For Schalke 04_GF,For Schalke 04_GA,For Schalke 04_Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,For Schalke 04_Date,For Schalke 04_Time,For Schalke 04_Comp,For Schalke 04_Round,For Schalke 04_Day,For Schalke 04_Venue,For Schalke 04_Result,For Schalke 04_GF,For Schalke 04_GA,For Schalke 04_Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,For Schalke 04_Date,For Schalke 04_Time,For Schalke 04_Comp,For Schalke 04_Round,For Schalke 04_Day,For Schalke 04_Venue,For Schalke 04_Result,For Schalke 04_GF,For Schalke 04_GA,For Schalke 04_Opponent,For Schalke 04_Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,For Schalke 04_Date,For Schalke 04_Time,For Schalke 04_Comp,For Schalke 04_Round,For Schalke 04_Day,For Schalke 04_Venue,For Schalke 04_Result,For Schalke 04_GF,For Schalke 04_GA,For Schalke 04_Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2018-08-17,20:45 (11:45),DFB-Pokal,First round,Fri,Away,W,2,0,Schweinfurt 05,1,21,5,23.8,0.00,0.00,,,1,1,,,,,,Match Report,2018-08-17,20:45 (11:45),DFB-Pokal,First round,Fri,Away,W,2,0,Schweinfurt 05,0,0,0,,1,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report,2018-08-17,20:45 (11:45),DFB-Pokal,First round,Fri,Away,W,2,0,Schweinfurt 05,,,,,,,,,,,,,,,0,,,,,,,,Match Report,2018-08-17,20:45 (11:45),DFB-Pokal,First round,Fri,Away,W,2,0,Schweinfurt 05,,,,,,,22,,,,,,,,,Match Report,2018-08-17,20:45 (11:45),DFB-Pokal,First round,Fri,Away,W,2,0,Schweinfurt 05,,,,,,,,,,,,,,,Match Report,2018-08-17,20:45 (11:45),DFB-Pokal,First round,Fri,Away,W,2,0,Schweinfurt 05,,9,,,,,,,,,,,13,0,,,Match Report,2018-08-17,20:45 (11:45),DFB-Pokal,First round,Fri,Away,W,2,0,Schweinfurt 05,57,,,,,,,,,,,,,,,,,,,,,,,Match Report,2018-08-17,20:45 (11:45),DFB-Pokal,First round,Fri,Away,W,2,0,Schweinfurt 05,1,0,0,25,17,4,22,13,9,,,0,,,,,Match Report
2018-08-25,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Away,L,1,2,Wolfsburg,1,8,3,37.5,0.00,0.00,17.0,2,1,1,1.4,1.0,0.13,-0.4,-1.0,Match Report,2018-08-25,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Away,L,1,2,Wolfsburg,7,2,5,71.4,0,1.2,-0.8,0,0,0,0,4,18,22.2,24,6,41.7,39.3,9,88.9,54.9,13,1,7.7,1,16.5,Match Report,2018-08-25,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Away,L,1,2,Wolfsburg,223,340,65.6,4381,1842,90,119,75.6,94,126,74.6,37,71,52.1,0,0.8,1.0,5,16,8,3,27,Match Report,2018-08-25,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Away,L,1,2,Wolfsburg,340,285,53,13,1,1,9,26,2,2,0,0,223,2,11,Match Report,2018-08-25,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Away,L,1,2,Wolfsburg,15,9,2,0,0,4,0,2,0,1,0,0,1,0,Match Report,2018-08-25,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Away,L,1,2,Wolfsburg,13,5,7,5,1,5,14,35.7,9,10,0,10,14,27,20,0,Match Report,2018-08-25,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Away,L,1,2,Wolfsburg,42,449,53,135,222,98,21,448,16,9,56.3,7,43.8,216,1344,792,16,10,2,20,11,220,26,Match Report,2018-08-25,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Away,L,1,2,Wolfsburg,3,1,0,12,15,2,9,14,5,1,0,0,37,19,10,65.5,Match Report
2018-09-02,18:00 (09:00),Bundesliga,Matchweek 2,Sun,Home,L,0,2,Hertha BSC,0,15,4,26.7,0.00,0.00,18.6,0,0,1,1.6,0.8,0.05,-1.6,-0.8,Match Report,2018-09-02,18:00 (09:00),Bundesliga,Matchweek 2,Sun,Home,L,0,2,Hertha BSC,3,2,1,33.3,0,0.6,-1.4,0,0,0,0,3,9,33.3,25,3,32.0,31.4,6,16.7,30.3,1,0,0.0,3,22.5,Match Report,2018-09-02,18:00 (09:00),Bundesliga,Matchweek 2,Sun,Home,L,0,2,Hertha BSC,374,501,74.7,7760,2646,126,145,86.9,193,234,82.5,55,102,53.9,0,0.6,1.5,8,42,11,2,53,Match Report,2018-09-02,18:00 (09:00),Bundesliga,Matchweek 2,Sun,Home,L,0,2,Hertha BSC,501,443,57,18,2,5,26,21,9,1,8,0,374,1,10,Match Report,2018-09-02,18:00 (09:00),Bundesliga,Matchweek 2,Sun,Home,L,0,2,Hertha BSC,23,12,2,1,4,3,1,0,0,0,0,0,0,0,Match Report,2018-09-02,18:00 (09:00),Bundesliga,Matchweek 2,Sun,Home,L,0,2,Hertha BSC,11,8,5,4,2,4,8,50.0,4,6,0,6,9,20,5,1,Match Report,2018-09-02,18:00 (09:00),Bundesliga,Matchweek 2,Sun,Home,L,0,2,Hertha BSC,57,578,24,120,319,144,27,577,14,5,35.7,9,64.3,333,2379,1482,30,13,8,8,11,370,51,Match Report,2018-09-02,18:00 (09:00),Bundesliga,Matchweek 2,Sun,Home,L,0,2,Hertha BSC,1,1,0,18,14,1,26,9,8,0,0,0,56,28,20,58.3,Match Report
2018-09-15,18:30 (09:30),Bundesliga,Matchweek 3,Sat,Away,L,1,2,Gladbach,1,16,6,37.5,0.06,0.17,19.2,0,0,0,1.1,1.1,0.07,-0.1,-0.1,Match Report,2018-09-15,18:30 (09:30),Bundesliga,Matchweek 3,Sat,Away,L,1,2,Gladbach,4,2,2,50.0,0,0.7,-1.3,0,0,0,0,8,13,61.5,20,4,40.0,35.0,8,62.5,44.9,10,0,0.0,0,,Match Report,2018-09-15,18:30 (09:30),Bundesliga,Matchweek 3,Sat,Away,L,1,2,Gladbach,351,482,72.8,6763,2658,148,177,83.6,153,190,80.5,46,89,51.7,1,0.8,1.0,13,32,12,4,36,Match Report,2018-09-15,18:30 (09:30),Bundesliga,Matchweek 3,Sat,Away,L,1,2,Gladbach,482,430,48,6,0,2,21,25,6,3,3,0,351,4,11,Match Report,2018-09-15,18:30 (09:30),Bundesliga,Matchweek 3,Sat,Away,L,1,2,Gladbach,26,19,3,1,1,1,1,1,1,0,0,0,0,0,Match Report,2018-09-15,18:30 (09:30),Bundesliga,Matchweek 3,Sat,Away,L,1,2,Gladbach,19,13,12,5,2,10,16,62.5,6,20,5,15,12,31,19,0,Match Report,2018-09-15,18:30 (09:30),Bundesliga,Matchweek 3,Sat,Away,L,1,2,Gladbach,50,589,45,162,300,132,22,589,9,6,66.7,3,33.3,260,1628,930,17,11,2,9,16,349,35,Match Report,2018-09-15,18:30 (09:30),Bundesliga,Matchweek 3,Sat,Away,L,1,2,Gladbach,4,0,0,13,5,4,21,12,13,0,0,0,57,31,15,67.4,Match Report
2018-09-18,21:00 (12:00),Champions Lg,Group stage,Tue,Home,D,1,1,pt Porto,1,11,2,18.2,0.09,0.50,17.7,0,0,0,0.9,0.9,0.08,+0.1,+0.1,Match Report,2018-09-18,21:00 (12:00),Champions Lg,Group stage,Tue,Home,D,1,1,pt Porto,5,1,3,100.0,0,2.4,+1.4,2,1,1,0,2,10,20.0,19,3,47.4,39.4,4,25.0,35.3,7,0,0.0,0,7.0,Match Report,2018-09-18,21:00 (12:00),Champions Lg,Group stage,Tue,Home,D,1,1,pt Porto,206,328,62.8,4255,1615,69,92,75.0,99,142,69.7,36,79,45.6,1,0.9,0.4,10,13,1,0,16,Match Report,2018-09-18,21:00 (12:00),Champions Lg,Group stage,Tue,Home,D,1,1,pt Porto,328,271,53,15,0,1,19,25,7,1,6,0,206,4,4,Match Report,2018-09-18,21:00 (12:00),Champions Lg,Group stage,Tue,Home,D,1,1,pt Porto,20,10,5,1,0,3,1,2,2,0,0,0,0,0,Match Report,2018-09-18,21:00 (12:00),Champions Lg,Group stage,Tue,Home,D,1,1,pt Porto,28,22,13,12,3,10,23,43.5,13,13,4,9,22,50,23,0,Match Report,2018-09-18,21:00 (12:00),Champions Lg,Group stage,Tue,Home,D,1,1,pt Porto,39,463,44,174,205,90,14,463,10,4,40.0,6,60.0,191,1093,562,10,9,2,13,16,204,16,Match Report,2018-09-18,21:00 (12:00),Champions Lg,Group stage,Tue,Home,D,1,1,pt Porto,2,0,0,13,16,4,19,22,22,0,2,0,58,24,29,45.3,Match Report
2018-09-22,18:30 (09:30),Bundesliga,Matchweek 4,Sat,Home,L,0,2,Bayern Munich,0,10,2,20.0,0.00,0.00,19.7,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Match Report,2018-09-22,18:30 (09:30),Bundesliga,Matchweek 4,Sat,Home,L,0,2,Bayern Munich,7,2,5,85.7,0,2.5,+0.5,1,1,0,0,11,21,52.4,21,2,76.2,44.0,9,55.6,45.1,14,0,0.0,1,21.0,Match Report,2018-09-22,18:30 (09:30),Bundesliga,Matchweek 4,Sat,Home,L,0,2,Bayern Munich,231,331,69.8,4756,1991,82,100,82.0,104,131,79.4,41,85,48.2,0,0.4,0.4,7,18,2,1,23,Match Report,2018-09-22,18:30 (09:30),Bundesliga,Matchweek 4,Sat,Home,L,0,2,Bayern Munich,331,286,44,12,0,2,9,20,0,0,0,0,231,1,8,Match Report,2018-09-22,18:30 (09:30),Bundesliga,Matchweek 4,Sat,Home,L,0,2,Bayern Munich,15,11,2,0,0,2,0,0,0,0,0,0,0,0,Match Report,2018-09-22,18:30 (09:30),Bundesliga,Matchweek 4,Sat,Home,L,0,2,Bayern Munich,17,9,5,10,2,8,21,38.1,13,14,0,14,16,33,20,0,Match Report,2018-09-22,18:30 (09:30),Bundesliga,Matchweek 4,Sat,Home,L,0,2,Bayern Munich,31,435,53,120,235,88,12,435,12,5,41.7,7,58.3,203,1130,546,16,13,4,12,8,229,23,Match Report,2018-09-22,18:30 (09:30),Bundesliga,Matchweek 4,Sat,Home,L,0,2,Bayern Munich,2,0,0,12,11,1,9,16,9,0,1,0,52,10,16,38.5,Match Report
2018-09-25,20:30 (11:30),Bundesliga,Matchweek 5,Tue,Away,L,0,1,Freiburg,0,15,3,20.0,0.00,0.00,21.8,1,0,0,1.1,1.1,0.07,-1.1,-1.1,Match Report,2018-09-25,20:30 (11:30),Bundesliga,Matchweek 5,Tue,Away,L,0,1,Freiburg,4,1,3,75.0,0,1.1,+0.1,0,0,0,0,5,11,45.5,20,2,35.0,32.9,6,66.7,50.0,9,0,0.0,0,11.5,Match Report,2018-09-25,20:30 (11:30),Bundesliga,Matchweek 5,Tue,Away,L,0,1,Freiburg,356,476,74.8,6841,2333,144,170,84.7,164,198,82.8,44,87,50.6,0,0.7,0.8,11,37,9,4,48,Match Report,2018-09-25,20:30 (11:30),Bundesliga,Matchweek 5,Tue,Away,L,0,1,Freiburg,476,424,48,12,0,4,27,25,3,0,3,0,356,4,7,Match Report,2018-09-25,20:30 (11:30),Bundesliga,Matchweek 5,Tue,Away,L,0,1,Freiburg,26,21,2,0,1,2,0,0,0,0,0,0,0,0,Match Report,2018-09-25,20:30 (11:30),Bundesliga,Matchweek 5,Tue,Away,L,0,1,Freiburg,18,16,9,8,1,8,17,47.1,9,15,5,10,12,30,17,0,Match Report,2018-09-25,20:30 (11:30),Bundesliga,Matchweek 5,Tue,Away,L,0,1,Freiburg,57,580,42,186,249,157,19,580,22,16,72.7,6,27.3,304,2303,1286,31,22,4,14,8,355,48,Match Report,2018-09-25,20:30 (11:30),Bundesliga,Matchweek 5,Tue,Away,L,0,1,Freiburg,4,0,0,13,12,4,27,12,16,0,0,0,49,22,15,59.5,Match Report
2018-09-29,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Home,W,1,0,Mainz 05,1,15,2,13.3,0.07,0.50,22.6,1,0,0,1.5,1.5,0.10,-0.5,-0.5,Match Report,2018-09-29,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Home,W,1,0,Mainz 05,5,0,5,100.0,1,1.1,+1.1,0,0,0,0,7,18,38.9,27,8,48.1,40.1,8,62.5,45.8,20,2,10.0,0,7.8,Match Report,2018-09-29,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Home,W,1,0,Mainz 05,261,367,71.1,5288,2208,96,124,77.4,116,136,85.3,43,88,48.9,1,0.9,0.5,8,21,4,1,32,Match Report,2018-09-29,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Home,W,1,0,Mainz 05,367,314,50,21,0,3,15,16,4,2,2,0,261,3,6,Match Report,2018-09-29,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Home,W,1,0,Mainz 05,25,16,0,2,3,2,2,2,2,0,0,0,0,0,Match Report,2018-09-29,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Home,W,1,0,Mainz 05,23,11,11,10,2,6,11,54.5,5,9,4,5,12,35,24,0,Match Report,2018-09-29,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Home,W,1,0,Mainz 05,43,482,59,178,206,108,17,482,18,10,55.6,8,44.4,187,1590,1002,22,15,7,10,9,257,32,Match Report,2018-09-29,15:30 (06:30),Bundesliga,Matchweek 6,Sat,Home,W,1,0,Mainz 05,2,0,0,22,20,3,15,12,11,0,0,0,52,22,28,44.0,Match Report
2018-10-03,19:55 (09:55),Champions Lg,Group stage,Wed,Away,W,1,0,ru Loko Moscow,1,14,5,35.7,0.07,0.20,19.7,0,0,0,1.0,1.0,0.07,0.0,0.0,Match Report,2018-10-03,19:55 (09:55),Champions Lg,Group stage,Wed,Away,W,1,0,ru Loko Moscow,1,0,1,100.0,1,0.3,+0.3,0,0,0,0,6,9,66.7,18,6,22.2,29.2,9,55.6,40.0,8,0,0.0,0,4.0,Match Report,2018-10-03,19:55 (09:55),Champions Lg,Group stage,Wed,Away,W,1,0,ru Loko Moscow,370,506,73.1,7368,2841,140,176,79.5,174,213,81.7,53,93,57.0,1,0.7,0.6,12,35,3,0,52,Match Report,2018-10-03,19:55 (09:55),Champions Lg,Group stage,Wed,Away,W,1,0,ru Loko Moscow,506,447,57,15,2,7,27,28,4,0,4,0,370,2,12,Match Report,2018-10-03,19:55 (09:55),Champions Lg,Group stage,Wed,Away,W,1,0,ru Loko Moscow,22,15,2,3,1,0,1,2,1,1,0,0,0,0,Match Report,2018-10-03,19:55 (09:55),Champions Lg,Group stage,Wed,Away,W,1,0,ru Loko Moscow,19,13,9,7,3,4,16,25.0,12,24,7,17,20,39,24,0,Match Report,2018-10-03,19:55 (09:55),Champions Lg,Group stage,Wed,Away,W,1,0,ru Loko Moscow,52,633,53,205,302,133,21,633,15,9,60.0,6,40.0,286,1961,1112,24,22,8,8,17,364,51,Match Report,2018-10-03,19:55 (09:55),Champions Lg,Group stage,Wed,Away,W,1,0,ru Loko Moscow,2,0,0,11,14,2,27,20,13,0,0,0,59,25,20,55.6,Match Report
2018-10-06,15:30 (06:30),Bundesliga,Matchweek 7,Sat,Away,W,2,0,Düsseldorf,2,15,5,33.3,0.13,0.40,20.6,1,0,0,1.9,1.9,0.13,+0.1,+0.1,Match Report,2018-10-06,15:30 (06:30),Bundesliga,Matchweek 7,Sat,Away,W,2,0,Düsseldorf,3,0,3,100.0,1,0.1,+0.1,0,0,0,0,12,19,63.2,25,1,52.0,39.4,9,66.7,48.0,12,1,8.3,0,7.0,Match Report,2018-10-06,15:30 (06:30),Bundesliga,Matchweek 7,Sat,Away,W,2,0,Düsseldorf,313,429,73.0,6296,2593,129,155,83.2,117,145,80.7,58,111,52.3,1,1.0,0.7,7,27,8,1,27,Match Report,2018-10-06,15:30 (06:30),Bundesliga,Matchweek 7,Sat,Away,W,2,0,Düsseldorf,429,377,50,14,0,5,13,20,6,0,6,0,313,2,2,Match Report,2018-10-06,15:30 (06:30),Bundesliga,Matchweek 7,Sat,Away,W,2,0,Düsseldorf,23,14,1,1,3,2,2,3,2,0,0,1,0,0,Match Report,2018-10-06,15:30 (06:30),Bundesliga,Matchweek 7,Sat,Away,W,2,0,Düsseldorf,10,7,3,6,1,3,10,30.0,7,7,3,4,18,28,20,0,Match Report,2018-10-06,15:30 (06:30),Bundesliga,Matchweek 7,Sat,Away,W,2,0,Düsseldorf,51,532,47,153,278,111,21,532,8,3,37.5,5,62.5,271,1564,775,20,12,5,13,7,311,27,Match Report,2018-10-06,15:30 (06:30),Bundesliga,Matchweek 7,Sat,Away,W,2,0,Düsseldorf,1,0,0,13,14,2,13,18,7,0,0,0,57,19,21,47.5,Match Report
